,Navn,Long,Lat
2658,"36/1, Solund",61.145196,4.910868
2660,"50/2, Solund",61.172254,4.975527
2661,"50/3, Solund",61.170868,5.001264
2662,"49/1, Solund",61.196307,4.958818
2663,"50/1, Solund",61.167059,5.004991
2737,"63/1, Solund",61.121621,5.047821
2738,"62/1, Solund",61.130775,5.031693
2739,"62/5, Solund",61.12498,5.031884
2783,"51/2, Solund",61.172073,4.97516
2784,"51/7, Solund",61.182947,4.945891
2785,"50/4, Solund",61.17552,4.978033
2786,"51/1, Solund",61.175101,4.963361
2820,"50/1-1, Solund",61.171773,5.007891
2856,"63/2, Solund",61.125631,5.047245
2870,"49/2, Solund",61.186391,4.981153
2873,"64/3, Solund",61.116966,5.063566
2877,"49/3, Solund",61.18481,4.981168
2880,"52/12, Solund",61.168929,4.948759
2884,"51/6-1, Solund",61.172817,4.954011
2913,"51/3, Solund",61.178666,4.946111
2914,"51/4, Solund",61.18811,4.946852
2915,"51/6, Solund",61.172817,4.954011
2916,"52/1, Solund",61.169843,4.948064
30659,"50/2-1, Solund",61.173232,4.97512
30790,"50/8, Solund",61.168114,4.999871
32006,"51/9, Solund",61.173109,4.972938
375374,"Krakhellevegen 2211, Solund",61.129964,5.017035
375375,"Krakhellevegen 2219, Solund",61.128812,5.017709
375376,"Krakhellevegen 2215, Solund",61.130669,5.014363
375377,"Krakhellevegen 2213, Solund",61.130509,5.016242
375380,"Krakhellevegen 2201, Solund",61.13124,5.014514
375381,"Krakhellevegen 2180, Solund",61.134344,5.017636
375648,"Losna 24, Solund",61.118704,5.089679
375652,"Losna 121, Solund",61.126276,5.099448
375654,"Losna 21, Solund",61.118751,5.092554
375655,"Losna 83, Solund",61.123995,5.093299
375656,"Losna 26, Solund",61.119257,5.089834
375657,"Losna 23, Solund",61.118972,5.092106
375658,"Losna 100, Solund",61.125468,5.094176
375659,"Losna 130, Solund",61.130257,5.092227
375660,"Losna 33, Solund",61.119871,5.093344
375661,"Losna 81, Solund",61.12362,5.094293
375662,"Engevikvegen 70, Solund",61.128501,4.954725
375663,"Krakhellevegen 1561, Solund",61.128193,4.947441
375664,"Krakhellevegen 1514, Solund",61.138956,4.945427
375665,"Engevikvegen 108, Solund",61.132391,4.95194
375666,"Engevikvegen 100, Solund",61.130573,4.952155
375667,"Engevikvegen 72, Solund",61.128491,4.953481
375668,"Engevikvegen 25, Solund",61.125931,4.95866
375669,"Engevikvegen 98, Solund",61.130678,4.952662
375670,"Engevikvegen 326, Solund",61.147912,4.956906
375671,"Krakhellevegen 1615, Solund",61.12461,4.951487
375672,"Engevikvegen 306, Solund",61.147464,4.953058
375673,"Engevikvegen 320, Solund",61.147567,4.954997
375674,"Engevikvegen 63, Solund",61.128348,4.95681
375867,"Engevikvegen 60, Solund",61.127503,4.95621
375868,"Losna 106, Solund",61.126322,5.094795
375872,"Losna 71, Solund",61.122711,5.092417
375873,"Losna 41, Solund",61.120636,5.091682
375904,"Engevikvegen 316, Solund",61.147154,4.955906
375943,"Krakhellevegen 1441, Solund",61.130364,4.936529
375944,"Krakhellevegen 1520, Solund",61.132889,4.944254
375945,"Krakhellevegen 1510, Solund",61.134185,4.94102
375946,"Krakhellevegen 1650, Solund",61.124608,4.958012
375947,"Krakhellevegen 1518, Solund",61.140644,4.944466
375948,"Krakhellevegen 1512, Solund",61.137373,4.945302
375956,"Engevikvegen 322, Solund",61.147888,4.954305
375965,"Engevikvegen 250, Solund",61.142267,4.954773
375970,"Krakhellevegen 2182, Solund",61.134837,5.016384
375971,"Engevikvegen 360, Solund",61.151228,4.955347
375972,"Krakhellevegen 1635, Solund",61.123716,4.955245
375976,"Krakhellevegen 2231, Solund",61.12878,5.019423
1952346,"Losna 31, Solund",61.119514,5.091289
1960190,"Krakhellevegen 2191, Solund",61.132203,5.015794
1962416,"Losna 108, Solund",61.126666,5.094593
1979353,"Losna 51, Solund",61.121276,5.09226
2062438,"Engevikvegen 324, Solund",61.148146,4.955955
2063830,"Losna 20, Solund",61.11728,5.089974
2063834,"Losna 104, Solund",61.125996,5.094694
2063836,"Losna 22, Solund",61.118199,5.08803
2071149,"Krakhellevegen 2184, Solund",61.135242,5.017106
2461542,"Leknessundvegen 162, Solund",61.145401,4.910507
2461549,"Leknessundvegen 164, Solund",61.143992,4.912045
2461644,"Leknessundvegen 160, Solund",61.145203,4.910865
