,Navn,Long,Lat
3139,"106/26, Bru",61.500627,5.243237
30534,"104/7, Bru",61.517556,5.305364
396024,"Brufjordvegen 331, Bru",61.513577,5.189158
396025,"Brufjordvegen 510, Bru",61.513148,5.230924
396026,"Brufjordvegen 516, Bru",61.512222,5.225689
396027,"Brufjordvegen 540, Bru",61.510696,5.226443
396028,"Standalsvegen 64, Bru",61.512189,5.235255
396029,"Brufjordvegen 301, Bru",61.51456,5.183166
396030,"Standalsvegen 82, Bru",61.51227,5.240081
396031,"Brufjordvegen 568, Bru",61.51124,5.229537
396032,"Brufjordvegen 364, Bru",61.51282,5.196777
396033,"Brufjordvegen 293, Bru",61.515172,5.178026
396034,"Standalsvegen 20, Bru",61.511586,5.228047
396035,"Brufjordvegen 290, Bru",61.515769,5.181381
396036,"Brufjordvegen 343, Bru",61.513051,5.190577
396037,"Standalsvegen 61, Bru",61.510814,5.230379
396038,"Brufjordvegen 518, Bru",61.512397,5.2249
396039,"Standalsvegen 353, Bru",61.514697,5.287673
396040,"Brufjordvegen 291, Bru",61.515058,5.178815
396041,"Brufjordvegen 362, Bru",61.513097,5.195742
396042,"Standalsvegen 370, Bru",61.513428,5.28235
396043,"Standalsvegen 300, Bru",61.51109,5.278204
396044,"Standalsvegen 357, Bru",61.5145,5.289992
396045,"Standalsvegen 369, Bru",61.514293,5.285708
396046,"Standalsvegen 430, Bru",61.515193,5.27194
396047,"Standalsvegen 374, Bru",61.514381,5.283099
396048,"Standalsvegen 420, Bru",61.515147,5.274204
396049,"Standalsvegen 151, Bru",61.512225,5.251525
396050,"Standalsvegen 217, Bru",61.512016,5.262532
396051,"Standalsvegen 347, Bru",61.513143,5.28673
396052,"Standalsvegen 361, Bru",61.514901,5.290208
396053,"Standalsvegen 191, Bru",61.511592,5.256456
396054,"Standalsvegen 161, Bru",61.512112,5.253307
396055,"Standalsvegen 170, Bru",61.512467,5.255767
396056,"Standalsvegen 351, Bru",61.514115,5.286426
396057,"Standalsvegen 219, Bru",61.511997,5.263537
396058,"Standalsvegen 363, Bru",61.515465,5.289482
396059,"Standalsvegen 343, Bru",61.512074,5.286067
396060,"Standalsvegen 125, Bru",61.512191,5.247033
396061,"Brufjordvegen 608, Bru",61.506159,5.231077
396062,"Brufjordvegen 545, Bru",61.510378,5.223057
396063,"Standalsvegen 220, Bru",61.512114,5.264859
396064,"Brufjordvegen 580, Bru",61.50692,5.228029
396065,"Brufjordvegen 558, Bru",61.509791,5.224897
396066,"Brufjordvegen 562, Bru",61.510392,5.226818
396067,"Brufjordvegen 560, Bru",61.509839,5.225662
396068,"Brufjordvegen 600, Bru",61.506006,5.234611
396069,"Brufjordvegen 660, Bru",61.50404,5.242524
396070,"Brufjordvegen 770, Bru",61.501615,5.260552
396071,"Brufjordvegen 610, Bru",61.505953,5.230404
396072,"Brufjordvegen 614, Bru",61.505496,5.232357
396073,"Brufjordvegen 710, Bru",61.502828,5.247109
396074,"Brufjordvegen 765, Bru",61.499488,5.252157
396075,"Brufjordvegen 645, Bru",61.503914,5.235993
396076,"Brufjordvegen 740, Bru",61.502008,5.254223
396077,"Brufjordvegen 763, Bru",61.499318,5.254472
396078,"Brufjordvegen 730, Bru",61.502334,5.250065
396079,"Brufjordvegen 760, Bru",61.501975,5.256635
396080,"Brufjordvegen 632, Bru",61.504955,5.236243
396081,"Brufjordvegen 672, Bru",61.504479,5.24343
396082,"Brufjordvegen 654, Bru",61.504686,5.236934
396083,"Brufjordvegen 671, Bru",61.501537,5.241039
396084,"Brufjordvegen 734, Bru",61.502179,5.250968
396085,"Brufjordvegen 735, Bru",61.501068,5.248807
396086,"Brufjordvegen 761, Bru",61.500212,5.255587
396087,"Brufjordvegen 635, Bru",61.504457,5.234178
396088,"Brufjordvegen 737, Bru",61.501078,5.250643
396089,"Brufjordvegen 650, Bru",61.504172,5.238529
396090,"Brufjordvegen 732, Bru",61.502536,5.251226
396091,"Brufjordvegen 675, Bru",61.502009,5.242524
396093,"Brufjordvegen 652, Bru",61.504278,5.237792
398000,"Brufjordvegen 575, Bru",61.508061,5.225047
398014,"Tyvoll 23, Bru",61.507294,5.222679
398020,"Brufjordvegen 777, Bru",61.498716,5.25808
398024,"Tyvoll 25, Bru",61.50727,5.223792
398026,"Tyvoll 27, Bru",61.507385,5.22502
398109,"Standalsvegen 470, Bru",61.515496,5.263964
398111,"Standalsvegen 401, Bru",61.514947,5.278704
398589,"Standalsvegen 63, Bru",61.509562,5.22897
398885,"Brufjordvegen 582, Bru",61.507257,5.229136
399063,"Standalsvegen 171, Bru",61.511759,5.254197
399258,"Brufjordvegen 514, Bru",61.512725,5.227307
399260,"Standalsvegen 80, Bru",61.512047,5.239778
399264,"Brufjordvegen 602, Bru",61.505628,5.233284
399265,"Standalsvegen 376, Bru",61.514538,5.283158
399268,"Standalsvegen 355, Bru",61.514827,5.288194
399272,"Brufjordvegen 557, Bru",61.509274,5.222476
399274,"Brufjordvegen 762, Bru",61.502133,5.256804
399288,"Brufjordvegen 670, Bru",61.504244,5.243441
