,Navn,Long,Lat
3099,"91/31, Bru",61.548756,5.286898
3117,"21/13, Bru",61.556673,5.076859
3138,"97/1, Bru",61.540615,5.173807
45476,"95/54, Bru",61.553206,5.108181
388124,"Eikevik 7, Bru",61.55514,5.15975
388815,"Eikevik 5, Bru",61.555691,5.1589
388856,"Eikevik 12, Bru",61.552129,5.162794
389475,"Ausevikvegen 679, Bru",61.54127,5.298132
389596,"Ausevikvegen 414, Bru",61.547303,5.329488
389680,"Ausevikvegen 649, Bru",61.542923,5.298123
389722,"Ausevikvegen 665, Bru",61.541283,5.301915
390029,"Ausevikvegen 428, Bru",61.544803,5.340142
390176,"Ausevikvegen 440, Bru",61.54438,5.33441
390339,"Ausevikvegen 643, Bru",61.541581,5.301993
390483,"Ausevikvegen 811, Bru",61.540283,5.274767
390736,"Ausevikvegen 438, Bru",61.543963,5.333612
390778,"Ausevikvegen 716, Bru",61.535752,5.311084
390919,"Ausevikvegen 965, Bru",61.54083,5.247508
391161,"Ausevikvegen 863, Bru",61.540112,5.265899
391511,"Ausevikvegen 755, Bru",61.541488,5.28304
391533,"Ausevikvegen 991, Bru",61.541818,5.241608
392390,"Ausevikvegen 961, Bru",61.540846,5.249747
392412,"Ausevikvegen 967, Bru",61.54113,5.246003
392767,"Ausevikvegen 910, Bru",61.540397,5.259575
392851,"Ausevikvegen 953, Bru",61.540786,5.251468
392873,"Ausevikvegen 780, Bru",61.540463,5.281374
392895,"Ausevikvegen 753, Bru",61.541546,5.285143
393230,"Ausevikvegen 861, Bru",61.540202,5.266868
393355,"Ausevikvegen 889, Bru",61.540583,5.26241
393542,"Ausevikvegen 667, Bru",61.541244,5.300828
393543,"Eikevik 10, Bru",61.553092,5.161379
393544,"Seterskar 2, Bru",61.564135,5.122186
393545,"Eikevik 1, Bru",61.556478,5.158714
393546,"Eikevik 2, Bru",61.556629,5.15738
393547,"Stavøyvegen 507, Bru",61.551181,5.125255
393548,"Stavøyvegen 532, Bru",61.552443,5.120218
393549,"Seterskar 1, Bru",61.56546,5.128589
393550,"Stavøyvegen 527, Bru",61.552363,5.122903
395435,"Stavøyvegen 847, Bru",61.564349,5.070912
395436,"Stavøyvegen 837, Bru",61.563909,5.072174
395439,"Skutevågen 39, Bru",61.568776,5.059531
395440,"Hamnøya 1, Bru",61.565952,5.055743
395441,"Stavøyvegen 844, Bru",61.560649,5.067894
395442,"Veidesund 1, Bru",61.569069,5.053499
395443,"Nordre Stavøya 13, Bru",61.571944,5.079344
395444,"Stavøyvegen 861, Bru",61.564171,5.06724
395445,"Nordre Stavøya 2, Bru",61.570759,5.068743
