,Navn,Long,Lat
2966,"96/1, Hyllestad",61.13224,5.373866
2967,"91/2, Hyllestad",61.158882,5.390803
2968,"89/16, Hyllestad",61.156688,5.405934
2969,"86/3, Hyllestad",61.134428,5.33934
2974,"67/4, Hyllestad",61.199697,5.349714
2975,"64/6, Hyllestad",61.189424,5.387883
2976,"64/2, Hyllestad",61.196662,5.382956
2977,"86/5, Hyllestad",61.135891,5.339263
2978,"95/1, Hyllestad",61.13012,5.38842
2979,"90/8, Hyllestad",61.153978,5.406782
2983,"84/31, Hyllestad",61.110128,5.267838
2985,"85/29, Hyllestad",61.125025,5.326797
2987,"87/1, Hyllestad",61.145862,5.34508
2989,"95/1-1, Hyllestad",61.130364,5.387718
2990,"94/7, Hyllestad",61.129606,5.414255
2994,"68/6-1, Hyllestad",61.176973,5.35093
2997,"22/4, Hyllestad",61.233916,5.358238
29506,"102/14, Hyllestad",61.118939,5.374536
34157,"88/1-2, Hyllestad",61.173649,5.441343
35896,"99/6, Hyllestad",61.137638,5.347876
375761,"Solåsen 141, Hyllestad",61.222187,5.334562
375762,"Solåsen 112, Hyllestad",61.220658,5.338505
375764,"Solåsen 68, Hyllestad",61.219442,5.342392
375765,"Skorsvegen 571, Hyllestad",61.224972,5.33983
375766,"Skorsvegen 573, Hyllestad",61.225268,5.340466
375767,"Skorsvegen 472, Hyllestad",61.230988,5.353636
375768,"Skorsvegen 415, Hyllestad",61.233815,5.36485
375769,"Skorsvegen 563, Hyllestad",61.225533,5.340641
375770,"Holten, Skorsvegen 638, Hyllestad",61.221638,5.351513
375771,"Skorsvegen 567, Hyllestad",61.226067,5.337801
375772,"Skorsvegen 533, Hyllestad",61.227459,5.343716
375773,"Skorsvegen 680, Hyllestad",61.220348,5.35567
375774,"Sveienvegen 69, Hyllestad",61.239683,5.355779
375775,"Skorsvegen 691, Hyllestad",61.219574,5.355964
375776,"Solåsen 60, Hyllestad",61.219096,5.34394
376008,"Staurdalsvegen 395, Hyllestad",61.158741,5.352387
376009,"Staurdalsvegen 393, Hyllestad",61.159159,5.353548
376010,"Birkeland 134, Hyllestad",61.170969,5.360114
376011,"Birkeland 101, Hyllestad",61.172848,5.364286
376012,"Birkeland 253, Hyllestad",61.165188,5.344497
376015,"Birkeland 137, Hyllestad",61.171542,5.357029
376016,"Birkeland 160, Hyllestad",61.169956,5.355352
376051,"Indrefjordvegen 177, Hyllestad",61.133477,5.283242
376053,"Indrefjordvegen 301, Hyllestad",61.139626,5.292315
376055,"Indrefjordvegen 251, Hyllestad",61.137488,5.290714
376056,"Indrefjordvegen 284, Hyllestad",61.140462,5.287754
376111,"Staurdalsvegen 14, Hyllestad",61.169623,5.384773
376112,"Eidsnesvegen 8, Hyllestad",61.172256,5.388807
376113,"Eidevegen 226, Hyllestad",61.170554,5.391365
376114,"Eidevegen 221, Hyllestad",61.171217,5.391308
376115,"Birkeland 99, Hyllestad",61.172901,5.364912
376116,"Birkeland 98, Hyllestad",61.171841,5.367938
376117,"Birkeland 252, Hyllestad",61.164401,5.345668
376118,"Staurdalsvegen 109, Hyllestad",61.157583,5.376852
376121,"Staurdalsvegen 107, Hyllestad",61.158132,5.376547
376122,"Birkeland 172, Hyllestad",61.168973,5.355559
376127,"Solåsen 36, Hyllestad",61.21843,5.346853
376146,"Eidsnesvegen 17, Hyllestad",61.173176,5.387349
376147,"Lølandsneset 101, Hyllestad",61.1625,5.394705
376148,"Øvre heggebøen 70, Hyllestad",61.129822,5.360131
376149,"Eidsnesvegen 16, Hyllestad",61.172654,5.387764
376150,"Øvre heggebøen 76, Hyllestad",61.128908,5.361258
376151,"Øvre heggebøen 78, Hyllestad",61.128634,5.361085
376173,"Skorsvegen 788, Hyllestad",61.213828,5.358847
376175,"Skorsvegen 391, Hyllestad",61.233286,5.366888
376177,"Skorsvegen 761, Hyllestad",61.214387,5.353229
376178,"Solåsen 38, Hyllestad",61.217875,5.351595
376179,"Brennsdalsvegen 782, Hyllestad",61.080764,5.395833
376180,"Brennsdalsvegen 722, Hyllestad",61.080785,5.391896
376181,"Brennsdalsvegen 786, Hyllestad",61.083364,5.397931
376182,"Brennsdalsvegen 752, Hyllestad",61.07964,5.390747
376183,"Tveitvegen 105, Hyllestad",61.113928,5.353007
376184,"Tveitvegen 73, Hyllestad",61.111028,5.354103
376185,"Tveitvegen 74, Hyllestad",61.112851,5.35107
376186,"Tveitvegen 11, Hyllestad",61.112959,5.348401
376187,"Brennsdalsvegen 127, Hyllestad",61.123109,5.340558
376188,"Brennsdalsvegen 120, Hyllestad",61.12302,5.34159
376189,"Tveitvegen 98, Hyllestad",61.115358,5.349369
376190,"Tveitvegen 116, Hyllestad",61.115332,5.351731
376191,"Brennsdalsvegen 88, Hyllestad",61.124342,5.346919
376192,"Brennsdalsvegen 128, Hyllestad",61.122684,5.341021
376193,"Brennsdalsvegen 114, Hyllestad",61.123299,5.342271
376194,"Brennsdalsvegen 112, Hyllestad",61.123517,5.342666
376195,"Brennsdalsvegen 22, Hyllestad",61.128714,5.353382
376196,"Brennsdalsvegen 34, Hyllestad",61.128078,5.353474
376197,"Brennsdalsvegen 70, Hyllestad",61.125401,5.349193
376198,"Brennsdalsvegen 96, Hyllestad",61.123783,5.344512
376199,"Nedre Heggebøen 1, Hyllestad",61.129743,5.350234
376200,"Øvre heggebøen 45, Hyllestad",61.129719,5.358028
376201,"Øvre heggebøen 64, Hyllestad",61.129858,5.35896
376202,"Nedre Heggebøen 20A, Hyllestad",61.129433,5.35437
376203,"Leirvik 129, Hyllestad",61.130134,5.346468
376204,"Leirvik 131, Hyllestad",61.129917,5.347036
376205,"Øvre heggebøen 41, Hyllestad",61.129939,5.357012
376206,"Øvre heggebøen 43, Hyllestad",61.129832,5.357535
376207,"Øvre heggebøen 51, Hyllestad",61.129402,5.357912
376208,"Øvre heggebøen 49, Hyllestad",61.129513,5.357529
376209,"Øvre heggebøen 53, Hyllestad",61.129315,5.358665
376214,"Leirvik 50, Hyllestad",61.137091,5.348158
376215,"Leirvik 49, Hyllestad",61.137173,5.347368
376217,"Leirvik 66, Hyllestad",61.136473,5.347557
376218,"Bøfjordvegen 258, Hyllestad",61.120012,5.275906
376220,"Ås 26, Hyllestad",61.143072,5.357581
376221,"Sognesjøvegen 1433, Hyllestad",61.146335,5.198342
376222,"Birkeland 241A, Hyllestad",61.165961,5.348855
376224,"Eidsnesvegen 5, Hyllestad",61.171793,5.390098
376226,"Dalsbygda 25, Hyllestad",61.196516,5.38515
376227,"Skorsvegen 724, Hyllestad",61.216987,5.357268
376232,"Brennsdalsvegen 784, Hyllestad",61.082391,5.397837
376233,"Brennsdalsvegen 395, Hyllestad",61.099219,5.352809
376236,"Eidsnesvegen 24, Hyllestad",61.17326,5.386839
376238,"Brennsdalsvegen 780, Hyllestad",61.07929,5.392438
376239,"Brennsdalsvegen 720, Hyllestad",61.081166,5.391018
376241,"Nedre Heggebøen 2A, Hyllestad",61.129953,5.351357
376242,"Nedre Heggebøen 7, Hyllestad",61.129179,5.351637
376243,"Leirvik 127, Hyllestad",61.130392,5.346293
376244,"Nedre Heggebøen 27, Hyllestad",61.128387,5.355613
376245,"Nedre Heggebøen 38, Hyllestad",61.129188,5.355985
376246,"Øvre heggebøen 35, Hyllestad",61.130076,5.354898
376247,"Nedre Heggebøen 42, Hyllestad",61.128808,5.356215
376248,"Leirvik 28, Hyllestad",61.138566,5.346817
376249,"Handalsvegen 10, Hyllestad",61.136867,5.349764
376250,"Leirvik 27, Hyllestad",61.138951,5.345896
376251,"Handalsvegen 8, Hyllestad",61.136573,5.349557
376252,"Leirvik 80, Hyllestad",61.135793,5.344275
376253,"Leirvik 36A, Hyllestad",61.138089,5.346959
376254,"Handalsvegen 144, Hyllestad",61.132366,5.369521
376255,"Handalsvegen 148, Hyllestad",61.132246,5.371431
376256,"Handalsvegen 70, Hyllestad",61.13764,5.359118
376257,"Handalsvegen 158, Hyllestad",61.134157,5.369278
376258,"Handalsvegen 253, Hyllestad",61.137394,5.378034
376259,"Handalsvegen 270, Hyllestad",61.138508,5.375675
376260,"Handalsvegen 150, Hyllestad",61.132352,5.371697
376261,"Ås 82, Hyllestad",61.141788,5.36128
376262,"Handalsvegen 235, Hyllestad",61.136494,5.381037
376263,"Handalsvegen 258, Hyllestad",61.137468,5.375776
376264,"Lølandsvegen 78, Hyllestad",61.159112,5.387633
376265,"Staurdalsvegen 520, Hyllestad",61.14816,5.350969
376266,"Staurdalsvegen 527, Hyllestad",61.147267,5.345512
376267,"Lølandsvegen 116A, Hyllestad",61.158188,5.393799
376268,"Lølandsvegen 151, Hyllestad",61.15575,5.400386
376269,"Lølandsvegen 145, Hyllestad",61.155924,5.397837
376270,"Lølandsvegen 207, Hyllestad",61.154837,5.407986
376271,"Lølandsneset 8, Hyllestad",61.158947,5.397949
376272,"Lølandsneset 23, Hyllestad",61.158164,5.403645
376273,"Leirvik 64, Hyllestad",61.136568,5.348367
376274,"Lølandsvegen 126, Hyllestad",61.156836,5.394961
376275,"Nedre Heggebøen 25, Hyllestad",61.128638,5.355584
376276,"Nedre Heggebøen 18, Hyllestad",61.129604,5.35396
376277,"Nedre Heggebøen 30, Hyllestad",61.129503,5.355155
376278,"Nedre Heggebøen 40, Hyllestad",61.12911,5.356422
376279,"Nedre Heggebøen 14, Hyllestad",61.129495,5.352344
376280,"Nedre Heggebøen 17, Hyllestad",61.12897,5.354226
376281,"Nedre Heggebøen 11, Hyllestad",61.129037,5.352713
376282,"Nedre Heggebøen 15, Hyllestad",61.128949,5.353783
376283,"Nedre Heggebøen 13, Hyllestad",61.129239,5.353545
376284,"Nedre Heggebøen 21, Hyllestad",61.128685,5.354984
376285,"Nedre Heggebøen 9, Hyllestad",61.129177,5.352214
376286,"Nedre Heggebøen 19, Hyllestad",61.128765,5.354269
376287,"Leirvik 121, Hyllestad",61.131215,5.345492
376288,"Leirvik 122A, Hyllestad",61.131148,5.347005
376289,"Nedre Heggebøen 23, Hyllestad",61.12897,5.354877
376290,"Øvre heggebøen 19, Hyllestad",61.130134,5.352717
376291,"Leirvik 119, Hyllestad",61.131338,5.345069
376292,"Leirvik 117, Hyllestad",61.131376,5.34447
376293,"Leirvik 120, Hyllestad",61.131318,5.34656
376294,"Leirvik 123, Hyllestad",61.13104,5.346014
376295,"Øvre heggebøen 1, Hyllestad",61.129912,5.349824
