,Navn,Long,Lat
3957,"197/2, Gaular",61.362855,5.705358
3958,"212/28, Gaular",61.390352,5.735768
3962,"212/15, Gaular",61.387776,5.741526
3963,"212/19, Gaular",61.386831,5.740313
3964,"212/20, Gaular",61.390262,5.741005
3965,"212/11, Gaular",61.397649,5.732851
3966,"212/12, Gaular",61.39586,5.732401
3967,"212/13, Gaular",61.391815,5.740955
3968,"212/14, Gaular",61.396924,5.738192
3969,"213/7, Gaular",61.394782,5.718272
3970,"213/8, Gaular",61.39505,5.719668
3971,"213/9, Gaular",61.396962,5.718493
3972,"213/10, Gaular",61.393736,5.722935
3973,"212/24, Gaular",61.395604,5.728118
3974,"212/25, Gaular",61.392214,5.732482
3975,"200/1-1, Gaular",61.360676,5.738507
3976,"191/1-2, Gaular",61.354364,5.626109
3977,"212/17, Gaular",61.407887,5.729624
3978,"212/16, Gaular",61.408649,5.731044
3979,"212/26, Gaular",61.392881,5.739345
3980,"212/27, Gaular",61.393453,5.733964
3981,"205/18/4, Gaular",61.418169,5.756001
3983,"212/2-3, Gaular",61.398713,5.736713
3984,"213/13, Gaular",61.397851,5.727395
3988,"194/1-2, Gaular",61.35053,5.671021
3989,"189/1-2, Gaular",61.337869,5.625547
3990,"205/18/1, Gaular",61.416457,5.75316
3991,"205/18/2, Gaular",61.415329,5.755584
3992,"205/18, Gaular",61.413506,5.760554
4021,"202/16, Gaular",61.37549,5.758274
36467,"220/1-3, Gaular",61.400043,5.683653
36468,"193/1-1, Gaular",61.34759,5.653886
36474,"226/2-4, Gaular",61.39196,5.556603
36542,"197/2-2, Gaular",61.353104,5.694853
36555,"197/1-2, Gaular",61.352244,5.694766
490887,"Åmotsvegen 298, Gaular",61.365596,5.740204
490917,"Bringelandsvegen 9, Gaular",61.386093,5.758692
490919,"Bygstadvegen 297, Gaular",61.385428,5.747334
490920,"Perhaugen 35, Gaular",61.385668,5.754802
490921,"Bygstadvegen 185, Gaular",61.385869,5.767782
490922,"Perhaugen 31, Gaular",61.386051,5.753901
490923,"Svartetjørnsvegen 38, Gaular",61.396153,5.753264
490924,"Svartetjørnsvegen 63, Gaular",61.397624,5.756166
490925,"Bringelandsvegen 23, Gaular",61.386543,5.760594
490926,"Bygstadvegen 418, Gaular",61.383835,5.725602
490927,"Bygstadvegen 329, Gaular",61.385229,5.740199
490928,"Bygstadvegen 379, Gaular",61.385586,5.731901
490929,"Bygstadvegen 363, Gaular",61.385772,5.735131
490930,"Flyplassvegen 93, Gaular",61.391542,5.767533
490931,"Perhaugen 4, Gaular",61.385756,5.750627
490932,"Perhaugen 14, Gaular",61.385833,5.751166
490933,"Dalsfjordvegen 140, Gaular",61.359669,5.665183
490934,"Dalsfjordvegen 180, Gaular",61.36087,5.660319
490935,"Osen 15, Gaular",61.364684,5.678498
490936,"Dalsfjordvegen 379, Gaular",61.370442,5.638194
490937,"Dalsfjordvegen 289, Gaular",61.369645,5.649927
490938,"Dalsfjordvegen 291, Gaular",61.370022,5.649568
490939,"Dalsfjordvegen 184, Gaular",61.36173,5.658767
490940,"Sjøvegen 218, Gaular",61.369036,5.680543
490941,"Sjøvegen 167, Gaular",61.370257,5.671516
490942,"Sjøvegen 127, Gaular",61.36967,5.665632
490943,"Åmotsvegen 549, Gaular",61.368839,5.699593
490944,"Åmotsvegen 519, Gaular",61.367078,5.704066
490945,"Sjøvegen 114, Gaular",61.369606,5.663318
490946,"Sjøvegen 225, Gaular",61.367853,5.68015
490947,"Åmotsvegen 161, Gaular",61.372214,5.741536
490948,"Åmotsvegen 138, Gaular",61.373998,5.743616
490949,"Åmotsvegen 193, Gaular",61.369741,5.738087
490950,"Åmotsvegen 177, Gaular",61.371281,5.738582
490951,"Åmotsvegen 377, Gaular",61.363229,5.727346
490952,"Åmotsvegen 314, Gaular",61.36427,5.739256
490953,"Åmotsvegen 230, Gaular",61.367154,5.736267
490954,"Bygstadvegen 167, Gaular",61.386032,5.77273
490955,"Bygstadvegen 169, Gaular",61.385954,5.772101
490956,"Bygstadvegen 163, Gaular",61.386399,5.773816
490957,"Åmotsvegen 175, Gaular",61.37142,5.73617
490958,"Åmotsvegen 185, Gaular",61.370654,5.737935
490959,"Åmotsvegen 114, Gaular",61.37192,5.748402
490964,"Bygstadvegen 165, Gaular",61.386009,5.773275
490988,"Dalsfjordvegen 658, Gaular",61.362519,5.587827
490989,"Dalsfjordvegen 678, Gaular",61.363508,5.585532
490990,"Dalsfjordvegen 690, Gaular",61.36356,5.583482
490991,"Dalsfjordvegen 673, Gaular",61.364909,5.587117
490992,"Bjørvikestølvegen 191, Gaular",61.359069,5.54908
490993,"Dalsfjordvegen 694, Gaular",61.361919,5.578962
490994,"Dalsfjordvegen 725, Gaular",61.364855,5.577855
490995,"Dalsfjordvegen 588, Gaular",61.365351,5.602233
490996,"Dalsfjordvegen 598, Gaular",61.363828,5.598804
490997,"Dalsfjordvegen 643, Gaular",61.365932,5.59206
490998,"Bjørvikestølvegen 14, Gaular",61.361206,5.56354
490999,"Dalsfjordvegen 702, Gaular",61.363997,5.582292
491000,"Dalsfjordvegen 752, Gaular",61.36438,5.573957
491001,"Dalsfjordvegen 630, Gaular",61.365209,5.595471
491002,"Dalsfjordvegen 634, Gaular",61.365041,5.591652
491003,"Dalsfjordvegen 566, Gaular",61.366308,5.604563
491004,"Dalsfjordvegen 636, Gaular",61.364481,5.592611
491005,"Dalsfjordvegen 554, Gaular",61.366709,5.608927
491006,"Dalsfjordvegen 597, Gaular",61.366531,5.59984
491007,"Dalsfjordvegen 632, Gaular",61.365231,5.59311
491008,"Dalsfjordvegen 596, Gaular",61.36414,5.599781
491009,"Dalsfjordvegen 652, Gaular",61.364349,5.58948
491010,"Dalsfjordvegen 506, Gaular",61.367452,5.616198
491011,"Dalsfjordvegen 485, Gaular",61.368698,5.620407
491012,"Dalsfjordvegen 395, Gaular",61.369899,5.636285
491013,"Dalsfjordvegen 430, Gaular",61.370002,5.631295
491014,"Dalsfjordvegen 490, Gaular",61.367769,5.619889
491015,"Dalsfjordvegen 508, Gaular",61.367225,5.615005
491016,"Dalsfjordvegen 486, Gaular",61.367709,5.62145
491017,"Dalsfjordvegen 488, Gaular",61.368231,5.621487
491060,"Bygstadvegen 427, Gaular",61.38496,5.724155
491061,"Bygstadvegen 445, Gaular",61.385628,5.716835
491062,"Bygstadvegen 437, Gaular",61.385816,5.721292
491063,"Bygstadvegen 412, Gaular",61.383796,5.726225
491064,"Bygstadvegen 365, Gaular",61.387198,5.736903
491065,"Bygstadvegen 338, Gaular",61.384731,5.740002
491066,"Bygstadvegen 369, Gaular",61.384516,5.734206
491067,"Bygstadvegen 539, Gaular",61.379876,5.706032
491068,"Bygstadvegen 511, Gaular",61.381127,5.710546
491069,"Bygstadvegen 608, Gaular",61.377687,5.696543
491070,"Bygstadvegen 587, Gaular",61.37854,5.700199
491071,"Bygstadvegen 564, Gaular",61.37778,5.704062
491072,"Bygstadvegen 627, Gaular",61.379748,5.693281
491094,"Brekka 25, Gaular",61.384534,5.6343
491095,"Brekka 106, Gaular",61.386947,5.612065
491096,"Brekka 225, Gaular",61.390094,5.607433
491097,"Laukelandsvegen 222, Gaular",61.382352,5.634722
491098,"Laukelandsvegen 247, Gaular",61.381795,5.630562
491099,"Laukelandsvegen 1203, Gaular",61.380866,5.46399
491100,"Laukelandsvegen 1214, Gaular",61.379436,5.461548
491101,"Laukelandsvegen 1219, Gaular",61.379451,5.459374
491102,"Laukelandsvegen 1183, Gaular",61.380899,5.466647
491103,"Laukelandsvegen 1083, Gaular",61.381522,5.485141
491104,"Laukelandsvegen 1106, Gaular",61.380849,5.479953
491105,"Laukelandsvegen 1146, Gaular",61.381735,5.473304
491106,"Laukelandsvegen 980, Gaular",61.379835,5.502657
491107,"Laukelandsvegen 1164, Gaular",61.381119,5.470275
491108,"Laukelandsvegen 1217, Gaular",61.379682,5.460303
491109,"Laukelandsvegen 1100, Gaular",61.381049,5.481766
491110,"Laukelandsvegen 1117, Gaular",61.381905,5.478073
491111,"Laukelandsvegen 1045, Gaular",61.381152,5.492039
491112,"Laukelandsvegen 786, Gaular",61.379243,5.539194
491113,"Laukelandsvegen 794, Gaular",61.379192,5.536483
491114,"Laukelandsvegen 800, Gaular",61.378792,5.534168
491115,"Laukelandsvegen 1033, Gaular",61.381456,5.494402
491116,"Laukelandsvegen 1024, Gaular",61.380336,5.495577
491117,"Laukelandsvegen 1004, Gaular",61.380437,5.498113
491118,"Kleppe 54, Gaular",61.375576,5.562898
491119,"Perhaugen 37, Gaular",61.385976,5.75492
491120,"Laukelandsvegen 790, Gaular",61.37936,5.538825
491121,"Kleppe 84, Gaular",61.374207,5.558142
491122,"Kleppe 88, Gaular",61.374531,5.557451
491123,"Kleppe 107, Gaular",61.375931,5.556304
491124,"Perhaugen 22, Gaular",61.386303,5.752826
491125,"Perhaugen 30, Gaular",61.386322,5.753985
491126,"Perhaugen 28, Gaular",61.386298,5.753744
491127,"Perhaugen 26, Gaular",61.386308,5.753387
491129,"Perhaugen 18, Gaular",61.386124,5.75172
491131,"Bringelandsvegen 30, Gaular",61.386992,5.75948
491132,"Bringelandsvegen 194, Gaular",61.396417,5.746822
491134,"Perhaugen 24, Gaular",61.38632,5.753161
491145,"Laukelandsvegen 67, Gaular",61.373943,5.643867
491146,"Laukelandsvegen 70, Gaular",61.373616,5.643733
491147,"Laukelandsvegen 74, Gaular",61.373851,5.642697
491148,"Eidavegen 25, Gaular",61.37732,5.654011
491149,"Eidavegen 21, Gaular",61.377424,5.654583
491150,"Eidavegen 9, Gaular",61.377585,5.655081
491151,"Bygstadvegen 792, Gaular",61.380245,5.668814
491152,"Laukelandsvegen 93, Gaular",61.374151,5.641728
491153,"Laukelandsvegen 117, Gaular",61.375531,5.642667
491154,"Laukelandsvegen 111, Gaular",61.375383,5.642121
491155,"Laukelandsvegen 115, Gaular",61.375429,5.642921
491156,"Laukelandsvegen 31, Gaular",61.37466,5.649614
491157,"Sjøvegen 15, Gaular",61.374849,5.653265
491158,"Sjøvegen 9, Gaular",61.374611,5.652747
491159,"Laukelandsvegen 119, Gaular",61.375523,5.64233
491160,"Yndestad 21, Gaular",61.382612,5.67081
491161,"Haugsbøvegen 38, Gaular",61.382691,5.676215
491162,"Bygstadvegen 741, Gaular",61.381526,5.677837
491163,"Laukelandsvegen 109, Gaular",61.37543,5.641479
491164,"Laukelandsvegen 30, Gaular",61.374025,5.65045
491165,"Laukelandsvegen 24, Gaular",61.373968,5.652142
491166,"Haugsbøvegen 32, Gaular",61.382456,5.67834
491167,"Kvamsvegen 31, Gaular",61.38263,5.664214
491168,"Yndestad 62, Gaular",61.38277,5.665155
491169,"Kvamsvegen 87, Gaular",61.382796,5.649732
491170,"Bygstadvegen 743, Gaular",61.38164,5.676982
491171,"Bygstadvegen 745, Gaular",61.381752,5.675322
491172,"Yndestad 15, Gaular",61.382604,5.673396
491173,"Bygstadvegen 738, Gaular",61.380952,5.677523
491174,"Laukelandsvegen 129, Gaular",61.377064,5.643251
491175,"Laukelandsvegen 205, Gaular",61.383066,5.637437
491176,"Kvamsvegen 141, Gaular",61.383147,5.640688
491177,"Kvamsvegen 85, Gaular",61.382602,5.652103
491178,"Kvamsvegen 61, Gaular",61.382776,5.656275
491179,"Laukelandsvegen 125, Gaular",61.37643,5.645248
