,Navn,Long,Lat
3186,"111/5, Askvoll",61.421627,5.233503
3187,"111/4, Askvoll",61.406277,5.241127
3188,"111/1, Askvoll",61.426908,5.217909
3203,"111/1-1, Askvoll",61.425312,5.230354
30094,"111/6, Askvoll",61.414475,5.233051
37086,"3/1-1, Askvoll",61.434981,5.028782
43602,"10/3-1, Askvoll",61.427211,5.129963
43618,"3/1, Askvoll",61.433824,5.032556
43619,"8/1, Askvoll",61.432958,5.102392
43620,"12/54, Askvoll",61.427505,5.16599
43621,"3/2, Askvoll",61.426171,5.037038
399533,"Grimelivegen 337, Askvoll",61.439583,5.069595
399534,"Stongfjordvegen 560, Askvoll",61.429173,5.168986
400255,"Osland, Stongfjordvegen 210, Askvoll",61.432519,5.220269
400256,"Stongfjordvegen 161, Askvoll",61.439601,5.216689
400462,"Stavenesvegen 1231, Askvoll",61.421821,4.989239
400484,"Nesavika 12, Askvoll",61.424508,5.151256
400502,"Stavenesvegen 703, Askvoll",61.412673,5.044178
400503,"Stavenesvegen 967, Askvoll",61.406822,4.998536
400656,"Stongfjordvegen 904, Askvoll",61.414319,5.120332
400690,"Stongfjordvegen 591, Askvoll",61.427121,5.164836
400721,"Stavenesvegen 999, Askvoll",61.409304,4.994598
400751,"Aluminiumsvegen 9, Askvoll",61.426142,5.166497
400786,"Grimelivegen 349, Askvoll",61.440664,5.069344
400824,"Stavenesvegen 224, Askvoll",61.426722,5.123531
400862,"Stongfjordvegen 966, Askvoll",61.410474,5.11137
401004,"Stavenesvegen 98, Askvoll",61.430419,5.145336
401217,"Stavenesvegen 529, Askvoll",61.421501,5.069077
401218,"Nesavika 8, Askvoll",61.424297,5.150828
401248,"Småbakkane 2, Askvoll",61.428244,5.168678
401251,"Stongfjordvegen 588, Askvoll",61.42712,5.166752
401252,"Stongfjordvegen 589, Askvoll",61.427247,5.165899
401282,"Nesavika 20, Askvoll",61.424044,5.150131
401318,"Aluminiumsvegen 7, Askvoll",61.426245,5.165659
401319,"Nesavika 18, Askvoll",61.424306,5.150155
401320,"Stongfjordvegen 474, Askvoll",61.430055,5.174254
1717705,"Stavenesvegen 613, Askvoll",61.416709,5.057335
1787922,"Kleivabergvegen 5, Askvoll",61.426843,5.168948
1801330,"Stavenesvegen 1155, Askvoll",61.42005,4.97886
1814470,"Nesavika 5, Askvoll",61.425028,5.15162
