,Navn,Long,Lat
22843,"187/1, Høyanger",61.121104,6.350972
42722,"184/1, Høyanger",61.13654,6.354806
42723,"184/3, Høyanger",61.13532,6.357193
42724,"185/1, Høyanger",61.135524,6.364422
42725,"187/1-2, Høyanger",61.120966,6.351243
42726,"185/1-1, Høyanger",61.135696,6.364463
1286775,"Nessadalsvegen 11, Høyanger",61.138147,6.278695
1286776,"Nessadalsvegen 9, Høyanger",61.134709,6.275275
1286777,"Gunnargarden 1, Høyanger",61.134884,6.275019
1286793,"Lånefjorden 27, Høyanger",61.179641,6.201215
1286794,"Lånefjorden 29, Høyanger",61.17921,6.20036
1286795,"Lånefjorden 21, Høyanger",61.183163,6.207768
1827176,"Tussviki 1, Høyanger",61.121096,6.351223
1880651,"Lånefjorden 1, Høyanger",61.188391,6.228273
2005617,"Sagi 1, Høyanger",61.127133,6.336321
2014264,"Gunnargarden 7, Høyanger",61.135314,6.274662
2192413,"Indre Nesse 17, Høyanger",61.135234,6.272266
2199882,"Indre Nesse 2, Høyanger",61.134651,6.283862
2264528,"Lånefjorden 7, Høyanger",61.189441,6.229895
2264625,"Lånefjorden 5, Høyanger",61.189389,6.229977
2331705,"Koldingsnes 4, Høyanger",61.166264,6.187764
2331706,"Nessadalsvegen 19, Høyanger",61.137617,6.27972
2331707,"Nessadalsvegen 17, Høyanger",61.139259,6.280848
2331708,"Nessadalsvegen 15, Høyanger",61.139232,6.279475
2331709,"Nessadalsvegen 13, Høyanger",61.13943,6.279514
2331710,"Gjerdevegen 7, Høyanger",61.135094,6.27697
2331711,"Gjerdevegen 9, Høyanger",61.135205,6.277592
2331712,"Gunnargarden 8, Høyanger",61.134406,6.273146
2331713,"Nessadalsvegen 6, Høyanger",61.136094,6.275787
2331714,"Nessadalsvegen 10, Høyanger",61.13588,6.274505
2331715,"Nessadalsvegen 8, Høyanger",61.135912,6.275655
2331716,"Nessadalsvegen 12, Høyanger",61.136903,6.277167
2331717,"Lånefjorden 31, Høyanger",61.177098,6.197291
2331718,"Lånefjorden 33, Høyanger",61.175006,6.193459
2331719,"Koldingsnes 8, Høyanger",61.162479,6.185014
2331720,"Koldingsnes 6, Høyanger",61.162561,6.185063
2331721,"Koldingsnes 2, Høyanger",61.166971,6.188073
2331722,"Lånefjorden 35, Høyanger",61.181581,6.205136
2331723,"Lånefjorden 9, Høyanger",61.189548,6.229947
2331724,"Kvist 7, Høyanger",61.161863,6.220382
2331725,"Kvist 3, Høyanger",61.158321,6.22683
2331726,"Ytre Nesse 7, Høyanger",61.137665,6.271732
2331727,"Ytre Nesse 9, Høyanger",61.137697,6.271524
2331728,"Gunnargarden 5, Høyanger",61.135012,6.275119
2331729,"Indre Nesse 15, Høyanger",61.138548,6.283454
2331730,"Ytre Nesse 15, Høyanger",61.137281,6.266934
2331731,"Ytre Nesse 17, Høyanger",61.137545,6.26535
2331732,"Kvist 1, Høyanger",61.158393,6.226433
2331733,"Kvist 5, Høyanger",61.159601,6.22311
2331734,"Lånefjorden 13, Høyanger",61.188399,6.222994
2331735,"Lånefjorden 15, Høyanger",61.188684,6.221983
2331736,"Lånefjorden 17, Høyanger",61.188411,6.220536
2331737,"Lånefjorden 3, Høyanger",61.188729,6.229014
2331738,"Lånefjorden 11, Høyanger",61.191741,6.236176
2331739,"Lånefjorden 20, Høyanger",61.173741,6.193943
2331740,"Lånefjorden 19, Høyanger",61.185216,6.209317
2331741,"Lånefjorden 23, Høyanger",61.18297,6.20799
2331742,"Lånefjorden 25, Høyanger",61.181726,6.205588
2331743,"Indre Nesse 13, Høyanger",61.134855,6.283865
2331744,"Indre Nesse 4, Høyanger",61.134609,6.281916
2331745,"Indre Nesse 6, Høyanger",61.133602,6.27381
