,Navn,Long,Lat
55604,"25/62, Ranheim og Charlottenlund",63.414101,10.560244
1474061,"Markaplassen 367, Ranheim og Charlottenlund",63.415339,10.527799
1474062,"Markaplassen 365, Ranheim og Charlottenlund",63.415563,10.527871
1474063,"Markaplassen 371, Ranheim og Charlottenlund",63.415263,10.528156
1474064,"Markaplassen 369, Ranheim og Charlottenlund",63.415301,10.527977
1474065,"Markaplassen 351, Ranheim og Charlottenlund",63.415673,10.529664
1494507,"Einmoen 9, Ranheim og Charlottenlund",63.419553,10.554129
1494508,"Einmoen 7, Ranheim og Charlottenlund",63.419379,10.55442
1494521,"Einmoen 5, Ranheim og Charlottenlund",63.419134,10.554627
1494522,"Einmoen 1A, Ranheim og Charlottenlund",63.419196,10.555592
1495595,"Fjordgløttvegen 25, Ranheim og Charlottenlund",63.419787,10.554041
1495596,"Fjordgløttvegen 23, Ranheim og Charlottenlund",63.419752,10.553138
1495598,"Fjordgløttvegen 25B, Ranheim og Charlottenlund",63.419653,10.554795
1495603,"Fjordgløttvegen 18B, Ranheim og Charlottenlund",63.420175,10.550576
1495604,"Fjordgløttvegen 18A, Ranheim og Charlottenlund",63.420134,10.551035
1495605,"Fjordgløttvegen 19B, Ranheim og Charlottenlund",63.419605,10.551747
1495606,"Fjordgløttvegen 19, Ranheim og Charlottenlund",63.419812,10.551718
1495607,"Fjordgløttvegen 21A, Ranheim og Charlottenlund",63.419833,10.552261
1495608,"Fjordgløttvegen 20, Ranheim og Charlottenlund",63.420083,10.551573
1495609,"Fjordgløttvegen 22, Ranheim og Charlottenlund",63.420183,10.55232
1495610,"Fjordgløttvegen 21B, Ranheim og Charlottenlund",63.419831,10.552501
1495611,"Fjordgløttvegen 13A, Ranheim og Charlottenlund",63.419918,10.550202
1495612,"Fjordgløttvegen 13, Ranheim og Charlottenlund",63.419938,10.550042
1495613,"Fjordgløttvegen 14A, Ranheim og Charlottenlund",63.420411,10.550308
1495614,"Fjordgløttvegen 13B, Ranheim og Charlottenlund",63.419657,10.550288
1495615,"Fjordgløttvegen 15, Ranheim og Charlottenlund",63.419815,10.550657
1495616,"Fjordgløttvegen 14B, Ranheim og Charlottenlund",63.420305,10.550142
1495617,"Fjordgløttvegen 17B, Ranheim og Charlottenlund",63.419861,10.55134
1495618,"Fjordgløttvegen 17, Ranheim og Charlottenlund",63.419647,10.551189
1495619,"Fjordgløttvegen 10, Ranheim og Charlottenlund",63.420453,10.548888
1495620,"Fjordgløttvegen 9A, Ranheim og Charlottenlund",63.420067,10.548927
1495621,"Fjordgløttvegen 11A, Ranheim og Charlottenlund",63.419759,10.549211
1495622,"Fjordgløttvegen 11, Ranheim og Charlottenlund",63.419997,10.549525
1495623,"Fjordgløttvegen 11C, Ranheim og Charlottenlund",63.419965,10.548361
1495624,"Fjordgløttvegen 11B, Ranheim og Charlottenlund",63.419779,10.548992
1495625,"Fjordgløttvegen 12A, Ranheim og Charlottenlund",63.420393,10.549466
1495626,"Fjordgløttvegen 12, Ranheim og Charlottenlund",63.420422,10.549287
1495627,"Fjordgløttvegen 3A, Ranheim og Charlottenlund",63.420211,10.547192
1495628,"Fjordgløttvegen 3, Ranheim og Charlottenlund",63.420195,10.547031
1495629,"Fjordgløttvegen 6, Ranheim og Charlottenlund",63.420546,10.547811
1495630,"Fjordgløttvegen 4, Ranheim og Charlottenlund",63.420596,10.547313
1495631,"Fjordgløttvegen 7A, Ranheim og Charlottenlund",63.420145,10.548371
1495632,"Fjordgløttvegen 7, Ranheim og Charlottenlund",63.420164,10.548231
1495633,"Fjordgløttvegen 9, Ranheim og Charlottenlund",63.420086,10.548828
1495634,"Fjordgløttvegen 8, Ranheim og Charlottenlund",63.420495,10.548329
1495639,"Fjordgløttvegen 1, Ranheim og Charlottenlund",63.420202,10.54641
1495641,"Fjordgløttvegen 2, Ranheim og Charlottenlund",63.420567,10.54667
1495642,"Fjordgløttvegen 1A, Ranheim og Charlottenlund",63.420209,10.546531
1495724,"Fykenvegen 23, Ranheim og Charlottenlund",63.419496,10.560937
1495725,"Fykenvegen 22A, Ranheim og Charlottenlund",63.420348,10.557852
1495726,"Fykenvegen 27, Ranheim og Charlottenlund",63.420382,10.560344
1495727,"Fykenvegen 25A, Ranheim og Charlottenlund",63.420011,10.560665
1495728,"Fykenvegen 40, Ranheim og Charlottenlund",63.420814,10.559446
1495729,"Fykenvegen 29A, Ranheim og Charlottenlund",63.420477,10.56069
1495731,"Fykenvegen 33, Ranheim og Charlottenlund",63.420421,10.561769
1495732,"Fykenvegen 14, Ranheim og Charlottenlund",63.420238,10.557111
1495733,"Fykenvegen 13, Ranheim og Charlottenlund",63.41989,10.559436
1495734,"Fykenvegen 17, Ranheim og Charlottenlund",63.420309,10.559475
1495735,"Fykenvegen 16, Ranheim og Charlottenlund",63.420671,10.556974
1495736,"Fykenvegen 19A, Ranheim og Charlottenlund",63.42001,10.560044
1495737,"Fykenvegen 18, Ranheim og Charlottenlund",63.420728,10.557518
1495738,"Fykenvegen 20, Ranheim og Charlottenlund",63.420548,10.557508
1495739,"Fykenvegen 19B, Ranheim og Charlottenlund",63.419988,10.559864
1495740,"Fykenvegen 4, Ranheim og Charlottenlund",63.420232,10.555187
1495741,"Fykenvegen 2, Ranheim og Charlottenlund",63.4201,10.555761
1495742,"Fykenvegen 8, Ranheim og Charlottenlund",63.420543,10.555505
1495743,"Fykenvegen 6, Ranheim og Charlottenlund",63.420356,10.554533
1495744,"Fykenvegen 10, Ranheim og Charlottenlund",63.420545,10.556106
1495745,"Fykenvegen 9, Ranheim og Charlottenlund",63.420122,10.558748
1495746,"Fykenvegen 12, Ranheim og Charlottenlund",63.420183,10.556387
1495747,"Fykenvegen 11, Ranheim og Charlottenlund",63.419814,10.558931
1495754,"Fykenvegen 1, Ranheim og Charlottenlund",63.419781,10.556205
1497614,"Markaplassen 383, Ranheim og Charlottenlund",63.415192,10.529774
1497615,"Markaplassen 381, Ranheim og Charlottenlund",63.415189,10.529253
1497616,"Markaplassen 387, Ranheim og Charlottenlund",63.415323,10.530142
1497617,"Markaplassen 385, Ranheim og Charlottenlund",63.415171,10.530074
1497618,"Markaplassen 391, Ranheim og Charlottenlund",63.415421,10.530227
1497619,"Markaplassen 389, Ranheim og Charlottenlund",63.415376,10.530185
1497620,"Markaplassen 375, Ranheim og Charlottenlund",63.415222,10.528634
1497621,"Markaplassen 373, Ranheim og Charlottenlund",63.415225,10.528434
1497622,"Markaplassen 379, Ranheim og Charlottenlund",63.4152,10.529074
