,Navn,Long,Lat
1492939,"Brøsetvegen 168, Strinda",63.411697,10.444666
1492945,"Brøsetvegen 156, Strinda",63.413764,10.44529
1492947,"Brøsetvegen 158, Strinda",63.413413,10.445473
1492950,"Brøsetvegen 143, Strinda",63.416244,10.445976
1492951,"Brøsetvegen 139B, Strinda",63.416613,10.445835
1492952,"Brøsetvegen 150A, Strinda",63.414394,10.446063
1492955,"Brøsetvegen 150B, Strinda",63.414461,10.446567
1492956,"Brøsetvegen 152A, Strinda",63.414165,10.445631
1492957,"Brøsetvegen 152, Strinda",63.414263,10.445696
1492964,"Brøsetvegen 139A, Strinda",63.41652,10.44617
1497844,"Henrik Ourens veg 66, Strinda",63.414713,10.448223
1497845,"Henrik Ourens veg 64, Strinda",63.414754,10.448645
1497852,"Henrik Ourens veg 13, Strinda",63.416782,10.454858
1497853,"Henrik Ourens veg 11, Strinda",63.417035,10.455572
1497854,"Henrik Ourens veg 17, Strinda",63.416763,10.454115
1497855,"Henrik Ourens veg 15, Strinda",63.416759,10.454496
1497856,"Henrik Ourens veg 21, Strinda",63.416327,10.453693
1497857,"Henrik Ourens veg 19, Strinda",63.416488,10.453761
1497858,"Henrik Ourens veg 62, Strinda",63.414464,10.448851
1497859,"Henrik Ourens veg 60, Strinda",63.414601,10.448658
1497862,"Henrik Ourens veg 1, Strinda",63.417773,10.45627
1497864,"Henrik Ourens veg 5, Strinda",63.417442,10.456153
1497865,"Henrik Ourens veg 3, Strinda",63.417603,10.456241
1497866,"Henrik Ourens veg 9, Strinda",63.417159,10.455798
1497867,"Henrik Ourens veg 7, Strinda",63.4173,10.456026
1500933,"Kirkvollen 15, Strinda",63.413863,10.447118
1500934,"Kirkvollen 13, Strinda",63.41375,10.446712
1500935,"Kirkvollen 8, Strinda",63.413116,10.44644
1500936,"Kirkvollen 3, Strinda",63.412889,10.44751
1500937,"Kirkvollen 10B, Strinda",63.413414,10.446214
1500938,"Kirkvollen 8B, Strinda",63.413,10.446314
1500939,"Kirkvollen 12, Strinda",63.413757,10.446031
1500940,"Kirkvollen 10C, Strinda",63.413562,10.445845
1501042,"Kirkvollen 19B, Strinda",63.414122,10.44629
1501043,"Kirkvollen 19, Strinda",63.414057,10.446527
1508282,"Ole A. Wolds veg 8, Strinda",63.41726,10.454701
1508293,"Ole A. Wolds veg 2, Strinda",63.417746,10.454506
1508295,"Ole A. Wolds veg 6, Strinda",63.417422,10.45459
1508296,"Ole A. Wolds veg 4, Strinda",63.417576,10.454497
1516326,"Teglverkstunet 8C, Strinda",63.415722,10.451459
1516327,"Teglverkstunet 5B, Strinda",63.415212,10.450331
1516328,"Teglverkstunet 5A, Strinda",63.415218,10.450712
1516329,"Teglverkstunet 6A, Strinda",63.416178,10.449859
1516330,"Teglverkstunet 5C, Strinda",63.415163,10.449928
1516331,"Teglverkstunet 6C, Strinda",63.416197,10.450621
1516332,"Teglverkstunet 6B, Strinda",63.416201,10.450241
1516333,"Teglverkstunet 8B, Strinda",63.415551,10.45147
1516334,"Teglverkstunet 8A, Strinda",63.415382,10.451361
1516335,"Teglverkstunet 2B, Strinda",63.4156,10.448428
1516336,"Teglverkstunet 2A, Strinda",63.415421,10.448379
1516337,"Teglverkstunet 3B, Strinda",63.415714,10.450417
1516338,"Teglverkstunet 3A, Strinda",63.415543,10.450528
1516339,"Teglverkstunet 4A, Strinda",63.415857,10.448741
1516340,"Teglverkstunet 3C, Strinda",63.415885,10.450405
1516341,"Teglverkstunet 4C, Strinda",63.416085,10.449313
1516342,"Teglverkstunet 4B, Strinda",63.415989,10.448988
1516343,"Teglverket 90, Strinda",63.415981,10.447145
1516344,"Teglverket 88, Strinda",63.41607,10.447209
1516345,"Teglverket 94, Strinda",63.415802,10.447036
1516346,"Teglverket 92, Strinda",63.415892,10.44708
1516347,"Teglverkstunet 1A, Strinda",63.41539,10.449619
1516348,"Teglverket 96, Strinda",63.415722,10.446972
1516349,"Teglverkstunet 1C, Strinda",63.415733,10.449496
1516350,"Teglverkstunet 1B, Strinda",63.415571,10.449488
1516351,"Teglverket 74, Strinda",63.415883,10.447961
1516352,"Teglverket 72, Strinda",63.415972,10.448026
1516353,"Teglverket 78, Strinda",63.416279,10.447881
1516354,"Teglverket 76, Strinda",63.416259,10.44808
1516355,"Teglverket 82, Strinda",63.416336,10.447523
1516356,"Teglverket 80, Strinda",63.416316,10.447703
1516357,"Teglverket 86, Strinda",63.41614,10.447207
1516358,"Teglverket 84, Strinda",63.416374,10.447325
1516359,"Teglverket 58, Strinda",63.416438,10.448049
1516360,"Teglverket 56, Strinda",63.416476,10.447871
1516361,"Teglverket 62, Strinda",63.416352,10.448606
1516362,"Teglverket 60, Strinda",63.416401,10.448228
1516363,"Teglverket 66, Strinda",63.416192,10.448417
1516364,"Teglverket 64, Strinda",63.416272,10.448522
1516365,"Teglverket 70, Strinda",63.416033,10.448189
1516366,"Teglverket 68, Strinda",63.416112,10.448373
1516367,"Teglverket 42, Strinda",63.416695,10.448463
1516368,"Teglverket 40, Strinda",63.416666,10.448642
1516369,"Teglverket 46, Strinda",63.41677,10.448106
1516370,"Teglverket 44, Strinda",63.416733,10.448264
1516371,"Teglverket 50, Strinda",63.416863,10.44775
1516372,"Teglverket 48, Strinda",63.416817,10.447948
1516373,"Teglverket 54, Strinda",63.416523,10.447673
1516374,"Teglverket 52, Strinda",63.416534,10.447473
