,Navn,Long,Lat
31852,"280/2, Byneset og Leinstrand",63.399838,10.154587
37780,"260/55, Byneset og Leinstrand",63.424292,10.127056
37781,"260/98, Byneset og Leinstrand",63.42429,10.126618
55980,"265/1, Byneset og Leinstrand",63.435813,10.186764
56035,"259/17, Byneset og Leinstrand",63.42083,10.144473
1497629,"Martin Haugens veg 23, Byneset og Leinstrand",63.432377,10.184133
1497630,"Martin Haugens veg 19, Byneset og Leinstrand",63.432557,10.18406
1497631,"Martin Haugens veg 26, Byneset og Leinstrand",63.431863,10.184392
1497632,"Martin Haugens veg 24, Byneset og Leinstrand",63.432086,10.184582
1497633,"Martin Haugens veg 5, Byneset og Leinstrand",63.433597,10.185305
1497634,"Martin Haugens veg 3, Byneset og Leinstrand",63.433488,10.184419
1497635,"Martin Haugens veg 9, Byneset og Leinstrand",63.433324,10.184713
1497636,"Martin Haugens veg 7, Byneset og Leinstrand",63.43339,10.185317
1497637,"Martin Haugens veg 13, Byneset og Leinstrand",63.433121,10.184183
1497638,"Martin Haugens veg 11, Byneset og Leinstrand",63.433028,10.184681
1500671,"Klefstadhaugen 24A, Byneset og Leinstrand",63.432338,10.179914
1500678,"Klefstadhaugen 12, Byneset og Leinstrand",63.43283,10.181446
1500679,"Klefstadhaugen 10, Byneset og Leinstrand",63.432934,10.181891
1500680,"Klefstadhaugen 16A, Byneset og Leinstrand",63.432537,10.182135
1500681,"Klefstadhaugen 14, Byneset og Leinstrand",63.432821,10.182468
1500682,"Klefstadhaugen 18, Byneset og Leinstrand",63.432292,10.181343
1500683,"Klefstadhaugen 16B, Byneset og Leinstrand",63.432568,10.181655
1500684,"Klefstadhaugen 22, Byneset og Leinstrand",63.432181,10.180657
1500685,"Klefstadhaugen 20, Byneset og Leinstrand",63.432639,10.180656
1500690,"Klefstadhaugen 4, Byneset og Leinstrand",63.433101,10.183381
1500691,"Klefstadhaugen 2, Byneset og Leinstrand",63.433393,10.183934
1500692,"Klefstadhaugen 8, Byneset og Leinstrand",63.433029,10.182316
1500693,"Klefstadhaugen 6, Byneset og Leinstrand",63.433151,10.182842
1502859,"Langåsmyra 2, Byneset og Leinstrand",63.435211,10.188699
1502916,"Langåsmyra 7, Byneset og Leinstrand",63.434343,10.188423
1502917,"Langåsmyra 17C, Byneset og Leinstrand",63.433768,10.187337
1502918,"Langåsmyra 11, Byneset og Leinstrand",63.434072,10.18757
1502919,"Langåsmyra 19, Byneset og Leinstrand",63.433755,10.186795
1502920,"Langåsmyra 18, Byneset og Leinstrand",63.434481,10.190112
1502921,"Langåsmyra 26, Byneset og Leinstrand",63.434082,10.188452
1502922,"Langåsmyra 22, Byneset og Leinstrand",63.434433,10.189449
1504441,"Martin Haugens veg 17, Byneset og Leinstrand",63.432824,10.184332
1504442,"Martin Haugens veg 15, Byneset og Leinstrand",63.432853,10.184032
1504449,"Martin Haugens veg 1, Byneset og Leinstrand",63.4337,10.184789
1511862,"Sagberget 4, Byneset og Leinstrand",63.435226,10.185834
1511863,"Sagberget 2, Byneset og Leinstrand",63.434421,10.18546
1520649,"Langåsmyra 3, Byneset og Leinstrand",63.434928,10.188247
1521213,"Stubbvegen 14, Byneset og Leinstrand",63.421436,10.141231
1521215,"Stubbvegen 12, Byneset og Leinstrand",63.421464,10.141951
1521216,"Stubbvegen 15, Byneset og Leinstrand",63.421926,10.141469
1521218,"Stubbvegen 16, Byneset og Leinstrand",63.421604,10.141296
1521221,"Stubbvegen 17, Byneset og Leinstrand",63.422059,10.140579
1521235,"Stubbvegen 4, Byneset og Leinstrand",63.421164,10.143522
1521239,"Stubbvegen 10, Byneset og Leinstrand",63.421351,10.141618
1521241,"Stubbvegen 8, Byneset og Leinstrand",63.421273,10.142324
1522168,"Martin Haugens veg 28, Byneset og Leinstrand",63.431605,10.184141
1522382,"Heggsnipvegen 3, Byneset og Leinstrand",63.421555,10.146302
1522460,"Heggsnipvegen 7, Byneset og Leinstrand",63.4222,10.146428
1522461,"Heggsnipvegen 5, Byneset og Leinstrand",63.421905,10.146316
1522462,"Heggsnipvegen 11, Byneset og Leinstrand",63.4227,10.145667
1522463,"Heggsnipvegen 9, Byneset og Leinstrand",63.422639,10.146546
1522464,"Heggsnipvegen 6, Byneset og Leinstrand",63.421828,10.145726
1522465,"Heggsnipvegen 4, Byneset og Leinstrand",63.421443,10.145677
1522466,"Sofustrøa 9, Byneset og Leinstrand",63.422054,10.136686
1522467,"Sofustrøa 12, Byneset og Leinstrand",63.421964,10.13558
1522469,"Nedre Sofustrøa 16, Byneset og Leinstrand",63.421658,10.139034
1522474,"Nedre Sofustrøa 10, Byneset og Leinstrand",63.422105,10.13819
1522475,"Nedre Sofustrøa 8, Byneset og Leinstrand",63.422083,10.137488
1522476,"Nedre Sofustrøa 14, Byneset og Leinstrand",63.421609,10.138371
1522477,"Nedre Sofustrøa 7, Byneset og Leinstrand",63.421468,10.139187
1522478,"Nedre Sofustrøa 18, Byneset og Leinstrand",63.421788,10.139809
1522479,"Nedre Sofustrøa 1, Byneset og Leinstrand",63.42113,10.137963
1522480,"Nedre Sofustrøa 3, Byneset og Leinstrand",63.421313,10.138067
1522481,"Sofustrøa 16, Byneset og Leinstrand",63.421977,10.136182
1522482,"Sofustrøa 14, Byneset og Leinstrand",63.421712,10.13567
1522483,"Sofustrøa 5, Byneset og Leinstrand",63.421766,10.136794
1522484,"Sofustrøa 7, Byneset og Leinstrand",63.421679,10.13643
1522485,"Sofustrøa 1, Byneset og Leinstrand",63.421162,10.137111
1522486,"Sofustrøa 3, Byneset og Leinstrand",63.421412,10.137201
1522487,"Nedre Sofustrøa 6, Byneset og Leinstrand",63.421752,10.137375
1522488,"Nedre Sofustrøa 2, Byneset og Leinstrand",63.421248,10.137535
1522489,"Øvre Sofustrøa 4, Byneset og Leinstrand",63.420567,10.135104
1522491,"Øvre Sofustrøa 1, Byneset og Leinstrand",63.420927,10.136196
1522492,"Øvre Sofustrøa 6, Byneset og Leinstrand",63.420732,10.135852
1522493,"Sofustrøa 4, Byneset og Leinstrand",63.421131,10.136509
1522494,"Sofustrøa 2, Byneset og Leinstrand",63.420912,10.136909
1522495,"Sofustrøa 8, Byneset og Leinstrand",63.421457,10.135592
1522496,"Sofustrøa 6, Byneset og Leinstrand",63.421331,10.136156
1523030,"Heggsnipvegen 8, Byneset og Leinstrand",63.42216,10.145866
1523286,"Vorsetlia 14, Byneset og Leinstrand",63.413483,10.152642
1523287,"Vorsetlia 16, Byneset og Leinstrand",63.41378,10.152121
1523288,"Vorsetlia 10, Byneset og Leinstrand",63.413022,10.152691
1523289,"Vorsetlia 12, Byneset og Leinstrand",63.41316,10.152741
1523290,"Vorsetlia 22, Byneset og Leinstrand",63.414449,10.151256
1523291,"Vorsetlia 24, Byneset og Leinstrand",63.41493,10.150905
1523292,"Vorsetlia 18, Byneset og Leinstrand",63.413844,10.151943
1523293,"Vorsetlia 20, Byneset og Leinstrand",63.414134,10.151594
1523294,"Vorsetlia 11, Byneset og Leinstrand",63.41352,10.153172
1523295,"Vorsetlia 13, Byneset og Leinstrand",63.413783,10.152882
1523296,"Vorsetlia 7, Byneset og Leinstrand",63.412737,10.153461
1523297,"Vorsetlia 9, Byneset og Leinstrand",63.41298,10.15337
1523298,"Vorsetlia 6, Byneset og Leinstrand",63.412531,10.15302
1523299,"Vorsetlia 8, Byneset og Leinstrand",63.41284,10.152884
1523300,"Vorsetlia 2, Byneset og Leinstrand",63.411891,10.153767
1523301,"Vorsetlia 4, Byneset og Leinstrand",63.412183,10.153178
1523306,"Vorsetlia 3, Byneset og Leinstrand",63.4123,10.154184
1523307,"Vorsetlia 5, Byneset og Leinstrand",63.412475,10.15363
1523309,"Vorsetlia 1, Byneset og Leinstrand",63.412094,10.154176
1523454,"Hauglia 23, Byneset og Leinstrand",63.403416,10.07212
1523456,"Hangerslettvegen 500, Byneset og Leinstrand",63.403591,10.072707
1523458,"Hauglia 19, Byneset og Leinstrand",63.403017,10.071545
1523460,"Hauglia 21, Byneset og Leinstrand",63.403231,10.071733
1523470,"Hauglia 7A, Byneset og Leinstrand",63.402377,10.0706
1523472,"Hauglia 9, Byneset og Leinstrand",63.402363,10.07138
1523474,"Hauglia 3, Byneset og Leinstrand",63.401956,10.070564
1523476,"Hauglia 5, Byneset og Leinstrand",63.401673,10.070033
1523478,"Hauglia 15, Byneset og Leinstrand",63.403217,10.072413
1523480,"Hauglia 17, Byneset og Leinstrand",63.402787,10.071075
1523482,"Hauglia 11A, Byneset og Leinstrand",63.402625,10.071864
1523484,"Hauglia 13, Byneset og Leinstrand",63.402958,10.072123
1523496,"Hauglia 1, Byneset og Leinstrand",63.402158,10.071172
1523785,"Flakkhaugen 3, Byneset og Leinstrand",63.448596,10.18741
1523787,"Flakkhaugen 2, Byneset og Leinstrand",63.44863,10.187672
1524085,"Flakkhaugen 1, Byneset og Leinstrand",63.448681,10.187975
1524089,"Flakkhaugen 4, Byneset og Leinstrand",63.448618,10.186909
1524468,"Sofustrøa 10, Byneset og Leinstrand",63.421547,10.134963
1524858,"Buktabakkan 50, Byneset og Leinstrand",63.422612,10.142117
1525373,"Øvre Sofustrøa 5, Byneset og Leinstrand",63.421176,10.135329
1525381,"Grønnbakken 24, Byneset og Leinstrand",63.442796,10.194046
1525382,"Langåsmyra 9, Byneset og Leinstrand",63.434202,10.188157
1525387,"Grønnbakken 12, Byneset og Leinstrand",63.443919,10.194975
1525388,"Grønnbakken 14, Byneset og Leinstrand",63.44376,10.194728
1525389,"Grønnbakken 8, Byneset og Leinstrand",63.444508,10.196524
1525390,"Grønnbakken 10, Byneset og Leinstrand",63.444079,10.195263
1525391,"Grønnbakken 20, Byneset og Leinstrand",63.443231,10.194706
1525392,"Grønnbakken 22, Byneset og Leinstrand",63.443047,10.194057
1525393,"Grønnbakken 16, Byneset og Leinstrand",63.443582,10.19452
1525394,"Grønnbakken 18, Byneset og Leinstrand",63.443441,10.194274
1525399,"Grønnbakken 4, Byneset og Leinstrand",63.444771,10.197256
1525400,"Grønnbakken 6, Byneset og Leinstrand",63.444639,10.19691
1525402,"Grønnbakken 2, Byneset og Leinstrand",63.444839,10.19766
1525482,"Buktabakkan 53, Byneset og Leinstrand",63.422831,10.141401
1528329,"Grønnbakken 3, Byneset og Leinstrand",63.44514,10.197111
1528330,"Grønnbakken 19, Byneset og Leinstrand",63.443117,10.193198
1528331,"Grønnbakken 21, Byneset og Leinstrand",63.442939,10.19311
1528332,"Grønnbakken 5, Byneset og Leinstrand",63.444902,10.1966
1528333,"Grønnbakken 7, Byneset og Leinstrand",63.444689,10.196291
1528474,"Stubbvegen 21, Byneset og Leinstrand",63.422327,10.139601
1528841,"Heggsnipvegen 9B, Byneset og Leinstrand",63.422826,10.146734
1530235,"Bjøra 25, Byneset og Leinstrand",63.421517,10.126287
1530236,"Bjøra 2A, Byneset og Leinstrand",63.423875,10.127538
1530240,"Bjøra 28, Byneset og Leinstrand",63.421493,10.128169
1530241,"Bjøra 30, Byneset og Leinstrand",63.42126,10.12806
1530242,"Bjøra 24, Byneset og Leinstrand",63.42198,10.127848
1530243,"Bjøra 26, Byneset og Leinstrand",63.421672,10.128176
1530244,"Bjøra 21, Byneset og Leinstrand",63.42161,10.126972
1530245,"Bjøra 23, Byneset og Leinstrand",63.421812,10.126439
1530246,"Bjøra 32, Byneset og Leinstrand",63.420862,10.128445
1530247,"Bjøra 19, Byneset og Leinstrand",63.421987,10.126986
1530248,"Bjøra 12, Byneset og Leinstrand",63.422354,10.128183
1530249,"Bjøra 14, Byneset og Leinstrand",63.42282,10.128361
1530250,"Bjøra 8, Byneset og Leinstrand",63.423087,10.12749
1530251,"Bjøra 10, Byneset og Leinstrand",63.423098,10.128332
1530252,"Bjøra 20, Byneset og Leinstrand",63.422631,10.127252
1530253,"Bjøra 22, Byneset og Leinstrand",63.422386,10.127623
1530254,"Bjøra 16, Byneset og Leinstrand",63.422939,10.127985
1530255,"Bjøra 18, Byneset og Leinstrand",63.422592,10.128168
1530259,"Bjøra 4, Byneset og Leinstrand",63.42359,10.12745
1530260,"Bjøra 6, Byneset og Leinstrand",63.423231,10.127456
1530549,"Langørjan 59, Byneset og Leinstrand",63.419479,10.135342
1530550,"Langørjan 107, Byneset og Leinstrand",63.41645,10.129906
1530551,"Langørjan 18, Byneset og Leinstrand",63.420268,10.144468
1530552,"Langørjan 69, Byneset og Leinstrand",63.418564,10.130738
1530553,"Vorsetvegen 3, Byneset og Leinstrand",63.419675,10.144634
1530555,"Langørjan 44, Byneset og Leinstrand",63.419232,10.139398
1530556,"Langørjan 153, Byneset og Leinstrand",63.416199,10.12103
