,Navn,Long,Lat
678,"153/10, Sør-Stjørna",63.729107,10.140131
679,"155/4, Sør-Stjørna",63.719829,10.149105
680,"154/71, Sør-Stjørna",63.736884,10.219201
681,"154/64, Sør-Stjørna",63.726824,10.175478
687,"160/7, Sør-Stjørna",63.763268,10.163948
690,"157/32, Sør-Stjørna",63.735458,10.210812
705,"154/1/1, Sør-Stjørna",63.724738,10.144879
709,"154/106, Sør-Stjørna",63.723673,10.152432
719,"107/2/1, Rissa",63.682037,10.094554
730,"157/37, Sør-Stjørna",63.735535,10.20958
731,"154/73, Sør-Stjørna",63.73732,10.220757
745,"159/52, Sør-Stjørna",63.806618,10.242115
29393,"Furulia, 154/80, Sør-Stjørna",63.715507,10.153902
29395,"154/105, Sør-Stjørna",63.724028,10.15666
29399,"Lakrilla, 157/3/4, Sør-Stjørna",63.74128,10.190541
29401,"159/37, Sør-Stjørna",63.793742,10.300647
29402,"159/25, Sør-Stjørna",63.793171,10.291394
31928,"153/15, Sør-Stjørna",63.720356,10.153247
33566,"157/38, Sør-Stjørna",63.736927,10.217211
34438,"159/51, Sør-Stjørna",63.776923,10.222972
36086,"159/9, Sør-Stjørna",63.792737,10.296005
36093,"154/9, Sør-Stjørna",63.7326,10.203105
36095,"154/2, Sør-Stjørna",63.713975,10.157762
36096,"155/1, Sør-Stjørna",63.728211,10.167525
36113,"152/1, Sør-Stjørna",63.701844,10.120804
122443,"Råkvågveien 57, Sør-Stjørna",63.754292,10.123324
122444,"Råkvågveien 55, Sør-Stjørna",63.7544,10.124362
122445,"Råkvågveien 63, Sør-Stjørna",63.752946,10.122925
122447,"Råkvågveien 61, Sør-Stjørna",63.7531,10.123572
122448,"Strandalia 10, Sør-Stjørna",63.755788,10.129441
122450,"Sagliveien 16, Sør-Stjørna",63.756241,10.132384
122451,"Råkvågveien 101, Sør-Stjørna",63.751759,10.114326
122452,"Sørfjordveien 380, Sør-Stjørna",63.759537,10.163592
122453,"Sagliveien 17, Sør-Stjørna",63.755158,10.133088
122454,"Sørfjordveien 170, Sør-Stjørna",63.768144,10.193372
122455,"Sørfjordveien 166, Sør-Stjørna",63.76459,10.194398
122457,"Sørfjordveien 382, Sør-Stjørna",63.761175,10.162363
122458,"Sagliveien 145, Sør-Stjørna",63.759917,10.151674
122459,"Sagliveien 41, Sør-Stjørna",63.754838,10.136095
122460,"Sagliveien 97, Sør-Stjørna",63.758649,10.143344
122461,"Sagliveien 100, Sør-Stjørna",63.758184,10.140912
122462,"Sagliveien 70, Sør-Stjørna",63.758334,10.136621
122463,"Sagliveien 76, Sør-Stjørna",63.757032,10.139001
122464,"Sagliveien 74, Sør-Stjørna",63.756965,10.138431
122465,"Sagliveien 39, Sør-Stjørna",63.755071,10.136084
122466,"Sagliveien 60, Sør-Stjørna",63.756183,10.138501
122467,"Skogaveien 15, Sør-Stjørna",63.758559,10.135649
122468,"Sagliveien 125, Sør-Stjørna",63.759414,10.146476
122469,"Sagliveien 72, Sør-Stjørna",63.757898,10.138448
122470,"Sagliveien 167, Sør-Stjørna",63.761052,10.155485
122471,"Sagliveien 47, Sør-Stjørna",63.754776,10.137889
122472,"Austdalsveien 1724, Sør-Stjørna",63.831071,10.23251
122473,"Austdalsveien 1728, Sør-Stjørna",63.830568,10.234001
122474,"Hogsdalsveien 1330, Sør-Stjørna",63.776716,10.216326
122475,"Rødsjøveien 149, Sør-Stjørna",63.781816,10.242307
122476,"Rødsjøveien 227, Sør-Stjørna",63.787342,10.264982
122477,"Rødsjøveien 257, Sør-Stjørna",63.78795,10.245835
122478,"Rødsjøveien 30, Sør-Stjørna",63.779469,10.229418
122479,"Rødsjøveien 240, Sør-Stjørna",63.786868,10.247324
122480,"Hogsdalsveien 1010, Sør-Stjørna",63.755718,10.232095
122481,"Hogsdalsveien 1024, Sør-Stjørna",63.756319,10.235648
122482,"Sørfjordveien 467, Sør-Stjørna",63.757999,10.150457
122483,"Sørfjordveien 463, Sør-Stjørna",63.758324,10.151521
122484,"Sørfjordveien 465, Sør-Stjørna",63.758218,10.151203
122485,"Sørfjordveien 522, Sør-Stjørna",63.75423,10.145634
122486,"Sørfjordveien 461, Sør-Stjørna",63.758617,10.152711
122487,"Sørfjordveien 472, Sør-Stjørna",63.757287,10.151265
122488,"Sørfjordveien 510, Sør-Stjørna",63.754577,10.146422
122489,"Sørfjordveien 508, Sør-Stjørna",63.755159,10.146706
122490,"Sørfjordveien 480, Sør-Stjørna",63.756821,10.149348
122491,"Sørfjordveien 482, Sør-Stjørna",63.756384,10.15035
122492,"Sørfjordveien 478, Sør-Stjørna",63.75703,10.149943
122493,"Osaveien 131, Sør-Stjørna",63.755503,10.17781
122494,"Sørfjordveien 476, Sør-Stjørna",63.757115,10.150693
122495,"Sørfjordveien 444, Sør-Stjørna",63.758579,10.155484
122496,"Hogsdalsveien 1337, Sør-Stjørna",63.779388,10.224654
122497,"Sagliveien 55, Sør-Stjørna",63.755035,10.139408
122498,"Sørfjordveien 464, Sør-Stjørna",63.757538,10.152312
122499,"Sørfjordveien 497, Sør-Stjørna",63.756293,10.146034
122500,"Sørfjordveien 501, Sør-Stjørna",63.755807,10.143361
122549,"Sagliveien 13, Sør-Stjørna",63.754838,10.131575
122550,"Sagliveien 11, Sør-Stjørna",63.754817,10.131217
122551,"Sagliveien 15, Sør-Stjørna",63.754985,10.132189
122552,"Råkvågveien 65, Sør-Stjørna",63.752819,10.122389
122553,"Råkvågveien 59, Sør-Stjørna",63.753191,10.12403
122554,"Stortrehaugveien 9, Sør-Stjørna",63.741505,10.094352
122555,"Stjørnveien 354, Sør-Stjørna",63.747046,10.109144
122556,"Stjørnveien 268, Sør-Stjørna",63.74378,10.096308
122557,"Litjmoveien 40, Sør-Stjørna",63.750658,10.146712
122558,"Stjørnveien 355, Sør-Stjørna",63.746319,10.110456
122559,"Stjørnveien 271, Sør-Stjørna",63.742646,10.09711
122560,"Stjørnveien 356, Sør-Stjørna",63.747537,10.110601
122561,"Stjørnveien 230, Sør-Stjørna",63.741267,10.089837
122562,"Stjørnveien 315, Sør-Stjørna",63.74509,10.105143
122563,"Stjørnveien 262, Sør-Stjørna",63.743447,10.094446
122564,"Stjørnveien 383, Sør-Stjørna",63.747829,10.115522
122565,"Stjørnveien 363, Sør-Stjørna",63.746957,10.11236
122566,"Bjørnsvika 28, Sør-Stjørna",63.738417,10.08787
122567,"Bjørnsvika 24, Sør-Stjørna",63.73808,10.086135
122568,"Bjørnsvika 22, Sør-Stjørna",63.738057,10.084692
122569,"Bjørnsvika 14, Sør-Stjørna",63.737251,10.081789
122570,"Bjørnsvika 16, Sør-Stjørna",63.737408,10.082362
122571,"Bjørnsvika 20, Sør-Stjørna",63.737897,10.084184
122572,"Stjørnveien 141, Sør-Stjørna",63.736005,10.081454
122573,"Stjørnveien 39, Sør-Stjørna",63.729208,10.072348
122574,"Stjørnveien 17, Sør-Stjørna",63.729513,10.068674
122575,"Fessdalsveien 174, Sør-Stjørna",63.717391,10.079067
122576,"Stjørnveien 15, Sør-Stjørna",63.729367,10.067838
122577,"Fessdalsveien 184, Sør-Stjørna",63.716649,10.077439
122578,"Fessdalsveien 142, Sør-Stjørna",63.719994,10.0754
122579,"Fessdalsveien 204, Sør-Stjørna",63.714813,10.078179
122580,"Fessdalsveien 116, Sør-Stjørna",63.722669,10.075401
122581,"Fessdalsveien 154, Sør-Stjørna",63.719025,10.076578
122582,"Fessdalsveien 249, Sør-Stjørna",63.711707,10.077844
122583,"Selnesveien 981, Sør-Stjørna",63.725264,10.061872
122584,"Stjørnveien 2, Sør-Stjørna",63.729642,10.066023
122585,"Selnesveien 1000, Sør-Stjørna",63.727013,10.062019
122586,"Fessdalsveien 32, Sør-Stjørna",63.726615,10.063745
122587,"Selnesveien 994, Sør-Stjørna",63.72653,10.061816
122588,"Selnesveien 970, Sør-Stjørna",63.72589,10.05983
122589,"Selnesveien 1002, Sør-Stjørna",63.727433,10.062162
122611,"Sørfjordveien 529, Sør-Stjørna",63.754292,10.142546
122612,"Litjmoveien 29, Sør-Stjørna",63.751381,10.146198
122613,"Sørfjordveien 533, Sør-Stjørna",63.753622,10.142993
122614,"Litjmoveien 20, Sør-Stjørna",63.752112,10.145468
122615,"Litjmoveien 22, Sør-Stjørna",63.752006,10.145811
122616,"Litjmoveien 12, Sør-Stjørna",63.753061,10.145205
122617,"Sørfjordveien 514, Sør-Stjørna",63.753216,10.14682
122618,"Sørfjordveien 540, Sør-Stjørna",63.752627,10.142087
122619,"Litjmoveien 4, Sør-Stjørna",63.752896,10.143273
122620,"Austdalsveien 1533, Sør-Stjørna",63.848606,10.221633
122621,"Austdalsveien 1904, Sør-Stjørna",63.819748,10.235579
122622,"Sørfjordveien 572, Sør-Stjørna",63.75205,10.135928
122623,"Stjørnveien 461, Sør-Stjørna",63.750976,10.128421
122624,"Sørfjordveien 568, Sør-Stjørna",63.752191,10.137629
122625,"Stjørnveien 464, Sør-Stjørna",63.751868,10.129905
122626,"Råkvågveien 2, Sør-Stjørna",63.752207,10.131771
122627,"Stjørnveien 466, Sør-Stjørna",63.751902,10.130444
122628,"Stjørnveien 455, Sør-Stjørna",63.751003,10.127788
122629,"Stjørnveien 465, Sør-Stjørna",63.751585,10.130857
122630,"Råkvågveien 5, Sør-Stjørna",63.752885,10.133362
122631,"Litjmoveien 61, Sør-Stjørna",63.748832,10.145201
122632,"Sørfjordveien 574, Sør-Stjørna",63.751936,10.135289
122633,"Sørfjordveien 570, Sør-Stjørna",63.751849,10.136152
122634,"Sørfjordveien 585, Sør-Stjørna",63.752475,10.132919
122635,"Austdalsveien 1722, Sør-Stjørna",63.832369,10.230197
122636,"Sørfjordveien 544, Sør-Stjørna",63.752287,10.140004
