,Navn,Long,Lat
37346,"168/385-17, Ørland",63.699051,9.670108
37347,"168/385-22, Ørland",63.698695,9.670712
37348,"168/385-20, Ørland",63.698859,9.670847
37349,"168/385-21, Ørland",63.698785,9.670777
37350,"168/385-18, Ørland",63.699035,9.670446
37351,"168/385-19, Ørland",63.69896,9.670891
37353,"168/385-16, Ørland",63.698942,9.670072
37354,"168/385-14, Ørland",63.698805,9.670219
37355,"168/385-15, Ørland",63.698911,9.670313
37356,"168/385-13, Ørland",63.69874,9.670176
37358,"168/385-12, Ørland",63.698656,9.670127
37363,"168/385-10, Ørland",63.699146,9.669552
37364,"168/385-11, Ørland",63.699245,9.669687
37365,"168/385-8, Ørland",63.699031,9.669246
37369,"168/385-9, Ørland",63.69909,9.669401
37373,"168/385-6, Ørland",63.699475,9.669495
37374,"168/385-7, Ørland",63.69951,9.669591
37375,"168/385-4, Ørland",63.699387,9.669282
37376,"168/385-5, Ørland",63.699443,9.669396
37377,"168/385-3, Ørland",63.699224,9.669149
37378,"168/385-2, Ørland",63.699191,9.66908
37383,"168/385-23, Ørland",63.698613,9.670626
44431,"168/385-1, Ørland",63.699153,9.669025
44432,"168/385, Ørland",63.699113,9.668865
54626,"168/385-25, Ørland",63.697872,9.672134
54627,"168/385-28, Ørland",63.697967,9.67233
54629,"168/385-24, Ørland",63.697808,9.672013
54630,"168/385-31, Ørland",63.697874,9.672539
54632,"168/385-26, Ørland",63.69793,9.672187
54633,"168/385-29, Ørland",63.697983,9.672389
54634,"168/385-30, Ørland",63.697918,9.672529
54635,"168/385-27, Ørland",63.697951,9.672271
54636,"168/385-32, Ørland",63.697835,9.672641
111234,"Beiveien 64, Ørland",63.651351,9.566639
111311,"Gartveien 89, Ørland",63.652745,9.553538
111850,"Gartveien 96, Ørland",63.65245,9.553657
112015,"Gartveien 97, Ørland",63.652403,9.552282
112078,"Gartveien 115, Ørland",63.651698,9.552116
112367,"Gartveien 87, Ørland",63.652995,9.553803
112410,"Grandveien 569, Ørland",63.659758,9.569955
114602,"Beiveien 60, Ørland",63.651568,9.567354
