,Navn,Long,Lat
34453,"181/227-3, Ørland",63.726422,9.708898
34454,"181/227-2, Ørland",63.726411,9.708775
34457,"181/225, Ørland",63.725711,9.707608
34458,"181/225-1, Ørland",63.725735,9.707877
34460,"181/227-4, Ørland",63.726433,9.709054
34461,"181/228-1, Ørland",63.725905,9.708864
34462,"181/228-2, Ørland",63.725923,9.708971
34463,"181/228-3, Ørland",63.725956,9.709101
34464,"181/228-4, Ørland",63.725969,9.709283
34465,"181/226-4, Ørland",63.72627,9.708135
34466,"181/226-2, Ørland",63.726192,9.707917
34467,"181/226-3, Ørland",63.726224,9.708023
34468,"181/226, Ørland",63.726127,9.707689
34469,"181/226-1, Ørland",63.726157,9.707795
34470,"181/224-2, Ørland",63.725892,9.706946
34471,"181/224-3, Ørland",63.72594,9.70708
34472,"181/224, Ørland",63.725823,9.70663
34473,"181/224-1, Ørland",63.725851,9.706734
34474,"181/228, Ørland",63.725881,9.708783
34475,"181/237, Ørland",63.726653,9.709317
34476,"181/239-3, Ørland",63.726613,9.708474
34477,"181/238, Ørland",63.726634,9.708906
34478,"181/236, Ørland",63.725745,9.705868
34479,"181/235, Ørland",63.725642,9.706207
34480,"181/234, Ørland",63.725491,9.706413
34481,"181/233, Ørland",63.725238,9.706441
34482,"181/10-4, Ørland",63.72514,9.706729
34483,"181/227-1, Ørland",63.726395,9.70864
34484,"181/227, Ørland",63.726384,9.708571
34488,"181/249-12, Ørland",63.725479,9.706899
34489,"181/249-1, Ørland",63.725505,9.707063
34490,"181/249-2, Ørland",63.725536,9.707227
34491,"181/249-3, Ørland",63.725557,9.707433
34492,"181/249-4, Ørland",63.725593,9.707527
34493,"181/248, Ørland",63.72563,9.707779
34496,"181/247-3, Ørland",63.725721,9.708673
34497,"181/10-3, Ørland",63.725051,9.706767
34498,"181/10-2, Ørland",63.725053,9.706974
34499,"181/10-1, Ørland",63.725149,9.707004
34500,"181/10, Ørland",63.725245,9.707007
34501,"181/246, Ørland",63.725752,9.709085
34502,"181/245, Ørland",63.725788,9.709413
34503,"181/244, Ørland",63.725817,9.709853
34504,"181/239-2, Ørland",63.7266,9.70829
34505,"181/239, Ørland",63.726546,9.707968
34506,"181/239-1, Ørland",63.726575,9.708111
34507,"181/241-3, Ørland",63.726339,9.707327
34508,"181/240, Ørland",63.72647,9.707677
34509,"181/241-1, Ørland",63.726252,9.707025
34510,"181/241-2, Ørland",63.726298,9.707162
34511,"181/242, Ørland",63.726103,9.7065
34512,"181/241, Ørland",63.726206,9.706892
34513,"181/243, Ørland",63.726046,9.70621
34516,"181/247, Ørland",63.725639,9.708178
34517,"181/247-1, Ørland",63.725668,9.708274
34518,"181/247-2, Ørland",63.725704,9.708475
98812,"Døsvikveien 21, Ørland",63.733804,9.677438
108967,"Buaasveien 24, Ørland",63.725626,9.68995
109019,"Buaasveien 33, Ørland",63.724509,9.689125
109020,"Fru Ingers vei 570, Ørland",63.736147,9.704217
109021,"Buaasveien 21, Ørland",63.725905,9.688766
109022,"Sørteigveien 39, Ørland",63.729516,9.697801
109023,"Fru Ingers vei 502, Ørland",63.731975,9.690794
109024,"Buaasveien 31, Ørland",63.724754,9.689026
109025,"Gudruns vei 12, Ørland",63.724385,9.687376
109026,"Røstadveien 17, Ørland",63.727443,9.691281
109027,"Sørteigveien 3, Ørland",63.731719,9.692518
109028,"Sørteigveien 13, Ørland",63.731198,9.694601
109029,"Sørteigveien 28, Ørland",63.730861,9.695997
109030,"Sørteigveien 5, Ørland",63.731513,9.692223
109031,"Buaasveien 28, Ørland",63.725206,9.689794
109032,"Innstrandveien 16, Ørland",63.728478,9.685486
109033,"Innstrandveien 52, Ørland",63.730773,9.680577
109034,"Fru Ingers vei 571, Ørland",63.735564,9.705048
109035,"Røstadveien 22, Ørland",63.727865,9.692199
109036,"Røstadveien 13, Ørland",63.727392,9.690471
119094,"Buaasveien 2, Ørland",63.727252,9.689438
119095,"Innstrandveien 48, Ørland",63.730482,9.681362
119096,"Fru Ingers vei 590, Ørland",63.737047,9.707603
119097,"Fru Ingers vei 491, Ørland",63.730164,9.691572
119098,"Sørteigveien 10, Ørland",63.731621,9.694918
119099,"Røstadveien 12, Ørland",63.727689,9.689901
119100,"Buaasveien 61, Ørland",63.7222,9.689888
119101,"Innstrandveien 40, Ørland",63.730091,9.682425
119102,"Buaasveien 39, Ørland",63.723916,9.689215
119103,"Sørteigveien 18, Ørland",63.731593,9.696918
119104,"Buaasveien 38, Ørland",63.72421,9.690426
119105,"Fru Ingers vei 400, Ørland",63.724997,9.681795
119106,"Vestråttveien 56, Ørland",63.710145,9.684697
119107,"Myraveien 172, Ørland",63.71044,9.683592
119108,"Myraveien 171, Ørland",63.710533,9.682174
119109,"Sørteigveien 9, Ørland",63.731242,9.693264
119110,"Innstrandveien 76, Ørland",63.731707,9.67663
119111,"Døsvikveien 11, Ørland",63.732982,9.676168
119112,"Fru Ingers vei 433, Ørland",63.725227,9.686925
119113,"Fru Ingers vei 450, Ørland",63.726891,9.686058
119114,"Fru Ingers vei 429, Ørland",63.725502,9.685141
119115,"Ryggaveien 3, Ørland",63.72485,9.681177
119116,"Myraveien 5, Ørland",63.724675,9.683095
119117,"Røstadveien 3, Ørland",63.726269,9.687861
119118,"Fru Ingers vei 441, Ørland",63.725854,9.685301
119119,"Myraveien 127, Ørland",63.714134,9.685262
119120,"Myraveien 140, Ørland",63.713052,9.684477
119121,"Fru Ingers vei 435, Ørland",63.725765,9.686059
119122,"Myraveien 166, Ørland",63.710908,9.68323
119123,"Vestråttveien 55, Ørland",63.708914,9.686574
119124,"Fru Ingers vei 418, Ørland",63.727852,9.680282
119125,"Myraveien 13, Ørland",63.723828,9.682044
119126,"Fru Ingers vei 443, Ørland",63.725618,9.685487
119127,"Vestråttveien 58, Ørland",63.710085,9.685352
119128,"Ryggaveien 59, Ørland",63.724368,9.669732
119129,"Ballsnesveien 40, Ørland",63.713185,9.691267
119130,"Ryggaveien 86, Ørland",63.722699,9.665329
119131,"Ryggaveien 57, Ørland",63.724074,9.670213
119132,"Myraveien 7, Ørland",63.724614,9.682521
119133,"Myraveien 98, Ørland",63.717148,9.685393
119134,"Fru Ingers vei 451, Ørland",63.726044,9.686742
119135,"Røstadveien 36, Ørland",63.727334,9.694233
119136,"Fru Ingers vei 592, Ørland",63.737224,9.70817
119137,"Jakob T. Hoffs vei 5, Ørland",63.727041,9.691426
119138,"Jakob T. Hoffs vei 7, Ørland",63.726837,9.691741
119139,"Jakob T. Hoffs vei 3, Ørland",63.7269,9.69096
119140,"Fru Ingers vei 598, Ørland",63.737199,9.709229
119141,"Buaasveien 5, Ørland",63.726802,9.689105
119142,"Gudruns vei 4, Ørland",63.724476,9.68863
119143,"Sofus Hansens vei 5, Ørland",63.72487,9.691471
119144,"Buaasveien 34, Ørland",63.724643,9.690123
119145,"Buaasveien 32, Ørland",63.724828,9.689985
119146,"Jakob T. Hoffs vei 11, Ørland",63.727286,9.692002
119147,"Buaasveien 36, Ørland",63.724417,9.69023
119148,"Ingebjørgs vei 6, Ørland",63.726564,9.691897
119149,"Breiteigen 15, Ørland",63.723497,9.687611
119150,"Breiteigen 13, Ørland",63.723686,9.687474
119151,"Breiteigen 11, Ørland",63.723993,9.687036
119152,"Fru Ingers vei 500, Ørland",63.731797,9.690328
119153,"Buaasveien 6, Ørland",63.726615,9.69015
119154,"Innstrandveien 7, Ørland",63.728092,9.68758
119155,"Fru Ingers vei 522, Ørland",63.73351,9.692318
119156,"Fru Ingers vei 473, Ørland",63.728468,9.689791
119157,"Gudruns vei 6, Ørland",63.724453,9.688451
119158,"Fru Ingers vei 600, Ørland",63.737402,9.709577
119159,"Gudruns vei 8, Ørland",63.724445,9.688073
119160,"Innstrandveien 54, Ørland",63.730777,9.680004
119161,"Finn Arnessons vei 7, Ørland",63.724922,9.688174
119162,"Buaasveien 29, Ørland",63.725002,9.689103
119163,"Fru Ingers vei 560, Ørland",63.738262,9.701628
119164,"Fru Ingers vei 580, Ørland",63.737551,9.703052
119165,"Røstadveien 25, Ørland",63.727117,9.692297
119166,"Fru Ingers vei 578, Ørland",63.737333,9.70325
119167,"Ryggaveien 95, Ørland",63.723202,9.662475
119168,"Kløftenveien 20, Ørland",63.734768,9.6698
119169,"Innstrandveien 159, Ørland",63.733555,9.660254
119170,"Innstrandveien 168, Ørland",63.732547,9.660169
119171,"Innstrandveien 94, Ørland",63.732737,9.673335
119172,"Andsteinveien 54, Ørland",63.735822,9.646326
119173,"Andsteinveien 41, Ørland",63.735927,9.649249
119174,"Kløftenveien 30, Ørland",63.735334,9.671123
119175,"Andsteinveien 66, Ørland",63.735747,9.644351
119176,"Andsteinveien 16, Ørland",63.734616,9.653422
119177,"Utstrandveien 253, Ørland",63.728964,9.646009
119178,"Døsvikveien 14, Ørland",63.733719,9.676547
119179,"Andsteinveien 44, Ørland",63.735785,9.648356
119180,"Andsteinveien 50, Ørland",63.735728,9.647198
119181,"Kløftenveien 12, Ørland",63.734217,9.668572
119182,"Kløftenveien 32, Ørland",63.735508,9.671598
119183,"Ørsleieveien 88, Ørland",63.739025,9.666675
119184,"Utstrandveien 231, Ørland",63.727276,9.642532
119186,"Kløftenveien 19, Ørland",63.734284,9.670434
119187,"Utstrandveien 222, Ørland",63.728372,9.640014
119188,"Utstrandveien 248, Ørland",63.729079,9.644819
119189,"Utstrandveien 252, Ørland",63.732013,9.640975
119190,"Ørsleieveien 54, Ørland",63.737602,9.662966
119191,"Innstrandveien 205, Ørland",63.7332,9.654191
119192,"Utstrandveien 201, Ørland",63.727616,9.637022
119194,"Innstrandveien 101, Ørland",63.732874,9.672099
119195,"Kløftenveien 4, Ørland",63.733976,9.667705
119196,"Innstrandveien 88, Ørland",63.732435,9.6745
119197,"Rabben, Innstrandveien 195, Ørland",63.734141,9.649184
119201,"Utstrandveien 198, Ørland",63.727922,9.635217
119204,"Utstrandveien 205, Ørland",63.727424,9.63743
119231,"Ryggaveien 66, Ørland",63.723523,9.668263
119232,"Ryggaveien 76, Ørland",63.723236,9.666623
119233,"Ryggaveien 64, Ørland",63.723513,9.668863
119234,"Fru Ingers vei 338A, Ørland",63.720367,9.675914
