,Navn,Long,Lat
118813,"Melskardveien 30, Ørland",63.668255,9.404255
118815,"Melskardveien 120, Ørland",63.675005,9.394814
118816,"Nordlandsveien 146, Ørland",63.672237,9.422273
118817,"Nordlandsveien 152, Ørland",63.67327,9.422083
118818,"Nordlandsnesset 37, Ørland",63.673084,9.432261
118819,"Melskardveien 201, Ørland",63.679393,9.399331
118820,"Nils Lykkes vei 420, Ørland",63.659091,9.393058
118821,"Melskardveien 85, Ørland",63.672651,9.402375
118822,"Nils Lykkes vei 24, Ørland",63.658706,9.43229
118823,"Melskardveien 91, Ørland",63.673037,9.401374
118824,"Nils Lykkes vei 78, Ørland",63.657592,9.429447
118825,"Vedbergsodden 3, Ørland",63.659909,9.410079
118826,"Nordlandsnesset 10, Ørland",63.673519,9.427029
118827,"Munken 18, Ørland",63.652376,9.430398
118828,"Nordlandsveien 170, Ørland",63.674459,9.422739
118831,"Nils Lykkes vei 400, Ørland",63.660875,9.389767
118832,"Prærien 26, Ørland",63.681311,9.401012
118833,"Skaget 11, Ørland",63.663696,9.38798
118834,"Vedbergsodden 9, Ørland",63.659683,9.409226
118835,"Bertelsvika 9, Ørland",63.672531,9.427074
118836,"Nordlandsveien 85, Ørland",63.669087,9.413149
118837,"Nordlandsveien 254, Ørland",63.679678,9.42365
118838,"Nordlandsveien 325, Ørland",63.68447,9.414571
118839,"Svaveien 30, Ørland",63.655286,9.37262
118840,"Nils Lykkes vei 157, Ørland",63.659191,9.42089
118841,"Nils Lykkes vei 210, Ørland",63.659355,9.41126
118842,"Skaget 74, Ørland",63.662563,9.376971
118843,"Nils Lykkes vei 110, Ørland",63.65683,9.422484
118848,"Steinan 81, Ørland",63.652153,9.391457
118849,"Nils Lykkes vei 300, Ørland",63.663,9.403673
118882,"Nils Lykkes vei 453, Ørland",63.65923,9.382273
118883,"Langtindveien 48, Ørland",63.6639,9.415362
118884,"Melskardveien 164, Ørland",63.67636,9.399117
118885,"Steinan 75, Ørland",63.651169,9.393171
118888,"Nils Lykkes vei 455, Ørland",63.659084,9.381285
118889,"Nils Lykkes vei 151, Ørland",63.66137,9.426699
118890,"Nils Lykkes vei 25, Ørland",63.659197,9.431888
118891,"Nils Lykkes vei 65, Ørland",63.658169,9.427396
118892,"Kilen 19, Ørland",63.660161,9.430804
118893,"Valveien 91, Ørland",63.652376,9.420832
118894,"Langtindveien 16, Ørland",63.661273,9.411741
118895,"Langtindveien 250, Ørland",63.668733,9.429521
118896,"Melskardveien 71, Ørland",63.671926,9.407095
118897,"Kilen 5, Ørland",63.659998,9.433226
118898,"Nils Lykkes vei 451, Ørland",63.659533,9.38197
118899,"Svaveien 20, Ørland",63.655998,9.373694
118900,"Kilen 21, Ørland",63.659885,9.431548
118901,"Melskardveien 82, Ørland",63.671895,9.399113
118902,"Kilen 28, Ørland",63.660784,9.430066
118903,"Kilen 26, Ørland",63.660508,9.429694
118904,"Langtindveien 185, Ørland",63.665924,9.427748
118905,"Skaget 30, Ørland",63.661536,9.384452
118906,"Nils Lykkes vei 177, Ørland",63.659673,9.419006
118907,"Steinan 71, Ørland",63.651128,9.388482
118908,"Nordlandsveien 156, Ørland",63.673237,9.423246
118909,"Nils Lykkes vei 107, Ørland",63.658642,9.424168
118910,"Langtindveien 145, Ørland",63.664573,9.427779
118911,"Nils Lykkes vei 89, Ørland",63.657746,9.426703
118912,"Nils Lykkes vei 87, Ørland",63.657904,9.426991
118913,"Nils Lykkes vei 129, Ørland",63.659888,9.425246
118914,"Nordlandsveien 145, Ørland",63.672034,9.423923
118915,"Vedbergsodden 4, Ørland",63.659742,9.410802
118916,"Skaget 7, Ørland",63.663646,9.38919
118917,"Nils Lykkes vei 231, Ørland",63.660814,9.41031
118918,"Nils Lykkes vei 125, Ørland",63.65963,9.424862
118919,"Langtindveien 2, Ørland",63.660508,9.410573
118920,"Langtindveien 128, Ørland",63.665969,9.423214
118921,"Nordlandsveien 251, Ørland",63.67965,9.424414
118922,"Langtindveien 141, Ørland",63.665079,9.427275
118923,"Nordlandsveien 123, Ørland",63.670643,9.419923
118924,"Skaget 5, Ørland",63.663546,9.38965
118925,"Bertelsvika 16, Ørland",63.671984,9.428115
118926,"Nils Lykkes vei 85, Ørland",63.657637,9.427344
118927,"Nordlandsveien 142, Ørland",63.671952,9.422668
118928,"Nordlandsveien 96, Ørland",63.670917,9.410895
118929,"Nils Lykkes vei 445, Ørland",63.659466,9.383839
118930,"Skaget 40, Ørland",63.662219,9.382544
118931,"Nils Lykkes vei 201, Ørland",63.658844,9.415079
118932,"Nils Lykkes vei 139, Ørland",63.660725,9.425251
118934,"Langtindveien 181, Ørland",63.666013,9.426808
118935,"Langtindveien 184, Ørland",63.666265,9.426249
120157,"Skaget 51, Ørland",63.663296,9.383111
120303,"Nils Lykkes vei 83, Ørland",63.657611,9.428396
120304,"Steinan 90, Ørland",63.65312,9.393152
120312,"Skaget 57, Ørland",63.664471,9.379488
120314,"Valveien 54, Ørland",63.653134,9.427935
120315,"Melskardveien 94, Ørland",63.672365,9.400609
120381,"Skaget 20, Ørland",63.661881,9.386682
120382,"Skaget 38, Ørland",63.661364,9.382336
120383,"Skaget 112, Ørland",63.66214,9.369625
120384,"Melskardveien 92, Ørland",63.67396,9.393981
120386,"Munken 50, Ørland",63.651434,9.441939
120387,"Nordlandsnesset 75, Ørland",63.675122,9.436718
120388,"Nils Lykkes vei 200, Ørland",63.658527,9.413687
120389,"Nordlandsnesset 71, Ørland",63.675173,9.434831
