,Navn,Long,Lat
118844,"Nordomveien 21, Ørland",63.648867,9.329897
118845,"Nordomveien 17, Ørland",63.648441,9.329401
118846,"Kråkvågveien 162, Ørland",63.638218,9.337948
118847,"Kråkvågveien 144, Ørland",63.638277,9.338854
118851,"Storslåttøyveien 130, Ørland",63.659713,9.324816
118852,"Nordomveien 23, Ørland",63.649077,9.329974
118853,"Storslåttøyveien 137, Ørland",63.66005,9.325927
118854,"Nordomveien 73, Ørland",63.647154,9.324237
118855,"Kråkvågveien 167, Ørland",63.638365,9.336333
118856,"Hylla 3, Ørland",63.639288,9.34004
118857,"Hylla 15, Ørland",63.638165,9.341171
118858,"Kråkvågveien 178, Ørland",63.638247,9.340344
118859,"Kjerkvikveien 39, Ørland",63.642032,9.330096
118860,"Nordomveien 31, Ørland",63.647957,9.328904
118861,"Nordomveien 19, Ørland",63.648572,9.329611
118862,"Nordomveien 43, Ørland",63.647356,9.326279
118863,"Hylla 5, Ørland",63.63938,9.340417
118864,"Kjerkvikveien 31, Ørland",63.641581,9.329891
118865,"Kjerkvikveien 33, Ørland",63.641711,9.329478
118866,"Kjerkvikveien 47, Ørland",63.642366,9.329452
118867,"Storslåttøyveien 139, Ørland",63.659253,9.325445
118868,"Nordomveien 55, Ørland",63.647892,9.324838
118869,"Nordomveien 49, Ørland",63.647467,9.324799
118870,"Kråkvågveien 99, Ørland",63.641538,9.337421
118871,"Kjerkvikveien 45, Ørland",63.64243,9.328975
118872,"Kommersøyveien 2, Ørland",63.638762,9.33605
118873,"Kråkvågveien 128, Ørland",63.639208,9.339011
118874,"Kråkvågveien 94, Ørland",63.641443,9.336812
118936,"Storslåttøyveien 143, Ørland",63.659569,9.325127
118937,"Kjerkvikveien 46, Ørland",63.642162,9.327066
118938,"Kråkvågveien 59, Ørland",63.643605,9.332629
118939,"Kråkvågveien 54, Ørland",63.644044,9.334335
118940,"Nordomveien 51, Ørland",63.647565,9.32515
118941,"Nordomveien 59, Ørland",63.648066,9.324757
118942,"Kråkvågveien 132, Ørland",63.638898,9.338258
118943,"Kråkvågveien 61, Ørland",63.643382,9.331648
120329,"Kråkvågveien 90, Ørland",63.641516,9.336254
120344,"Nordomveien 57, Ørland",63.648013,9.324595
120433,"Kråkvågveien 101, Ørland",63.641187,9.337744
120663,"Storslåttøyveien 135, Ørland",63.65937,9.3259
120669,"Kjerkvikveien 29, Ørland",63.641582,9.330252
120671,"Kråkvågveien 140, Ørland",63.638689,9.339209
120693,"Kommersøyveien 45, Ørland",63.639545,9.329745
120710,"Kommersøyveien 47, Ørland",63.639575,9.329222
120712,"Kommersøyveien 49, Ørland",63.639829,9.329098
120714,"Kommersøyveien 51, Ørland",63.640067,9.328985
120716,"Kommersøyveien 53, Ørland",63.640321,9.328887
120768,"Kråkvågveien 83, Ørland",63.645061,9.329135
120780,"Storslåttøyveien 44, Ørland",63.652545,9.329812
120784,"Nordomveien 53, Ørland",63.647665,9.324714
120786,"Nordomveien 45, Ørland",63.647223,9.325503
120918,"Nordomveien 41, Ørland",63.647385,9.326804
121030,"Kjerkvikveien 48, Ørland",63.642524,9.32726
121130,"Hylla 16, Ørland",63.638298,9.341884
121163,"Kjerkvikveien 35, Ørland",63.6419,9.329128
121164,"Kjerkvikveien 41, Ørland",63.642115,9.328969
121167,"Nordomveien 65, Ørland",63.646832,9.324927
121168,"Storslåttøyveien 126, Ørland",63.659289,9.324272
121436,"Kråkvågveien 172, Ørland",63.637544,9.335689
121488,"Storslåttøyveien 124, Ørland",63.659191,9.324952
1703674,"Nordomveien 16, Ørland",63.647637,9.330099
1703685,"Nordomveien 14, Ørland",63.647723,9.330463
1718363,"Nordomveien 20, Ørland",63.647203,9.331535
1718373,"Nordomveien 18, Ørland",63.647304,9.330519
1960068,"Nordomveien 71, Ørland",63.647173,9.323719
1995650,"Storslåttøyveien 121, Ørland",63.659013,9.327437
1995651,"Storslåttøyveien 119, Ørland",63.65893,9.327323
1995669,"Storslåttøyveien 113, Ørland",63.658653,9.326923
1995671,"Storslåttøyveien 117, Ørland",63.658842,9.327227
1995673,"Storslåttøyveien 115, Ørland",63.658749,9.327122
2001762,"Nordomveien 80, Ørland",63.645966,9.324548
2017592,"Nordomveien 42, Ørland",63.646613,9.326626
2060510,"Nordomveien 48, Ørland",63.645889,9.327978
2060511,"Nordomveien 46, Ørland",63.646209,9.32753
2060512,"Nordomveien 62, Ørland",63.64603,9.325966
2060513,"Nordomveien 60, Ørland",63.64644,9.32635
2060563,"Nordomveien 44, Ørland",63.646434,9.327101
2060565,"Nordomveien 40, Ørland",63.646752,9.326097
2060670,"Nordomveien 64, Ørland",63.645784,9.325839
2060671,"Nordomveien 66, Ørland",63.645487,9.32562
2060672,"Nordomveien 68, Ørland",63.645246,9.325443
2060673,"Nordomveien 74, Ørland",63.645967,9.325472
2060674,"Nordomveien 78, Ørland",63.646547,9.32555
2075629,"Kjerkvikveien 50, Ørland",63.642452,9.327804
2182137,"Kjerkvikveien 53, Ørland",63.642874,9.328082
2182167,"Kjerkvikveien 49, Ørland",63.642611,9.328267
2182168,"Kjerkvikveien 51, Ørland",63.642782,9.328707
2182169,"Kjerkvikveien 23, Ørland",63.642417,9.330638
2182222,"Kjerkvikveien 27, Ørland",63.642634,9.330443
2182236,"Kjerkvikveien 25, Ørland",63.642619,9.330905
2182249,"Kjerkvikveien 21, Ørland",63.642282,9.330023
2182250,"Kjerkvikveien 17, Ørland",63.642058,9.33129
2361387,"Storslåttøyveien 111, Ørland",63.658595,9.327076
