,Navn,Long,Lat
124748,"Vallersundveien 187, BJUGN",63.837302,9.707113
124749,"Haldorhamnveien 151, BJUGN",63.846732,9.692773
124750,"Vallersundveien 191, BJUGN",63.837671,9.70907
124751,"Vallersundveien 201, BJUGN",63.837929,9.709366
124752,"Vallersundveien 102, BJUGN",63.834117,9.692492
124755,"Vallersundveien 190, BJUGN",63.837762,9.707283
124756,"Vallersundveien 186, BJUGN",63.838056,9.706153
124757,"Vallersundveien 188, BJUGN",63.839157,9.703887
124759,"Vallersundveien 151, BJUGN",63.834998,9.703606
124760,"Haldorhamnveien 94, BJUGN",63.841577,9.68877
124761,"Haldorhamnveien 90, BJUGN",63.841993,9.688134
124762,"Haldorhamnveien 75, BJUGN",63.840328,9.691094
124763,"Vallersundveien 127, BJUGN",63.833994,9.698417
124797,"Osveien 21, BJUGN",63.769358,9.584287
124891,"Nesveien 41, BJUGN",63.765329,9.689171
124893,"Nesveien 37, BJUGN",63.764877,9.689717
124894,"Risvikstien 13, BJUGN",63.761964,9.656593
124896,"Risvikstien 17, BJUGN",63.7623,9.654429
124899,"Nesveien 72, BJUGN",63.761486,9.685945
124900,"Nesveien 64, BJUGN",63.762849,9.685018
124901,"Vikaveien 2, BJUGN",63.764029,9.689013
124902,"Nesveien 32, BJUGN",63.764244,9.693932
124903,"Brandvikveien 312, BJUGN",63.764655,9.700017
124904,"Risvikstien 11, BJUGN",63.762015,9.657668
124905,"Tønnølstrandveien 1, BJUGN",63.760065,9.650037
124907,"Nesveien 305, BJUGN",63.75949,9.640734
124909,"Nesveien 323, BJUGN",63.759495,9.63748
124911,"Nesveien 39, BJUGN",63.764929,9.688848
124913,"Nesveien 43, BJUGN",63.765535,9.688467
124916,"Nesveien 33, BJUGN",63.764996,9.691434
124918,"Stormyrveien 22, BJUGN",63.766324,9.693776
124920,"Brandvikveien 308, BJUGN",63.761271,9.695961
124922,"Brandvikveien 306, BJUGN",63.761588,9.698541
124923,"Stormyrveien 12, BJUGN",63.765747,9.695536
124924,"Stormyrveien 106, BJUGN",63.77203,9.683701
124925,"Brandvikveien 282, BJUGN",63.762329,9.705656
124927,"Brandvikveien 68, BJUGN",63.766575,9.745463
124928,"Brandvikveien 122, BJUGN",63.765669,9.736914
124929,"Brandvikveien 86, BJUGN",63.766991,9.741271
124930,"Brandvikveien 72, BJUGN",63.766352,9.742721
124931,"Brandvikveien 21, BJUGN",63.768686,9.752988
124932,"Brandvikveien 27, BJUGN",63.768402,9.75194
124933,"Brandvikveien 34, BJUGN",63.767843,9.751388
124934,"Ryskogveien 114, BJUGN",63.775879,9.73911
124935,"Ryskogveien 248, BJUGN",63.782838,9.716436
124937,"Brandvikveien 14, BJUGN",63.768433,9.754646
124938,"Brandvikveien 66, BJUGN",63.767211,9.745338
124939,"Brandvikveien 70, BJUGN",63.766932,9.743817
124940,"Brandvikveien 39, BJUGN",63.76778,9.748681
124942,"Brandvikveien 63, BJUGN",63.768068,9.744919
124943,"Ryskogveien 203, BJUGN",63.781672,9.725488
124944,"Brandvikveien 97, BJUGN",63.767903,9.736365
124946,"Brandvikveien 91, BJUGN",63.767699,9.73998
124947,"Brandvikveien 163, BJUGN",63.76585,9.726824
124957,"Brandvikveien 174, BJUGN",63.764519,9.725647
124958,"Nesveien 637, BJUGN",63.772714,9.592351
124959,"Osveien 42, BJUGN",63.767416,9.581328
124960,"Osveien 11, BJUGN",63.770134,9.585127
124961,"Nesveien 606, BJUGN",63.769666,9.587441
124962,"Osveien 29, BJUGN",63.769238,9.58318
124963,"Hellemsveien 620, BJUGN",63.776933,9.58756
124964,"Osveien 56, BJUGN",63.767045,9.57907
124965,"Langvollveien 102, BJUGN",63.768786,9.567471
124966,"Nesveien 590, BJUGN",63.76508,9.58856
124967,"Hellemsveien 609, BJUGN",63.778101,9.586448
124968,"Osveien 22, BJUGN",63.768958,9.584377
124969,"Nesveien 674, BJUGN",63.777363,9.571152
124970,"Hellemsveien 593, BJUGN",63.779843,9.587105
124971,"Hellemsveien 603, BJUGN",63.778848,9.587254
124972,"Hellemsveien 601, BJUGN",63.779069,9.587673
124973,"Langvollveien 31, BJUGN",63.771261,9.580246
124974,"Langvollveien 7, BJUGN",63.772426,9.584574
124975,"Langvollveien 11, BJUGN",63.772187,9.584313
124976,"Langvollveien 157, BJUGN",63.769262,9.561315
124977,"Nesveien 648, BJUGN",63.773063,9.58423
124978,"Bjugnholmen 2, BJUGN",63.755673,9.669931
124979,"Nesveien 393, BJUGN",63.760017,9.624545
124980,"Nesveien 439, BJUGN",63.762775,9.616649
124981,"Nesveien 494, BJUGN",63.764193,9.605883
124982,"Brandvikveien 234, BJUGN",63.762728,9.713712
124983,"Nesveien 394, BJUGN",63.758705,9.61935
124984,"Nesveien 451, BJUGN",63.763389,9.614361
124985,"Brandvikveien 241, BJUGN",63.763484,9.711382
124986,"Vikaveien 4, BJUGN",63.763701,9.689335
124987,"Brandvikveien 229, BJUGN",63.76345,9.714261
124988,"Vikaveien 18, BJUGN",63.762418,9.692855
124989,"Vikaveien 3, BJUGN",63.763659,9.688566
124990,"Nesveien 438, BJUGN",63.760276,9.616253
124991,"Nesveien 347, BJUGN",63.758736,9.631432
124992,"Nesveien 311, BJUGN",63.760359,9.638727
124993,"Nesveien 76, BJUGN",63.761479,9.684922
124994,"Vikaveien 14, BJUGN",63.762399,9.691171
124995,"Nesveien 195, BJUGN",63.760897,9.661366
124996,"Nesveien 198, BJUGN",63.760672,9.660189
124997,"Nesveien 59, BJUGN",63.763771,9.685965
124998,"Vikaveien 16, BJUGN",63.762754,9.691866
124999,"Nesveien 542, BJUGN",63.765604,9.596487
125000,"Nesveien 477, BJUGN",63.764174,9.609142
125001,"Nesveien 329, BJUGN",63.759012,9.635863
125002,"Nesveien 66, BJUGN",63.762609,9.68538
125003,"Nesveien 321, BJUGN",63.759058,9.637961
125004,"Nesveien 325, BJUGN",63.758953,9.636409
125005,"Brandvikveien 211, BJUGN",63.763632,9.718586
125006,"Nesveien 51, BJUGN",63.764296,9.687432
125007,"Nesveien 78, BJUGN",63.761085,9.683297
125010,"Langvollveien 60, BJUGN",63.769761,9.575252
125011,"Djupfestveien 54, BJUGN",63.779815,9.577652
125012,"Hellemsveien 469, BJUGN",63.787828,9.601166
125013,"Hellemsveien 328, BJUGN",63.795048,9.625878
125014,"Hellemsvikveien 116, BJUGN",63.796574,9.614926
125015,"Hellemsveien 475, BJUGN",63.788881,9.59914
125016,"Hellemsveien 459, BJUGN",63.788517,9.605762
125017,"Osveien 77, BJUGN",63.76639,9.575182
125018,"Nesveien 635, BJUGN",63.772447,9.589923
125019,"Nesveien 653, BJUGN",63.773745,9.58515
125020,"Nesveien 667, BJUGN",63.774887,9.585003
125021,"Djupfestveien 13, BJUGN",63.777397,9.584066
125022,"Grendaveien 56, BJUGN",63.812403,9.66992
125023,"Grendaveien 58, BJUGN",63.812431,9.669141
125024,"Grendaveien 90, BJUGN",63.810466,9.665509
125025,"Ole Kristoffers vei 10, BJUGN",63.810314,9.661538
125026,"Hellemsveien 41, BJUGN",63.805961,9.675432
125028,"Grendaveien 68, BJUGN",63.812339,9.668196
125029,"Grendaveien 70, BJUGN",63.812087,9.667814
125030,"Grendaveien 59, BJUGN",63.812875,9.668719
125031,"Hellemsveien 230, BJUGN",63.797934,9.648336
125032,"Grendaveien 157, BJUGN",63.805025,9.661633
125033,"Hellemsveien 304, BJUGN",63.796035,9.630186
125034,"Steinvikveien 32, BJUGN",63.801705,9.643159
125035,"Steinvikveien 26, BJUGN",63.802101,9.647936
125036,"Hellemsveien 200, BJUGN",63.799379,9.649632
125037,"Ole Kristoffers vei 36, BJUGN",63.813718,9.663948
125038,"Hellemsveien 136, BJUGN",63.800502,9.666638
125039,"Hellemsveien 208, BJUGN",63.793534,9.650054
125040,"Hellemsveien 134, BJUGN",63.802376,9.664049
125041,"Hellemsveien 218, BJUGN",63.799151,9.64559
125042,"Ryskogveien 297, BJUGN",63.787179,9.710655
125043,"Ryskogveien 472, BJUGN",63.79942,9.6925
125044,"Ryskogveien 438, BJUGN",63.796831,9.697531
125045,"Hellemsveien 173, BJUGN",63.800935,9.653016
125046,"Hellemsveien 140, BJUGN",63.802305,9.661048
125047,"Hellemsveien 152, BJUGN",63.801897,9.6572
125048,"Hellemsveien 170, BJUGN",63.800817,9.654799
125049,"Hellemsveien 180, BJUGN",63.800084,9.652963
125050,"Steinvikveien 38, BJUGN",63.801322,9.644302
125051,"Hellemsveien 224, BJUGN",63.798888,9.643698
125052,"Ryskogveien 335, BJUGN",63.78991,9.710519
125053,"Steinvikveien 79, BJUGN",63.807285,9.64639
125054,"Steinvikveien 30, BJUGN",63.802531,9.643358
125055,"Steinvikveien 77, BJUGN",63.806919,9.646526
125056,"Steinvikveien 75, BJUGN",63.806512,9.646439
125057,"Hellemsveien 132, BJUGN",63.802889,9.663462
125058,"Hellemsveien 204, BJUGN",63.798276,9.650628
125059,"Hellemsveien 150, BJUGN",63.802176,9.657979
125060,"Hellemsveien 522, BJUGN",63.783541,9.598003
125061,"Hellemsveien 490, BJUGN",63.785462,9.603697
125062,"Hellemsvikveien 137, BJUGN",63.794988,9.61317
125063,"Hellemsveien 500, BJUGN",63.780136,9.604305
125064,"Hellemsveien 474, BJUGN",63.786614,9.605832
125065,"Hellemsveien 458, BJUGN",63.78766,9.607023
125066,"Hellemsveien 130, BJUGN",63.803236,9.662415
125067,"Hellemsveien 465, BJUGN",63.787862,9.602335
125068,"Hellemsvikveien 85, BJUGN",63.798934,9.617134
125069,"Hellemsvikveien 107, BJUGN",63.797201,9.615324
125070,"Hellemsveien 439, BJUGN",63.789942,9.607646
125071,"Hellemsveien 420, BJUGN",63.790701,9.611061
125072,"Hellemsveien 441, BJUGN",63.789883,9.605039
125073,"Hellemsveien 436, BJUGN",63.788748,9.609164
125074,"Hellemsveien 572, BJUGN",63.780639,9.59234
125075,"Hellemsveien 327, BJUGN",63.796104,9.626109
125076,"Hellemsvikveien 93, BJUGN",63.800336,9.618088
125077,"Hellemsveien 554, BJUGN",63.781776,9.592088
125078,"Hellemsveien 331, BJUGN",63.79589,9.62392
125079,"Hellemsveien 419, BJUGN",63.7918,9.611236
125080,"Hellemsveien 571, BJUGN",63.781038,9.589824
125081,"Hellemsveien 333, BJUGN",63.796341,9.623266
125082,"Oksvollveien 117, BJUGN",63.816578,9.682583
125083,"Tørremsveien 12, BJUGN",63.809622,9.684357
125084,"Oksvollveien 158, BJUGN",63.819154,9.686917
125085,"Oksvollveien 159, BJUGN",63.819401,9.688178
125086,"Pål Rabbens vei 40, BJUGN",63.815615,9.670938
125087,"Oksvollveien 180, BJUGN",63.820693,9.685543
125088,"Oksvollveien 162, BJUGN",63.819736,9.687009
125089,"Grendaveien 34, BJUGN",63.813489,9.673471
125090,"Grendaveien 48, BJUGN",63.812976,9.671596
125091,"Tørremsveien 35, BJUGN",63.810075,9.689171
125093,"Oksvollveien 101, BJUGN",63.814816,9.682052
125094,"Valsfjordveien 45, BJUGN",63.817579,9.683684
125095,"Tørremsveien 37, BJUGN",63.810213,9.690477
125096,"Tørremsveien 8, BJUGN",63.809575,9.683787
125097,"Oksvollveien 59, BJUGN",63.812049,9.68204
125098,"Oksvollveien 85, BJUGN",63.814011,9.680723
125099,"Valsfjordveien 40, BJUGN",63.817518,9.682808
125100,"Grendaveien 20, BJUGN",63.814257,9.675844
125101,"Grendaveien 32, BJUGN",63.813728,9.674104
125102,"Oksvollveien 87, BJUGN",63.81429,9.680397
125103,"Tørremsveien 9, BJUGN",63.809156,9.683872
125104,"Oksvollveien 91, BJUGN",63.814595,9.68046
125105,"Tørremsveien 119, BJUGN",63.811044,9.705852
125106,"Tørremsveien 98, BJUGN",63.812573,9.700456
125107,"Pål Rabbens vei 42, BJUGN",63.815705,9.672018
125108,"Ryskogveien 471, BJUGN",63.79998,9.694444
125109,"Grendaveien 46, BJUGN",63.813104,9.671939
125110,"Pål Rabbens vei 28, BJUGN",63.815179,9.66886
125111,"Buvikveien 86, BJUGN",63.820115,9.707415
125112,"Buvikveien 15, BJUGN",63.814748,9.706437
125113,"Tørremsveien 124, BJUGN",63.813437,9.705729
125114,"Tørremsveien 118, BJUGN",63.814465,9.704272
125115,"Tørremsveien 91, BJUGN",63.811368,9.700165
125116,"Tørremsveien 103, BJUGN",63.811051,9.702929
125117,"Tørremsveien 149, BJUGN",63.813034,9.710106
125118,"Tørremsveien 136, BJUGN",63.813752,9.70762
125119,"Tørremsveien 113, BJUGN",63.812454,9.705457
125120,"Buvikveien 117, BJUGN",63.819843,9.714061
125121,"Tørremsveien 123, BJUGN",63.812976,9.705226
125122,"Ole Kristoffers vei 7, BJUGN",63.811417,9.665236
125123,"Buvikveien 9, BJUGN",63.814404,9.706593
125124,"Tørremsveien 147, BJUGN",63.813303,9.709607
125125,"Grendaveien 54, BJUGN",63.812662,9.671101
125126,"Ole Kristoffers vei 38, BJUGN",63.813991,9.663773
125127,"Grendaveien 78, BJUGN",63.811397,9.667003
125128,"Valstad 12, BJUGN",63.824966,9.650122
125129,"Ole Kristoffers vei 8, BJUGN",63.811091,9.661902
125130,"Grendaveien 52, BJUGN",63.812751,9.670124
125131,"Hellemsveien 21, BJUGN",63.806297,9.679833
125132,"Grendaveien 76, BJUGN",63.811682,9.667372
125133,"Grendaveien 104, BJUGN",63.809036,9.663493
125134,"Sørvikveien 75, BJUGN",63.835796,9.673162
125135,"Nersandveien 2, BJUGN",63.811867,9.663576
125136,"Tollefsvika 34, BJUGN",63.840153,9.683353
125137,"Vallersundveien 166, BJUGN",63.837403,9.701578
125138,"Vallersundveien 184, BJUGN",63.838076,9.70702
125139,"Vallersundveien 189, BJUGN",63.835535,9.70828
125140,"Haldorhamnveien 88, BJUGN",63.841757,9.688205
125141,"Valsnesveien 152, BJUGN",63.823244,9.647739
125142,"Valsnesveien 54, BJUGN",63.824964,9.666303
125143,"Sørvikveien 24, BJUGN",63.831354,9.675754
125144,"Valsnesveien 36, BJUGN",63.826832,9.669882
125145,"Sørvikveien 10, BJUGN",63.830558,9.674761
125146,"Knarvikveien 18, BJUGN",63.830947,9.672221
125147,"Tollefsvika 70, BJUGN",63.840751,9.677781
125148,"Valsnesveien 17, BJUGN",63.82836,9.673232
125149,"Vallersundveien 35, BJUGN",63.830757,9.680704
125150,"Pål Rabbens vei 20, BJUGN",63.814309,9.66788
125151,"Valsnesveien 217, BJUGN",63.823185,9.637145
125152,"Knarvikveien 20, BJUGN",63.831464,9.672818
125153,"Vallersundveien 40, BJUGN",63.831591,9.681032
125154,"Valsnesveien 43, BJUGN",63.827454,9.669113
125155,"Oksvollveien 264, BJUGN",63.826915,9.676457
125156,"Oksvollveien 213, BJUGN",63.823887,9.682327
125157,"Valsnesveien 167, BJUGN",63.82736,9.648731
125158,"Valsnesveien 165, BJUGN",63.826584,9.649895
125159,"Ole Kristoffers vei 26, BJUGN",63.81318,9.664658
125160,"Ole Kristoffers vei 24, BJUGN",63.812993,9.664155
125161,"Tollefsvika 39, BJUGN",63.843432,9.679411
125162,"Oksvollveien 256, BJUGN",63.826394,9.677866
125163,"Hellemsveien 40, BJUGN",63.805095,9.676519
125164,"Oksvollveien 262, BJUGN",63.826878,9.677231
125165,"Ole Kristoffers vei 31, BJUGN",63.813484,9.6661
125166,"Valsnesveien 52, BJUGN",63.825143,9.667367
125167,"Valsnesveien 175, BJUGN",63.824786,9.640309
125168,"Valsnesveien 21, BJUGN",63.828203,9.672571
125169,"Sørvikveien 77, BJUGN",63.836595,9.674913
125170,"Gangstøveien 65, BJUGN",63.832841,9.667107
125171,"Knarvikveien 19, BJUGN",63.832153,9.67291
125172,"Valsnesveien 41, BJUGN",63.827482,9.669555
125173,"Sørvikveien 29, BJUGN",63.831678,9.678629
125174,"Sørvikveien 54, BJUGN",63.833965,9.673206
125175,"Oksvollveien 211, BJUGN",63.823624,9.682044
125176,"Knarvikveien 46, BJUGN",63.832911,9.668196
125177,"Valsnesveien 33, BJUGN",63.827794,9.670025
125178,"Valsnesveien 114, BJUGN",63.823253,9.656437
125179,"Sørvikveien 36, BJUGN",63.832205,9.674635
125180,"Valsnesveien 163, BJUGN",63.826171,9.648564
125181,"Sørvikveien 57, BJUGN",63.8342,9.674691
125182,"Ole Kristoffers vei 29, BJUGN",63.813348,9.665624
125183,"Sørvikveien 59, BJUGN",63.834801,9.675386
125184,"Oksvollveien 38, BJUGN",63.809645,9.681069
125185,"Hellemsveien 11, BJUGN",63.806521,9.681253
125186,"Oksvollveien 78, BJUGN",63.813138,9.678377
125187,"Grendaveien 7, BJUGN",63.814804,9.67916
125188,"Grendaveien 9, BJUGN",63.814892,9.677926
125189,"Oksvollveien 223, BJUGN",63.823845,9.681717
126336,"Pål Rabbens vei 29, BJUGN",63.814891,9.669405
126435,"Lauvskardbakken 1, BJUGN",63.764983,9.600036
126690,"Hellemsveien 72, BJUGN",63.802297,9.674024
126723,"Nersandveien 39, BJUGN",63.812229,9.658231
126725,"Nersandveien 42, BJUGN",63.811986,9.656167
126727,"Nersandveien 40, BJUGN",63.811837,9.656936
126739,"Buvikveien 77, BJUGN",63.819035,9.706983
126741,"Nersandveien 44, BJUGN",63.812516,9.655951
126758,"Nersandveien 43, BJUGN",63.812701,9.657095
126835,"Vardesvingen 5, BJUGN",63.815836,9.670849
126891,"Tørremsveien 242, BJUGN",63.821618,9.720874
126892,"Tørremsveien 246, BJUGN",63.821787,9.722291
126898,"Vallersundveien 134, BJUGN",63.834899,9.698608
126905,"Buvikveien 114, BJUGN",63.819873,9.712902
126906,"Buvikveien 115, BJUGN",63.81951,9.713233
126931,"Hellemsveien 24, BJUGN",63.804853,9.678967
126932,"Islandsvika 11, BJUGN",63.782252,9.589313
126934,"Brandvikveien 299, BJUGN",63.764072,9.702882
126937,"Risvikstien 15, BJUGN",63.761949,9.655424
126939,"Vikaveien 19, BJUGN",63.761546,9.690112
126950,"Hellemsveien 77, BJUGN",63.806575,9.668523
126952,"Hellemsveien 345, BJUGN",63.795488,9.621793
126953,"Oksvollveien 11, BJUGN",63.807743,9.6858
126954,"Valsnesveien 212, BJUGN",63.821632,9.640323
126955,"Tollefsvika 15, BJUGN",63.841653,9.687317
126965,"Brandvikveien 81, BJUGN",63.768753,9.742035
126967,"Risvikstien 19, BJUGN",63.761841,9.653148
126968,"Risvikstien 8, BJUGN",63.761374,9.655976
126969,"Risvikstien 10, BJUGN",63.761364,9.655011
126970,"Risvikstien 18, BJUGN",63.761101,9.651689
126971,"Risvikstien 16, BJUGN",63.760442,9.653194
126972,"Risvikstien 12, BJUGN",63.759958,9.654422
126973,"Risvikstien 14, BJUGN",63.760087,9.651979
126976,"Ole Kristoffers vei 35, BJUGN",63.81415,9.664946
126977,"Sørvikveien 27, BJUGN",63.831602,9.676893
126978,"Gangstøveien 1, BJUGN",63.826894,9.667186
126979,"Hellemsveien 621, BJUGN",63.777162,9.585851
126980,"Langvollveien 131, BJUGN",63.771764,9.562329
126981,"Hellemsveien 141, BJUGN",63.80452,9.652044
126982,"Nesveien 214, BJUGN",63.760335,9.658547
126985,"Nesveien 68, BJUGN",63.762195,9.685514
126986,"Nesveien 74, BJUGN",63.762076,9.684631
126987,"Nesveien 34, BJUGN",63.762534,9.695297
126988,"Nesveien 36, BJUGN",63.762125,9.696912
126990,"Hellemsvikveien 71, BJUGN",63.799434,9.620261
127001,"Knarvikveien 34, BJUGN",63.832288,9.670608
127002,"Nesveien 676, BJUGN",63.777636,9.570845
127003,"Valsfjordveien 19, BJUGN",63.816207,9.680124
127004,"Tollefsvika 33, BJUGN",63.841315,9.68276
127006,"Nesveien 49, BJUGN",63.764405,9.687946
127023,"Tollefsvika 21, BJUGN",63.841294,9.685157
127030,"Nesveien 660, BJUGN",63.774025,9.582054
127031,"Oksvollveien 155, BJUGN",63.819004,9.687679
127034,"Nes kirke, Hellemsveien 494, BJUGN",63.784866,9.603998
127044,"Vardesvingen 7, BJUGN",63.815968,9.6714
127049,"Valsnesveien 314, BJUGN",63.816863,9.617994
127059,"Brandvikveien 83, BJUGN",63.768852,9.738888
127078,"Pål Rabbens vei 2, BJUGN",63.813182,9.669992
127098,"Brandvikveien 186, BJUGN",63.764009,9.724916
127099,"Nesveien 301, BJUGN",63.759471,9.642256
127102,"Sørvikveien 32, BJUGN",63.831843,9.675125
127103,"Steinvikveien 40, BJUGN",63.803017,9.647615
127107,"Haldorhamnveien 103, BJUGN",63.842676,9.689681
127109,"Nesveien 657, BJUGN",63.7745,9.588188
127129,"Vardesvingen 9, BJUGN",63.815928,9.672171
127132,"Hellemsveien 424, BJUGN",63.789626,9.610576
127133,"Steinvikveien 71, BJUGN",63.805764,9.647013
127139,"Risvikstien 21, BJUGN",63.761785,9.651642
127162,"Ole Kristoffers vei 27, BJUGN",63.813244,9.664948
127167,"Tollefsvika 20, BJUGN",63.84031,9.68566
127175,"Hellemsveien 438, BJUGN",63.78869,9.608972
127185,"Hellemsvikveien 91, BJUGN",63.800226,9.616865
127193,"Nersandveien 26, BJUGN",63.811369,9.65864
127194,"Nersandveien 28, BJUGN",63.811288,9.65829
127195,"Nersandveien 22, BJUGN",63.811486,9.659399
127196,"Nersandveien 20, BJUGN",63.811518,9.659688
127197,"Nersandveien 4, BJUGN",63.811846,9.663172
127204,"Ryskogveien 538, BJUGN",63.804392,9.685517
127213,"Nesveien 645, BJUGN",63.774287,9.5947
127215,"Bjugnholmen 1, BJUGN",63.755969,9.672236
127217,"Bjugnholmen 3, BJUGN",63.754312,9.659803
127222,"Nersandveien 13, BJUGN",63.811765,9.661741
127233,"Nesveien 391, BJUGN",63.759953,9.625848
127235,"Islandsvika 45, BJUGN",63.784109,9.58787
127236,"Islandsvika 41, BJUGN",63.783795,9.586996
127239,"Vardesvingen 6, BJUGN",63.815869,9.66955
127240,"Vallersundveien 129, BJUGN",63.83364,9.698474
127241,"Tørremsveien 90, BJUGN",63.815738,9.693094
127252,"Brandvikveien 314, BJUGN",63.764645,9.6998
127253,"Vallersundveien 162, BJUGN",63.836603,9.703516
127278,"Nesveien 206, BJUGN",63.760328,9.659473
127291,"Risvikstien 20, BJUGN",63.760911,9.65083
127292,"Islandsvika 44, BJUGN",63.78449,9.587079
127293,"Islandsvika 36, BJUGN",63.783003,9.582431
127299,"Valsnesveien 262, BJUGN",63.817748,9.633531
127302,"Islandsvika 43, BJUGN",63.784022,9.587284
127304,"Oksvollveien 79, BJUGN",63.813618,9.680335
127316,"Langvollveien 127, BJUGN",63.771778,9.567058
127323,"Nesveien 210, BJUGN",63.760179,9.66144
127333,"Steinvikveien 85, BJUGN",63.806871,9.644984
127341,"Brandvikveien 304, BJUGN",63.762237,9.699416
127342,"Vikaveien 20, BJUGN",63.762069,9.691401
127346,"Vallersundveien 155, BJUGN",63.835646,9.702345
127351,"Tørremsveien 182, BJUGN",63.820514,9.716032
127362,"Nesveien 208, BJUGN",63.76033,9.660364
127373,"Oksvollveien 215, BJUGN",63.823762,9.682914
127374,"Oksvollveien 217, BJUGN",63.823886,9.683397
127380,"Steinvikveien 112, BJUGN",63.805091,9.640196
127381,"Hellemsveien 428, BJUGN",63.788142,9.612332
127385,"Valstad 98, BJUGN",63.830236,9.657383
127386,"Tørremsveien 186, BJUGN",63.815394,9.716815
127387,"Steinvikveien 103, BJUGN",63.805716,9.641319
127393,"Valsnesveien 86, BJUGN",63.8247,9.662574
127403,"Nesveien 643, BJUGN",63.774157,9.594527
127406,"Gangstøveien 57, BJUGN",63.831248,9.667989
127408,"Gangstøveien 48, BJUGN",63.83009,9.663581
127409,"Gangstøveien 54, BJUGN",63.830941,9.66054
127411,"Steinvikveien 89, BJUGN",63.80703,9.643902
127414,"Gangstøveien 52, BJUGN",63.830526,9.661541
127418,"Steinvikveien 87, BJUGN",63.807346,9.644956
127427,"Steinvikveien 97, BJUGN",63.806103,9.642504
127436,"Brandvikveien 62, BJUGN",63.767235,9.746064
127438,"Stormyrveien 66, BJUGN",63.768969,9.687151
127444,"Stormyrveien 25, BJUGN",63.770581,9.700842
127446,"Vikaveien 7, BJUGN",63.762983,9.68887
127448,"Vikaveien 5, BJUGN",63.76306,9.689003
