,Navn,Long,Lat
124758,"Melemsvikveien 38, BJUGN",63.848171,9.710784
124764,"Vallersundveien 204, BJUGN",63.84004,9.708533
124765,"Haldorhamnveien 225, BJUGN",63.842589,9.699406
125741,"Bålfjordnesveien 28, BJUGN",63.852706,9.752497
125742,"Bålfjordnesveien 46, BJUGN",63.85383,9.754803
125743,"Bålfjordnesveien 52, BJUGN",63.854041,9.755683
125767,"Vallersundveien 390, BJUGN",63.848987,9.738545
125769,"Kjempaveien 15, BJUGN",63.859191,9.795496
125771,"Kjempaveien 21, BJUGN",63.859297,9.796493
125773,"Manndalsveien 135, BJUGN",63.859235,9.793832
125775,"Manndalsveien 173, BJUGN",63.860069,9.804914
125777,"Kjempaveien 1, BJUGN",63.858049,9.791868
125781,"Manndalsveien 122, BJUGN",63.860083,9.787872
125783,"Vallersundveien 331, BJUGN",63.844363,9.732662
125785,"Vallersundveien 345, BJUGN",63.846219,9.732329
125787,"Vallersundveien 348, BJUGN",63.846743,9.731448
125789,"Vallersundveien 346, BJUGN",63.846787,9.729424
125791,"Vallersundveien 312, BJUGN",63.845131,9.726164
125794,"Bålfjordnesveien 10, BJUGN",63.852524,9.749079
125803,"Bålfjordnesveien 44, BJUGN",63.853865,9.753849
125805,"Vallersundveien 341, BJUGN",63.845807,9.732425
125820,"Raudgrindveien 13, BJUGN",63.852096,9.773441
125821,"Øseveien 66, BJUGN",63.857704,9.775529
125822,"Manndalsveien 58, BJUGN",63.855848,9.780299
125823,"Manndalsveien 410, BJUGN",63.845905,9.806736
125824,"Manndalsveien 96, BJUGN",63.857529,9.787567
125825,"Manndalsveien 1, BJUGN",63.851733,9.777174
125826,"Jøssundveien 141, BJUGN",63.851176,9.774933
125827,"Trongaveien 20, BJUGN",63.852192,9.764594
125828,"Jøssundveien 137, BJUGN",63.851228,9.774373
125829,"Tussanveien 9, BJUGN",63.849923,9.776806
125830,"Trongaveien 41, BJUGN",63.851291,9.768344
125831,"Jøssundveien 21, BJUGN",63.850638,9.754703
125832,"Manndalsveien 109, BJUGN",63.857841,9.791385
125833,"Jøssundveien 151, BJUGN",63.850559,9.776368
125834,"Jøssundveien 149, BJUGN",63.850752,9.776004
125835,"Jøssundveien 34, BJUGN",63.851078,9.75587
125836,"Jøssundveien 59, BJUGN",63.851162,9.760782
125837,"Jøssundveien 179, BJUGN",63.848949,9.780118
125838,"Jøssundveien 363, BJUGN",63.844078,9.808542
125839,"Jøssundveien 153, BJUGN",63.850487,9.77657
125840,"Jøssundveien 190, BJUGN",63.848491,9.782319
125841,"Jøssundveien 304, BJUGN",63.845188,9.799174
125842,"Jøssundveien 55, BJUGN",63.851224,9.759741
125843,"Jøssundveien 25, BJUGN",63.850491,9.755108
125844,"Jøssundveien 326, BJUGN",63.846267,9.803833
125845,"Manndalsveien 75, BJUGN",63.856273,9.783894
125846,"Trongaveien 17, BJUGN",63.851125,9.763923
125847,"Øseveien 110, BJUGN",63.858537,9.786024
125848,"Øseveien 91, BJUGN",63.857733,9.780906
125849,"Gamle Jøssundveien 24, BJUGN",63.844283,9.788336
125850,"Jøssundveien 135, BJUGN",63.85148,9.773626
125851,"Jøssundveien 145, BJUGN",63.850982,9.775449
125852,"Raudgrindveien 4, BJUGN",63.852748,9.771863
125853,"Øseveien 65, BJUGN",63.856864,9.776233
125854,"Manndalsveien 95, BJUGN",63.857177,9.787378
125855,"Øseveien 109, BJUGN",63.857745,9.783738
125856,"Gamle Jøssundveien 15, BJUGN",63.844325,9.785403
125857,"Manndalsveien 67, BJUGN",63.855805,9.781744
125858,"Jøssundveien 244, BJUGN",63.844747,9.790636
125859,"Raudgrindveien 2, BJUGN",63.852589,9.772292
125860,"Jøssundveien 121, BJUGN",63.851994,9.770808
125861,"Jøssundveien 133, BJUGN",63.851692,9.772412
125862,"Jøssundveien 23, BJUGN",63.850654,9.755065
125863,"Øseveien 15, BJUGN",63.853792,9.771313
125864,"Tussanveien 17, BJUGN",63.849738,9.776142
125865,"Raudgrindveien 12, BJUGN",63.852665,9.773683
125866,"Raudgrindveien 6, BJUGN",63.85299,9.772185
125867,"Trongaveien 22, BJUGN",63.85218,9.764799
