,Navn,Long,Lat
3750,"100/2, Hemne",63.269981,9.286605
3795,"100/213, Hemne",63.270064,9.286927
3796,"101/680/1, Hemne",63.289623,9.074636
30458,"100/36-1, Hemne",63.265215,9.341617
30562,"100/14, Hemne",63.276995,9.371663
30563,"100/124, Hemne",63.285702,9.398696
36609,"101/681, Hemne",63.289169,9.074845
44859,"101/96, Hemne",63.285044,9.071808
481488,"Bjørkøyliveien 101, Hemne",63.381209,9.144157
481489,"Bjørkøya, Bjørkøyliveien 151, Hemne",63.393398,9.15101
481490,"Bjørkøyliveien 91, Hemne",63.379945,9.148088
481647,"Aspliveien 161, Hemne",63.310058,9.18023
481713,"Hollaseterveien 238, Hemne",63.304142,9.177717
481714,"Spjøtvollan 41, Hemne",63.30565,9.138144
481715,"Hollaveien 305, Hemne",63.30413,9.132876
481716,"Holladalsveien 29, Hemne",63.306878,9.148451
481717,"Holladalsveien 82, Hemne",63.302018,9.14805
481718,"Hollaseterveien 231, Hemne",63.303087,9.176924
481719,"Øya, Aspliveien 73, Hemne",63.31128,9.163851
481720,"Hollaveien 351, Hemne",63.308514,9.132521
481721,"Hollaseterveien 291, Hemne",63.302785,9.190301
481722,"Aspliveien 193, Hemne",63.31026,9.186588
481723,"Aspliveien 289, Hemne",63.312471,9.20449
481724,"Hollaseterveien 1A, Hemne",63.31259,9.145318
481725,"Aspliveien 56, Hemne",63.314764,9.159071
481726,"Hollaveien 374, Hemne",63.310499,9.132456
481727,"Hollaseterveien 118, Hemne",63.306326,9.158316
481728,"Hollaveien 385, Hemne",63.308754,9.136491
481729,"Hollaveien 284, Hemne",63.30289,9.132006
481730,"Aspliveien 28, Hemne",63.315479,9.153337
481731,"Hollaveien 285, Hemne",63.303518,9.132816
481732,"Aspliveien 31, Hemne",63.312445,9.154725
481733,"Hollaseterveien 272, Hemne",63.304008,9.184813
481734,"Hollaseterveien 363, Hemne",63.306642,9.199269
481735,"Hollaseterveien 342, Hemne",63.304254,9.188542
481736,"Hollaseterveien 88, Hemne",63.307823,9.154379
481737,"Hollaseterveien 375, Hemne",63.307781,9.199269
481738,"Holladalsveien 14, Hemne",63.306688,9.15233
481739,"Hollaveien 214, Hemne",63.297826,9.125347
481740,"Hollaveien 382, Hemne",63.311435,9.133385
481741,"Hollaveien 400, Hemne",63.311859,9.13642
481742,"Spjøtvollan 16, Hemne",63.306355,9.134889
481743,"Hollaveien 63, Hemne",63.288759,9.105876
481744,"Kjørseveien 18, Hemne",63.283712,9.084405
481745,"Roøyveien 66, Hemne",63.280601,9.069479
481746,"Holstgardsseterveien 30, Hemne",63.281985,9.082023
481747,"Roøyveien 164, Hemne",63.275064,9.054305
481748,"Holstgardsseterveien 19, Hemne",63.283403,9.075981
481749,"Roøyveien 104, Hemne",63.277559,9.066032
481750,"Skeiet, Kjørseveien 3A, Hemne",63.285227,9.08003
481751,"Ånnavatnet 114, Hemne",63.27036,9.121431
481752,"Hollaveien 272, Hemne",63.302051,9.132031
481753,"Hollaseterveien 97, Hemne",63.307012,9.154045
481754,"Holladalsveien 12, Hemne",63.307027,9.152235
481755,"Hollaseterveien 355, Hemne",63.306879,9.197216
481756,"Hollaveien 326, Hemne",63.306058,9.132162
481757,"Hollaseterveien 206, Hemne",63.303247,9.171526
481758,"Hollaseterveien 349, Hemne",63.305616,9.19231
481759,"Hollaveien 349, Hemne",63.308561,9.135492
481760,"Hollaseterveien 133, Hemne",63.305635,9.160896
481761,"Aspliveien 22, Hemne",63.313192,9.153718
481762,"Hollaveien 333, Hemne",63.306769,9.132519
481763,"Hollaveien 368, Hemne",63.310412,9.130175
481764,"Hollaveien 346, Hemne",63.307845,9.130534
481765,"Aspliveien 153, Hemne",63.306279,9.172086
481766,"Hollaveien 332A, Hemne",63.306627,9.131894
481767,"Hollaveien 291, Hemne",63.303503,9.131562
481768,"Hollaveien 262, Hemne",63.301293,9.130968
481769,"Hollaseterveien 357, Hemne",63.307129,9.198006
481770,"Spjøtvollan 9, Hemne",63.30642,9.133487
481771,"Spjøtvollan 10, Hemne",63.306793,9.133204
481772,"Spjøtvollan 12, Hemne",63.306792,9.13384
481773,"Spjøtvollan 15, Hemne",63.306082,9.134214
481774,"Spjøtvollan 18, Hemne",63.306096,9.134937
481775,"Hollaseterveien 351, Hemne",63.305815,9.193042
481776,"Hollaveien 426, Hemne",63.313634,9.140768
481777,"Hollaseterveien 341, Hemne",63.303483,9.187754
481778,"Spjøtvollan 14, Hemne",63.306553,9.13437
481779,"Hollaveien 334, Hemne",63.306869,9.130882
