,Navn,Long,Lat
948115,"Klemmets veg 178, Melhus",63.270151,10.23447
948116,"Klemmets veg 180, Melhus",63.270127,10.2344
948117,"Klemmets veg 174, Melhus",63.270051,10.234618
948118,"Klemmets veg 176, Melhus",63.270103,10.234552
948119,"Klemmets veg 186, Melhus",63.270292,10.234072
948120,"Klemmets veg 188, Melhus",63.27034,10.233994
948121,"Klemmets veg 182, Melhus",63.270186,10.234378
948122,"Klemmets veg 184, Melhus",63.270162,10.234345
951440,"Ragna Rytters veg 18, Melhus",63.276376,10.253161
951441,"Brekktrøa 30, Melhus",63.274196,10.252987
951443,"Ragna Rytters veg 25, Melhus",63.275725,10.252734
951444,"Ragna Rytters veg 22, Melhus",63.276096,10.253368
951448,"Ragna Rytters veg 14, Melhus",63.276939,10.252488
952427,"Brekktrøa 11C, Melhus",63.27475,10.249244
952428,"Brekktrøa 11D, Melhus",63.274813,10.249207
952429,"Brekktrøa 13B, Melhus",63.274345,10.249346
952430,"Brekktrøa 13C, Melhus",63.274408,10.249309
952431,"Brekktrøa 11E, Melhus",63.274858,10.249169
952432,"Brekktrøa 13A, Melhus",63.274291,10.249363
952433,"Åkervegen 36, Melhus",63.280993,10.2477
952434,"Åkervegen 38, Melhus",63.28116,10.248106
952435,"Åkervegen 32, Melhus",63.2805,10.247658
952436,"Åkervegen 34, Melhus",63.280772,10.247351
952437,"Kneiken 1, Melhus",63.279125,10.248875
952438,"Kneiken 3, Melhus",63.279022,10.248272
952439,"Åkervegen 40, Melhus",63.281408,10.248495
952440,"Åkervegen 42, Melhus",63.281182,10.248645
952441,"Åkervegen 20, Melhus",63.280364,10.248769
952442,"Åkervegen 22, Melhus",63.280549,10.249176
952443,"Åkervegen 16, Melhus",63.280139,10.248879
952444,"Åkervegen 18, Melhus",63.28036,10.249307
952445,"Åkervegen 28A, Melhus",63.280731,10.24849
952446,"Åkervegen 30, Melhus",63.280549,10.248159
952447,"Åkervegen 24, Melhus",63.280766,10.248986
952448,"Åkervegen 26, Melhus",63.280546,10.248538
952449,"Åkervegen 4, Melhus",63.27931,10.250219
952450,"Åkervegen 6, Melhus",63.279287,10.249759
952451,"Brekktrøa 17C, Melhus",63.275059,10.248759
952452,"Brekktrøa 17D, Melhus",63.275123,10.248702
952453,"Åkervegen 12, Melhus",63.279925,10.249727
952454,"Åkervegen 14, Melhus",63.280142,10.249537
952455,"Åkervegen 8, Melhus",63.279505,10.249549
952456,"Åkervegen 10, Melhus",63.279725,10.249977
952457,"Brekktrøa 15A, Melhus",63.275255,10.249006
952458,"Brekktrøa 15B, Melhus",63.275327,10.24897
952459,"Brekktrøa 13D, Melhus",63.274463,10.249271
952460,"Brekktrøa 13E, Melhus",63.274517,10.249254
952461,"Brekktrøa 17A, Melhus",63.274924,10.248813
952462,"Brekktrøa 17B, Melhus",63.274996,10.248776
952463,"Brekktrøa 15C, Melhus",63.27539,10.248953
952464,"Brekktrøa 15D, Melhus",63.275453,10.248915
952465,"Brekktrøa 9B, Melhus",63.274519,10.249971
952466,"Brekktrøa 9C, Melhus",63.274582,10.249954
952467,"Brekktrøa 7D, Melhus",63.275047,10.250213
952468,"Brekktrøa 9A, Melhus",63.274474,10.249989
952469,"Brekktrøa 11A, Melhus",63.274633,10.249279
952470,"Brekktrøa 11B, Melhus",63.274678,10.249261
952471,"Brekktrøa 9D, Melhus",63.274654,10.249937
952472,"Brekktrøa 9E, Melhus",63.27469,10.249919
952473,"Brekktrøa 5B, Melhus",63.275141,10.249679
952474,"Brekktrøa 5C, Melhus",63.275213,10.249662
952475,"Brekktrøa 3D, Melhus",63.275598,10.249819
952476,"Brekktrøa 5A, Melhus",63.275087,10.249737
952477,"Brekktrøa 7B, Melhus",63.274921,10.250268
952478,"Brekktrøa 7C, Melhus",63.274984,10.250231
952479,"Brekktrøa 5D, Melhus",63.275267,10.249645
952480,"Brekktrøa 7A, Melhus",63.274849,10.250285
952481,"Brekktrøa 1B, Melhus",63.275745,10.249446
952482,"Brekktrøa 1C, Melhus",63.275808,10.249389
952483,"Tjurrupynten 21, Melhus",63.272819,10.247267
952484,"Brekktrøa 1A, Melhus",63.275673,10.249463
952485,"Brekktrøa 3B, Melhus",63.275481,10.249873
952486,"Brekktrøa 3C, Melhus",63.275535,10.249836
952487,"Brekktrøa 1D, Melhus",63.275871,10.249352
952488,"Brekktrøa 3A, Melhus",63.275408,10.24993
952489,"Tjurrupynten 15, Melhus",63.272328,10.247006
952490,"Tjurrupynten 16, Melhus",63.273256,10.246588
952491,"Tjurrupynten 13, Melhus",63.272292,10.245988
952492,"Tjurrupynten 14, Melhus",63.272793,10.246209
952493,"Tjurrupynten 19, Melhus",63.272679,10.246922
952494,"Tjurrupynten 20, Melhus",63.273197,10.247223
952495,"Tjurrupynten 17, Melhus",63.272467,10.246474
952496,"Tjurrupynten 18, Melhus",63.273487,10.246937
952497,"Bergljots veg 17, Melhus",63.27541,10.246621
952498,"Bergljots veg 18, Melhus",63.27602,10.245691
952499,"Bergljots veg 15, Melhus",63.275487,10.246007
952500,"Bergljots veg 16A, Melhus",63.276008,10.24514
952501,"Bergljots veg 22, Melhus",63.275928,10.246644
952502,"Styrkårs veg 1, Melhus",63.272744,10.243556
952503,"Bergljots veg 19, Melhus",63.275651,10.246811
952504,"Bergljots veg 20, Melhus",63.27597,10.246207
952505,"Bergljots veg 9, Melhus",63.275002,10.246145
952506,"Bergljots veg 10, Melhus",63.275148,10.244836
952507,"Bergljots veg 7, Melhus",63.274909,10.245404
952508,"Bergljots veg 8, Melhus",63.274889,10.244665
952509,"Bergljots veg 13, Melhus",63.275231,10.245597
952510,"Bergljots veg 14, Melhus",63.275666,10.245137
952511,"Bergljots veg 11, Melhus",63.275162,10.246311
952512,"Bergljots veg 12, Melhus",63.275415,10.245027
