,Navn,Long,Lat
5608,"122/94, Kvenvær og Sandstad",63.513578,9.059585
5612,"65/10, Kvenvær og Sandstad",63.428126,8.493798
5632,"122/73, Kvenvær og Sandstad",63.538732,9.06362
5633,"122/92, Kvenvær og Sandstad",63.539074,9.094335
5634,"124/79, Kvenvær og Sandstad",63.541441,8.991869
5635,"124/76, Kvenvær og Sandstad",63.54323,8.992977
5636,"124/84, Kvenvær og Sandstad",63.539633,8.992733
5637,"124/85, Kvenvær og Sandstad",63.53975,8.993165
5638,"124/39, Kvenvær og Sandstad",63.540233,8.996936
5639,"124/48, Kvenvær og Sandstad",63.527258,9.000744
5640,"124/56, Kvenvær og Sandstad",63.524905,8.998573
5641,"122/224, Kvenvær og Sandstad",63.527053,9.008326
5642,"124/43, Kvenvær og Sandstad",63.523408,9.004302
5643,"124/29, Kvenvær og Sandstad",63.522277,9.013569
5644,"124/72, Kvenvær og Sandstad",63.521805,9.009428
5645,"122/197, Kvenvær og Sandstad",63.521804,9.02517
5646,"122/126, Kvenvær og Sandstad",63.524918,9.013367
5647,"126/7, Kvenvær og Sandstad",63.48835,8.921975
5649,"124/54, Kvenvær og Sandstad",63.542372,8.994782
5650,"124/42, Kvenvær og Sandstad",63.546183,8.989067
5658,"127/80, Kvenvær og Sandstad",63.470977,8.677451
5659,"128/28, Kvenvær og Sandstad",63.476617,8.729067
5669,"64/30, Kvenvær og Sandstad",63.427721,8.426663
5671,"125/1-2, Kvenvær og Sandstad",63.498348,8.968235
5672,"124/129-1, Kvenvær og Sandstad",63.505466,8.976876
5673,"130/19, Kvenvær og Sandstad",63.436786,8.550086
5674,"124/108, Kvenvær og Sandstad",63.50745,8.98037
5681,"65/26, Kvenvær og Sandstad",63.427851,8.49735
5692,"128/49, Kvenvær og Sandstad",63.481331,8.765119
5699,"122/124, Kvenvær og Sandstad",63.52602,9.00949
5707,"64/46, Kvenvær og Sandstad",63.432112,8.409862
5720,"128/5-1, Kvenvær og Sandstad",63.478915,8.762596
