,Navn,Long,Lat
17762,"122/8-2, Soknedal",62.819421,10.267023
17763,"123/1-1, Soknedal",62.924567,10.229221
17764,"113/7-2, Soknedal",62.812858,10.288892
17765,"115/2-1, Soknedal",62.890409,10.253994
17766,"101/1-2, Soknedal",62.899392,10.218348
17767,"100/2-1, Soknedal",62.907586,10.217488
17774,"57/3, Støren",62.992376,10.26784
17775,"77/3, Soknedal",62.970341,10.190175
17776,"77/2, Soknedal",62.969428,10.185522
17777,"77/4, Soknedal",62.969919,10.186982
17781,"81/9, Soknedal",62.949736,10.189594
17782,"81/4, Soknedal",62.951166,10.188154
17783,"79/29, Soknedal",62.961994,10.16556
17784,"82/30, Soknedal",62.938371,10.19109
17785,"82/28, Soknedal",62.938288,10.191021
17786,"82/13, Soknedal",62.92458,10.149953
17787,"82/26, Soknedal",62.95031,10.190662
17788,"81/35, Soknedal",62.948409,10.188052
17789,"84/4, Soknedal",62.932981,10.165333
17790,"91/1/2, Soknedal",62.903395,10.115373
17791,"89/3, Soknedal",62.909287,10.129533
17792,"89/2, Soknedal",62.904552,10.128996
17793,"88/3, Soknedal",62.91466,10.060737
17794,"88/11, Soknedal",62.915515,10.139872
17795,"101/1, Soknedal",62.782856,10.210162
17796,"95/1, Soknedal",62.927741,10.203592
17797,"95/2, Soknedal",62.864328,10.185881
17801,"39/7, Soknedal",62.969097,10.335413
17804,"139/2, Soknedal",62.962494,10.268695
17805,"138/2, Soknedal",62.966155,10.231618
17806,"135/2, Soknedal",62.960049,10.182165
17807,"1006/21, Soknedal",62.96791,10.193212
17808,"150/2, Soknedal",62.907773,10.344235
17809,"134/17, Soknedal",62.952945,10.18793
17810,"147/29, Soknedal",62.949648,10.372452
17811,"148/10-2, Soknedal",62.945059,10.331653
17812,"144/1, Soknedal",62.951282,10.27574
17813,"148/5, Soknedal",62.932533,10.35531
17814,"144/2, Soknedal",62.951593,10.276108
17817,"160/2, Soknedal",62.903088,10.359214
17818,"155/2, Soknedal",62.860678,10.360437
17826,"108/10, Soknedal",62.808476,10.236931
17827,"107/4/3, Soknedal",62.84724,10.242804
17828,"107/1, Soknedal",62.799249,10.270078
17829,"107/19, Soknedal",62.849345,10.239199
17831,"121/1, Soknedal",62.833433,10.265035
17832,"117/9, Soknedal",62.897274,10.248067
17833,"118/2, Soknedal",62.904871,10.246129
17834,"115/6, Soknedal",62.882396,10.248499
17835,"115/2-2, Soknedal",62.88721,10.256375
17836,"110/2, Soknedal",62.868011,10.264085
17837,"130/18, Soknedal",62.934522,10.219985
17838,"130/5, Soknedal",62.916286,10.164099
17839,"129/1, Soknedal",62.94564,10.225592
17840,"127/4, Soknedal",62.942104,10.217171
17862,"400/1/7, Soknedal",62.818459,10.268167
17872,"73/16/1, Soknedal",63.02588,10.061336
17873,"400/1/53, Soknedal",62.816956,10.269586
17875,"400/1/55, Soknedal",62.799673,10.270842
17876,"100/10, Soknedal",62.902742,10.218231
17879,"400/1/54, Soknedal",62.798299,10.266959
17880,"4011/24, Soknedal",62.954094,10.178337
17885,"100/9, Soknedal",62.903517,10.217791
17890,"107/23, Soknedal",62.846709,10.232783
17895,"107/24, Soknedal",62.85094,10.242626
17896,"64/7, Soknedal",62.960285,10.345955
17897,"110/3, Soknedal",62.870759,10.271025
17898,"82/31, Soknedal",62.938168,10.19141
17902,"82/20, Soknedal",62.923793,10.148505
17903,"153/2, Soknedal",62.879939,10.396588
17904,"125/7-1, Soknedal",62.934529,10.24077
17905,"107/4, Soknedal",62.849753,10.24898
17906,"88/2, Soknedal",62.91048,10.131373
17907,"106/4, Soknedal",62.841005,10.267571
17908,"104/1, Soknedal",62.877038,10.231028
17909,"106/3, Soknedal",62.842467,10.262713
17913,"96/13, Soknedal",62.874177,10.172831
17916,"59/1, Støren",62.988154,10.270203
17922,"84/23, Soknedal",62.938973,10.058069
17930,"163/6, Soknedal",62.916271,10.318871
17931,"83/1-5, Soknedal",62.934968,10.180149
17933,"80/18, Soknedal",62.960402,10.165596
17936,"59/20, Støren",62.983293,10.294864
17937,"61/5, Støren",62.977115,10.327532
17938,"66/3, Soknedal",62.969283,10.36568
17939,"400/1/13, Soknedal",62.802203,10.267009
17940,"400/1/1, Soknedal",62.818483,10.264587
17941,"93/1, Soknedal",62.891876,10.132601
17942,"79/4, Soknedal",62.965428,10.168952
