,Navn,Long,Lat
11675,"276/1, Geitastrand",63.342917,9.861988
11717,"266/7, Geitastrand",63.378816,9.708981
11718,"301/1, Geitastrand",63.378264,9.777136
11719,"289/1/2, Geitastrand",63.431471,9.970841
11720,"289/1/1, Geitastrand",63.431622,9.972289
11721,"289/17, Geitastrand",63.433673,9.974303
11737,"270/2, Geitastrand",63.350834,9.783949
11741,"268/15, Geitastrand",63.34717,9.728582
11764,"273/22, Geitastrand",63.361485,9.863724
11777,"275/1-1, Geitastrand",63.346561,9.863496
11790,"290/1-1, Geitastrand",63.434204,9.97402
11791,"286/1-1, Geitastrand",63.395802,9.942715
29553,"Gjeiten Søndre, 289/1-1, Geitastrand",63.43117,9.970492
671928,"Ilflatvegen 12, Geitastrand",63.365065,9.925493
671930,"Fjellkjøsvegen 33, Geitastrand",63.359145,9.81821
671939,"Husdalsvegen 167, Geitastrand",63.365745,9.907617
674337,"Geitastrandvegen 824, Geitastrand",63.359769,9.919677
674338,"Geitastrandvegen 898, Geitastrand",63.365428,9.927644
674339,"Isdalsvegen 64, Geitastrand",63.362088,9.91682
674340,"Ilflatvegen 3, Geitastrand",63.364704,9.9273
674341,"Åstanvegen 16, Geitastrand",63.363166,9.925012
674342,"Åstanvegen 22, Geitastrand",63.363019,9.924147
674343,"Geitastrandvegen 908, Geitastrand",63.366563,9.928368
674344,"Geitastrandvegen 832, Geitastrand",63.36144,9.921278
674345,"Husdalsvegen 28, Geitastrand",63.369464,9.930893
674350,"Husdalsvegen 35, Geitastrand",63.370019,9.931231
674351,"Husdalsvegen 143, Geitastrand",63.366221,9.913273
674352,"Husdalsvegen 178, Geitastrand",63.36531,9.905606
674353,"Geitastrandvegen 840, Geitastrand",63.361991,9.921973
674354,"Geitastrandvegen 846, Geitastrand",63.362608,9.923894
674355,"Geitastrandvegen 844, Geitastrand",63.362408,9.922848
674356,"Geitastrandvegen 736, Geitastrand",63.353447,9.908031
674357,"Åsenvegen 9, Geitastrand",63.350304,9.902449
674358,"Åsenvegen 43, Geitastrand",63.349476,9.895856
