,Navn,Long,Lat
118323,"Gåsaneset hyttefelt 50, Agdenes",63.589679,9.756209
211134,"Øyangsveien 814, Agdenes",63.467085,9.712013
270181,"Lensvikveien 278, Agdenes",63.50389,9.826191
455443,"Gåsaneset hyttefelt 52, Agdenes",63.589288,9.756516
455512,"Tennelsveien 87, Agdenes",63.47959,9.838525
651136,"Fjølåsveien 39, Agdenes",63.482335,9.849305
856381,"Øyangsveien 785, Agdenes",63.471729,9.70888
916238,"Øyangsveien 765, Agdenes",63.470275,9.71793
1303487,"Harald Grønningens vei 6, Agdenes",63.505149,9.826307
1635332,"Myran 210, Agdenes",63.499103,9.820519
1635333,"Myran 212, Agdenes",63.499116,9.820408
1648573,"Gåsaneset hyttefelt 36, Agdenes",63.589686,9.758781
1650928,"Gåsaneset hyttefelt 47, Agdenes",63.590235,9.756571
1651629,"Gåsaneset hyttefelt 40, Agdenes",63.589716,9.757729
1652071,"Gåsaneset hyttefelt 44, Agdenes",63.590068,9.7571
1668922,"Skilbreidveien 713, Agdenes",63.404786,9.765574
1690669,"Ingdalsveien 612, Agdenes",63.483107,9.853183
1703183,"Grostadveien 175, Agdenes",63.449884,9.885347
1709883,"Ingdalsveien 296, Agdenes",63.465542,9.895384
1721544,"Nordåsen hyttefelt 41, Agdenes",63.566511,9.771662
1730829,"Nordåsen hyttefelt 45, Agdenes",63.566141,9.772172
1731303,"Volladalen 76, Agdenes",63.503338,9.816113
1766651,"Volladalen 47, Agdenes",63.503553,9.820611
1775474,"Volladalen 72, Agdenes",63.503432,9.817143
1775634,"Skilbreidveien 462, Agdenes",63.44168,9.749989
1778826,"Øyangsveien 496, Agdenes",63.475605,9.763537
1785720,"Nordåsen hyttefelt 57, Agdenes",63.564607,9.774199
1789744,"Volladalen 45, Agdenes",63.503675,9.821103
1796657,"Slettaveien 32, Agdenes",63.47947,9.787659
1801297,"Nordåsen hyttefelt 49, Agdenes",63.565433,9.770156
1823487,"Myran 102, Agdenes",63.500517,9.822761
1828613,"Landrøsveien 47, Agdenes",63.515193,9.793124
1833639,"Langdalshaugen 4, Agdenes",63.50938,9.788022
1835145,"Slettaveien 86, Agdenes",63.476403,9.778765
