,Navn,Long,Lat
11369,"426/5, Løkken",63.103007,9.713428
11454,"466/2, Løkken",63.094073,9.705128
11455,"426/3, Løkken",63.105192,9.708125
11472,"458/7, Løkken",63.082746,9.764073
11473,"458/25, Løkken",63.084632,9.766059
11499,"421/7, Løkken",63.081817,9.743003
11529,"442/10/1, Løkken",63.097858,9.845136
11530,"458/84, Løkken",63.082572,9.772899
11531,"458/83, Løkken",63.083061,9.773451
11567,"464/2, Løkken",63.113011,9.735126
11571,"473/3, Løkken",63.06597,9.80786
11573,"469/6, Løkken",63.085205,9.701618
11575,"459/1, Løkken",63.087451,9.751879
11585,"458/88, Løkken",63.08346,9.771299
11586,"463/1-1, Løkken",63.115405,9.74618
11630,"469/47, Løkken",63.089647,9.701852
11658,"458/82, Løkken",63.080504,9.761581
11663,"459/1-1, Løkken",63.087698,9.751113
11664,"428/124, Løkken",63.12027,9.698527
11789,"87/17, Orkland",63.158668,9.718011
29031,"458/89, Løkken",63.08055,9.76456
29163,"458/91, Løkken",63.083291,9.774859
29750,"458/94, Løkken",63.083775,9.77324
29992,"426/4, Løkken",63.099628,9.737025
30240,"458/93, Løkken",63.08,9.764217
30798,"442/9, Løkken",63.093509,9.808739
31089,"442/1/7, Løkken",63.103027,9.869175
31479,"458/95, Løkken",63.082997,9.770598
34525,"476/3, Løkken",63.100803,9.821617
34526,"442/1/6, Løkken",63.092432,9.795161
34532,"471/1, Løkken",63.079962,9.713194
36479,"476/3-1, Løkken",63.100007,9.817694
43506,"429/12, Løkken",63.127646,9.673094
669478,"Bjørnliveien 8, Løkken",63.123625,9.695197
669479,"Bjørnliveien 6, Løkken",63.123676,9.695753
669480,"Bjørnliveien 2, Løkken",63.132961,9.705734
671990,"Øvre Brakkan 5, Løkken",63.124837,9.697548
672001,"Løvbytunet 1, Løkken",63.107856,9.700708
672002,"Løvbytunet 5, Løkken",63.10817,9.700557
672003,"Løvbytunet 4, Løkken",63.108089,9.700553
672004,"Løvbytunet 3, Løkken",63.108025,9.70071
672005,"Løvbytunet 2, Løkken",63.107944,9.700708
672010,"Fagerlia 16, Løkken",63.123351,9.675661
672011,"Fagerlia 15, Løkken",63.12381,9.675434
672012,"Fagerlia 13, Løkken",63.124155,9.676512
672053,"Nyanlegget 1, Løkken",63.131285,9.670074
672054,"Smedhaugen 5, Løkken",63.125349,9.69368
672055,"Øvre Brakkan 23, Løkken",63.127305,9.698815
672056,"Jordhusmoen 7, Løkken",63.139095,9.714076
672057,"Nedre Langenglia 17, Løkken",63.133545,9.710512
672058,"Nedre Langenglia 7, Løkken",63.131523,9.71149
672059,"Nedre Langenglia 9, Løkken",63.131613,9.711472
672060,"Skolegata 19, Løkken",63.127198,9.708523
672061,"Villaveien 16, Løkken",63.127354,9.710595
