,Navn,Long,Lat
1455130,"Brekkmoen 13, Brekken",62.646923,11.869801
1455131,"Grendaveien 2, Brekken",62.646926,11.873607
1455132,"Brekkmoen 7, Brekken",62.646662,11.868096
1455133,"Mellomriksveien 41, Brekken",62.646495,11.873175
1455134,"Brekkmoen 5, Brekken",62.646591,11.867582
1455135,"Grendaveien 6, Brekken",62.64731,11.873742
1455136,"Brekkveien 3221, Brekken",62.645642,11.86261
1455137,"Brekkmoen 3, Brekken",62.64654,11.86703
1455138,"Mellomriksveien 45, Brekken",62.64645,11.87403
1455139,"Mellomriksveien 33, Brekken",62.64542,11.870416
1455140,"Brekkmoen 9, Brekken",62.646766,11.868692
1455141,"Brekkmoen 11, Brekken",62.646835,11.869284
1455142,"Grendaveien 8, Brekken",62.647146,11.874253
1455143,"Mellomriksveien 132, Brekken",62.641803,11.888608
1455144,"Mellomriksveien 105, Brekken",62.642283,11.882741
1455145,"Mellomriksveien 129, Brekken",62.64201,11.885115
1455146,"Mellomriksveien 905, Brekken",62.640029,12.030778
1455147,"Mellomriksveien 895, Brekken",62.63961,12.029355
1455148,"Mellomriksveien 897, Brekken",62.638727,12.026195
1455152,"Mellomriksveien 134, Brekken",62.642076,11.887991
1455153,"Mellomriksveien 81, Brekken",62.644821,11.879025
1455154,"Mellomriksveien 78, Brekken",62.646308,11.879189
1455155,"Mellomriksveien 56, Brekken",62.646969,11.87939
1455156,"Mellomriksveien 77, Brekken",62.644998,11.878711
1455157,"Grendaveien 12, Brekken",62.647325,11.874987
1455158,"Grendaveien 10, Brekken",62.647163,11.874763
1455159,"Mellomriksveien 75, Brekken",62.645116,11.878214
1455160,"Tamnesveien 2018, Brekken",62.647238,11.844219
1455161,"Brekkveien 3162, Brekken",62.646553,11.84878
1455162,"Brekkmoen 49, Brekken",62.64721,11.866744
1455163,"Brekkmoen 47, Brekken",62.646982,11.866937
1455164,"Sjøvollen, Tamnesveien 1852, Brekken",62.656333,11.818203
1455165,"Tamnesveien 1992, Brekken",62.649044,11.838457
1455166,"Tamnesveien 2041, Brekken",62.644857,11.846919
1455167,"Brekkveien 3164, Brekken",62.645454,11.851134
1455168,"Brekkmoen 55, Brekken",62.648124,11.866422
1455169,"Brekkmoen 27, Brekken",62.647876,11.86714
1455170,"Brekkmoen 64, Brekken",62.649874,11.865635
1455171,"Brekkmoen 61, Brekken",62.649338,11.866364
1455172,"Brekkmoen 51, Brekken",62.647466,11.866554
1455173,"Tjønnmoen 36, Brekken",62.648402,11.86643
1455174,"Borgosveien 16, Brekken",62.649588,11.862483
1455175,"Brekkmoen 29, Brekken",62.647808,11.866489
1455176,"Brekkmoen 66, Brekken",62.650306,11.865579
1455177,"Brekkmoen 60, Brekken",62.649046,11.86573
1455178,"Brekkmoen 62, Brekken",62.649478,11.865655
1455179,"Brekkmoen 54, Brekken",62.647858,11.86583
1455180,"Tjønnmoen 30, Brekken",62.648292,11.867005
1455181,"Brekkmoen 58, Brekken",62.648686,11.865735
1455182,"Brekkmoen 63, Brekken",62.649761,11.866307
1455183,"Brekkmoen 56, Brekken",62.648209,11.865806
1455184,"Borgosveien 27, Brekken",62.651796,11.851568
1455185,"Borgosveien 38, Brekken",62.647992,11.856629
1455186,"Brekkveien 3208, Brekken",62.64617,11.858308
1455187,"Brekkmoen 52, Brekken",62.647518,11.865759
1455188,"Borgosveien 42, Brekken",62.64872,11.855294
1455189,"Borgosveien 72, Brekken",62.648797,11.851514
1455200,"Tamnesveien 301, Brekken",62.626882,11.786301
1455205,"Tamnesveien 440, Brekken",62.627762,11.759092
1455206,"Tamnesveien 629, Brekken",62.638275,11.730916
1455207,"Tamnesveien 1008, Brekken",62.660009,11.681207
1455208,"Tamnesveien 55, Brekken",62.633401,11.82582
1455209,"Tamnesveien 274, Brekken",62.624992,11.788757
1455210,"Tamnesveien 312, Brekken",62.626003,11.784424
1455211,"Tamnesveien 1975, Brekken",62.6467,11.833978
1455212,"Tamnesveien 1996, Brekken",62.649471,11.839123
1455213,"Brekkveien 3090, Brekken",62.643663,11.837611
1455214,"Sjøvollen, Tamnesveien 1832, Brekken",62.65645,11.81464
1455215,"Tamnesveien 1068, Brekken",62.665113,11.681532
1455216,"Tamnesveien 1055, Brekken",62.663505,11.683007
1455217,"Tamnesveien 1082, Brekken",62.666532,11.681113
1455218,"Tamnesveien 1092, Brekken",62.668134,11.680457
1455228,"Brekkveien 2767, Brekken",62.613195,11.867146
1455496,"Aursundveien 2968, Brekken",62.668666,11.865577
1455499,"Aursundveien 2934, Brekken",62.672238,11.87542
1455524,"Grendaveien 53, Brekken",62.650429,11.878346
1455525,"Grendaveien 51, Brekken",62.650583,11.879214
1455526,"Grendaveien 46, Brekken",62.65006,11.876818
1455527,"Aursundveien 2729, Brekken",62.673903,11.834645
1455528,"Tjønnmoen 14, Brekken",62.647656,11.869091
1455529,"Tjønnmoen 12, Brekken",62.647539,11.869548
