,Navn,Long,Lat
1455242,"Erliveien 103, Glåmos",62.641573,11.433087
1455247,"Vintervollveien 35, Glåmos",62.632896,11.398881
1455248,"Bentvollveien 71, Glåmos",62.634682,11.41512
1455249,"Råveien 218, Brekken",62.703891,11.740295
1455250,"Aursundveien 2297, Brekken",62.685972,11.761407
1455251,"Råvollveien 455, Brekken",62.771848,11.871087
1455253,"Aursundveien 1926, Brekken",62.686224,11.693978
1455254,"Aursundveien 1938, Brekken",62.68631,11.69555
1455255,"Råveien 300, Brekken",62.710129,11.748795
1455256,"Råveien 186, Brekken",62.701025,11.739423
1455282,"Bukkvollveien 143, Glåmos",62.655068,11.544762
1455289,"Bukkvollveien 456, Glåmos",62.633478,11.582716
1455290,"Bukkvollveien 411, Glåmos",62.637858,11.579005
1455291,"Bukkvollveien 412, Glåmos",62.63744,11.58172
1455292,"Bukkvollveien 386, Glåmos",62.640704,11.581029
1455293,"Aursundveien 2319, Brekken",62.68622,11.763835
1455296,"Aursundveien 1724, Brekken",62.67994,11.661379
1455297,"Bekkosveien 41, Glåmos",62.666772,11.531013
1455298,"Aursundveien 729, Glåmos",62.690455,11.484249
1455299,"Aursundveien 682, Glåmos",62.694513,11.480777
1455300,"Børsetdalsveien 17, Glåmos",62.687351,11.50023
1455301,"Bukkvollveien 384, Glåmos",62.641083,11.580457
1455302,"Bukkvollveien 154, Glåmos",62.655882,11.551579
1455303,"Bukkvollveien 96, Glåmos",62.659929,11.546362
1455304,"Vikliveien 156, Glåmos",62.649911,11.52772
1455305,"Aursundveien 1708, Brekken",62.680498,11.658373
1455306,"Aursundveien 1634, Brekken",62.679509,11.645969
1455307,"Aursundveien 1713, Brekken",62.67971,11.658349
1455308,"Aursundveien 1808, Brekken",62.681058,11.674357
1455309,"Aursundveien 876, Glåmos",62.6844,11.509068
1455310,"Aursundveien 901, Glåmos",62.68296,11.51211
1455311,"Aursundveien 1454, Glåmos",62.685764,11.61433
1455312,"Aursundveien 1355, Glåmos",62.690225,11.597073
1455314,"Grubbveien 90, Glåmos",62.678865,11.403638
1455315,"Grubbveien 70, Glåmos",62.680186,11.400951
1455316,"Johan Falkbergets vei 1347, Glåmos",62.682928,11.391306
1455317,"Johan Falkbergets vei 1401, Glåmos",62.687001,11.384697
1455318,"Lerdalsveien 10, Glåmos",62.67727,11.409214
1455319,"Lerdalsveien 30, Glåmos",62.67858,11.408988
1455320,"Aursundveien 97, Glåmos",62.673829,11.416084
1455321,"Aursundveien 76, Glåmos",62.67511,11.413101
1455322,"Johan Falkbergets vei 1653, Glåmos",62.707251,11.367241
1455323,"Johan Falkbergets vei 1696, Glåmos",62.709772,11.362006
1455324,"Johan Falkbergets vei 1682, Glåmos",62.707689,11.359884
1455325,"Johan Falkbergets vei 1419, Glåmos",62.68837,11.38338
1455326,"Johan Falkbergets vei 1373, Glåmos",62.684531,11.386862
1455327,"Johan Falkbergets vei 1369, Glåmos",62.685569,11.389193
1455328,"Johan Falkbergets vei 1417, Glåmos",62.687832,11.383884
1455329,"Johan Falkbergets vei 1941, Glåmos",62.726887,11.332551
1455330,"Mugghølslia 15, Glåmos",62.731913,11.321341
1455331,"Johan Falkbergets vei 2023, Glåmos",62.733882,11.326096
1455332,"Ivervollveien 13, Glåmos",62.729802,11.33057
1455333,"Johan Falkbergets vei 1685, Glåmos",62.709633,11.363872
1455334,"Johan Falkbergets vei 1811, Glåmos",62.71806,11.348699
1455335,"Johan Falkbergets vei 1787, Glåmos",62.71663,11.351481
1455336,"Arvdalslina 91, Glåmos",62.722608,11.329572
1455337,"Johan Falkbergets vei 2124, Glåmos",62.742309,11.325311
1455338,"Johan Falkbergets vei 2107, Glåmos",62.740943,11.32534
1455339,"Johan Falkbergets vei 2077, Glåmos",62.737358,11.326546
