,Navn,Long,Lat
17830,"220/1, Singsås",62.97877,10.569834
17841,"Reitstøa, 240/1, Singsås",62.979655,10.937073
17842,"Reitstøa, 243/1, Singsås",62.972333,10.892985
17843,"232/4, Singsås",62.961897,10.829177
17844,"Reitstøa, 243/2, Singsås",62.973082,10.894469
17845,"257/3, Singsås",62.942654,10.678384
17846,"249/8, Singsås",62.924481,10.707046
17847,"263/33, Singsås",62.868173,10.797254
17848,"263/10/4, Singsås",62.866938,10.791281
17849,"263/10/1, Singsås",62.869279,10.798501
17850,"263/10/2, Singsås",62.866528,10.789624
17851,"263/32, Singsås",62.86892,10.797103
17852,"276/6, Singsås",62.974768,10.512068
17853,"273/14, Singsås",62.944394,10.541542
17854,"273/1-4, Singsås",62.961386,10.558095
17855,"270/35-1, Singsås",62.942067,10.651271
17856,"277/20, Singsås",62.947473,10.535751
17857,"278/4, Singsås",62.974755,10.557919
17858,"277/1, Singsås",62.972139,10.561987
17859,"276/10, Singsås",62.97006,10.519084
17860,"276/8, Singsås",62.972268,10.509118
17863,"282/8, Singsås",62.927356,10.481081
17865,"230/14, Singsås",62.950559,10.75462
17866,"225/2, Singsås",62.942962,10.669848
17867,"230/111, Singsås",62.949721,10.754331
17868,"240/4, Singsås",62.979851,10.935803
17869,"240/5, Singsås",62.978986,10.938035
17881,"220/35, Singsås",63.066604,10.623925
17894,"288/7, Singsås",62.99223,10.955538
17899,"307/1, Singsås",62.958252,10.893928
17900,"245/1, Singsås",62.950154,10.864896
17901,"268/2, Singsås",62.903152,10.694153
17910,"234/1, Singsås",62.971099,10.873336
17914,"278/17-1, Singsås",62.973417,10.561221
17917,"278/17, Singsås",62.973793,10.560455
17918,"230/141, Singsås",62.950451,10.751504
17919,"233/2, Singsås",62.962633,10.864271
17920,"263/7, Singsås",62.899173,10.706262
17923,"247/1, Singsås",62.934899,10.898665
17924,"288/1, Singsås",63.021708,10.975457
17925,"214/16, Singsås",63.04465,10.603661
17927,"291/2, Singsås",62.916869,10.869737
17943,"214/25, Singsås",63.042843,10.600947
17944,"220/38, Singsås",63.064783,10.615194
17945,"220/37, Singsås",63.066437,10.612674
17946,"284/7, Singsås",62.941558,10.510748
17947,"282/6, Singsås",62.961911,10.494464
17948,"242/1, Singsås",62.983521,10.924125
17949,"253/1, Singsås",62.950788,10.724567
17950,"235/1, Singsås",62.98167,10.888339
17951,"289/3, Singsås",62.926857,10.934805
17952,"290/3, Singsås",62.920221,10.928953
17953,"289/1, Singsås",62.926548,10.934922
17954,"289/2, Singsås",62.927321,10.936313
17955,"290/6, Singsås",62.920392,10.928659
17956,"290/2, Singsås",62.920617,10.92755
17957,"231/8, Singsås",62.957192,10.790707
17960,"263/10/5, Singsås",62.867325,10.794056
17961,"263/39, Singsås",62.868599,10.79553
17962,"405/1/19, Singsås",62.935129,10.898105
17965,"406/1/1, Singsås",62.97834,10.957573
17978,"290/13, Singsås",62.919194,10.929258
17979,"240/6, Singsås",62.979617,10.937209
17981,"217/7, Singsås",63.040816,10.624562
17982,"274/9, Singsås",62.946058,10.54366
17984,"288/4, Singsås",62.992492,10.954114
17987,"302/2, Budal",62.817439,10.842986
17990,"230/203-2, Singsås",62.952855,10.74383
18016,"272/2-1, Singsås",62.949854,10.61528
18018,"230/23-2, Singsås",62.934881,10.897954
18019,"221/29-1, Singsås",62.974194,10.561578
18020,"263/18, Singsås",62.863077,10.782849
18021,"265/14, Singsås",62.865756,10.783975
18022,"221/22, Singsås",63.048285,10.633032
18023,"221/11, Singsås",63.046727,10.634982
18024,"221/20, Singsås",63.047747,10.633734
18025,"301/2, Budal",62.816477,10.841042
18026,"218/8, Singsås",63.037103,10.623271
18027,"214/8, Singsås",63.040602,10.623486
18028,"214/24, Singsås",63.044383,10.60208
18029,"214/10, Singsås",63.042609,10.60489
18030,"214/23, Singsås",63.04481,10.597634
18031,"228/10, Singsås",62.969525,10.694877
18032,"282/25, Singsås",62.962474,10.495014
18033,"228/9/1, Singsås",62.964865,10.693277
18047,"221/1-1, Singsås",62.968359,10.583301
18051,"273/3-2, Singsås",62.966529,10.579178
18052,"247/4-1, Singsås",62.956865,10.807941
18053,"230/20-2, Singsås",62.923988,10.934478
18056,"261/1-1, Singsås",62.927,10.708821
18059,"223/19-1, Singsås",62.954543,10.630621
18060,"281/1-2, Singsås",62.97047,10.480521
18061,"263/1-2, Singsås",62.90636,10.699181
18064,"270/3-1, Singsås",62.929918,10.651493
18066,"223/3-1, Singsås",62.951862,10.635026
18070,"281/2-2, Singsås",62.968026,10.479845
18077,"230/38-1, Singsås",62.959806,10.71921
18080,"407/1/1, Singsås",63.053914,10.993369
18082,"241/2, Singsås",62.980455,10.931067
18125,"221/23, Singsås",63.047937,10.634357
18158,"214/17, Singsås",63.042722,10.602127
18159,"214/15, Singsås",63.042562,10.603562
18174,"221/30, Singsås",63.042338,10.637959
18175,"230/55-1, Singsås",62.947603,10.757181
18176,"217/11, Singsås",63.060524,10.604431
18177,"217/10, Singsås",63.060097,10.600114
18178,"Sveatangen, 217/9, Singsås",63.044617,10.629285
18179,"218/15, Singsås",63.055174,10.621784
18180,"217/12, Singsås",63.043499,10.627602
18181,"217/13, Singsås",63.040799,10.630517
18182,"291/4, Singsås",62.916925,10.868986
18183,"294/2, Budal",62.8273,10.836575
18184,"291/1, Singsås",62.917329,10.868303
18185,"291/3, Singsås",62.917336,10.86984
18186,"290/7, Singsås",62.920523,10.929187
18187,"290/8, Singsås",62.920473,10.929578
18188,"290/1, Singsås",62.919415,10.928839
18189,"290/5, Singsås",62.919898,10.928949
18190,"290/11, Singsås",62.919294,10.928496
18191,"290/12, Singsås",62.920008,10.930099
18192,"290/9, Singsås",62.920235,10.929917
18193,"290/10, Singsås",62.919601,10.929009
18194,"300/3, Budal",62.778614,10.847342
18195,"266/3, Singsås",62.883902,10.698845
18196,"266/6, Singsås",62.86583,10.756655
18197,"265/24, Singsås",62.845628,10.800866
18198,"265/25, Singsås",62.86914,10.785438
18199,"249/7, Singsås",62.936916,10.924681
18200,"249/4, Singsås",62.936973,10.925147
18201,"249/5, Singsås",62.936886,10.925299
18202,"248/4, Singsås",62.924826,10.866279
18203,"249/3, Singsås",62.937148,10.924709
18210,"403/1/6, Budal",62.802269,10.864952
18211,"405/1/10, Singsås",62.934637,10.899206
18214,"405/1/1, Singsås",62.92956,10.904576
18215,"405/1/9, Singsås",62.934967,10.897334
18265,"245/1-1, Singsås",62.950123,10.86517
18268,"237/1-1, Singsås",62.988182,10.931321
18270,"245/3-2, Singsås",62.99231,10.953035
18279,"236/1-4, Singsås",63.054614,10.94037
18280,"236/1-5, Singsås",62.975528,10.895125
18289,"247/4-2, Singsås",62.934958,10.899615
18292,"179/1-3, Singsås",62.980707,10.542311
18296,"272/5-1, Singsås",62.927129,10.543274
18297,"272/9-3, Singsås",62.94216,10.580387
18298,"272/5-2, Singsås",62.944604,10.578548
18300,"270/1-1, Singsås",62.91382,10.62759
18301,"268/2-1, Singsås",62.900263,10.68578
18302,"214/20, Singsås",63.042006,10.606614
18304,"214/13, Singsås",63.043383,10.610291
18308,"263/10/9, Singsås",62.866072,10.790894
18309,"Tabu, 214/9, Singsås",63.040098,10.616576
18310,"Prytsvoll, 214/14, Singsås",63.045334,10.601321
18320,"281/1-4, Singsås",62.93769,10.502155
18321,"281/1-5, Singsås",62.970124,10.480128
18326,"234/2-2, Singsås",62.967624,10.874492
18327,"258/9-1, Singsås",62.940246,10.658007
18328,"258/9-2, Singsås",62.940469,10.658197
18332,"223/4-1, Singsås",62.951256,10.635387
18333,"232/2-2, Singsås",62.963313,10.828674
18337,"272/5-4, Singsås",62.945123,10.573944
18338,"272/5-3, Singsås",62.95125,10.595919
18350,"287/2, Singsås",63.09593,10.717133
18351,"291/2-1, Singsås",62.916834,10.869768
18353,"273/1-2, Singsås",62.942501,10.54631
18354,"282/9-2, Singsås",62.926663,10.483843
18355,"220/1-2, Singsås",63.065857,10.624121
18356,"234/11-1, Singsås",62.967845,10.876735
18357,"220/2-2, Singsås",63.067075,10.625139
18360,"220/1-3, Singsås",63.065866,10.624121
18382,"Kråkslottet, 218/9, Singsås",63.035666,10.626493
18402,"Eggevollen, 217/8, Singsås",63.039204,10.629538
18403,"Fjellbu, 216/5-1, Singsås",63.047778,10.586799
18404,"408/1/29, Singsås",63.072089,10.710869
18408,"221/2-1, Singsås",63.047633,10.634261
18409,"408/1/12, Singsås",63.071682,10.706946
18410,"408/1/2, Singsås",63.07301,10.706715
18411,"221/2-3, Singsås",63.047738,10.634504
18412,"233/1/1, Singsås",62.997467,10.851347
18414,"221/1-2, Singsås",63.047747,10.633714
18418,"Burustua, 221/24, Singsås",63.043024,10.635328
18419,"Arebu, 220/25, Singsås",63.065754,10.622947
18420,"263/3-4, Singsås",62.848986,10.796592
18421,"230/18-1, Singsås",62.957209,10.71481
18422,"263/3-2, Singsås",62.898862,10.719311
18423,"233/1-1, Singsås",62.970748,10.860922
18424,"231/2-1, Singsås",63.012665,10.804934
18459,"263/3-7, Singsås",62.898885,10.71888
18460,"263/3-9, Singsås",62.898574,10.719393
18464,"405/1, Singsås",62.929662,10.796629
18465,"405/1-2, Singsås",62.934829,10.899843
18473,"240/3, Singsås",62.979325,10.936203
18477,"288/5, Singsås",62.991458,10.955585
18488,"408/1/34, Singsås",63.072821,10.707113
18500,"272/2-5, Singsås",62.951694,10.622341
18501,"272/2-4, Singsås",62.943206,10.579304
18503,"227/9-2, Singsås",62.956291,10.703832
18504,"227/9-3, Singsås",62.955923,10.70385
18505,"227/9-4, Singsås",62.955969,10.703794
18506,"227/9-5, Singsås",62.956041,10.703719
18507,"227/9-1, Singsås",62.956317,10.703932
18511,"Rekkebu, 221/26, Singsås",63.043599,10.636112
18512,"Granodden, 221/27, Singsås",63.04981,10.626036
18513,"Nilsbu, 221/28, Singsås",63.04648,10.635383
18514,"Annebu, 221/25, Singsås",63.044184,10.635176
26777,"277/23, Singsås",62.948353,10.533291
30441,"245/1/1, Singsås",62.950218,10.865472
30766,"408/1/7, Singsås",63.093819,10.717247
31276,"248/5, Singsås",62.924824,10.866397
31999,"249/9, Singsås",62.936741,10.925045
33031,"218/1-1, Singsås",63.034729,10.627589
33033,"408/1/13, Singsås",63.097564,10.699907
33107,"230/201-1, Singsås",62.954913,10.724779
33175,"225/2-2, Singsås",62.942785,10.669621
33183,"214/30, Singsås",63.046166,10.607006
33200,"214/28, Singsås",63.044496,10.611006
33228,"214/1-2, Singsås",63.044586,10.596633
33277,"215/1-2, Singsås",63.000536,10.562299
33295,"274/6, Singsås",62.947836,10.5481
33299,"274/7, Singsås",62.945619,10.544006
33322,"405/1-4, Singsås",62.920797,10.835334
33324,"217/1-2, Singsås",63.042687,10.626357
33325,"408/1-6, Singsås",63.099348,10.689608
33326,"230/2-2, Singsås",62.956268,10.712941
33352,"289/1-2, Singsås",62.926209,10.935621
33355,"288/6, Singsås",62.991478,10.955965
33356,"289/4, Singsås",62.926832,10.936244
33364,"230/119-1, Singsås",62.95535,10.723057
34289,"408/1/41, Singsås",63.071173,10.711635
34299,"408/1/47, Singsås",63.070857,10.713618
34379,"408/1/45, Singsås",63.071365,10.714125
34712,"408/1/50, Singsås",63.070485,10.716189
34770,"408/1/53, Singsås",63.070121,10.713063
35509,"214/1/6, Singsås",63.046416,10.605814
35695,"230/24, Singsås",62.954341,10.73997
35721,"224/9, Singsås",62.944999,10.639292
35852,"408/1/54, Singsås",63.06989,10.712364
36012,"408/1/46, Singsås",63.071254,10.714935
37110,"263/10/8, Singsås",62.869049,10.80028
37201,"408/1/42, Singsås",63.071655,10.712049
37202,"408/1/40, Singsås",63.070967,10.710819
37344,"214/1/3, Singsås",63.044757,10.607415
37653,"408/1/12-1, Singsås",63.071653,10.706898
37725,"286/2, Singsås",63.098068,10.694492
37726,"286/4, Singsås",63.09847,10.69384
37727,"286/3, Singsås",63.098235,10.693199
37992,"408/1/48, Singsås",63.070881,10.71526
38216,"1030/42, Singsås",62.949283,10.761689
38806,"263/71, Singsås",62.837777,10.805534
40657,"214/29, Singsås",63.044494,10.608375
41778,"250/1-2, Singsås",62.949504,10.74595
