,Navn,Long,Lat
10656,"104/17, Berkåk",62.727518,9.837861
10657,"104/28, Berkåk",62.728189,9.838115
10658,"104/16, Berkåk",62.728949,9.840296
10659,"102/13, Berkåk",62.729703,9.840192
10725,"104/21, Berkåk",62.728399,9.834521
10726,"104/24, Berkåk",62.728892,9.836218
10727,"104/15, Berkåk",62.729656,9.837472
10728,"104/22, Berkåk",62.729995,9.839457
10729,"102/21, Berkåk",62.731548,9.827407
10805,"112/16, Berkåk",62.731843,9.857372
10806,"102/24, Berkåk",62.729002,9.859657
10807,"112/15, Berkåk",62.729538,9.861531
10808,"102/3, Berkåk",62.729714,9.866387
10809,"107/36, Berkåk",62.734077,9.869235
10810,"107/1, Berkåk",62.733292,9.871169
10811,"107/37, Berkåk",62.732932,9.873016
10812,"107/28, Berkåk",62.732558,9.869621
10813,"102/10, Berkåk",62.726704,9.869992
10814,"102/17, Berkåk",62.727148,9.869207
10815,"106/29, Berkåk",62.734024,9.863246
10816,"102/4, Berkåk",62.729765,9.859115
10817,"112/13, Berkåk",62.731446,9.864638
10818,"102/6, Berkåk",62.729956,9.845912
10819,"102/23, Berkåk",62.730471,9.842288
10820,"112/12, Berkåk",62.731893,9.855065
10821,"112/17, Berkåk",62.732646,9.855263
10845,"102/18, Berkåk",62.721304,9.895123
10846,"102/22, Berkåk",62.723669,9.893973
10847,"102/7, Berkåk",62.722494,9.887006
10848,"102/19, Berkåk",62.722921,9.887605
10849,"102/8, Berkåk",62.723338,9.883786
10850,"102/20, Berkåk",62.722124,9.883161
10851,"107/35, Berkåk",62.734449,9.870048
10852,"103/14, Berkåk",62.736139,9.879705
10853,"103/19, Berkåk",62.735759,9.884449
10854,"103/10, Berkåk",62.732777,9.879097
10936,"106/35, Berkåk",62.760433,9.884557
10977,"110/33, Berkåk",62.805018,9.945424
10984,"109/16, Berkåk",62.739936,9.889627
10985,"110/27, Berkåk",62.74236,9.886397
10986,"110/13, Berkåk",62.740176,9.882953
10987,"110/14, Berkåk",62.740238,9.88218
10988,"113/11, Berkåk",62.750373,9.885904
10989,"110/12, Berkåk",62.746515,9.876961
10990,"113/23, Berkåk",62.743418,9.897302
10991,"113/22, Berkåk",62.742577,9.894165
10992,"113/13, Berkåk",62.741954,9.894335
10993,"113/16, Berkåk",62.741954,9.893277
10994,"113/19, Berkåk",62.742906,9.893039
10997,"113/21, Berkåk",62.741936,9.895613
10999,"109/15, Berkåk",62.740626,9.897395
11000,"113/18, Berkåk",62.746601,9.895923
11046,"107/2, Berkåk",62.733741,9.87126
11064,"111/5, Berkåk",62.741165,9.896263
11109,"110/39, Berkåk",62.742707,9.88581
11115,"106/30, Berkåk",62.74148,9.902312
11116,"109/18, Berkåk",62.739352,9.896944
11118,"107/30, Berkåk",62.741893,9.8987
11119,"104/18, Berkåk",62.730132,9.837227
11127,"102/11, Berkåk",62.73159,9.835884
11136,"109/20, Berkåk",62.727837,9.839983
11137,"109/21, Berkåk",62.727312,9.842041
11138,"109/19, Berkåk",62.727543,9.842617
11166,"102/14, Berkåk",62.731089,9.832472
11167,"102/12, Berkåk",62.724243,9.891459
11168,"94/8, Berkåk",62.737249,9.844491
11183,"107/57, Berkåk",62.733248,9.869467
11184,"107/56, Berkåk",62.733991,9.870093
11227,"110/1-2, Berkåk",62.742306,9.883921
11228,"106/29-1, Berkåk",62.734184,9.863584
11229,"106/3-2, Berkåk",62.754241,9.900137
11230,"106/2-2, Berkåk",62.734089,9.865929
11263,"113/4-1, Berkåk",62.744863,9.893301
11264,"113/1-1, Berkåk",62.744317,9.892534
11265,"112/1-1, Berkåk",62.731674,9.861476
11266,"110/4-1, Berkåk",62.744296,9.887307
11277,"103/20, Berkåk",62.733108,9.876488
11278,"110/30, Berkåk",62.741948,9.887002
11331,"113/14, Berkåk",62.744409,9.88508
11332,"104/19, Berkåk",62.727524,9.836697
11340,"119/11, Berkåk",62.772622,9.919354
11414,"110/32, Berkåk",62.741602,9.887442
32341,"100/21, Berkåk",62.73077,9.82499
32369,"110/12-1, Berkåk",62.746687,9.878106
32376,"102/13-1, Berkåk",62.729781,9.840016
32377,"112/4-2, Berkåk",62.731595,9.859577
32378,"112/1-2, Berkåk",62.731785,9.861711
33014,"103/31, Berkåk",62.73494,9.874618
33015,"106/31, Berkåk",62.746032,9.898211
34602,"103/2, Berkåk",62.756683,9.809685
34603,"98/4, Berkåk",62.754973,9.809699
35821,"110/14-1, Berkåk",62.740148,9.88196
41610,"103/47, Berkåk",62.733736,9.902044
670504,"Rennebuskogen 845, Berkåk",62.799485,10.000507
670511,"Rennebuskogen 640, Berkåk",62.786912,9.974559
670512,"Rennebuskogen 663, Berkåk",62.789045,9.976277
670513,"Rennebuskogen 714, Berkåk",62.792805,9.979048
670514,"Rennebuskogen 560, Berkåk",62.780479,9.971545
670515,"Rennebuskogen 439, Berkåk",62.769581,9.970363
670516,"Rennebuskogen 619, Berkåk",62.785328,9.973782
670517,"Rennebuskogen 584, Berkåk",62.78216,9.973756
670518,"Rennebuskogen 610, Berkåk",62.784125,9.975173
670519,"Rennebuskogen 815, Berkåk",62.798459,9.994609
670520,"Rennebuskogen 844, Berkåk",62.797085,9.998484
670521,"Rennebuskogen 806, Berkåk",62.795512,9.993647
670522,"Rennebuskogen 173, Berkåk",62.747539,9.965861
670523,"Rennebuskogen 196, Berkåk",62.750045,9.965571
670524,"Gamle Kongevei 2508, Berkåk",62.744185,9.955389
670525,"Rennebuskogen 313, Berkåk",62.759745,9.968767
670526,"Rennebuskogen 212, Berkåk",62.748063,9.973329
670527,"Gamle Kongevei 2577, Berkåk",62.751464,9.960292
670528,"Rennebuskogen 290, Berkåk",62.757227,9.970741
670529,"Rennebuskogen 315, Berkåk",62.759687,9.969294
670530,"Rennebuskogen 597, Berkåk",62.783484,9.973113
670531,"Rennebuskogen 497, Berkåk",62.775126,9.969331
670532,"Rennebuskogen 533, Berkåk",62.778114,9.970801
670533,"Rennebuskogen 495, Berkåk",62.77388,9.969133
670534,"Rennebuskogen 534, Berkåk",62.778053,9.971896
670535,"Rennebuskogen 513, Berkåk",62.776876,9.968134
670536,"Rennebuskogen 532, Berkåk",62.776059,9.97328
670537,"Rennebuskogen 527, Berkåk",62.777643,9.970119
670612,"Søåsen 10, Berkåk",62.699866,9.944665
670615,"Rennebuskogen 216, Berkåk",62.7531,9.969058
670623,"Søåsen 100, Berkåk",62.703163,9.937616
670634,"Søåsen 151, Berkåk",62.705625,9.929054
670638,"Trondheimsveien 1993, Berkåk",62.714122,9.953801
670653,"Rennebuskogen 779, Berkåk",62.796126,9.989295
670654,"Rennebuskogen 322, Berkåk",62.759806,9.971609
670655,"Rennebuskogen 388, Berkåk",62.765838,9.970358
670656,"Gamle Kongevei 2643, Berkåk",62.755474,9.964496
670657,"Rennebuskogen 376, Berkåk",62.764677,9.970809
670658,"Rennebuskogen 348, Berkåk",62.762289,9.972043
670659,"Rennebuskogen 245, Berkåk",62.753716,9.965691
670660,"Gamle Kongevei 2617, Berkåk",62.753189,9.96401
670661,"Gamle Kongevei 2621, Berkåk",62.753506,9.963589
670662,"Gamle Kongevei 2494, Berkåk",62.74323,9.954075
670663,"Rennebuskogen 383, Berkåk",62.764914,9.967644
670664,"Rennebuskogen 377, Berkåk",62.764556,9.968807
670665,"Rennebuskogen 375, Berkåk",62.764651,9.969339
670666,"Rennebuskogen 369, Berkåk",62.763275,9.971057
670667,"Rennebuskogen 393, Berkåk",62.765079,9.969745
670668,"Gisnadalen 289, Berkåk",62.729535,9.880859
670669,"Rennebuskogen 384, Berkåk",62.765486,9.970542
670670,"Gisnadalen 309, Berkåk",62.727813,9.879145
670671,"Trondheimsveien 2265, Berkåk",62.73342,9.974475
670672,"Gamle Kongevei 2484, Berkåk",62.736777,9.952673
670673,"Gamle Kongevei 2240, Berkåk",62.726371,9.931564
670674,"Trondheimsveien 2250, Berkåk",62.730621,9.975893
670675,"Gamle Kongevei 2264, Berkåk",62.727119,9.935207
670676,"Rennebuskogen 342, Berkåk",62.761478,9.972545
670677,"Gamle Kongevei 2635, Berkåk",62.754789,9.96369
