,Navn,Long,Lat
40426,"100/92-1, Stjørdal",63.48085,10.937302
40427,"100/92-3, Stjørdal",63.480579,10.938858
40428,"100/92-2, Stjørdal",63.481212,10.936832
40429,"100/92, Stjørdal",63.480728,10.93651
44910,"100/26, Stjørdal",63.479902,10.934393
705541,"Bjørnhaugen 9A, Stjørdal",63.483202,10.925017
719633,"Bjørnhaugen 31, Stjørdal",63.482696,10.918958
719634,"Bjørnhaugen 29, Stjørdal",63.482661,10.919558
719635,"Bjørnhaugen 27, Stjørdal",63.482699,10.920063
719636,"Blåveislia 1B, Stjørdal",63.48336,10.936976
719637,"Blåveislia 1A, Stjørdal",63.483353,10.936835
719639,"Blåveislia 3B, Stjørdal",63.483415,10.937542
719640,"Blåveislia 3A, Stjørdal",63.483408,10.937381
719641,"Blåveislia 2, Stjørdal",63.482951,10.93004
719642,"Blåveislia 1C, Stjørdal",63.483358,10.937136
719643,"Blåveislia 5B, Stjørdal",63.483473,10.93857
719644,"Blåveislia 5A, Stjørdal",63.483466,10.938409
719645,"Blåveislia 4, Stjørdal",63.482949,10.930181
719646,"Blåveislia 3C, Stjørdal",63.483422,10.937703
719647,"Blåveislia 7B, Stjørdal",63.483534,10.939337
719648,"Blåveislia 7A, Stjørdal",63.483527,10.939176
719649,"Blåveislia 6, Stjørdal",63.482947,10.930301
719650,"Blåveislia 5C, Stjørdal",63.483489,10.938712
719652,"Blåveislia 9B, Stjørdal",63.483581,10.939883
719653,"Blåveislia 9A, Stjørdal",63.483574,10.939721
719654,"Blåveislia 8, Stjørdal",63.482946,10.930421
719655,"Blåveislia 7C, Stjørdal",63.483541,10.939498
719656,"Blåveislia 12, Stjørdal",63.483012,10.930847
719657,"Blåveislia 11, Stjørdal",63.483289,10.937752
719658,"Blåveislia 10, Stjørdal",63.483022,10.930708
719659,"Blåveislia 9C, Stjørdal",63.483588,10.940024
719660,"Blåveislia 16, Stjørdal",63.48299,10.931087
719661,"Blåveislia 15, Stjørdal",63.483319,10.93834
719662,"Blåveislia 14, Stjørdal",63.482992,10.930967
719663,"Blåveislia 13, Stjørdal",63.483304,10.938049
719664,"Blåveislia 20, Stjørdal",63.483048,10.931513
719665,"Blåveislia 19, Stjørdal",63.483363,10.939145
719666,"Blåveislia 18, Stjørdal",63.483049,10.931372
719667,"Blåveislia 17, Stjørdal",63.483334,10.938635
719668,"Blåveislia 24, Stjørdal",63.483045,10.931733
719669,"Blåveislia 23, Stjørdal",63.483384,10.939742
719670,"Blåveislia 22, Stjørdal",63.483046,10.931633
719671,"Blåveislia 21, Stjørdal",63.483379,10.939443
719673,"Blåveislia 29, Stjørdal",63.48312,10.940609
719674,"Blåveislia 28, Stjørdal",63.483032,10.938691
719675,"Blåveislia 26, Stjørdal",63.483006,10.938119
719676,"Blåveislia 25, Stjørdal",63.483372,10.940056
719677,"Blåveislia 34, Stjørdal",63.482944,10.940502
719678,"Blåveislia 32, Stjørdal",63.483039,10.9399
719679,"Blåveislia 31, Stjørdal",63.482998,10.94105
719680,"Blåveislia 30, Stjørdal",63.483061,10.939256
719681,"Blåveislia 42, Stjørdal",63.48278,10.940672
719682,"Blåveislia 40, Stjørdal",63.482834,10.940675
719683,"Blåveislia 38, Stjørdal",63.482862,10.940597
719684,"Blåveislia 36, Stjørdal",63.482918,10.940577
719686,"Blåveislia 48, Stjørdal",63.482714,10.940908
719687,"Blåveislia 46, Stjørdal",63.482733,10.940829
719688,"Blåveislia 44, Stjørdal",63.482752,10.94075
719712,"Bjørklia 3, Stjørdal",63.479448,10.934763
719713,"Bjørklia 2, Stjørdal",63.479401,10.935583
719714,"Bjørklia 1, Stjørdal",63.47922,10.935069
719715,"Bjørnhaugen 2A, Stjørdal",63.4835,10.927246
719716,"Bjørnhaugen 3, Stjørdal",63.483252,10.92669
719717,"Bjørklia 4, Stjørdal",63.479741,10.935044
719718,"Bjørnhaugen 4B, Stjørdal",63.483509,10.927909
719719,"Bjørnhaugen 4A, Stjørdal",63.483502,10.927768
