,Navn,Long,Lat
17758,"Grønberg, 48/5, Hommelvik",63.415145,10.770259
18493,"3/14, Selbu",63.274801,10.816594
18830,"4/8, Selbu",63.303025,10.863291
18891,"3/2-1, Selbu",63.267462,10.819156
19155,"11/1-3, Selbu",63.291831,10.905317
19371,"10/1-3, Selbu",63.304951,10.913747
30569,"14/54, Selbu",63.26759,10.809005
37606,"10/1-4, Selbu",63.302684,10.910338
953815,"Stubbvegen 2, Hommelvik",63.409639,10.797099
953816,"Stubbvegen 3, Hommelvik",63.409599,10.796736
953817,"Stubbvegen 5, Hommelvik",63.409431,10.796506
953818,"Sneislia 3, Hommelvik",63.333007,10.808715
953819,"Sneislia 4, Hommelvik",63.332686,10.809017
953820,"Sneislia 6, Hommelvik",63.332459,10.808563
953821,"Sneislia 7, Hommelvik",63.332594,10.807808
953822,"Sneislia 8, Hommelvik",63.332268,10.808051
953823,"Snurruvegen 3, Hommelvik",63.42134,10.770902
953824,"Snurruvegen 5, Hommelvik",63.421451,10.770648
953825,"Snurruvegen 7, Hommelvik",63.421481,10.769728
953826,"Snurruvegen 9, Hommelvik",63.42137,10.769201
953827,"Snurruvegen 11, Hommelvik",63.42125,10.768752
953828,"Snurruvegen 13, Hommelvik",63.421167,10.768246
953829,"Snurruvegen 15, Hommelvik",63.421056,10.767739
953830,"Stubbvegen 1, Hommelvik",63.4098,10.796408
953831,"Tyttebærvegen 2, Hommelvik",63.419933,10.769292
953832,"Sneislia 9, Hommelvik",63.332402,10.807095
953833,"Sneislia 11, Hommelvik",63.332321,10.806627
953834,"Sneisvegen 2, Hommelvik",63.331785,10.807142
953835,"Sneisvegen 4, Hommelvik",63.331885,10.807748
957176,"Vennavegen 266, Hommelvik",63.335837,10.853882
957177,"Vennavegen 315, Hommelvik",63.333561,10.86171
957178,"Vennavegen 306, Hommelvik",63.334642,10.861704
957179,"Jøssåsvegen 161, Hommelvik",63.346646,10.865514
957180,"Jøssåsvegen 177, Hommelvik",63.344785,10.866433
957181,"Jøssåsvegen 137, Hommelvik",63.345551,10.861386
957182,"Jøssåsvegen 169, Hommelvik",63.345772,10.866457
957183,"Jøssåsvegen 136, Hommelvik",63.345843,10.860286
957184,"Vennavegen 331, Hommelvik",63.333474,10.865612
957185,"Vennavegen 278, Hommelvik",63.33612,10.856182
957186,"Vennavegen 362, Hommelvik",63.335165,10.871227
957187,"Vennavegen 358, Hommelvik",63.334522,10.869316
957188,"Vennavegen 360, Hommelvik",63.33495,10.870169
957189,"Vennavegen 366, Hommelvik",63.335684,10.871591
957190,"Vennavegen 364, Hommelvik",63.335425,10.870261
957191,"Vennavegen 368, Hommelvik",63.339359,10.861845
957192,"Jøssåsvegen 174, Hommelvik",63.348238,10.871494
