,Navn,Long,Lat
644355,"Håkon den godes gate 29B, Levanger",63.746463,11.300129
644372,"Stabelvollen 4C, Levanger",63.750631,11.307693
1640227,"Kirkegata 2C, Levanger",63.741731,11.288943
1688014,"Helge Ingstads veg 1, Levanger",63.752125,11.311775
1735478,"Sjøgata 3, Levanger",63.745561,11.294706
1754900,"Jernbanegata 22D, Levanger",63.746125,11.302505
1754901,"Jernbanegata 22C, Levanger",63.746087,11.302435
1783140,"Sagbrukstomta 1J, Levanger",63.750211,11.30669
1783141,"Sagbrukstomta 1K, Levanger",63.7503,11.306675
1783142,"Sagbrukstomta 1H, Levanger",63.750134,11.306252
1783143,"Sagbrukstomta 1I, Levanger",63.750147,11.306508
1783366,"Sagbrukstomta 1D, Levanger",63.750183,11.306503
1783367,"Sagbrukstomta 1E, Levanger",63.750228,11.306618
1783368,"Sagbrukstomta 1B, Levanger",63.75012,11.305941
1783369,"Sagbrukstomta 1C, Levanger",63.750166,11.306248
1808230,"Jernbanegata 14C, Levanger",63.74485,11.300504
1818169,"Saltkjelen 3, Levanger",63.742555,11.281403
1863299,"Halsanvegen 1, Levanger",63.743723,11.296642
1898034,"Sagbrukstomta 4E, Levanger",63.750318,11.308895
1923760,"Kirkegata 30D, Levanger",63.745512,11.297266
1923761,"Kirkegata 30B, Levanger",63.74545,11.297186
1923762,"Kirkegata 30C, Levanger",63.745421,11.297269
1968744,"Høgskolevegen 3, Levanger",63.752248,11.304973
1970622,"Høgskolevegen 25, Levanger",63.755412,11.312616
1970623,"Høgskolevegen 27, Levanger",63.754413,11.313294
1970697,"Høgskolevegen 7, Levanger",63.753582,11.311629
1970698,"Høgskolevegen 5, Levanger",63.753594,11.30829
1970737,"Høgskolevegen 21, Levanger",63.754722,11.310722
1985406,"Helge Ingstads veg 13A, Levanger",63.751864,11.315199
1985407,"Helge Ingstads veg 15A, Levanger",63.752088,11.315608
1985408,"Helge Ingstads veg 9A, Levanger",63.751769,11.314293
1994036,"Helge Ingstads veg 9H, Levanger",63.751811,11.314097
1994067,"Helge Ingstads veg 9I, Levanger",63.751868,11.314068
1994068,"Helge Ingstads veg 9F, Levanger",63.752028,11.314166
1994069,"Helge Ingstads veg 9G, Levanger",63.751752,11.314125
2001060,"Sjøgata 42C, Levanger",63.748873,11.301833
2005188,"Kirkegata 2D, Levanger",63.741999,11.286703
2005692,"Håkon den godes gate 48C, Levanger",63.747629,11.303706
2011708,"Sjøgata 33B, Levanger",63.749143,11.300837
2021651,"Ravns gate 7, Levanger",63.751616,11.298676
2021652,"Ravns gate 12, Levanger",63.752275,11.297327
2021653,"Ravns gate 11, Levanger",63.75209,11.296377
2021654,"Ravns gate 14, Levanger",63.752606,11.29693
2036387,"Helge Ingstads veg 13C, Levanger",63.75195,11.315076
2036388,"Helge Ingstads veg 13D, Levanger",63.751989,11.315022
2036543,"Helge Ingstads veg 15D, Levanger",63.752186,11.315381
2036544,"Helge Ingstads veg 15C, Levanger",63.752154,11.31546
2044924,"Håkon den godes gate 35C, Levanger",63.747013,11.300802
2059472,"Kirkegata 60B, Levanger",63.747502,11.301356
2098886,"Gunnlaug Ormstunges gate 6J, Levanger",63.750099,11.299397
2098887,"Gunnlaug Ormstunges gate 6H, Levanger",63.750191,11.300057
2098888,"Gunnlaug Ormstunges gate 6G, Levanger",63.750156,11.299991
2098958,"Gunnlaug Ormstunges gate 6W, Levanger",63.750131,11.299466
2099021,"Helga den fagres gate 7, Levanger",63.750567,11.300053
2099025,"Gunnlaug Ormstunges gate 6R, Levanger",63.750078,11.299591
2099071,"Gunnlaug Ormstunges gate 6V, Levanger",63.750103,11.299531
2099072,"Gunnlaug Ormstunges gate 6U, Levanger",63.750193,11.300215
2099073,"Gunnlaug Ormstunges gate 6T, Levanger",63.750172,11.300175
2099074,"Helga den fagres gate 9, Levanger",63.750665,11.299759
2099075,"Gunnlaug Ormstunges gate 6S, Levanger",63.750146,11.30013
2165721,"Helge Ingstads veg 7, Levanger",63.751621,11.313048
2182296,"Gunnlaug Ormstunges gate 6I, Levanger",63.75007,11.299485
2247341,"Høgskolevegen 23, Levanger",63.754523,11.312014
2247658,"Mo gård 3, Levanger",63.740573,11.285761
2247659,"Saltkjelen 2, Levanger",63.741644,11.283583
2248162,"Dr Hiorts gate 4, Levanger",63.742792,11.291561
2248163,"Dr Hiorts gate 6, Levanger",63.742649,11.291002
2248367,"Kirkegata 25, Levanger",63.745401,11.296353
2248368,"Kirkegata 25B, Levanger",63.745497,11.296503
2248369,"Kirkegata 28, Levanger",63.74539,11.297062
2248370,"Kirkegata 29, Levanger",63.745751,11.296888
2248371,"Kirkegata 14C, Levanger",63.744123,11.293716
2248372,"Kirkegata 14D, Levanger",63.744198,11.294107
2248373,"Kirkegata 20, Levanger",63.7448,11.295757
2248374,"Kirkegata 22, Levanger",63.744957,11.296033
2248375,"Kirkegata 36, Levanger",63.74573,11.297697
2248608,"Halsanvegen 4, Levanger",63.742875,11.295378
2248609,"Halsanvegen 6A, Levanger",63.742728,11.295062
2248613,"Halsanvegen 2B, Levanger",63.743439,11.29664
2248710,"Halsanvegen 12, Levanger",63.741685,11.29291
2248711,"Halsanvegen 19, Levanger",63.741842,11.292071
2248712,"Halsanvegen 21, Levanger",63.74168,11.291511
2248713,"Halsanvegen 6B, Levanger",63.742536,11.294702
2248714,"Halsanvegen 8B, Levanger",63.742164,11.29384
2248715,"Halsanvegen 10A, Levanger",63.742025,11.293545
2248716,"Halsanvegen 10B, Levanger",63.741859,11.293248
2248721,"Halsanvegen 22, Levanger",63.740654,11.288854
2248795,"Håkon den godes gate 18, Levanger",63.745278,11.298451
2248796,"Håkon den godes gate 19, Levanger",63.745571,11.29809
2248797,"Håkon den godes gate 20, Levanger",63.745374,11.298581
2248798,"Håkon den godes gate 21, Levanger",63.745681,11.298464
2248799,"Håkon den godes gate 12, Levanger",63.744938,11.297795
2248800,"Håkon den godes gate 14, Levanger",63.745043,11.297986
