,Navn,Long,Lat
625556,"Stekke 12D, Stiklestad",63.785406,11.481049
625557,"Stekke 12C, Stiklestad",63.78543,11.481193
625558,"Stekke 10B, Stiklestad",63.785521,11.481648
644320,"Tindvegen nedre 44B, Stiklestad",63.784658,11.492108
644321,"Tindvegen nedre 44A, Stiklestad",63.784737,11.492216
644322,"Tindvegen nedre 47A, Stiklestad",63.783767,11.486
644324,"Grustaket 1, Stiklestad",63.786488,11.485996
644326,"Grustaket 5, Stiklestad",63.786075,11.486488
644327,"Grustaket 3, Stiklestad",63.786269,11.486159
644328,"Grustaket 9, Stiklestad",63.785676,11.487244
644329,"Grustaket 7, Stiklestad",63.78591,11.486717
644330,"Grustaket 13, Stiklestad",63.785385,11.48799
644331,"Grustaket 11, Stiklestad",63.785526,11.487637
644332,"Tindvegen 56, Stiklestad",63.785398,11.48722
644333,"Tindvegen 58, Stiklestad",63.785213,11.487528
644334,"Tindvegen 52, Stiklestad",63.785746,11.486337
644335,"Tindvegen 54, Stiklestad",63.785559,11.486767
644336,"Tindvegen 48, Stiklestad",63.786118,11.485557
644337,"Tindvegen 50, Stiklestad",63.785911,11.486087
644338,"Tindvegen 46, Stiklestad",63.786322,11.485169
644341,"Bakkegata 17, Stiklestad",63.798618,11.48607
644375,"Bakkegata 5, Stiklestad",63.797776,11.482827
644376,"Bakkegata 3, Stiklestad",63.798221,11.48248
644377,"Bakkegata 9, Stiklestad",63.798056,11.483745
644378,"Bakkegata 7, Stiklestad",63.797857,11.483322
644379,"Bakkegata 15, Stiklestad",63.798527,11.485594
644380,"Bakkegata 11, Stiklestad",63.798222,11.484511
644402,"Bakkegata 1, Stiklestad",63.798628,11.482333
644451,"Arnljots gate 16, Stiklestad",63.804113,11.475604
644452,"Arnljots gate 14, Stiklestad",63.803453,11.475912
644454,"Arnljots gate 17, Stiklestad",63.803756,11.476568
644478,"Arnljots gate 1, Stiklestad",63.802589,11.478639
644480,"Arnljots gate 3, Stiklestad",63.802646,11.477913
644481,"Arnljots gate 2, Stiklestad",63.802245,11.478772
644482,"Arnljots gate 5, Stiklestad",63.803212,11.477354
644483,"Arnljots gate 4, Stiklestad",63.802265,11.478631
644484,"Arnljots gate 8, Stiklestad",63.802331,11.477439
644485,"Arnljots gate 7, Stiklestad",63.802682,11.477388
644486,"Arnljots gate 10, Stiklestad",63.802368,11.476873
644487,"Arnljots gate 9, Stiklestad",63.802718,11.476843
644488,"Arnljots gate 13, Stiklestad",63.803196,11.476743
644489,"Arnljots gate 12, Stiklestad",63.803155,11.476008
