,Navn,Long,Lat
867,"183/7, Statland",64.492995,11.159678
868,"183/63, Statland",64.497473,11.148787
870,"183/51, Statland",64.49304,11.168885
904,"2/1/2, Flatanger",64.579411,11.015093
907,"11/22, Flatanger",64.54732,10.99979
908,"11/19-1, Flatanger",64.52681,10.986427
30148,"3/25, Flatanger",64.582304,10.998033
35477,"183/111, Statland",64.497722,11.150537
36583,"181/7/1, Statland",64.455553,11.185178
38351,"181/5, Statland",64.439495,11.170142
170822,"Hoddøya 31, Otterøy",64.473075,11.219924
170823,"Hoddøya 33, Otterøy",64.474716,11.221285
170824,"Leirvika hytteområde 26, Otterøy",64.456112,11.216075
170825,"Hoddøya 28, Otterøy",64.471886,11.217851
170826,"Hoddøya 21, Otterøy",64.4575,11.226377
170827,"Leirvika hytteområde 22, Otterøy",64.459475,11.221089
170829,"Hoddøya 19, Otterøy",64.465868,11.266892
170836,"Hoddøya 39, Otterøy",64.48349,11.232966
170837,"Hoddøya 37, Otterøy",64.483059,11.231183
174636,"Leirvika hytteområde 24, Otterøy",64.458955,11.219196
174638,"Hoddøya 41, Otterøy",64.484311,11.233283
174639,"Hoddøya 30, Otterøy",64.472885,11.2171
174640,"Hoddøya 36, Otterøy",64.483144,11.229129
174641,"Hoddøya 35, Otterøy",64.481367,11.230275
174684,"Hoddøya 7, Otterøy",64.474366,11.251345
174685,"Leirvika hytteområde 25, Otterøy",64.457585,11.217775
174686,"Hoddøya 9, Otterøy",64.47359,11.256878
174687,"Hoddøya 8, Otterøy",64.473939,11.25054
174688,"Hoddøya 4, Otterøy",64.475404,11.257423
174689,"Hoddøya 1, Otterøy",64.475063,11.261536
174690,"Hoddøya 14, Otterøy",64.473057,11.262639
174762,"Hoddøya 17, Otterøy",64.472583,11.277373
174816,"Hoddøya 15, Otterøy",64.474381,11.266786
174980,"Hoddøya 18, Otterøy",64.472249,11.278636
175012,"Leirvika hytteområde 6, Otterøy",64.461478,11.223996
175061,"Leirvika hytteområde 3, Otterøy",64.462106,11.224567
175062,"Leirvika hytteområde 1, Otterøy",64.461573,11.224836
175064,"Leirvika hytteområde 5, Otterøy",64.461812,11.223816
175216,"Hoddøya 10, Otterøy",64.474081,11.259436
175299,"Hoddøya 16, Otterøy",64.475927,11.271325
175496,"Leirvika hytteområde 7, Otterøy",64.461676,11.2263
175635,"Hoddøya 11, Otterøy",64.473823,11.26077
175636,"Hoddøya 45, Otterøy",64.481265,11.270977
175739,"Hoddøya 32, Otterøy",64.473739,11.218188
175780,"Hoddøya 44, Otterøy",64.486868,11.238411
175783,"Leirvika hytteområde 23, Otterøy",64.460307,11.220657
175785,"Hoddøya 40, Otterøy",64.483696,11.232962
175787,"Hoddøya 29, Otterøy",64.472311,11.215846
176025,"Sundsvegen 750, Statland",64.452699,11.284204
176026,"Vågan 201, Statland",64.438819,11.317309
176027,"Vågan 203, Statland",64.44076,11.320002
176028,"Vågan 205, Statland",64.437797,11.321715
