,Navn,Long,Lat
170952,"Søren R Thornæs veg 6, Namsos",64.466885,11.50362
170953,"Søren R Thornæs veg 4, Namsos",64.466771,11.502964
170954,"Søren R Thornæs veg 9, Namsos",64.467396,11.501045
170955,"Søren R Thornæs veg 7, Namsos",64.467449,11.500009
170956,"Søren R Thornæs veg 11, Namsos",64.46739,11.501918
170957,"Søren R Thornæs veg 10, Namsos",64.46691,11.507949
170959,"Søren R Thornæs veg 19, Namsos",64.467415,11.504147
170962,"Jernbanegata 1, Namsos",64.467799,11.507673
170964,"Pinavegen 1, Namsos",64.465692,11.506194
170965,"Jernbanegata 2, Namsos",64.467777,11.509462
170966,"Søren R Thornæs veg 2, Namsos",64.466739,11.501651
171404,"Brekkavegen 1, Namsos",64.472397,11.488871
171406,"Brekkavegen 3, Namsos",64.472857,11.489266
171407,"Brekkavegen 2, Namsos",64.472687,11.48873
171443,"Abel Meyers gate 20, Namsos",64.466689,11.497163
171444,"Abel Meyers gate 19, Namsos",64.46715,11.497007
171445,"Abel Meyers gate 22, Namsos",64.46675,11.497303
171446,"Abel Meyers gate 21, Namsos",64.467612,11.497299
171447,"Abel Meyers gate 26, Namsos",64.466892,11.49742
171449,"Abel Meyers gate 24, Namsos",64.46683,11.497373
171451,"Abel Meyers gate 30, Namsos",64.4678,11.498419
171452,"Abel Meyers gate 12, Namsos",64.466001,11.496985
171453,"Abel Meyers gate 9, Namsos",64.466638,11.496503
171454,"Abel Meyers gate 14, Namsos",64.466452,11.496968
171455,"Abel Meyers gate 13, Namsos",64.466814,11.496648
171456,"Abel Meyers gate 16, Namsos",64.466561,11.497099
171457,"Abel Meyers gate 15, Namsos",64.467,11.496868
171458,"Abel Meyers gate 18, Namsos",64.466623,11.497167
171459,"Abel Meyers gate 17, Namsos",64.46708,11.496938
171462,"Abel Meyers gate 3A, Namsos",64.464783,11.49489
171463,"Abel Meyers gate 2, Namsos",64.464724,11.495363
171464,"Abel Meyers gate 6, Namsos",64.465178,11.495787
171465,"Abel Meyers gate 4, Namsos",64.464979,11.495873
171466,"Abel Meyers gate 8, Namsos",64.465372,11.495992
171467,"Abel Meyers gate 7, Namsos",64.466559,11.496412
171520,"Andreas Jensens gate 20, Namsos",64.472261,11.491605
171521,"Andreas Jensens gate 19, Namsos",64.472299,11.490943
171522,"Andreas Jensens gate 22, Namsos",64.472438,11.491746
171523,"Andreas Jensens gate 21, Namsos",64.472526,11.491317
171524,"Andreas Jensens gate 24B, Namsos",64.47261,11.492199
171525,"Andreas Jensens gate 23, Namsos",64.472676,11.491476
171526,"Andreas Jensens gate 26B, Namsos",64.472835,11.492698
171527,"Andreas Jensens gate 26A, Namsos",64.47288,11.49214
171528,"Andreas Jensens gate 12, Namsos",64.471439,11.490823
171529,"Andreas Jensens gate 11, Namsos",64.4715,11.490412
171530,"Andreas Jensens gate 14, Namsos",64.47158,11.491023
171531,"Andreas Jensens gate 13, Namsos",64.471707,11.490389
171532,"Andreas Jensens gate 16, Namsos",64.471881,11.491258
171533,"Andreas Jensens gate 15, Namsos",64.471982,11.490602
171534,"Andreas Jensens gate 18, Namsos",64.472032,11.491334
171535,"Andreas Jensens gate 17, Namsos",64.472125,11.490615
171536,"Andreas Jensens gate 8, Namsos",64.470953,11.490383
171537,"Andreas Jensens gate 7, Namsos",64.471085,11.490021
171538,"Andreas Jensens gate 10, Namsos",64.471253,11.49066
171539,"Andreas Jensens gate 9, Namsos",64.471352,11.490128
171603,"Bråholmgata 5, Namsos",64.466499,11.491455
171902,"Fridtjof Nansens gate 2, Namsos",64.472145,11.493675
171903,"Fridtjof Nansens gate 1, Namsos",64.471959,11.493554
171950,"Fridtjof Nansens gate 3, Namsos",64.47218,11.492139
171951,"Fridtjof Nansens gate 2A, Namsos",64.472354,11.494048
