,Navn,Long,Lat
864,"46/3, Otterøy",64.579106,11.129446
865,"38/1-2, Otterøy",64.527182,11.413004
35024,"63/23, Otterøy",64.622125,11.14105
43730,"51/42, Otterøy",64.541958,11.349977
44252,"57/79, Otterøy",64.498729,11.287156
170534,"Skomsvollvegen 548, Otterøy",64.488068,11.39346
170535,"Lokkaren 48, Otterøy",64.484216,11.421433
170536,"Skomsvollvegen 517, Otterøy",64.486838,11.398412
170537,"Skomsvollvegen 723, Otterøy",64.484092,11.360014
170538,"Lokkaren 64, Otterøy",64.472685,11.40408
170539,"Skomsvollvegen 461, Otterøy",64.488172,11.410167
170542,"Lokkaren 49, Otterøy",64.481746,11.419343
170544,"Lokkaren 51, Otterøy",64.480764,11.417861
170545,"Lokkaren 53, Otterøy",64.479002,11.417456
170546,"Skomsvollvegen 528, Otterøy",64.487253,11.396637
170547,"Skomsvollvegen 498, Otterøy",64.487706,11.402464
170548,"Skomsvollvegen 459, Otterøy",64.488428,11.409919
170549,"Skomsvollvegen 556, Otterøy",64.489004,11.393854
170566,"Aglenvegen 171, Otterøy",64.59644,11.24933
170567,"Aglenvegen 158, Otterøy",64.596464,11.25368
170568,"Altevegen 132, Otterøy",64.590086,11.233259
170569,"Aglenvegen 221, Otterøy",64.600091,11.246099
170570,"Altevegen 198, Otterøy",64.587782,11.219927
170571,"Altevegen 108, Otterøy",64.589718,11.237972
170572,"Altevegen 210, Otterøy",64.589332,11.213597
170579,"Aglenvegen 172, Otterøy",64.598088,11.251933
170596,"Skorstadvegen 577, Otterøy",64.574964,11.192234
170597,"Skorstadvatnet 3, Otterøy",64.557869,11.183284
170598,"Skorstadvegen 311, Otterøy",64.567067,11.216633
170599,"Skorstadvegen 579, Otterøy",64.574469,11.196497
170600,"Skorstadvegen 637, Otterøy",64.5741,11.179614
170601,"Altevegen 40, Otterøy",64.588579,11.251214
170602,"Skorstadvegen 156, Otterøy",64.575207,11.238401
170603,"Altevegen 38, Otterøy",64.588015,11.252415
170604,"Altevegen 29, Otterøy",64.586748,11.251861
170605,"Skorstadvegen 186, Otterøy",64.575402,11.233058
170606,"Skorstadvegen 538, Otterøy",64.582803,11.189042
170607,"Skorstadvegen 517, Otterøy",64.578779,11.194045
170608,"Altevegen 130, Otterøy",64.591493,11.232852
