,Navn,Long,Lat
1038814,"Stuggunesveien 16, Sørli",64.155867,14.018535
1038815,"Endsetveien 129, Sørli",64.158179,14.053878
1038816,"Skålesveien 116, Sørli",64.159456,13.881315
1038817,"Skålesbakken 14, Sørli",64.165507,13.870632
1038818,"Eidesveien 28, Sørli",64.131726,14.086803
1038819,"Endsetveien 183, Sørli",64.154972,14.061496
1038820,"Brennmoen, Endsetveien 149, Sørli",64.156394,14.056562
1038821,"Endsetveien 152, Sørli",64.158081,14.058745
1038822,"Skålesveien 57, Sørli",64.161236,13.874622
1038823,"Skålseteren, Eikdalsveien 296, Sørli",64.147786,13.953546
1038824,"Skålesbakken 6, Sørli",64.166165,13.868361
1038825,"Skålesbakken 18, Sørli",64.165156,13.871189
1038826,"Sundseterveien 67, Sørli",64.121491,13.917589
1038827,"Skålesveien 97, Sørli",64.160724,13.875694
1038828,"Skålesbakken 7, Sørli",64.163204,13.875215
1038829,"Skålesbakken 9, Sørli",64.1628,13.875474
1038830,"Strømnesveien 32, Sørli",64.138601,13.875875
1038831,"Linnesveien 752, Sørli",64.127168,13.89198
1038832,"Strømnesveien 56, Sørli",64.139263,13.879807
1038833,"Skålesbakken 12, Sørli",64.166409,13.870028
1038834,"Linnesveien 764, Sørli",64.126562,13.890474
1038835,"Skålesveien 153, Sørli",64.155963,13.883812
1038836,"Skålesveien 6, Sørli",64.166447,13.867364
1038837,"Østre Vikbakken 3, Sørli",64.168908,13.856593
1038838,"Østre Vikbakken 1, Sørli",64.168617,13.856707
1038839,"Østre Vikbakken 6, Sørli",64.169126,13.855188
1038840,"John A. Dahls vei 8, Sørli",64.169288,13.854639
1038841,"Julesveien 237, Sørli",64.182199,13.834752
1038842,"John A. Dahls vei 19, Sørli",64.168106,13.856906
1038843,"John A. Dahls vei 4, Sørli",64.169247,13.853437
1038844,"Østre Vikbakken 9, Sørli",64.169568,13.855142
1038845,"Vestre Vikbakken 26, Sørli",64.170943,13.853012
1038846,"Vestre Vikbakken 33, Sørli",64.170048,13.853968
1038847,"Inderdalsveien 37, Sørli",64.175165,13.831541
1038848,"Skålesveien 113, Sørli",64.158417,13.880123
1038849,"Skålesbakken 22, Sørli",64.164032,13.874899
1038850,"Skålesbakken 2, Sørli",64.165326,13.869178
1038851,"Mebygdaveien 70, Sørli",64.228965,13.807874
1038852,"Mebygdaveien 52, Sørli",64.229965,13.801003
1038853,"Mebygdaveien 141, Sørli",64.225898,13.820127
1038854,"Vestnorbakken 15, Sørli",64.227003,13.818543
1038855,"Slettveien 10, Sørli",64.223893,13.829091
1038856,"Østnorflata 18, Sørli",64.223232,13.826499
