,Navn,Long,Lat
32490,"54/150/1, Namsskogan",64.573577,13.077246
33608,"54/2-3, Namsskogan",64.568059,13.002461
33609,"54/2-2, Namsskogan",64.57462,13.076361
33610,"54/2-4, Namsskogan",64.583105,13.042304
37029,"54/152, Namsskogan",64.646197,13.100054
37030,"54/153, Namsskogan",64.646236,13.099722
37607,"54/154, Namsskogan",64.645822,13.099774
40283,"54/155, Namsskogan",64.646054,13.097839
43805,"54/156, Namsskogan",64.646581,13.094087
44806,"54/151, Namsskogan",64.645682,13.101701
1108325,"Mykkelvikseterveien 81, Røyrvik",64.735449,13.253512
1118007,"Flyanveien 49, Røyrvik",64.691165,13.216195
1118008,"Stallvikveien 1109, Røyrvik",64.731237,13.251675
1118009,"Stallvikveien 778, Røyrvik",64.738478,13.316417
1118010,"Stallvikveien 535, Røyrvik",64.750691,13.35552
1118011,"Bustadtangen 3, Røyrvik",64.669604,13.205392
1118012,"Finnkruhaugveien 29, Røyrvik",64.656747,13.172882
1118013,"Stallvika 60, Røyrvik",64.659418,13.191504
1118014,"Stallvikveien 2173, Røyrvik",64.66132,13.17453
1118015,"Stallvikveien 2204, Røyrvik",64.660058,13.181027
1118016,"Stallvika 70, Røyrvik",64.658564,13.19315
1118017,"Stallvika 103, Røyrvik",64.662256,13.194747
1118018,"Bukta 2, Røyrvik",64.679037,13.31744
1118019,"Stallvika 68, Røyrvik",64.658731,13.192946
1118020,"Øvre Staldvik, Stallvika 118, Røyrvik",64.660606,13.189586
1118093,"Mykkelviktangen 1, Røyrvik",64.741942,13.340916
1118094,"Postskardet 1, Røyrvik",64.74358,13.184862
1118095,"Litlfisktjønna 1, Røyrvik",64.754187,13.282557
1118099,"Stallvikveien 542, Røyrvik",64.749594,13.355606
1118100,"Finnkruhaugveien 25, Røyrvik",64.656547,13.174355
1118101,"Stallvikveien 540, Røyrvik",64.749759,13.35574
1118102,"Stallvikveien 528, Røyrvik",64.751111,13.357419
1118103,"Stallvikveien 533, Røyrvik",64.750912,13.355345
1118104,"Stallvikveien 516, Røyrvik",64.751898,13.359419
1118105,"Stallvikveien 1385, Røyrvik",64.715362,13.218747
1118106,"Stallvikveien 1387, Røyrvik",64.715483,13.21859
1118107,"Stallvikveien 1389, Røyrvik",64.715258,13.218605
1118108,"Stallvikveien 1388, Røyrvik",64.71531,13.219986
1118109,"Stallvikveien 1546, Røyrvik",64.70299,13.206566
1118110,"Stallvikveien 1572, Røyrvik",64.700869,13.206236
1118111,"Stallvikveien 1428, Røyrvik",64.712662,13.212883
1118112,"Stallvikveien 1614, Røyrvik",64.696646,13.204908
1118113,"Stallvikveien 1640, Røyrvik",64.69496,13.206369
1118114,"Stallvikveien 1348, Røyrvik",64.717447,13.225694
1118115,"Stallvikveien 1604, Røyrvik",64.697845,13.205746
1118116,"Stallvikveien 1176, Røyrvik",64.729807,13.238682
1118117,"Stallvikveien 1299, Røyrvik",64.721375,13.230197
1118127,"Stallvikveien 1164, Røyrvik",64.729976,13.240736
1118138,"Tunnsjøflyan 4, Røyrvik",64.682365,13.164883
1118153,"Stallvikveien 573, Røyrvik",64.74856,13.34959
1118172,"Tunnsjøflyan 1, Røyrvik",64.678506,13.169431
1118173,"Finnkruhaugveien 13, Røyrvik",64.656908,13.17578
1118174,"Stallvika 58, Røyrvik",64.659493,13.191113
1118175,"Stallvikveien 2203, Røyrvik",64.660352,13.179856
1118176,"Finnkruhaugveien 17, Røyrvik",64.656725,13.174899
1118177,"Tangan 2, Røyrvik",64.664787,13.193651
1118178,"Tangan 4, Røyrvik",64.667504,13.185876
1118179,"Tangan 3, Røyrvik",64.664719,13.187179
1118180,"Stallvika 120, Røyrvik",64.660484,13.189149
1118221,"Hitertjønnveien 257, Røyrvik",64.641322,13.150554
1118363,"Stallvikveien 515, Røyrvik",64.75217,13.358402
1118368,"Stallvikveien 2303, Røyrvik",64.653861,13.166231
1118375,"Stallvikveien 814, Røyrvik",64.736794,13.310131
1118389,"Stallvikveien 2239, Røyrvik",64.657447,13.178317
1118406,"Mykkelvikseterveien 147, Røyrvik",64.741478,13.245594
1118407,"Stallvikveien 507, Røyrvik",64.752601,13.359049
1118408,"Storholmen 2, Røyrvik",64.694877,13.224773
1118409,"Storholmen 3, Røyrvik",64.697449,13.215943
1118410,"Stallvikveien 1342, Røyrvik",64.718028,13.225806
1118411,"Flyanveien 65, Røyrvik",64.692524,13.216155
1118412,"Stallvikveien 1642, Røyrvik",64.694314,13.211057
1118413,"Stallvikveien 1927, Røyrvik",64.678072,13.182568
1118414,"Stallvikveien 1910, Røyrvik",64.67828,13.187596
1118415,"Stallvikveien 1488, Røyrvik",64.708158,13.209114
1118416,"Stallvikveien 1254, Røyrvik",64.724359,13.237014
1118418,"Stallvikveien 1440, Røyrvik",64.711919,13.211605
1118419,"Stallvikveien 2307, Røyrvik",64.65352,13.165885
1118420,"Stallvikveien 2305, Røyrvik",64.653569,13.165096
1118421,"Bustadtangen 7, Røyrvik",64.666381,13.191674
1118422,"Stallvikveien 2455, Røyrvik",64.649824,13.138773
1118423,"Setertjønna 1, Røyrvik",64.630657,13.246546
1118424,"Bustadtangen 6, Røyrvik",64.668097,13.189484
1118426,"Stallvika 108, Røyrvik",64.660781,13.191188
1118472,"Storholmen 1, Røyrvik",64.694731,13.222707
1118475,"Bustadtangen 2, Røyrvik",64.670055,13.206931
1118477,"Stallvikveien 1386, Røyrvik",64.714195,13.225291
1118479,"Bukta 1, Røyrvik",64.677159,13.316805
1118481,"Øvre Havdalstjønnin 1, Røyrvik",64.650344,13.307852
1118483,"Olatjønna 1, Røyrvik",64.622308,13.192134
1118485,"Tunnsjøflyan 3, Røyrvik",64.681225,13.163868
1118502,"Stallvikveien 798, Røyrvik",64.737498,13.314577
1118506,"Båstangveien 18, Røyrvik",64.658634,13.198279
1118508,"Båstangveien 16, Røyrvik",64.658741,13.197037
1118509,"Stallvikveien 1038, Røyrvik",64.729031,13.267126
1118511,"Bustadtangen 1, Røyrvik",64.66993,13.209209
1118512,"Stallvikveien 793, Røyrvik",64.739667,13.313851
1118515,"Stallvikveien 2107, Røyrvik",64.665197,13.164259
1118516,"Stallvikveien 2109, Røyrvik",64.664936,13.164445
1118517,"Stallvikveien 2111, Røyrvik",64.664843,13.16452
1118518,"Stallvikveien 1977, Røyrvik",64.674921,13.176079
1118526,"Finnkruhaugveien 24, Røyrvik",64.656326,13.174726
1118530,"Stallvika 56, Røyrvik",64.659202,13.190292
1118531,"Stallvikveien 1586, Røyrvik",64.699393,13.206931
1118538,"Myra 54C, Namsskogan",64.642818,13.105781
1118539,"Bergmannsveien 100A, Namsskogan",64.636082,13.10585
1118540,"Bergmannsveien 77, Namsskogan",64.638658,13.107687
1118541,"Bergmannsveien 79, Namsskogan",64.638267,13.108173
1118543,"Bergmannsveien 94, Namsskogan",64.636477,13.107567
1118545,"Bergmannsveien 97, Namsskogan",64.636513,13.106587
1118547,"Bergmannsveien 93, Namsskogan",64.636799,13.10728
1118549,"Bergmannsveien 89A, Namsskogan",64.637124,13.10777
1118551,"Bergmannsveien 86, Namsskogan",64.637372,13.108352
1118553,"Bergmannsveien 84, Namsskogan",64.637596,13.108386
1118555,"Bergmannsveien 82, Namsskogan",64.63775,13.108325
1118557,"Myra 3, Namsskogan",64.643504,13.115673
1118559,"Myra 4, Namsskogan",64.643647,13.115716
1118561,"Lillemor Johnsens vei 4, Namsskogan",64.645062,13.113981
1118563,"Myra 28A, Namsskogan",64.642085,13.115531
1118565,"Myra 46B, Namsskogan",64.642487,13.109294
1118566,"Myra 50, Namsskogan",64.642611,13.107741
1118568,"Myra 44A, Namsskogan",64.642466,13.110045
1118570,"Myra 40, Namsskogan",64.642187,13.111344
1118572,"Myra 29A, Namsskogan",64.642222,13.112649
1118574,"Myra 27B, Namsskogan",64.642237,13.113427
1118576,"J.G. Engzelius vei 6, Namsskogan",64.644747,13.113325
1118578,"J.G. Engzelius vei 8, Namsskogan",64.644783,13.112702
1118580,"J.G. Engzelius vei 12, Namsskogan",64.645001,13.110995
1118582,"Kleiva 7, Namsskogan",64.644193,13.111921
1118583,"Myra 53A, Namsskogan",64.643295,13.102855
1118585,"Myra 57A, Namsskogan",64.643473,13.101289
1118586,"Myra 1, Namsskogan",64.643567,13.114719
1118587,"Myra 2, Namsskogan",64.643782,13.11473
1118588,"Bergmannsveien 33, Namsskogan",64.641213,13.11629
1118589,"Kleiva 10, Namsskogan",64.644745,13.109216
1118591,"Gaiseren 1, Røyrvik",64.558473,13.127105
1118599,"Stallvikveien 754, Røyrvik",64.739928,13.320941
1118620,"Storholmen 4, Røyrvik",64.696833,13.235619
1118622,"Litlfjelløya 1, Røyrvik",64.695387,13.287233
1118639,"Lillemor Johnsens vei 2, Namsskogan",64.645086,13.113104
1118641,"J.G. Engzelius vei 5, Namsskogan",64.645157,13.112172
1118643,"Myra 54B, Namsskogan",64.642805,13.105946
1118645,"Myra 54A, Namsskogan",64.642793,13.106028
1118646,"Dr. Kloumanns vei 5, Namsskogan",64.644385,13.117945
1118647,"Dr. Kloumanns vei 7, Namsskogan",64.644314,13.118857
1118648,"Grøndalsveien 2044, Namsskogan",64.644403,13.108578
1118649,"Grøndalsveien 2042, Namsskogan",64.644422,13.10791
1118650,"Myra 59A, Namsskogan",64.64366,13.100081
1118651,"Lillemor Johnsens vei 6, Namsskogan",64.644998,13.114978
1118652,"Myra 48, Namsskogan",64.642526,13.108524
1118653,"Myra 63A, Namsskogan",64.644115,13.098556
1118654,"Myra 61A, Namsskogan",64.643852,13.099313
1118655,"Lillemor Johnsens vei 8, Namsskogan",64.644935,13.115953
1118656,"Myra 55A, Namsskogan",64.64338,13.102051
1118657,"Lillemor Johnsens vei 7, Namsskogan",64.644531,13.119162
1118658,"Grøndalsveien 2026, Namsskogan",64.644746,13.103997
1118659,"Grøndalsveien 1263, Namsskogan",64.665729,12.968301
1118665,"Myra 15, Namsskogan",64.642881,13.118082
1118668,"Grøndalsveien 1205, Namsskogan",64.666509,12.956291
1118669,"Grøndalsveien 1175, Namsskogan",64.666497,12.950038
1118670,"Grøndalsveien 1210, Namsskogan",64.669837,12.95986
1118671,"Grøndalsveien 1192, Namsskogan",64.667291,12.953615
1118672,"Grøndalsveien 1212, Namsskogan",64.674093,12.963357
1118677,"Myra 52A, Namsskogan",64.642649,13.107013
1118678,"Myra 32A, Namsskogan",64.641926,13.113946
1118679,"Myra 30B, Namsskogan",64.641931,13.114722
1118680,"Kleiva 9, Namsskogan",64.644183,13.11259
1118682,"Dr. Kloumanns vei 3, Namsskogan",64.644445,13.117074
1118683,"Myra 57B, Namsskogan",64.643567,13.101157
1118684,"Myra 49B, Namsskogan",64.64324,13.104503
1118685,"Myra 51A, Namsskogan",64.643186,13.103866
1118686,"Myra 34B, Namsskogan",64.641866,13.113182
1118687,"Lillemor Johnsens vei 1, Namsskogan",64.644718,13.116633
1118688,"Kleiva 6, Namsskogan",64.644908,13.107564
1118689,"Kleiva 8, Namsskogan",64.644854,13.108185
1118690,"Myra 20, Namsskogan",64.642433,13.11832
1118691,"Myra 45A, Namsskogan",64.643136,13.106625
1118692,"Myra 43, Namsskogan",64.64305,13.107472
1118693,"Myra 19, Namsskogan",64.642461,13.116668
1118694,"Myra 21A, Namsskogan",64.642363,13.116003
1118695,"Myra 56C, Namsskogan",64.642918,13.104789
1118696,"Myra 41, Namsskogan",64.6429,13.108329
1118697,"Myra 37A, Namsskogan",64.64272,13.109958
1118698,"Myra 35B, Namsskogan",64.642672,13.11037
1118699,"Myra 42A, Namsskogan",64.642349,13.110746
1118700,"Lillemor Johnsens vei 5, Namsskogan",64.644588,13.118395
1118701,"Lillemor Johnsens vei 3, Namsskogan",64.644686,13.117446
1118702,"Grøndalsveien 2081, Namsskogan",64.643796,13.117458
1118703,"Kleiva 5, Namsskogan",64.644203,13.111231
1118704,"Dr. Kloumanns vei 1, Namsskogan",64.644478,13.116219
1118705,"Kleiva 3, Namsskogan",64.644227,13.110396
1118706,"Kleiva 11, Namsskogan",64.644157,13.113236
1118707,"J.G. Engzelius vei 1, Namsskogan",64.644503,13.115322
1118708,"Kleiva 1, Namsskogan",64.644507,13.10677
1118889,"Mykkelvikseterveien 315, Røyrvik",64.749889,13.234055
1118891,"Flyanveien 27, Røyrvik",64.690165,13.215976
1118909,"Mykkelvikseterveien 151, Røyrvik",64.741466,13.244809
1118910,"Mykkelvikseterveien 297, Røyrvik",64.74863,13.23697
1118911,"Mykkelvikseterveien 149, Røyrvik",64.741441,13.245374
1118918,"Båstangveien 20, Røyrvik",64.658986,13.198229
1118927,"Stallvikveien 782, Røyrvik",64.737681,13.317531
1118928,"Bustadtangen 4, Røyrvik",64.667482,13.197824
1118929,"Bustadtangen 5, Røyrvik",64.668712,13.191898
1118935,"Lyshaug, Stallvikveien 2213, Røyrvik",64.659417,13.179523
1118936,"Lyshaug, Stallvikveien 2215, Røyrvik",64.659138,13.177969
1118937,"Stallvika 85, Røyrvik",64.659405,13.194875
1118939,"Stallvikveien 780, Røyrvik",64.73792,13.317041
1118940,"Finnkruhaugveien 27, Røyrvik",64.656725,13.173655
1118947,"Bergmannsveien 103, Namsskogan",64.635501,13.102914
1118962,"Myra 29B, Namsskogan",64.64226,13.112592
1118976,"Myra 55B, Namsskogan",64.643482,13.10194
1118998,"Myra 53B, Namsskogan",64.643396,13.102766
1118999,"Myra 49A, Namsskogan",64.643156,13.104637
1119000,"Myra 31, Namsskogan",64.642291,13.1118
1119005,"Bergmannsveien 67, Namsskogan",64.639261,13.110859
1119024,"Bergmannsveien 96, Namsskogan",64.636427,13.107413
1119033,"Myra 39, Namsskogan",64.642862,13.109036
1119096,"Bergmannsveien 101, Namsskogan",64.635634,13.102976
1119107,"Bergmannsveien 73, Namsskogan",64.638839,13.109873
1119121,"Myra 22A, Namsskogan",64.64222,13.117575
1119122,"Myra 30A, Namsskogan",64.64196,13.114664
1119163,"Grøndalsveien 691, Namsskogan",64.659332,12.856966
1119169,"Bergmannsveien 4, Namsskogan",64.643136,13.120502
1119248,"Myra 51B, Namsskogan",64.64328,13.103733
1119254,"Bergmannsveien 75, Namsskogan",64.638455,13.10883
1119256,"Myra 54D, Namsskogan",64.64282,13.105697
1119258,"Myra 61B, Namsskogan",64.643945,13.09918
1119361,"Myra 34A, Namsskogan",64.641903,13.113146
1119364,"Myra 22B, Namsskogan",64.642182,13.117632
1119365,"Myra 38A, Namsskogan",64.642033,13.112013
1119393,"Myra 21B, Namsskogan",64.6424,13.115967
1119397,"Grøndalsveien 1460, Namsskogan",64.666822,13.006703
1539104,"Bergmannsveien 71, Namsskogan",64.639003,13.110443
1643858,"Stallvikveien 2258, Røyrvik",64.655818,13.176024
1644016,"Stallvikholmen 1, Røyrvik",64.66486,13.205529
1644093,"Stallvika 90, Røyrvik",64.66004,13.192995
1654346,"Stallvika 81, Røyrvik",64.658976,13.194831
1658174,"Båstangveien 22, Røyrvik",64.658815,13.199291
1705690,"Finnkruhaugveien 31, Røyrvik",64.656591,13.171732
1712222,"Myra 27A, Namsskogan",64.642199,13.113484
1713666,"Myra 23B, Namsskogan",64.642339,13.115245
1713794,"Myra 23A, Namsskogan",64.64231,13.115304
1716783,"Finnkruhaugveien 21, Røyrvik",64.657598,13.174165
1736299,"Grøndalsveien 2004, Namsskogan",64.645684,13.099892
1750847,"Myra 63B, Namsskogan",64.644209,13.098424
1770036,"Stallvikveien 803, Røyrvik",64.737913,13.311446
1775831,"Stallvikveien 1370, Røyrvik",64.716304,13.221887
1787536,"Stallvikveien 1520, Røyrvik",64.705308,13.207031
1810822,"Hausvika, Stallvikveien 1390, Røyrvik",64.715119,13.219403
1814945,"Finnkruhaugveien 19, Røyrvik",64.657209,13.174476
1834936,"Stallvikveien 697, Røyrvik",64.742123,13.3303
1835359,"Litlfisktjønna 2, Røyrvik",64.752554,13.279635
1845057,"Stallvikveien 773, Røyrvik",64.739688,13.317717
1868042,"Båstangveien 104, Røyrvik",64.659083,13.210395
1868489,"Myra 59B, Namsskogan",64.643753,13.099948
1884781,"Sandtangveien 49, Røyrvik",64.68799,13.198159
1884782,"Sandtangveien 46, Røyrvik",64.687664,13.198199
1884783,"Sandtangveien 45, Røyrvik",64.687846,13.19874
1903301,"Stallvikveien 1382, Røyrvik",64.714562,13.224371
1912887,"Stallvika 111, Røyrvik",64.661146,13.190324
1912889,"Sandtangveien 50, Røyrvik",64.687559,13.196971
1912890,"Sandtangveien 47, Røyrvik",64.687932,13.198516
1912927,"Stallvikveien 2456, Røyrvik",64.647758,13.141318
1924171,"Drikkvatnet, Øverste Nessåvatn 1, Røyrvik",64.599768,13.117449
1933478,"Langvasshytta 1, Røyrvik",64.701835,13.151911
1937929,"Stallvikveien 2256, Røyrvik",64.655845,13.176294
1939457,"Stallvikveien 1037, Røyrvik",64.733222,13.268538
