,Navn,Long,Lat
683405,"Terminalveien 2, Rønvik",67.288702,14.400663
685179,"Bankgata 9, Bodø Domkirke",67.28548,14.388373
685487,"Dronningens gate 37A, Bodø Domkirke",67.284754,14.390759
685488,"Dronningens gate 36, Bodø Domkirke",67.283476,14.382553
685489,"Dronningens gate 35, Bodø Domkirke",67.284707,14.390296
685490,"Dronningens gate 33, Bodø Domkirke",67.284661,14.38981
685491,"Dronningens gate 32, Bodø Domkirke",67.283291,14.38105
685492,"Dronningens gate 30, Bodø Domkirke",67.283218,14.380773
685493,"Dronningens gate 28, Bodø Domkirke",67.283136,14.38045
685494,"Dronningens gate 27, Bodø Domkirke",67.284444,14.387147
685495,"Dronningens gate 47, Bodø Domkirke",67.284996,14.393213
685496,"Dronningens gate 46, Bodø Domkirke",67.283878,14.384469
685497,"Dronningens gate 44, Bodø Domkirke",67.283841,14.384238
685498,"Dronningens gate 43, Bodø Domkirke",67.284958,14.392657
685499,"Dronningens gate 42, Bodø Domkirke",67.283777,14.383868
685500,"Dronningens gate 41, Bodø Domkirke",67.284893,14.392078
685501,"Dronningens gate 39, Bodø Domkirke",67.284829,14.391616
685502,"Dronningens gate 37B, Bodø Domkirke",67.2848,14.391199
685503,"Dronningens gate 61, Bodø Domkirke",67.285287,14.396501
685504,"Dronningens gate 59A, Bodø Domkirke",67.285211,14.39609
685505,"Dronningens gate 57, Bodø Domkirke",67.285212,14.395275
685506,"Dronningens gate 56, Bodø Domkirke",67.284226,14.387433
685507,"Dronningens gate 55, Bodø Domkirke",67.285146,14.39481
685508,"Dronningens gate 53, Bodø Domkirke",67.285108,14.394301
685509,"Dronningens gate 49, Bodø Domkirke",67.285052,14.393722
685510,"Dronningens gate 48, Bodø Domkirke",67.283915,14.384886
685511,"Dronningens gate 74, Bodø Domkirke",67.284737,14.393359
685512,"Dronningens gate 73, Bodø Domkirke",67.285585,14.399557
685513,"Dronningens gate 72, Bodø Domkirke",67.284654,14.392873
685514,"Dronningens gate 71, Bodø Domkirke",67.285557,14.39907
685515,"Dronningens gate 69, Bodø Domkirke",67.28551,14.398631
685516,"Dronningens gate 67, Bodø Domkirke",67.285437,14.398191
685517,"Dronningens gate 65, Bodø Domkirke",67.285399,14.397705
685518,"Dronningens gate 63, Bodø Domkirke",67.285361,14.39701
685527,"Dronningens gate 4, Bodø Domkirke",67.282316,14.377177
685528,"Dronningens gate 2, Bodø Domkirke",67.282261,14.376969
685531,"Dronningens gate 11C, Bodø Domkirke",67.283532,14.380765
685532,"Dronningens gate 11B, Bodø Domkirke",67.283477,14.380558
685533,"Dronningens gate 11A, Bodø Domkirke",67.283413,14.380304
685534,"Dronningens gate 9B, Bodø Domkirke",67.283367,14.37998
685535,"Dronningens gate 9A, Bodø Domkirke",67.283321,14.379773
685536,"Dronningens gate 8, Bodø Domkirke",67.282434,14.377568
685537,"Dronningens gate 6, Bodø Domkirke",67.28237,14.377361
685538,"Dronningens gate 26, Bodø Domkirke",67.283099,14.380127
685539,"Dronningens gate 25, Bodø Domkirke",67.284353,14.386638
685540,"Dronningens gate 19, Bodø Domkirke",67.284083,14.384278
685541,"Dronningens gate 18, Bodø Domkirke",67.282876,14.379181
685542,"Dronningens gate 17, Bodø Domkirke",67.284046,14.384024
685543,"Dronningens gate 15, Bodø Domkirke",67.283862,14.382776
685544,"Dronningens gate 12, Bodø Domkirke",67.282553,14.378099
685545,"Dronningens gate 14, Bodø Domkirke",67.282625,14.378306
685546,"Dronningens gate 13, Bodø Domkirke",67.28378,14.382244
685612,"Biskop Kroghs gate 10B, Bodø Domkirke",67.284481,14.392228
685613,"Biskop Kroghs gate 10A, Bodø Domkirke",67.284625,14.392132
685614,"Biskop Kroghs gate 8, Bodø Domkirke",67.285072,14.391958
685615,"Biskop Kroghs gate 7, Bodø Domkirke",67.285129,14.39256
685624,"Biskop Kroghs gate 12, Bodø Domkirke",67.283927,14.392637
685625,"Biskop Kroghs gate 11, Bodø Domkirke",67.283983,14.393285
685626,"Biskop Kroghs gate 10C, Bodø Domkirke",67.284356,14.392301
685691,"Dronningens gate 98G, Bodø Domkirke",67.285018,14.399014
685692,"Dronningens gate 98F, Bodø Domkirke",67.285189,14.399033
685693,"Dronningens gate 98E, Bodø Domkirke",67.285196,14.398662
685694,"Dronningens gate 98D, Bodø Domkirke",67.285107,14.398664
685695,"Dronningens gate 98C, Bodø Domkirke",67.285026,14.398689
685696,"Dronningens gate 98B, Bodø Domkirke",67.284955,14.398761
685697,"Dronningens gate 98A, Bodø Domkirke",67.284973,14.399015
685698,"Dronningens gate 96, Bodø Domkirke",67.285148,14.397711
685700,"Dronningens gate 102, Bodø Domkirke",67.285382,14.400258
685701,"Dronningens gate 100, Bodø Domkirke",67.285326,14.399633
685702,"Dronningens gate 98L, Bodø Domkirke",67.285162,14.399057
685703,"Dronningens gate 98K, Bodø Domkirke",67.285161,14.398825
685704,"Dronningens gate 98J, Bodø Domkirke",67.285116,14.39878
685705,"Dronningens gate 98I, Bodø Domkirke",67.285044,14.398805
685706,"Dronningens gate 98H, Bodø Domkirke",67.285,14.398875
685723,"Dronningens gate 94, Bodø Domkirke",67.285128,14.397132
685724,"Dronningens gate 82, Bodø Domkirke",67.284913,14.395002
685725,"Dronningens gate 80, Bodø Domkirke",67.284849,14.394447
685726,"Dronningens gate 78, Bodø Domkirke",67.284784,14.393915
685727,"Dronningens gate 77, Bodø Domkirke",67.285669,14.400414
685729,"Dronningens gate 75, Bodø Domkirke",67.285623,14.399951
686494,"Havnegata 3, Bodø Domkirke",67.283991,14.383538
686495,"Havnegata 1, Bodø Domkirke",67.284116,14.383396
686508,"Havnegata 9, Bodø Domkirke",67.282919,14.384819
686509,"Havnegata 7, Bodø Domkirke",67.283598,14.384035
686510,"Havnegata 5, Bodø Domkirke",67.283687,14.38394
687400,"Ivar Lunds vei 10B, Bodø Domkirke",67.285044,14.391564
687401,"Ivar Lunds vei 10A, Bodø Domkirke",67.285025,14.391379
687402,"Ivar Lunds vei 9, Bodø Domkirke",67.285269,14.39186
687403,"Ivar Lunds vei 8, Bodø Domkirke",67.284979,14.390985
687404,"Ivar Lunds vei 6, Bodø Domkirke",67.284932,14.390337
687405,"Ivar Lunds vei 4, Bodø Domkirke",67.284876,14.389781
687406,"Ivar Lunds vei 2, Bodø Domkirke",67.284811,14.389226
687414,"Ivar Lunds vei 14, Bodø Domkirke",67.285343,14.394736
687415,"Ivar Lunds vei 12, Bodø Domkirke",67.285184,14.393069
687557,"Hålogalandsgata 7, Bodø Domkirke",67.282161,14.376647
687559,"Hålogalandsgata 5, Bodø Domkirke",67.282383,14.376107
687568,"Hålogalandsgata 11B, Bodø Domkirke",67.281795,14.377004
687569,"Hålogalandsgata 11A, Bodø Domkirke",67.281875,14.376886
687571,"Hålogalandsgata 9, Bodø Domkirke",67.282063,14.376719
687881,"Kongens gate 79, Bodø Domkirke",67.285139,14.400195
687889,"Kortneset 2A, Bodø Domkirke",67.28645,14.400533
687890,"Kortneset 2B, Bodø Domkirke",67.286532,14.400763
687891,"Kortneset 2C, Bodø Domkirke",67.286631,14.400993
687892,"Kortneset 4A, Bodø Domkirke",67.286795,14.401546
687893,"Kortneset 4B, Bodø Domkirke",67.286894,14.401799
687894,"Kortneset 6A, Bodø Domkirke",67.287085,14.40249
687895,"Kortneset 6B, Bodø Domkirke",67.287185,14.402743
687905,"Kongens gate 38, Bodø Domkirke",67.28435,14.395318
687906,"Kongens gate 40, Bodø Domkirke",67.284414,14.395827
687907,"Kongens gate 46A, Bodø Domkirke",67.284591,14.3974
687908,"Kongens gate 46B, Bodø Domkirke",67.2846,14.397539
687909,"Kongens gate 48, Bodø Domkirke",67.284721,14.398604
687910,"Kongens gate 49, Bodø Domkirke",67.284421,14.392949
687911,"Kongens gate 50, Bodø Domkirke",67.284768,14.399137
687912,"Kongens gate 27, Bodø Domkirke",67.283493,14.384734
687913,"Kongens gate 28, Bodø Domkirke",67.284079,14.392563
687914,"Kongens gate 29, Bodø Domkirke",67.283539,14.384942
687915,"Kongens gate 30, Bodø Domkirke",67.284126,14.393189
687916,"Kongens gate 31, Bodø Domkirke",67.283639,14.385404
687917,"Kongens gate 32, Bodø Domkirke",67.2842,14.393697
687918,"Kongens gate 34, Bodø Domkirke",67.284247,14.39423
687919,"Kongens gate 36, Bodø Domkirke",67.284303,14.394762
687920,"Kongens gate 60B, Bodø Domkirke",67.284834,14.402523
687921,"Kongens gate 61, Bodø Domkirke",67.284701,14.39568
687922,"Kongens gate 62, Bodø Domkirke",67.285078,14.402981
687923,"Kongens gate 65, Bodø Domkirke",67.284712,14.39633
687924,"Kongens gate 71, Bodø Domkirke",67.284962,14.398319
687925,"Kongens gate 73, Bodø Domkirke",67.285066,14.399686
687926,"Kongens gate 75, Bodø Domkirke",67.285109,14.399383
687927,"Kongens gate 77, Bodø Domkirke",67.285218,14.399682
687928,"Kongens gate 51, Bodø Domkirke",67.284451,14.393552
687929,"Kongens gate 53, Bodø Domkirke",67.284497,14.394061
687930,"Kongens gate 54, Bodø Domkirke",67.28487,14.400132
687931,"Kongens gate 56, Bodø Domkirke",67.284892,14.401129
687932,"Kongens gate 57, Bodø Domkirke",67.284553,14.39464
687933,"Kongens gate 58, Bodø Domkirke",67.284983,14.401707
687934,"Kongens gate 59, Bodø Domkirke",67.284618,14.395125
687935,"Kongens gate 60A, Bodø Domkirke",67.285048,14.402286
687936,"Kongens gate 4, Bodø Domkirke",67.281682,14.377959
687937,"Kongens gate 5, Bodø Domkirke",67.282131,14.378226
687938,"Kongens gate 6, Bodø Domkirke",67.2818,14.378257
687939,"Kongens gate 8, Bodø Domkirke",67.28201,14.379273
687940,"Kongens gate 10, Bodø Domkirke",67.282155,14.379687
687941,"Kongens gate 11, Bodø Domkirke",67.282387,14.379263
687946,"Kongens gate 1A, Bodø Domkirke",67.281886,14.37735
687947,"Kongens gate 1B, Bodø Domkirke",67.281922,14.377465
687948,"Kongens gate 2, Bodø Domkirke",67.281627,14.377589
687949,"Kongens gate 3, Bodø Domkirke",67.282013,14.377788
687950,"Kongens gate 19A, Bodø Domkirke",67.282787,14.380831
687951,"Kongens gate 19B, Bodø Domkirke",67.282824,14.381062
687952,"Kongens gate 20, Bodø Domkirke",67.283688,14.38893
687953,"Kongens gate 21, Bodø Domkirke",67.282906,14.381477
687954,"Kongens gate 22, Bodø Domkirke",67.283726,14.38937
