,Navn,Long,Lat
682661,"Bleksværveien 162, Bodin",67.281519,13.98499
682662,"Bleksværveien 150, Bodin",67.28123,13.987508
682664,"Bleksværveien 74, Bodin",67.279493,13.996747
682665,"Bleksværveien 156, Bodin",67.281866,13.985996
682667,"Bleksværveien 131, Bodin",67.278896,13.98872
682793,"Bleksværveien 191, Bodin",67.279237,13.981675
682795,"Bleksværveien 99, Bodin",67.278805,13.9942
682797,"Bleksværveien 46, Bodin",67.27986,14.003832
682799,"Bleksværveien 17, Bodin",67.277313,14.00243
682801,"Bleksværveien 20, Bodin",67.277804,14.002131
682803,"Bleksværveien 21, Bodin",67.277774,14.001552
682805,"Bleksværveien 19, Bodin",67.277396,14.001289
682807,"Bleksværveien 180, Bodin",67.280835,13.983278
682820,"Bleksværveien 174, Bodin",67.281038,13.984082
693442,"Bleksværveien 127, Bodin",67.279641,13.988852
693533,"Bleksværveien 170, Bodin",67.281269,13.98384
693821,"Bleksværveien 111, Bodin",67.278159,13.992882
694029,"Bleksværveien 188, Bodin",67.280418,13.981449
694030,"Bleksværveien 141, Bodin",67.280374,13.988426
694031,"Kvernsteinveien 72, Bodin",67.280597,14.017028
694032,"Bleksværveien 197, Bodin",67.279828,13.980444
694033,"Kvernsteinveien 22, Bodin",67.277845,14.008649
694034,"Kvernsteinveien 10, Bodin",67.277478,14.006084
694035,"Bleksværveien 42, Bodin",67.279526,14.003405
694115,"Kvernsteinveien 38, Bodin",67.278903,14.011436
694541,"Bleksværveien 142, Bodin",67.280836,13.989103
694566,"Kvernsteinveien 132, Bodin",67.28479,14.014698
695124,"Kvernsteinveien 134, Bodin",67.284967,14.015735
696172,"Bleksværveien 105, Bodin",67.278192,13.993808
697849,"Bleksværveien 113, Bodin",67.278222,13.992925
697936,"Kvernsteinveien 9, Bodin",67.277733,14.005104
698307,"Bleksværveien 135, Bodin",67.279311,13.987622
1886799,"Bleksværveien 196, Bodin",67.28025,13.980264
2084465,"Kvernsteinveien 8, Bodin",67.277254,14.005713
