,Navn,Long,Lat
682703,"Landegodeveien 90, Bodin",67.382811,14.253846
682704,"Landegodeveien 64, Bodin",67.384317,14.252335
682705,"Tonhellaren 22, Bodin",67.383742,14.255895
682706,"Landegodeveien 29, Bodin",67.387036,14.250479
682707,"Landegodeveien 96, Bodin",67.382008,14.253526
682709,"Landegodeveien 8, Bodin",67.388316,14.244099
682713,"Ramsvika 18, Bodin",67.426646,14.329309
682714,"Ramsvika 22, Bodin",67.426615,14.330314
682722,"Landegodeveien 865, Bodin",67.401482,14.387338
682723,"Landegodeveien 783, Bodin",67.397558,14.378715
682724,"Landegodeveien 818, Bodin",67.398516,14.382767
682725,"Kvigtindveien 580, Bodin",67.42132,14.399222
682726,"Kvigtindveien 812, Bodin",67.428029,14.394118
682728,"Ramsvika 26, Bodin",67.426501,14.331442
682729,"Ramsvika 7, Bodin",67.427731,14.326874
682730,"Ramsvika 8, Bodin",67.426732,14.326108
682731,"Landegodeveien 53, Bodin",67.385715,14.253853
682735,"Landegodeveien 82, Bodin",67.383527,14.254038
682738,"Landegodeveien 44, Bodin",67.386272,14.250542
682740,"Kvigtindveien 31, Bodin",67.405462,14.365637
682742,"Landegodeveien 823, Bodin",67.398815,14.38136
682743,"Landegodeveien 60, Bodin",67.384929,14.252642
682744,"Tonhellaren 2, Bodin",67.384058,14.254417
682745,"Landegodeveien 80, Bodin",67.383983,14.25386
682747,"Landegodeveien 48, Bodin",67.385667,14.251268
682749,"Landegodeveien 58, Bodin",67.384737,14.251903
682751,"Landegodeveien 41, Bodin",67.386601,14.251425
682753,"Tonhellaren 19, Bodin",67.383521,14.256648
682755,"Landegodeveien 83, Bodin",67.383565,14.254834
692831,"Landegodeveien 85, Bodin",67.382966,14.254894
693215,"Landegodeveien 54, Bodin",67.385111,14.251425
693843,"Landegodeveien 62, Bodin",67.38456,14.252467
693981,"Ramsvika 14, Bodin",67.426588,14.328167
693982,"Ramsvika 42, Bodin",67.42696,14.333479
693984,"Kvigtindveien 920, Bodin",67.437433,14.391669
693986,"Kvigtindveien 932, Bodin",67.438413,14.392205
693988,"Eggløysa 1, Bodin",67.44802,14.3803
693990,"Kvigtindveien 868, Bodin",67.433153,14.398503
693992,"Kvigtindveien 738, Bodin",67.422213,14.385148
694001,"Landegodeveien 350, Bodin",67.385121,14.297475
694003,"Landegodeveien 349, Bodin",67.386595,14.295987
694005,"Landegodeveien 45, Bodin",67.386747,14.252073
694007,"Landegodeveien 129, Bodin",67.38005,14.256896
694009,"Landegodeveien 88, Bodin",67.382955,14.254182
694014,"Kvigtindveien 720, Bodin",67.420549,14.383954
694016,"Kvigtindveien 766, Bodin",67.424405,14.388243
694018,"Kvigtindveien 458, Bodin",67.423178,14.415608
694021,"Kvigtindveien 676, Bodin",67.416947,14.380454
694023,"Landegodeveien 441, Bodin",67.389898,14.315143
694025,"Landegodeveien 360, Bodin",67.385858,14.301858
694027,"Landegodeveien 320, Bodin",67.383196,14.292032
694230,"Tonhellaren 4, Bodin",67.384134,14.255464
694231,"Kvigtindveien 808, Bodin",67.427752,14.393293
694537,"Einvollsanden 53, Bodin",67.375268,14.258582
694732,"Kvigtindveien 67, Bodin",67.406361,14.373031
694779,"Kvigtindveien 680, Bodin",67.417164,14.379737
695126,"Landegodeveien 1, Bodin",67.389043,14.244286
695195,"Einvollsanden 61, Bodin",67.374822,14.257105
695209,"Kvigtindveien 540, Bodin",67.423848,14.40474
695342,"Landegodeveien 832, Bodin",67.399072,14.383343
695344,"Tonhellaren 3, Bodin",67.384528,14.255218
695920,"Landegodeveien 453, Bodin",67.389373,14.317592
696181,"Landegodeveien 816, Bodin",67.398352,14.382825
696182,"Landegodeveien 785, Bodin",67.397494,14.378907
696183,"Landegodeveien 821, Bodin",67.398787,14.381741
696799,"Tonhellaren 18, Bodin",67.383692,14.256899
696807,"Landegodeveien 49, Bodin",67.386289,14.253033
696997,"Landegodeveien 827, Bodin",67.398951,14.38233
697354,"Landegodeveien 15, Bodin",67.393686,14.251226
697397,"Landegodeveien 429, Bodin",67.389136,14.313207
697399,"Landegodeveien 66, Bodin",67.384129,14.252458
697847,"Landegodeveien 329, Bodin",67.384746,14.290816
698019,"Tonhellaren 7, Bodin",67.384648,14.256007
698075,"Landegodeveien 330, Bodin",67.384438,14.290877
855681,"Landegodeveien 70, Bodin",67.383574,14.252438
856564,"Landegodeveien 56, Bodin",67.385038,14.251968
1446597,"Einvollsanden 40, Bodin",67.376416,14.25997
1648366,"Landegodeveien 86, Bodin",67.382981,14.254293
1786141,"Kvigtindveien 940, Bodin",67.439074,14.391914
1787407,"Landegodeveien 98, Bodin",67.381415,14.253344
1886438,"Kvigtindveien 250, Bodin",67.415864,14.407834
2001334,"Landegodeveien 7, Bodin",67.388607,14.245171
2001336,"Landegodeveien 5, Bodin",67.388808,14.244927
2001338,"Einvollsanden 77, Bodin",67.374276,14.253742
2002688,"Landegodeveien 74, Bodin",67.383043,14.252
2012311,"Landegodeveien 465, Bodin",67.389121,14.321953
2025335,"Landegodeveien 94, Bodin",67.382212,14.253464
2026121,"Landegodeveien 811, Bodin",67.397981,14.381466
2045217,"Landegodeveien 42, Bodin",67.386418,14.250177
2054558,"Landegodeveien 877, Bodin",67.402205,14.389225
2166076,"Kvigtindveien 450, Bodin",67.422847,14.4164
2353367,"Kvigtindveien 350, Bodin",67.419188,14.427923
