,Navn,Long,Lat
28496,"7/9, Rødøy",66.527101,13.022134
28538,"8/5-1, Rødøy",66.541815,13.074428
1487185,"Gjersvikveien 25, Rødøy",66.52827,13.01952
1487186,"Gjersvikveien 19, Rødøy",66.528386,13.025161
1487187,"Gjersvikveien 41, Rødøy",66.529621,13.011399
1487188,"Gjersvikveien 10, Rødøy",66.531005,13.030671
1487189,"Langnesveien 91, Rødøy",66.546769,13.095668
1487190,"Langnesveien 56, Rødøy",66.544754,13.076926
1487252,"Gjersvikveien 65, Rødøy",66.532788,12.990209
1487253,"Molvika 1, Rødøy",66.533614,13.138345
1487254,"Molvika 3, Rødøy",66.526912,13.125203
1487278,"Langnesveien 32, Rødøy",66.541901,13.063925
1487391,"Langnesveien 70, Rødøy",66.545322,13.086725
1487392,"Langnesveien 45, Rødøy",66.541952,13.075296
1487393,"Langnesveien 20, Rødøy",66.540251,13.057079
1487459,"Langnesveien 62, Rødøy",66.546043,13.080295
1487513,"Gjersvikveien 30, Rødøy",66.528338,13.017275
1487644,"Langnesveien 49, Rødøy",66.540994,13.073573
1487711,"Langnesveien 47, Rødøy",66.541043,13.07172
1487725,"Langnesveien 80, Rødøy",66.547514,13.089845
1487756,"Molvika 4, Rødøy",66.528749,13.124777
1487951,"Langnesveien 55, Rødøy",66.541998,13.076846
2089350,"Gjersvikveien 5, Rødøy",66.532141,13.032296
2089352,"Langnesveien 46, Rødøy",66.542681,13.072661
2089356,"Langnesveien 93, Rødøy",66.546863,13.096753
2089359,"Molvika 2, Rødøy",66.53447,13.137545
2089360,"Langnesveien 51, Rødøy",66.54105,13.074505
2089362,"Langnesveien 50, Rødøy",66.543223,13.074664
2089379,"Langnesveien 26, Rødøy",66.541256,13.061282
2089384,"Langnesveien 38, Rødøy",66.542068,13.068577
2112831,"Gjersvikveien 55, Rødøy",66.531445,12.988428
