,Navn,Long,Lat
28336,"1/13, Rødøy",66.595109,12.660591
28337,"1/20, Rødøy",66.591209,12.642984
28338,"1/26, Rødøy",66.59131,12.64962
28347,"1/7, Rødøy",66.588358,12.652253
28348,"1/8/1, Rødøy",66.591098,12.65465
28432,"1/8/3, Rødøy",66.590905,12.660965
28499,"1/4/1, Rødøy",66.593065,12.621894
28542,"1/71, Rødøy",66.591819,12.656049
28543,"1/68, Rødøy",66.592441,12.657533
28544,"1/68/2, Rødøy",66.592746,12.65858
28546,"1/68/3, Rødøy",66.592798,12.658507
1299036,"Nesøyveien 23, Lurøy",66.572005,12.653808
1299039,"Korsvikveien 9, Lurøy",66.575028,12.6793
1299042,"Jovikveien 22, Lurøy",66.565874,12.623572
1299043,"Enganveien 13, Lurøy",66.553905,12.632784
1299044,"Jovikveien 7, Lurøy",66.57016,12.644466
1299181,"Nesøyveien 19, Lurøy",66.57342,12.65314
1299183,"Korsvikveien 5, Lurøy",66.573315,12.675635
1299184,"Øyvollveien 12, Lurøy",66.557778,12.65642
1299185,"Jovikveien 23, Lurøy",66.567901,12.622837
1299186,"Jovikveien 33, Lurøy",66.563734,12.619156
1299187,"Enganveien 8, Lurøy",66.549913,12.638324
1299188,"Jovikveien 36, Lurøy",66.554932,12.619458
1299189,"Nesøyveien 11, Lurøy",66.573875,12.652085
1299195,"Nesøyveien 20, Lurøy",66.571195,12.652628
1299196,"Vikran 10, Lurøy",66.575583,12.628079
1299197,"Jovikveien 4, Lurøy",66.569607,12.649711
1299218,"Vikran 1, Lurøy",66.572584,12.634072
1299222,"Enganveien 10, Lurøy",66.554671,12.63954
1299223,"Vikran 2, Lurøy",66.572407,12.631454
1299230,"Jovikveien 25, Lurøy",66.568384,12.622724
1299231,"Jovikveien 1, Lurøy",66.571579,12.651306
1299232,"Vikran 6, Lurøy",66.57383,12.62969
1299233,"Vikran 8, Lurøy",66.576207,12.630208
1299234,"Jovikveien 3, Lurøy",66.571627,12.649841
1299235,"Jovikveien 8, Lurøy",66.569705,12.646049
1299236,"Nesøyveien 15, Lurøy",66.574511,12.65227
1299237,"Jovikveien 15, Lurøy",66.569154,12.638638
1299238,"Korsvikveien 7, Lurøy",66.574604,12.679033
1299239,"Vikran 14, Lurøy",66.577989,12.629338
1299240,"Enganveien 15, Lurøy",66.553793,12.630744
1299241,"Enganveien 2, Lurøy",66.569262,12.646452
1299242,"Enganveien 11, Lurøy",66.554168,12.637762
1299243,"Enganveien 9, Lurøy",66.555994,12.640992
1299244,"Jovikveien 9, Lurøy",66.56999,12.644128
1299245,"Nesøyveien 25, Lurøy",66.571753,12.656905
1299323,"Vikran 13, Lurøy",66.578421,12.629387
1299373,"Jovikveien 27, Lurøy",66.567522,12.619198
1299442,"Vikran 11, Lurøy",66.578651,12.63073
1299463,"Vikran 20, Lurøy",66.581202,12.620977
1299512,"Jovikveien 11, Lurøy",66.569948,12.64314
1299772,"Nesøyveien 9, Lurøy",66.573372,12.650876
1299773,"Nesøyveien 17, Lurøy",66.57344,12.652123
1299786,"Vikran 4, Lurøy",66.573229,12.630311
1486631,"Kjerringskjærveien 13, Rødøy",66.588381,12.655753
1486633,"Kjerringskjærveien 32, Rødøy",66.590157,12.652956
1486634,"Nesøyveien 164, Rødøy",66.594237,12.642458
1486636,"Sandvikveien 21, Rødøy",66.582312,12.680643
1486638,"Nesøyveien 76, Rødøy",66.585932,12.650201
1486639,"Nesøyveien 60, Rødøy",66.586765,12.657181
1486641,"Nesøyveien 201, Rødøy",66.595463,12.654802
1486642,"Nesøyveien 206, Rødøy",66.596865,12.657333
1486648,"Nesøyveien 110, Rødøy",66.591037,12.648788
1486650,"Nesøyveien 62, Rødøy",66.585062,12.657996
1486652,"Nesøyveien 168, Rødøy",66.593819,12.643942
1486654,"Nesøyveien 204, Rødøy",66.596118,12.656614
1486655,"Nesøyveien 95, Rødøy",66.589443,12.650835
1486656,"Nesøyveien 200, Rødøy",66.596135,12.655325
1486657,"Nesøyveien 124, Rødøy",66.59098,12.644392
1486658,"Nesøyveien 94, Rødøy",66.589445,12.649729
1486660,"Nesøyveien 90, Rødøy",66.588676,12.649373
1486662,"Nesøyveien 84, Rødøy",66.587514,12.650904
1486663,"Nesøyveien 47, Rødøy",66.589946,12.661642
1486665,"Nesøyveien 182A, Rødøy",66.595449,12.643915
1486666,"Nesøyveien 92, Rødøy",66.589183,12.649663
1486667,"Nesøyveien 106, Rødøy",66.590693,12.649082
1486668,"Nesøyveien 55, Rødøy",66.587986,12.658397
1486669,"Nesøyveien 174, Rødøy",66.594947,12.647311
1486670,"Nesøyveien 172, Rødøy",66.594839,12.646103
1486671,"Nesøyveien 80, Rødøy",66.587314,12.652205
1486683,"Nesøyveien 137, Rødøy",66.591849,12.643271
1486684,"Nesøyveien 132, Rødøy",66.591521,12.640864
1486689,"Nesøyveien 156, Rødøy",66.592644,12.641368
1486691,"Nesøyveien 64, Rødøy",66.586213,12.655112
1486693,"Hellstøveien 10, Rødøy",66.59259,12.637351
1486694,"Nesøyveien 160, Rødøy",66.593313,12.640763
1486696,"Kjerringskjærveien 10, Rødøy",66.588355,12.654278
1486699,"Nesøyveien 49, Rødøy",66.590368,12.661038
1486701,"Sandvikveien 8, Rødøy",66.583927,12.678251
1486702,"Sandvikveien 10, Rødøy",66.58439,12.677982
1486704,"Sandvikveien 14, Rødøy",66.583301,12.678987
1486705,"Sandvikveien 17, Rødøy",66.582577,12.67919
1487231,"Nesøyveien 102, Rødøy",66.590336,12.649328
1487232,"Sandvikveien 15, Rødøy",66.582993,12.678181
1487233,"Nesøyveien 98, Rødøy",66.590072,12.649647
1487234,"Nesøyveien 135, Rødøy",66.591736,12.643328
1487235,"Nesøyveien 130, Rødøy",66.591547,12.642104
1487236,"Nesøyveien 99, Rødøy",66.590202,12.650038
1487237,"Nesøyveien 180, Rødøy",66.595577,12.645404
1487238,"Kjerringskjærveien 20, Rødøy",66.58893,12.654945
1487452,"Kjerringskjærveien 17, Rødøy",66.588714,12.655575
1487487,"Hellstøveien 4, Rødøy",66.59174,12.641206
1487488,"Kjerringskjærveien 8, Rødøy",66.58846,12.653523
1487672,"Kjerringskjærveien 4, Rødøy",66.588014,12.652459
1487679,"Nesøyveien 118, Rødøy",66.591213,12.64674
1487726,"Kjerringskjærveien 21, Rødøy",66.589047,12.655544
1487757,"Hellstøveien 20, Rødøy",66.589662,12.621882
1487906,"Nesøyveien 70, Rødøy",66.586598,12.652616
1487908,"Kjerringskjærveien 28, Rødøy",66.589757,12.65322
1487933,"Nesøyveien 182B, Rødøy",66.595503,12.644244
