,Navn,Long,Lat
5802,"Røvik, 121/1-1, Valnesfjord",67.272033,15.256757
5835,"118/10, Fauske",67.266215,15.310794
5841,"45/11, Valnesfjord",67.257364,15.215874
5843,"Røvik, 44/7, Valnesfjord",67.269716,15.247247
5860,"45/58, Valnesfjord",67.268311,15.1996
5865,"118/4, Fauske",67.270585,15.30817
5866,"118/60, Fauske",67.265504,15.292559
5880,"Klungset, 117/37, Fauske",67.271267,15.340524
5889,"45/59, Valnesfjord",67.267077,15.224031
5898,"45/29-1, Valnesfjord",67.269348,15.229293
5899,"45/18-1, Valnesfjord",67.268683,15.229843
5900,"45/60, Valnesfjord",67.259433,15.218465
5906,"45/61, Valnesfjord",67.2569,15.200641
5911,"104/749, Fauske",67.2686,15.341877
5912,"46/17, Valnesfjord",67.258536,15.156726
30403,"118/9-3, Fauske",67.265141,15.279848
31893,"118/66, Fauske",67.28234,15.30713
34711,"45/45, Valnesfjord",67.263758,15.221949
46663,"Røvik, 44/6, Valnesfjord",67.270062,15.249779
47689,"Røvik, 44/26, Valnesfjord",67.273282,15.243851
547320,"Trivselsveien 40, Valnesfjord",67.260449,15.216921
547321,"Trivselsveien 41, Valnesfjord",67.259649,15.219996
547322,"Trivselsveien 10, Valnesfjord",67.269251,15.228369
547323,"Trivselsveien 57, Valnesfjord",67.257544,15.208597
547324,"Trivselsveien 8, Valnesfjord",67.269348,15.229293
547325,"Trivselsveien 42, Valnesfjord",67.259374,15.215683
547326,"Trivselsveien 24, Valnesfjord",67.265627,15.22142
547327,"Trivselsveien 15, Valnesfjord",67.26737,15.225865
547328,"Trivselsveien 53, Valnesfjord",67.257854,15.211729
547329,"Trivselsveien 20, Valnesfjord",67.266293,15.222245
547331,"Trivselsveien 9, Valnesfjord",67.268683,15.229843
547332,"Trivselsveien 43, Valnesfjord",67.258681,15.217299
547333,"Trivselsveien 55, Valnesfjord",67.257658,15.210498
547334,"Trivselsveien 102, Valnesfjord",67.25651,15.173356
547335,"Trivselsveien 82, Valnesfjord",67.255833,15.177314
547336,"Trivselsveien 112, Valnesfjord",67.259147,15.165099
547337,"Trivselsveien 108, Valnesfjord",67.257912,15.171071
547338,"Trivselsveien 26, Valnesfjord",67.264731,15.220786
547339,"Trivselsveien 66, Valnesfjord",67.257622,15.194974
547340,"Trivselsveien 64, Valnesfjord",67.257594,15.197332
547341,"Trivselsveien 23, Valnesfjord",67.264988,15.223223
547342,"Trivselsveien 21, Valnesfjord",67.265461,15.224619
547343,"Trivselsveien 60, Valnesfjord",67.257439,15.199903
547344,"Trivselsveien 62, Valnesfjord",67.257547,15.199487
547562,"Frydenlund 5, Valnesfjord",67.272704,15.246628
547563,"Frydenlund 2, Valnesfjord",67.27215,15.251146
547567,"Trivselsveien 46, Valnesfjord",67.258517,15.212129
547568,"Trivselsveien 44, Valnesfjord",67.259089,15.21378
547569,"Trivselsveien 19, Valnesfjord",67.266584,15.228769
547570,"Trivselsveien 59, Valnesfjord",67.257288,15.205488
547571,"Trivselsveien 38, Valnesfjord",67.2617,15.220109
547572,"Trivselsveien 51, Valnesfjord",67.257906,15.213329
547573,"Trivselsveien 49, Valnesfjord",67.258155,15.21449
547574,"Trivselsveien 45, Valnesfjord",67.257873,15.21764
547575,"Frydenlund 8, Valnesfjord",67.273969,15.240193
547576,"Trivselsveien 29, Valnesfjord",67.263488,15.224391
547577,"Trivselsveien 31, Valnesfjord",67.262617,15.224917
547578,"Frydenlund 7, Valnesfjord",67.272921,15.245355
547579,"Frydenlund 9, Valnesfjord",67.272406,15.241871
547580,"Frydenlund 3, Valnesfjord",67.272363,15.246903
547581,"Trivselsveien 3, Valnesfjord",67.271053,15.252595
547796,"Trivselsveien 147, Valnesfjord",67.267845,15.149575
547798,"Trivselsveien 144, Valnesfjord",67.266592,15.155735
547825,"Trivselsveien 143, Valnesfjord",67.266684,15.153533
547827,"Trivselsveien 76, Valnesfjord",67.256983,15.183628
547828,"Trivselsveien 67, Valnesfjord",67.256693,15.193453
547830,"Trivselsveien 133, Valnesfjord",67.261489,15.155146
547832,"Trivselsveien 85, Valnesfjord",67.254939,15.174735
547834,"Trivselsveien 100, Valnesfjord",67.256133,15.173654
547836,"Trivselsveien 72, Valnesfjord",67.257737,15.190657
547838,"Trivselsveien 79, Valnesfjord",67.255095,15.179441
547840,"Trivselsveien 95, Valnesfjord",67.255039,15.172696
547842,"Trivselsveien 81, Valnesfjord",67.25497,15.178768
547844,"Trivselsveien 103, Valnesfjord",67.256019,15.170779
547846,"Trivselsveien 109, Valnesfjord",67.257503,15.167568
547848,"Trivselsveien 74, Valnesfjord",67.257242,15.184302
547850,"Trivselsveien 87, Valnesfjord",67.254768,15.174787
547852,"Trivselsveien 83, Valnesfjord",67.254882,15.17682
547853,"Trivselsveien 68, Valnesfjord",67.257322,15.192995
547854,"Trivselsveien 107, Valnesfjord",67.256378,15.169542
547857,"Trivselsveien 153, Valnesfjord",67.27119,15.150106
547865,"Trivselsveien 146, Valnesfjord",67.26705,15.15597
547866,"Trivselsveien 151, Valnesfjord",67.269678,15.145829
547869,"Trivselsveien 138, Valnesfjord",67.263785,15.15523
547871,"Trivselsveien 127, Valnesfjord",67.259504,15.157567
547873,"Trivselsveien 125, Valnesfjord",67.2598,15.15787
547874,"Trivselsveien 136, Valnesfjord",67.262456,15.156659
547875,"Trivselsveien 141, Valnesfjord",67.265465,15.152899
547877,"Trivselsveien 142, Valnesfjord",67.266207,15.155501
547879,"Trivselsveien 130, Valnesfjord",67.2611,15.158482
547891,"Trivselsveien 69, Valnesfjord",67.25664,15.192595
547894,"Trivselsveien 98, Valnesfjord",67.256284,15.175046
547895,"Trivselsveien 110, Valnesfjord",67.258936,15.169293
548411,"Skjerstadfjordveien 11, Fauske",67.267708,15.339801
548412,"Skjerstadfjordveien 2, Fauske",67.264511,15.349819
548413,"Skjerstadfjordveien 1, Fauske",67.264524,15.347779
548414,"Skjerstadfjordveien 4, Fauske",67.265411,15.348139
548415,"Skjerstadfjordveien 17, Fauske",67.267746,15.338596
548417,"Arsenalveien 5, Fauske",67.268342,15.341132
548418,"Skjerstadfjordveien 15, Fauske",67.266058,15.339638
548419,"Arsenalveien 12, Fauske",67.268941,15.342021
548420,"Skjerstadfjordveien 7, Fauske",67.265971,15.34242
548648,"Klungsetlia 4, Fauske",67.271093,15.340776
548649,"Klungsetlia 8, Fauske",67.271873,15.339136
548650,"Ytter-Klungset 4, Fauske",67.265874,15.308118
548651,"Skjerstadfjordveien 25, Fauske",67.266901,15.327677
548652,"Skjerstadfjordveien 36, Fauske",67.267538,15.322105
548653,"Skjerstadfjordveien 34, Fauske",67.267132,15.323444
548654,"Klungsetlia 1, Fauske",67.27078,15.339723
548655,"Klungsetlia 14, Fauske",67.271753,15.33566
