,Navn,Long,Lat
26094,"Sørfjord, 23/30, Sørfold",67.575567,15.894753
26095,"Sørfjord, 23/32, Sørfold",67.575411,15.893808
26107,"Sørfjorden, 22/2, Sørfold",67.574768,15.904637
26108,"13/54, Sørfold",67.594391,15.900662
34317,"22/5, Sørfold",67.550832,15.967384
34582,"23/2-1, Sørfold",67.575132,15.896664
45899,"23/47, Sørfold",67.545837,15.954871
47409,"Sørfjorden, 22/1, Sørfold",67.574192,15.909736
47410,"Kobbelveid, 19/4, Sørfold",67.593884,15.931724
47496,"Leirfjordgard, 12/53, Sørfold",67.580441,15.764267
52785,"Sørfjord, 23/31, Sørfold",67.575394,15.89524
52786,"Sørfjord, 23/28, Sørfold",67.575787,15.893916
52787,"Sørfjord, 23/29, Sørfold",67.575704,15.894406
52788,"Sørfjord, 23/33, Sørfold",67.575494,15.893364
1344788,"Sørfjordmoen 2, Sørfold",67.577003,15.888112
1344792,"Steinveien 8, Sørfold",67.575312,15.890726
1344793,"Steinveien 9, Sørfold",67.575472,15.890967
1344795,"Steinveien 6, Sørfold",67.575475,15.891954
1344797,"Steinveien 7, Sørfold",67.575351,15.891621
1344799,"Steinveien 12, Sørfold",67.575833,15.892109
1344801,"Steinveien 13, Sørfold",67.575875,15.89258
1344802,"Steinveien 10, Sørfold",67.575622,15.891278
1344803,"Steinveien 11, Sørfold",67.575728,15.891705
1344805,"Sørfjordmoen 7, Sørfold",67.577432,15.885238
1344807,"Kjelvika 2, Sørfold",67.571755,15.834195
1344808,"Sørfjordmoen 3, Sørfold",67.577241,15.886292
1344810,"Sørfjordmoen 8, Sørfold",67.576104,15.885722
1344811,"Steinveien 4, Sørfold",67.575578,15.892851
1344812,"Steinveien 5, Sørfold",67.57549,15.892472
1344814,"Sørfjordmoen 28, Sørfold",67.575981,15.881472
1344816,"Sørfjordmoen 32, Sørfold",67.575686,15.879605
1344819,"Sørfjordskar 25, Sørfold",67.580491,15.901472
1344821,"Sørfjordveien 14, Sørfold",67.580081,15.889637
1344822,"Sørfjordskar 12, Sørfold",67.580531,15.900863
1344824,"Sørfjordskar 21, Sørfold",67.578907,15.90042
1344825,"Sørfjordmoen 14, Sørfold",67.576836,15.885967
1344827,"Sørfjordskar 2, Sørfold",67.579752,15.894066
1344830,"Kobbelva 32, Sørfold",67.593423,15.926064
1344832,"Kobbelva 34, Sørfold",67.593972,15.927355
1344833,"Kobbelva 29, Sørfold",67.592936,15.923247
1344835,"Kobbelva 23, Sørfold",67.593411,15.909182
1344836,"Sørfjordveien 12, Sørfold",67.579664,15.890467
1344838,"Kobbelveidet 34, Sørfold",67.594804,15.968276
1344840,"Sørfjordveien 20, Sørfold",67.58168,15.894044
1344841,"Kobbvassveien 68, Sørfold",67.637232,15.957627
1344843,"Kobbvassveien 100, Sørfold",67.633915,15.985134
1344845,"Kobbvassveien 98, Sørfold",67.634755,15.986307
1344846,"Kobbvassveien 66, Sørfold",67.636585,15.95475
1344848,"Kobbvassveien 107, Sørfold",67.629744,15.984167
1344850,"Austerelva 1, Sørfold",67.601612,15.992532
1344852,"Kobbvassveien 92, Sørfold",67.638948,15.982784
1344854,"Kobbvassveien 90, Sørfold",67.63816,15.979524
