,Navn,Long,Lat
15602,"Nordfold, 105/6, Nordfold",67.763681,15.234165
15603,"Sandset, 104/24, Nordfold",67.739755,15.189266
15604,"Valle, 102/8, Nordfold",67.711501,15.122741
15606,"Vinkenes, 121/5, Nordfold",67.720434,15.276871
15607,"Vinkenes, 121/14, Nordfold",67.734644,15.320437
15608,"Nordfold, 105/100, Nordfold",67.762084,15.228941
15609,"Nordfold, 105/126, Nordfold",67.763452,15.225237
15610,"Heldal, 120/10, Nordfold",67.71663,15.387661
15613,"121/22, Nordfold",67.724982,15.292834
15615,"Nordfold, 105/211-2, Nordfold",67.761471,15.224223
15616,"Nordfold, 105/211-1, Nordfold",67.761471,15.224602
15623,"Heldal, 120/18, Nordfold",67.714321,15.393105
15627,"Valle, 102/9-1, Nordfold",67.712271,15.125652
15636,"121/23, Nordfold",67.72464,15.293445
15637,"Nordfold, 105/238, Nordfold",67.763532,15.2259
29804,"121/24, Nordfold",67.720836,15.279191
29973,"99/2-2, Nordfold",67.690118,15.051911
31664,"98/6-2, Nordfold",67.68447,15.015556
32513,"96/14, Nordfold",67.672774,14.956518
33050,"121/16, Nordfold",67.721181,15.290692
33052,"125/6, Nordfold",67.659363,15.052434
33678,"18/14, Leiranger",67.789977,15.19924
34165,"113/30, Nordfold",67.811444,15.74861
35135,"104/8, Nordfold",67.735173,15.198448
35136,"105/4, Nordfold",67.763186,15.228627
36294,"126/23, Nordfold",67.670852,14.762672
48298,"Sandset, 104/35, Nordfold",67.745578,15.187704
48299,"Nordfold, 105/20/1, Nordfold",67.762307,15.235928
48405,"Håsand, 99/2-1, Nordfold",67.690165,15.051885
48472,"Stamsvik, 98/33, Nordfold",67.685246,15.02858
48517,"Nystad, 100/29, Nordfold",67.697663,15.075184
48520,"Nystad, 100/24, Nordfold",67.698463,15.072471
48523,"Nystad, 100/25, Nordfold",67.69762,15.071878
48528,"Flekkos, 97/25, Nordfold",67.679732,14.991293
48537,"Flekkos, 97/23, Nordfold",67.683508,15.010171
52149,"Laukvik, 96/4, Nordfold",67.664417,14.936123
52150,"Laukvik, 96/2, Nordfold",67.664733,14.940549
53771,"Marhaug, 19/8, Leiranger",67.765454,15.149688
54163,"Stamsvik, 98/8, Nordfold",67.682773,15.020021
54209,"Nystad, 100/10, Nordfold",67.704153,15.082999
54210,"Stamsvik, 98/13, Nordfold",67.683982,15.024449
54254,"Nordfold, 105/49, Nordfold",67.77225,15.262204
814335,"Alvnesveien 39, Nordfold",67.793673,15.296942
814336,"Alvnesveien 38, Nordfold",67.79319,15.296319
814337,"Alvnesveien 51, Nordfold",67.794635,15.300487
814338,"Alvnesveien 92, Nordfold",67.793537,15.312328
814339,"Alvnesveien 29, Nordfold",67.790281,15.302612
814340,"Alvnesveien 12, Nordfold",67.78902,15.295911
847262,"Marhaugveien 5, Leiranger",67.764759,15.147579
847263,"Marhaugveien 70, Leiranger",67.775446,15.163731
847265,"Botnveien 65, Leiranger",67.763473,15.132746
847267,"Marhaugveien 40, Leiranger",67.771028,15.159602
847268,"Marhaugveien 32, Leiranger",67.769746,15.158883
847269,"Marhaugveien 57, Leiranger",67.772968,15.166414
847270,"Marhaugveien 31, Leiranger",67.769395,15.159993
847271,"Marhaugveien 60, Leiranger",67.774411,15.166969
847272,"Marhaugveien 35, Leiranger",67.770139,15.160378
847273,"Marhaugveien 55, Leiranger",67.772172,15.164158
847274,"Marhaugveien 76, Leiranger",67.776264,15.161936
847275,"Marhaugveien 80, Leiranger",67.77773,15.158155
847276,"Marhaugveien 26, Leiranger",67.768394,15.156173
847277,"Marhaugveien 41, Leiranger",67.770928,15.162105
847278,"Allmenningsvatnet 30, Leiranger",67.785219,15.192027
847279,"Marhaugveien 43, Leiranger",67.770638,15.164147
847280,"Marhaugveien 88, Leiranger",67.774934,15.172611
847281,"Marhaugveien 49, Leiranger",67.770474,15.166396
847282,"Marhaugveien 56, Leiranger",67.773977,15.161849
847283,"Marhaugveien 72, Leiranger",67.775456,15.162617
847284,"Marhaugveien 94, Leiranger",67.773048,15.1757
847285,"Allmenningsvatnet 49, Leiranger",67.792067,15.203345
847290,"Marhaugveien 95, Leiranger",67.772473,15.176431
847291,"Marhaugveien 90, Leiranger",67.773893,15.173954
847391,"Botnveien 50, Leiranger",67.765819,15.114121
847404,"Botnveien 68, Leiranger",67.76458,15.139027
847406,"Botnveien 70, Leiranger",67.765648,15.137897
847408,"Botnveien 72, Leiranger",67.764506,15.140755
847424,"Botnveien 61, Leiranger",67.763224,15.130282
847448,"Botnveien 58, Leiranger",67.764421,15.124842
847452,"Botnveien 67, Leiranger",67.763443,15.135776
847652,"Hopvassveien 26, Nordfold",67.788932,15.609533
847657,"Bjørsvika 16, Nordfold",67.811531,15.4631
847659,"Bjørsvika 18, Nordfold",67.812206,15.462377
847661,"Bjørsvika 24, Nordfold",67.813978,15.463694
847662,"Bjørsvika 21, Nordfold",67.813547,15.464136
847664,"Hopvassveien 12, Nordfold",67.787266,15.604033
847667,"Bjørsvika 12, Nordfold",67.813368,15.460549
847669,"Hopvassveien 18, Nordfold",67.787835,15.606098
847671,"Nøtnes 13, Nordfold",67.820255,15.421329
847673,"Nøtnes 30, Nordfold",67.833135,15.42168
847675,"Nøtnes 14, Nordfold",67.820106,15.423605
847678,"Bjørsvika 6, Nordfold",67.813222,15.452361
847680,"Lommeren 4, Nordfold",67.855032,15.444707
847682,"Bjørsvika 9, Nordfold",67.814953,15.455265
847685,"Alvnesveien 140, Nordfold",67.80151,15.360558
847687,"Alvnesveien 147, Nordfold",67.801258,15.365155
847690,"Sagveien 10, Nordfold",67.810579,15.376286
847692,"Nøtnes 5, Nordfold",67.823098,15.418104
847693,"Nøtnes 12, Nordfold",67.821253,15.423816
847695,"Nøtnes 9, Nordfold",67.82164,15.419882
847697,"Nøtnes 19, Nordfold",67.816699,15.42651
847698,"Alvnesveien 157, Nordfold",67.801923,15.368486
847699,"Alvnesveien 165, Nordfold",67.802734,15.370634
847700,"Alvnesveien 162, Nordfold",67.802875,15.368074
847701,"Alvnesveien 158, Nordfold",67.802519,15.366859
847703,"Sagveien 11, Nordfold",67.81088,15.377952
847705,"Alvnesveien 170, Nordfold",67.80604,15.376356
847706,"Sagveien 15, Nordfold",67.812242,15.378615
847707,"Sagveien 13, Nordfold",67.811642,15.378154
847708,"Alvnesveien 142, Nordfold",67.801816,15.360872
847709,"Alvnesveien 132, Nordfold",67.800618,15.350274
847710,"Alvnesveien 70, Nordfold",67.79345,15.306162
847711,"Alvnesveien 138, Nordfold",67.802416,15.356563
847712,"Sagveien 60, Nordfold",67.824593,15.386317
847713,"Alvnesveien 149, Nordfold",67.801517,15.365633
847714,"Alvnesveien 130, Nordfold",67.800448,15.349821
847715,"Sagveien 70, Nordfold",67.82651,15.387512
847716,"Alvnesveien 6, Nordfold",67.786934,15.29349
847717,"Laksåvassveien 20, Nordfold",67.819486,15.287466
847718,"Alvnesveien 72, Nordfold",67.793365,15.308413
847719,"Alvnesveien 98, Nordfold",67.793669,15.313373
847720,"Alvnesveien 58, Nordfold",67.795985,15.303089
847721,"Alvnesveien 73, Nordfold",67.792935,15.308194
847722,"Alvnesveien 90, Nordfold",67.793553,15.31179
847723,"Alvnesveien 45, Nordfold",67.795878,15.297823
847724,"Alvnesveien 2, Nordfold",67.785884,15.293501
847725,"Finnjordveien 19, Nordfold",67.809272,15.276
847726,"Finnjordveien 5, Nordfold",67.799821,15.284735
847727,"Alvnesveien 48, Nordfold",67.795433,15.300876
847728,"Alvnesveien 46, Nordfold",67.796467,15.299135
847729,"Finnjordveien 15, Nordfold",67.806964,15.277705
847730,"Finnjordveien 3, Nordfold",67.799703,15.285231
847812,"Nordfoldveien 202, Nordfold",67.766246,15.241202
847813,"Nordfoldveien 159, Nordfold",67.762295,15.23593
847814,"Bakken 11, Nordfold",67.764192,15.228843
847815,"Kalvdalen 22, Nordfold",67.765788,15.235063
847816,"Nordfoldveien 41, Nordfold",67.750098,15.180238
847817,"Nordfoldveien 92, Nordfold",67.760095,15.214029
847818,"Nordfoldveien 108, Nordfold",67.762032,15.219563
847819,"Nordfoldveien 73, Nordfold",67.756531,15.201735
847820,"Nordfoldveien 75, Nordfold",67.756449,15.203344
847821,"Nordfoldveien 88, Nordfold",67.75973,15.211422
847822,"Nordfoldveien 124, Nordfold",67.763014,15.224048
847823,"Gjerdbakken 11, Nordfold",67.762854,15.235744
847824,"Kalvdalen 8, Nordfold",67.764569,15.228113
847825,"Øvergården 20, Nordfold",67.764151,15.225741
847826,"Nordfoldveien 125, Nordfold",67.76113,15.227134
847827,"Nordfoldveien 120, Nordfold",67.762524,15.221771
847828,"Nordfoldveien 187, Nordfold",67.76437,15.242082
847829,"Åbornesveien 27, Nordfold",67.738114,15.203871
847830,"Nordfoldveien 33, Nordfold",67.748442,15.177741
847831,"Bakken 2, Nordfold",67.762945,15.228452
847832,"Kalvdalen 3, Nordfold",67.7632,15.23203
847833,"Nordfoldveien 190, Nordfold",67.764615,15.240214
847834,"Nordfoldveien 193, Nordfold",67.764853,15.242963
847835,"Åbornesveien 10, Nordfold",67.738905,15.195173
847836,"Åbornesveien 34, Nordfold",67.738801,15.206999
847837,"Foldstrandveien 29, Nordfold",67.741847,15.187367
847838,"Åbornesveien 19, Nordfold",67.736451,15.199741
847839,"Åbornesveien 17, Nordfold",67.736953,15.199438
847840,"Foldstrandveien 51, Nordfold",67.732939,15.180934
847841,"Sandsetveien 9, Nordfold",67.731421,15.190097
847842,"Foldstrandveien 55, Nordfold",67.731349,15.174963
847843,"Foldstrandveien 60, Nordfold",67.728058,15.17352
847844,"Foldstrandveien 48, Nordfold",67.732612,15.18455
847845,"Åbornesveien 6, Nordfold",67.739202,15.19404
847846,"Sandsetveien 7, Nordfold",67.728365,15.180426
847847,"Nordfoldveien 31, Nordfold",67.747816,15.175819
847848,"Sandsetveien 20, Nordfold",67.736027,15.1993
847849,"Åbornesveien 14, Nordfold",67.740275,15.198756
847850,"Foldstrandveien 14, Nordfold",67.746421,15.188255
847851,"Åbornesveien 15, Nordfold",67.737422,15.197455
847852,"Åbornesveien 21, Nordfold",67.737768,15.200462
847853,"Foldstrandveien 75, Nordfold",67.72212,15.1466
847854,"Breivikveien 10, Nordfold",67.718649,15.153548
847855,"Breivikveien 21, Nordfold",67.719314,15.164119
847856,"Breivikveien 23, Nordfold",67.718567,15.16643
847857,"Sandsetveien 15, Nordfold",67.733309,15.193967
847858,"Sandsetveien 5, Nordfold",67.728749,15.181398
847859,"Åbornesveien 22, Nordfold",67.738116,15.201955
847860,"Breivikveien 41, Nordfold",67.726973,15.181952
847861,"Foldstrandveien 63, Nordfold",67.728355,15.164064
847862,"Foldstrandveien 62, Nordfold",67.727516,15.16926
847863,"Breivikveien 25, Nordfold",67.71993,15.166558
847864,"Breivikveien 14, Nordfold",67.718246,15.155462
847865,"Breivikveien 6, Nordfold",67.720391,15.153774
847866,"Foldstrandveien 71, Nordfold",67.72355,15.151999
847867,"Foldstrandveien 84, Nordfold",67.71877,15.140812
847868,"Foldstrandveien 88, Nordfold",67.717186,15.137163
