,Navn,Long,Lat
28735,"42/4, Flakstad",68.046108,13.25258
28837,"Sund, 15/33-1, Flakstad",68.025876,13.182122
28842,"29/168, Flakstad",68.101841,13.237309
30750,"41/3-2, Flakstad",68.002351,13.274513
30755,"29/40, Flakstad",68.092818,13.216972
30768,"40/1/3, Flakstad",68.035257,13.349835
32193,"40/1-17, Flakstad",68.035293,13.348392
32194,"40/1-9, Flakstad",68.033861,13.347936
32195,"40/59, Flakstad",68.033739,13.349653
32196,"40/1-15, Flakstad",68.033925,13.349771
32197,"40/1-14, Flakstad",68.033751,13.349142
32198,"40/1-13, Flakstad",68.033579,13.348557
32199,"40/1-12, Flakstad",68.033559,13.348199
32200,"40/1-11, Flakstad",68.033663,13.34788
32201,"40/1-10, Flakstad",68.033747,13.34791
32202,"40/40, Flakstad",68.036917,13.34975
32203,"40/41, Flakstad",68.036982,13.349381
32204,"40/51, Flakstad",68.037417,13.348573
32205,"40/1-4, Flakstad",68.037375,13.348813
32206,"40/58, Flakstad",68.037435,13.349696
32207,"40/50, Flakstad",68.037699,13.348735
32208,"40/52, Flakstad",68.036838,13.348327
32209,"40/42, Flakstad",68.037066,13.348953
32210,"40/43, Flakstad",68.036928,13.348773
32213,"40/34, Flakstad",68.035543,13.350085
32214,"40/57, Flakstad",68.034428,13.348576
32215,"40/47, Flakstad",68.035934,13.348269
32216,"40/48, Flakstad",68.036379,13.347928
32217,"40/49, Flakstad",68.036254,13.347995
32218,"40/39, Flakstad",68.036727,13.348201
32219,"40/56, Flakstad",68.034313,13.348541
32220,"40/55, Flakstad",68.034166,13.34835
32221,"40/1-8, Flakstad",68.034108,13.348196
32222,"40/1-6, Flakstad",68.030957,13.346852
32223,"40/1-7, Flakstad",68.034429,13.347931
32224,"40/65, Flakstad",68.031364,13.344731
32225,"40/1-5, Flakstad",68.03131,13.345135
32228,"40/1-19, Flakstad",68.0347,13.349004
32229,"40/1-18, Flakstad",68.034656,13.348334
1629375,"Skjelfjordveien 28, Flakstad",68.062285,13.241322
1629376,"Skjelfjordveien 50, Flakstad",68.056963,13.246578
1629377,"Skjelfjordveien 44, Flakstad",68.057934,13.245345
1629378,"Vestersia 2, Flakstad",68.061758,13.240192
1629379,"Skjelfjordveien 52, Flakstad",68.056769,13.246928
1629380,"Skjelfjordveien 48, Flakstad",68.057233,13.246605
1629381,"Vestersia 12, Flakstad",68.059283,13.232775
1629382,"Skjelfjordveien 36, Flakstad",68.059463,13.243677
1629383,"Vestersia 13, Flakstad",68.058655,13.231888
1629384,"Vestersia 3, Flakstad",68.062247,13.238955
1629385,"Skjelfjordveien 38, Flakstad",68.059025,13.243854
1629386,"Vestersia 27, Flakstad",68.050067,13.233408
1629387,"Skjelfjordveien 46, Flakstad",68.057707,13.245658
1629388,"Vestersia 23, Flakstad",68.052414,13.232221
1629389,"Sandnesveien 14, Flakstad",68.091382,13.228201
1629390,"Flakstadveien 450, Flakstad",68.088919,13.23024
1629392,"Skjelfjordveien 22, Flakstad",68.063236,13.240799
1629394,"Flakstadveien 573, Flakstad",68.063133,13.191402
1629395,"Flakstadveien 620, Flakstad",68.030626,13.179295
1629399,"Skjelfjordveien 122, Flakstad",68.042889,13.259584
1629400,"Skjelfjordveien 86, Flakstad",68.047742,13.250227
1629401,"Skjelfjordveien 124, Flakstad",68.042475,13.260382
1629402,"Skjelfjordveien 130, Flakstad",68.0417,13.261711
1629403,"Skjelfjordveien 118, Flakstad",68.044033,13.25746
1629404,"Neslandveien 37, Flakstad",68.002595,13.274147
1631997,"Flakstadveien 636, Flakstad",68.026364,13.182395
1631999,"Flakstadveien 591, Flakstad",68.044801,13.167662
1632001,"Flakstadveien 648, Flakstad",68.025501,13.183387
