,Navn,Long,Lat
28844,"Å, 9/1, Moskenes",67.879151,12.983913
28847,"11/209, Moskenes",67.894446,13.023063
28848,"11/148-1, Moskenes",67.888948,13.009239
28851,"15/1, Moskenes",67.899675,13.046089
28852,"Åvatnet, 9/1/47, Moskenes",67.883345,12.948427
28853,"Åvatnet, 9/4-1, Moskenes",67.885814,12.937089
32348,"9/1/45, Moskenes",67.885635,12.968218
32349,"9/1/44, Moskenes",67.885391,12.966994
32352,"9/57, Moskenes",67.883306,12.984022
33219,"11/236, Moskenes",67.895685,13.02566
33280,"9/1/52, Moskenes",67.885401,12.967581
38662,"9/107, Moskenes",67.884978,12.967897
40234,"9/106, Moskenes",67.884623,12.924876
49372,"Sørvågen, 6/8, Moskenes",67.830828,12.816355
1610908,"Å-veien 55, Moskenes",67.879657,12.981702
1632534,"Moskenesveien 837, Moskenes",67.89327,13.028813
1632535,"Besselvågveien 97, Moskenes",67.887763,13.023987
1632536,"Moskenesveien 953, Moskenes",67.889477,13.012148
1632537,"Storhaugen 30, Moskenes",67.889983,13.009437
1632538,"Moskenesveien 960, Moskenes",67.88873,13.011187
1632539,"Moskenesveien 951, Moskenes",67.889696,13.011676
1632540,"Flathaugen 17, Moskenes",67.88854,13.012537
1632541,"Moskenesveien 911, Moskenes",67.889788,13.019314
1632542,"Besselvågveien 85, Moskenes",67.887772,13.020248
1632543,"Besselvågveien 1, Moskenes",67.889413,13.019465
1632544,"Klippenveien 14, Moskenes",67.893678,13.026368
1632545,"Besselvågveien 203, Moskenes",67.888567,13.03416
1632546,"Moskenesveien 927, Moskenes",67.889834,13.016452
1632547,"Moskenesveien 903, Moskenes",67.889872,13.021624
1632548,"Moskenesveien 941, Moskenes",67.889793,13.01374
1632549,"Besselvågveien 83, Moskenes",67.887431,13.019562
1632550,"Moskenesveien 814, Moskenes",67.894813,13.032751
1632551,"Oddanveien 44, Moskenes",67.891093,13.029302
1632552,"Moskenesveien 803, Moskenes",67.895162,13.031173
1632553,"Moskenesveien 848, Moskenes",67.892802,13.031111
1632554,"Rostaddalen 2, Moskenes",67.897007,13.030851
1632555,"Styrmannsveien 1, Moskenes",67.888505,13.017851
1632556,"Moskenesveien 933, Moskenes",67.889864,13.015163
1632557,"Moskenesveien 917, Moskenes",67.890767,13.018635
1632558,"Moskenesveien 797, Moskenes",67.895314,13.031875
1632559,"Moskenesveien 876, Moskenes",67.891582,13.028927
1632560,"Flathaugen 20, Moskenes",67.888476,13.013233
1632561,"Storhaugen 13, Moskenes",67.890439,13.011518
