,Navn,Long,Lat
26244,"13/39, Sortland",68.658236,15.339127
26266,"13/14, Sortland",68.648414,15.283052
26276,"Kleiva, 12/66, Sortland",68.644274,15.275519
29026,"14/45-1, Sortland",68.666427,15.3415
29180,"13/73, Sortland",68.660149,15.317049
29214,"12/12, Sortland",68.634773,15.252366
29230,"11/3-1, Sortland",68.646225,15.186063
29398,"12/99, Sortland",68.634557,15.23656
29463,"12/163, Sortland",68.635248,15.240528
29468,"43/14-1, Sortland",68.665322,15.158368
29476,"13/15-1, Sortland",68.64888,15.285583
29478,"14/68-1, Sortland",68.672599,15.367535
29479,"14/68-2, Sortland",68.672368,15.368532
29492,"14/35-1, Sortland",68.675781,15.374529
32785,"12/144, Sortland",68.642105,15.272092
42044,"11/9, Sortland",68.634148,15.227483
42051,"13/24, Sortland",68.657495,15.320054
42055,"13/139, Sortland",68.659989,15.315677
42063,"11/8, Sortland",68.641928,15.19538
42069,"13/70, Sortland",68.65488,15.294113
42071,"13/46, Sortland",68.64959,15.28794
42085,"11/1-1, Sortland",68.642765,15.193394
42086,"11/1, Sortland",68.64414,15.190601
42087,"10/2-5, Sortland",68.642786,15.18274
42088,"10/2-4, Sortland",68.630935,15.200768
42096,"11/3, Sortland",68.646232,15.186022
42097,"12/3, Sortland",68.64005,15.252396
42105,"13/51, Sortland",68.649388,15.295907
42110,"14/35, Sortland",68.676149,15.373404
43741,"14/411, Sortland",68.675166,15.372461
47520,"Kleiva, 12/123, Sortland",68.635295,15.241515
50831,"Steiro, 14/67, Sortland",68.662541,15.344994
50832,"Steiro, 14/407, Sortland",68.662541,15.344994
50833,"Steiro, 14/47, Sortland",68.662541,15.344994
51492,"Steiro, 14/45, Sortland",68.66644,15.342025
51494,"Steiro, 14/23-2, Sortland",68.666323,15.359339
1350067,"Langøyveien 184, Sortland",68.665406,15.368585
1350068,"Langøyveien 164, Sortland",68.667771,15.369979
1350069,"Langøyveien 65, Sortland",68.67699,15.378386
1350096,"Steiroveien 28A, Sortland",68.679698,15.382794
1350150,"Kleiva 14, Sortland",68.646706,15.275936
1350353,"Risevegen 8B, Sortland",68.645583,15.28122
1651312,"Elvenesveien 1, Sortland",68.668277,15.361757
1678318,"Langøyveien 105, Sortland",68.671503,15.375928
1682178,"Bødalen 51, Sortland",68.667852,15.298767
1709290,"Langøyveien 137, Sortland",68.669726,15.37291
1713541,"Bøneset 19, Sortland",68.659369,15.343641
1719180,"Risevegen 247, Sortland",68.634443,15.215308
1732114,"Steiroveien 107, Sortland",68.66775,15.362983
1776338,"Risevegen 185, Sortland",68.635111,15.237098
1811233,"Elvenesveien 19, Sortland",68.666595,15.357725
1958181,"Risevegen 240, Sortland",68.632579,15.219115
1962730,"Elvebakken 34A, Sortland",68.680384,15.380714
