,Navn,Long,Lat
19839,"Haug, 9/2, Lødingen",68.346305,15.354549
19840,"Kvannkjosen, 1/9, Lødingen",68.357412,15.252669
19841,"Svartskard, 2/13, Lødingen",68.404302,15.35375
19842,"Øksneshamn, 7/4-1, Lødingen",68.370138,15.32711
19843,"Øksneshamn, 7/26, Lødingen",68.346032,15.351947
19847,"Kvannkjosen, 1/29, Lødingen",68.370333,15.244469
19848,"Øyen, 16/4-3, Lødingen",68.314783,15.619901
19851,"Øyen, 16/4-2, Lødingen",68.314965,15.619226
30960,"2/60, Lødingen",68.382793,15.278846
36494,"21/6-1, Lødingen",68.399035,15.738699
37149,"1/24, Lødingen",68.37016,15.244109
37150,"1/28, Lødingen",68.370594,15.244245
47067,"Kvannkjosen, 1/21, Lødingen",68.369035,15.187296
47084,"Kvannkjosen, 1/19, Lødingen",68.371247,15.240044
1031144,"Vestbygdvegen 569, Lødingen",68.350004,15.690885
1031146,"Vestbygdvegen 1475, Lødingen",68.359447,15.393267
1031147,"Vestbygdvegen 530, Lødingen",68.366419,15.718608
1031148,"Bresjevegen 13, Lødingen",68.360256,15.509044
1031149,"Vestbygdvegen 557, Lødingen",68.35464,15.708078
1031151,"Husjorda 14, Lødingen",68.437803,15.501506
1031152,"Annfinnslettvegen 32, Lødingen",68.351619,15.435883
1031160,"Rinøyvegen 128, Lødingen",68.375725,15.752167
1031161,"Forrnesvegen 139, Lødingen",68.39894,15.41116
1031164,"Husjorda 12, Lødingen",68.437418,15.501953
1042639,"Vestbygdvegen 1321, Lødingen",68.358109,15.432251
1042640,"Vestbygdvegen 1323, Lødingen",68.358541,15.432609
1042641,"Vestbygdvegen 1326, Lødingen",68.358638,15.430453
1042642,"Annfinnslettvegen 30, Lødingen",68.351859,15.435661
1042643,"Vestbygdvegen 1354, Lødingen",68.360079,15.424576
1042644,"Vestbygdvegen 1293, Lødingen",68.358574,15.441143
1042645,"Annfinnslettvegen 70, Lødingen",68.349428,15.436764
1042646,"Vestbygdvegen 1400, Lødingen",68.360844,15.414136
1042647,"Vestbygdvegen 1332, Lødingen",68.358534,15.42909
1042648,"Vestbygdvegen 1352, Lødingen",68.359647,15.425369
1042649,"Vestbygdvegen 1311, Lødingen",68.356131,15.435848
1042650,"Vestbygdvegen 1346, Lødingen",68.358021,15.422909
1042651,"Annfinnslettvegen 86, Lødingen",68.346279,15.429559
1042652,"Annfinnslettvegen 55, Lødingen",68.349886,15.429996
1042653,"Annfinnslettvegen 3, Lødingen",68.354655,15.434192
1042654,"Annfinnslettvegen 66, Lødingen",68.349021,15.43814
1042655,"Annfinnslettvegen 40, Lødingen",68.350851,15.437957
1042656,"Annfinnslettvegen 45, Lødingen",68.350443,15.433043
1042657,"Vestbygdvegen 1455, Lødingen",68.355754,15.396362
1042658,"Vestbygdvegen 1434, Lødingen",68.35485,15.403544
1042659,"Vestbygdvegen 1481, Lødingen",68.358436,15.392351
1042660,"Vestbygdvegen 1509, Lødingen",68.355876,15.390169
1042661,"Vestbygdvegen 1428, Lødingen",68.356098,15.406037
1042662,"Vestbygdvegen 1459, Lødingen",68.3565,15.395573
1042663,"Vestbygdvegen 1501, Lødingen",68.356496,15.39101
1042664,"Vestbygdvegen 1487, Lødingen",68.357235,15.391941
