,Navn,Long,Lat
22292,"Kvitnes, 1/10/2, Hadsel",68.559701,15.36406
47483,"Kvitnes, 1/11, Hadsel",68.560076,15.364802
49173,"Kvitnes, 1/10-1, Hadsel",68.553585,15.383787
1263771,"Møysalveien 2785, Hadsel",68.565663,15.212181
1263773,"Møysalveien 2698, Hadsel",68.570051,15.230925
1263775,"Møysalveien 2852, Hadsel",68.55947,15.219714
1263824,"Møysalveien 2725, Hadsel",68.569508,15.208387
1263825,"Møysalveien 2697, Hadsel",68.572279,15.225577
1263826,"Møysalveien 2770, Hadsel",68.568749,15.222292
1263827,"Møysalveien 2766, Hadsel",68.567877,15.225931
1263828,"Møysalveien 2733, Hadsel",68.569638,15.211414
1263829,"Møysalveien 2750, Hadsel",68.569761,15.227788
1263830,"Møysalveien 2776, Hadsel",68.565805,15.221863
1263831,"Møysalveien 2768, Hadsel",68.568257,15.225191
1263832,"Møysalveien 2844, Hadsel",68.560496,15.222984
1263833,"Møysalveien 2743, Hadsel",68.571235,15.219512
1263834,"Møysalveien 2717, Hadsel",68.57119,15.212081
1263835,"Møysalveien 2677, Hadsel",68.573839,15.227091
1263836,"Møysalveien 2703, Hadsel",68.571906,15.22001
1263837,"Møysalveien 2782, Hadsel",68.564879,15.220166
1263838,"Møysalveien 2778, Hadsel",68.565347,15.222153
1263839,"Møysalveien 2848, Hadsel",68.559834,15.219473
1263840,"Møysalveien 2837, Hadsel",68.561002,15.217354
1263841,"Møysalveien 2721, Hadsel",68.57033,15.213032
1263842,"Møysalveien 2682, Hadsel",68.57303,15.228913
1263845,"Møysalveien 2707, Hadsel",68.571714,15.215455
1263846,"Møysalveien 2756, Hadsel",68.568526,15.228666
1263849,"Møysalveien 2696, Hadsel",68.570731,15.231847
1263850,"Møysalveien 2749, Hadsel",68.571193,15.223942
1263851,"Møysalveien 2760, Hadsel",68.568536,15.225711
1263898,"Møysalveien 2863, Hadsel",68.558618,15.216547
1266155,"Møysalveien 2136, Hadsel",68.562135,15.362432
1266175,"Møysalveien 2827, Hadsel",68.561823,15.215296
1266307,"Møysalveien 2787, Hadsel",68.564651,15.213259
1266309,"Møysalveien 2699, Hadsel",68.572165,15.222986
1266312,"Møysalveien 2715, Hadsel",68.572618,15.211182
1266315,"Møysalveien 2834, Hadsel",68.561513,15.219958
1266867,"Møysalveien 2745, Hadsel",68.571327,15.220621
1266954,"Møysalveien 2836, Hadsel",68.561611,15.220179
1266999,"Møysalveien 2838, Hadsel",68.561232,15.220664
1267000,"Møysalveien 2752, Hadsel",68.569067,15.230283
1267001,"Møysalveien 2762, Hadsel",68.56819,15.226944
1267002,"Møysalveien 2705, Hadsel",68.571712,15.217703
1267003,"Møysalveien 2681, Hadsel",68.573467,15.226868
1267317,"Møysalveien 2876, Hadsel",68.557299,15.217441
1267329,"Møysalveien 2727, Hadsel",68.568117,15.209453
1267345,"Møysalveien 2828, Hadsel",68.562007,15.217143
1267355,"Møysalveien 2729, Hadsel",68.56634,15.206989
1267487,"Møysalveien 2817, Hadsel",68.562299,15.214772
1267617,"Møysalveien 2621, Hadsel",68.577375,15.240575
1722254,"Møysalveien 2847, Hadsel",68.559778,15.214867
1777342,"Møysalveien 2883, Hadsel",68.557073,15.215968
1790755,"Møysalveien 2104, Hadsel",68.569003,15.341819
1790757,"Møysalveien 2109, Hadsel",68.568556,15.340645
1790759,"Møysalveien 2158, Hadsel",68.566066,15.338032
1790761,"Møysalveien 2120, Hadsel",68.568016,15.342183
1790768,"Møysalveien 2166, Hadsel",68.564541,15.338172
1790770,"Møysalveien 2162, Hadsel",68.565613,15.337014
1790773,"Møysalveien 2170, Hadsel",68.565328,15.336418
1791476,"Møysalveien 2200, Hadsel",68.567851,15.326107
1791478,"Møysalveien 2184, Hadsel",68.565128,15.328887
1791481,"Møysalveien 2175, Hadsel",68.565136,15.332309
1791491,"Møysalveien 2201, Hadsel",68.568315,15.326661
1791821,"Møysalveien 2326, Hadsel",68.56967,15.302908
1791822,"Møysalveien 2317, Hadsel",68.568651,15.307475
1791823,"Møysalveien 2367, Hadsel",68.572451,15.297475
1791825,"Møysalveien 2374, Hadsel",68.572166,15.296196
1791826,"Møysalveien 2375, Hadsel",68.573526,15.297833
1791830,"Møysalveien 2245, Hadsel",68.570346,15.324966
1791831,"Møysalveien 2241, Hadsel",68.570371,15.325923
1791832,"Møysalveien 2255, Hadsel",68.570543,15.320775
1791833,"Møysalveien 2251, Hadsel",68.570051,15.322145
1792296,"Møysalveien 2418, Hadsel",68.572913,15.284555
1792297,"Møysalveien 2419, Hadsel",68.574131,15.285404
1792298,"Møysalveien 2432, Hadsel",68.573947,15.282557
1792299,"Møysalveien 2422, Hadsel",68.573854,15.284976
1792300,"Møysalveien 2398, Hadsel",68.572475,15.288768
1792301,"Møysalveien 2414, Hadsel",68.573169,15.286938
1792302,"Møysalveien 2402, Hadsel",68.572781,15.287889
1792303,"Møysalveien 2415, Hadsel",68.574136,15.286145
1792304,"Møysalveien 2405, Hadsel",68.573597,15.288145
1792307,"Møysalveien 2394, Hadsel",68.572597,15.290414
1792308,"Møysalveien 2392, Hadsel",68.572543,15.290961
1792309,"Møysalveien 2379, Hadsel",68.573144,15.295939
1792310,"Møysalveien 2393, Hadsel",68.572983,15.290467
1792311,"Møysalveien 2389, Hadsel",68.573348,15.292434
1792731,"Møysalveien 2456, Hadsel",68.574019,15.278858
1792732,"Møysalveien 2454, Hadsel",68.574178,15.278412
1792733,"Møysalveien 2452, Hadsel",68.574387,15.278102
1792734,"Møysalveien 2459, Hadsel",68.575476,15.27749
1792735,"Møysalveien 2445, Hadsel",68.57482,15.281292
1792736,"Møysalveien 2450, Hadsel",68.57476,15.279574
1792737,"Møysalveien 2446, Hadsel",68.574391,15.280256
1792738,"Møysalveien 2442, Hadsel",68.574245,15.281653
1792739,"Møysalveien 2451, Hadsel",68.575208,15.279432
1792740,"Møysalveien 2465, Hadsel",68.575739,15.27536
1792841,"Møysalveien 2433, Hadsel",68.574708,15.283768
1792842,"Møysalveien 2429, Hadsel",68.574391,15.283913
1792843,"Møysalveien 2427, Hadsel",68.57449,15.285164
1792844,"Møysalveien 2438, Hadsel",68.573102,15.28105
1792845,"Møysalveien 2436, Hadsel",68.573343,15.281496
1792846,"Møysalveien 2434, Hadsel",68.573607,15.281875
1793296,"Møysalveien 2473, Hadsel",68.576303,15.27346
1793300,"Møysalveien 2466, Hadsel",68.575244,15.273913
1793316,"Møysalveien 2625, Hadsel",68.5764,15.237836
1793318,"Møysalveien 2527, Hadsel",68.577185,15.260542
1793319,"Møysalveien 2622, Hadsel",68.576122,15.238568
1793320,"Møysalveien 2620, Hadsel",68.576427,15.239386
1793321,"Møysalveien 2492, Hadsel",68.576184,15.268607
1793322,"Møysalveien 2505, Hadsel",68.576881,15.265519
1793323,"Møysalveien 2491, Hadsel",68.576831,15.269194
1793324,"Møysalveien 2472, Hadsel",68.575479,15.272166
1793700,"Møysalveien 2651, Hadsel",68.576887,15.230952
1793703,"Møysalveien 2659, Hadsel",68.576156,15.229034
1793705,"Møysalveien 2657, Hadsel",68.576845,15.228841
1793708,"Møysalveien 2665, Hadsel",68.574811,15.227992
1794106,"Møysalveien 2664, Hadsel",68.574579,15.229468
1794109,"Møysalveien 2673, Hadsel",68.574515,15.22816
1794113,"Møysalveien 2672, Hadsel",68.574325,15.229061
1794120,"Møysalveien 2650, Hadsel",68.574419,15.232176
1794122,"Møysalveien 2670, Hadsel",68.573974,15.230088
1794124,"Møysalveien 2668, Hadsel",68.573805,15.230576
1854862,"Møysalveien 2739, Hadsel",68.571096,15.217848
1947823,"Møysalveien 2674, Hadsel",68.57317,15.230983
1949905,"Møysalveien 2886, Hadsel",68.556948,15.22008
1950940,"Møysalveien 2845, Hadsel",68.560225,15.217793
1952544,"Møysalveien 2126, Hadsel",68.566872,15.343491
1952546,"Møysalveien 2713, Hadsel",68.573494,15.213182
1952547,"Møysalveien 2719, Hadsel",68.570604,15.213567
2077182,"Møysalveien 2661, Hadsel",68.575414,15.230027
