,Navn,Long,Lat
22318,"Gavlen, 14/1, Andøy",68.87911,15.486554
22319,"Forfjord, 15/68, Andøy",68.834234,15.640036
22320,"Forfjord, 15/60, Andøy",68.832295,15.656225
22321,"Skjolde, 13/21, Andøy",68.88506,15.500689
22322,"Risøyhamn, 9/119, Andøy",68.970981,15.642306
22323,"Risøyhamn, 9/170, Andøy",68.970804,15.639454
22324,"Bjørnskinn, 10/21, Andøy",68.997963,15.646091
22326,"Risøyhamn, 9/190, Andøy",68.970394,15.643538
22327,"Bjørnskinn, 10/6, Andøy",69.000971,15.635579
22328,"Bjørnskinn, 10/4, Andøy",69.001905,15.625379
22329,"Myrland, 9/16, Andøy",69.015558,15.6901
22330,"Myrland, 9/23, Andøy",68.998571,15.690017
22331,"Risøyhamn, 9/67, Andøy",68.970665,15.642846
22332,"Bjørnskinn, 10/26, Andøy",69.002465,15.621868
22333,"Skjolde, 13/3, Andøy",68.884896,15.507874
22345,"4/3, Andøy",68.971627,15.441323
22351,"Strandland, 20/18, Andøy",68.950472,15.629584
22352,"Strandland, 20/23, Andøy",68.94029,15.639942
22353,"Strandland, 20/22, Andøy",68.933506,15.633688
22357,"20/122, Andøy",68.950138,15.654074
22358,"Strandland, 20/83, Andøy",68.946903,15.64642
22359,"Strandland, 20/84, Andøy",68.947252,15.646405
22360,"Strandland, 20/91, Andøy",68.950928,15.634911
22361,"Strandland, 20/109, Andøy",68.95207,15.653258
22362,"Strandland, 20/126, Andøy",68.945553,15.645158
22364,"Åse, 21/2, Andøy",69.014631,15.807773
22365,"Åse, 21/9, Andøy",69.015567,15.801302
22366,"Buksnes, 19/24, Andøy",68.903903,15.615811
22367,"Åse, 21/114, Andøy",69.014257,15.785991
22385,"Åse, 21/245, Andøy",69.015342,15.747945
22398,"Risøyhamn, 9/24, Andøy",69.028335,15.690951
22399,"Risøyhamn, 9/163, Andøy",68.970858,15.641678
22400,"Bjørnskinn, 10/9, Andøy",68.999885,15.640624
22401,"Bjørnskinn, 10/32, Andøy",68.994164,15.637833
22402,"Stokland, 11/24, Andøy",68.971694,15.542712
22403,"Gavelen, 14/10, Andøy",68.87697,15.476188
22407,"Forfjord, 15/119, Andøy",68.858204,15.682492
22410,"Bjørnskinn, 10/66, Andøy",68.999006,15.645449
22415,"Åse, 21/191, Andøy",69.012285,15.775737
22416,"Risøyhamn, 9/17, Andøy",68.993016,15.663846
22417,"Medby, 16/34-1, Andøy",68.854131,15.568151
22418,"20/24-1, Andøy",68.946446,15.643737
22420,"20/154, Andøy",68.949036,15.646782
22421,"20/24, Andøy",68.94624,15.646101
22422,"20/118, Andøy",68.949597,15.654931
22425,"20/144, Andøy",68.954432,15.647614
22427,"5/13, Andøy",68.984681,15.435988
22428,"4/17, Andøy",68.976673,15.432133
22431,"Forfjord, 15/35, Andøy",68.806308,15.728366
22433,"10000/13, Andøy",68.892933,15.498279
22438,"20/148, Andøy",68.949663,15.656355
22439,"Risøyhamn, 9/221, Andøy",68.996289,15.723622
22440,"Risøyhamn, 9/225, Andøy",68.970725,15.643647
22442,"Åse, 21/270, Andøy",69.01546,15.767817
22448,"Risøyhamn, 9/2, Andøy",68.996289,15.723622
22449,"Risøyhamn, 9/168, Andøy",68.971056,15.641634
22472,"Stokland, 11/45, Andøy",68.974893,15.535123
22473,"13/8-1, Andøy",68.882578,15.493942
22474,"Risøyhamn, 9/225-1, Andøy",68.970943,15.642879
22476,"Risøyhamn, 9/225-2, Andøy",68.970925,15.643016
22481,"12/47, Andøy",68.908027,15.542469
22483,"Jonsneset, 4/36, Andøy",68.97416,15.439925
22484,"Åse, 21/278, Andøy",69.047699,15.772603
22485,"Stokland, 11/49, Andøy",68.969743,15.544337
22486,"Stokland, 11/50, Andøy",68.966871,15.530609
22489,"19/38, Andøy",68.887382,15.645005
22490,"4/38, Andøy",68.970459,15.442224
28979,"18/3, Andøy",68.882517,15.642309
28985,"18/5, Andøy",68.882039,15.648366
29157,"15/97, Andøy",68.845504,15.744275
29158,"15/137-2, Andøy",68.809388,15.709066
29236,"5/2-1, Andøy",68.982428,15.466409
29239,"20/17-1, Andøy",68.931208,15.722432
29241,"20/17-2, Andøy",68.912734,15.788363
29353,"21/232-1, Andøy",69.018496,15.816572
29372,"19/20-2, Andøy",68.887179,15.637083
30653,"11/53, Andøy",68.973819,15.529435
30655,"11/54, Andøy",68.973702,15.530082
30656,"11/55, Andøy",68.973556,15.530755
30705,"7/92, Andøy",69.044664,15.523175
30762,"20/153, Andøy",68.935526,15.803251
31118,"9/256, Andøy",68.970732,15.642476
33184,"9/1/54, Andøy",68.969226,15.635181
34691,"11/17-1, Andøy",68.980075,15.59564
37546,"20/155/9, Andøy",68.921504,15.713102
37549,"10/38-1, Andøy",68.999176,15.620434
38817,"Bjørnskinn, 10/2, Andøy",69.002659,15.620764
40502,"21/58-1, Andøy",69.01248,15.783673
1267986,"Torvhågveien 4C, Andøy",69.018499,15.816575
1267987,"Torvhågveien 4D, Andøy",69.018499,15.816575
1267988,"Torvhågveien 4A, Andøy",69.018499,15.816575
1267989,"Klenholveien 4, Andøy",69.019534,15.81391
1267990,"Torvhågveien 15, Andøy",69.019283,15.815903
1268007,"Torvhågveien 5B, Andøy",69.018688,15.814629
1268010,"Torvhågveien 5A, Andøy",69.018682,15.814029
1268046,"Torvhågveien 13B, Andøy",69.019035,15.815218
1268047,"Torvhågveien 13A, Andøy",69.019035,15.815218
1268052,"Hammarveien 8, Andøy",69.017917,15.810477
1268053,"Hammarveien 6A, Andøy",69.018162,15.810053
1268054,"Hammarveien 6B, Andøy",69.018034,15.810386
2200079,"Åseveien 328, Andøy",69.013758,15.785172
2200085,"Fornesveien 85, Andøy",68.882634,15.572136
2200086,"Fornesveien 407, Andøy",68.855694,15.564689
2200089,"Torvhågveien 2, Andøy",69.018021,15.815356
2200090,"Torvhågveien 8, Andøy",69.018388,15.817396
2200091,"Torvhågveien 6, Andøy",69.018686,15.816982
2200092,"Torvhågveien 10, Andøy",69.018176,15.816563
2200106,"Klenholveien 10, Andøy",69.019403,15.815106
2200122,"Kveldroveien 25, Andøy",68.973359,15.639653
2200123,"Risøyveien 43, Andøy",68.998426,15.716791
2200124,"Risøyveien 280, Andøy",68.991193,15.662167
2200125,"Risøyveien 325, Andøy",68.986418,15.656001
2200126,"Myrland 187, Andøy",69.005742,15.702047
2200127,"Alteret 55, Andøy",69.008667,15.69151
2200128,"Bjørnskinnveien 496, Andøy",68.999795,15.630945
2200129,"Nupveien 43, Andøy",68.999582,15.642416
2200130,"Nupveien 70, Andøy",68.997743,15.647387
2200137,"Nupveien 55, Andøy",68.998414,15.645382
2200138,"Nupveien 49, Andøy",68.999191,15.643779
2200139,"Bjørnskinnveien 469, Andøy",69.001688,15.62632
2200140,"Nupveien 28, Andøy",68.999459,15.639236
2200141,"Bjørnskinnveien 490, Andøy",68.9998,15.62972
2200147,"Risøyveien 186, Andøy",68.993558,15.68566
2200148,"Risøyveien 152, Andøy",68.996134,15.693941
2200149,"Risøyveien 218, Andøy",68.992756,15.675337
2200150,"Nybrott 50, Andøy",68.998128,15.697729
2200151,"Risøyveien 314, Andøy",68.988633,15.656067
2200152,"Myrland 312, Andøy",68.99751,15.681983
2200153,"Myrland 118, Andøy",69.010482,15.714007
2200154,"Myrland 138, Andøy",69.009976,15.708512
2200155,"Myrland 115, Andøy",69.009681,15.712655
2200156,"Risøyveien 89, Andøy",68.993346,15.713301
2200157,"Skjoldehamnveien 1952, Andøy",68.889356,15.435727
2200158,"Skjoldehamnveien 606, Andøy",68.961619,15.584423
2200159,"Stokklandsveien 49, Andøy",68.984684,15.572092
2200160,"Skjoldehamnveien 550, Andøy",68.966599,15.583906
2200163,"Fagervollveien 20, Andøy",69.038023,15.514518
2200164,"Bøveien 262, Andøy",69.041932,15.514735
2200165,"Medby, Medbyveien 19, Andøy",68.853364,15.569672
2200166,"Åseveien 151, Andøy",69.019844,15.824108
2200167,"Åseveien 177, Andøy",69.017142,15.82278
2200168,"Åseveien 485, Andøy",69.007087,15.750716
2200169,"Åseveien 406, Andøy",69.012114,15.765974
2200170,"Åseveien 45, Andøy",69.028922,15.833212
2200171,"Åseveien 295, Andøy",69.013767,15.793054
2200172,"Skjoldehamnveien 1350, Andøy",68.898814,15.534726
2200173,"Skjoldehamnveien 1495, Andøy",68.887675,15.514282
2200174,"Skjoldehamnveien 1431, Andøy",68.892173,15.524389
2200175,"Skjoldehamnveien 1430, Andøy",68.89267,15.523256
2200176,"Skjoldehamnveien 1458, Andøy",68.890908,15.51881
2200177,"Skjoldehamnveien 1338, Andøy",68.899625,15.536364
2200178,"Skjoldehamnveien 1552, Andøy",68.884521,15.504085
2200179,"Skjoldehamnveien 1602, Andøy",68.88095,15.495423
2200180,"Skjoldehamnveien 1498, Andøy",68.888208,15.512926
2200181,"Skjoldehamnveien 1592, Andøy",68.881726,15.497082
2200182,"Skjoldehamnveien 1404, Andøy",68.894459,15.527678
2200183,"Skjoldehamnveien 1564, Andøy",68.883407,15.501721
2200184,"Skjoldehamnveien 1436, Andøy",68.892343,15.521531
2200185,"Skjoldehamnveien 1588, Andøy",68.882154,15.498012
2200186,"Skjoldehamnveien 1562, Andøy",68.884984,15.502379
2200187,"Skjoldehamnveien 1461, Andøy",68.889801,15.519979
2200188,"Skjoldehamnveien 1354, Andøy",68.898376,15.534168
2200189,"Skjoldehamnveien 1344, Andøy",68.899123,15.536177
2200190,"Skjoldehamnveien 1720, Andøy",68.876743,15.473846
2200191,"Skjoldehamnveien 1699, Andøy",68.875379,15.477347
2200200,"Åseveien 374, Andøy",69.012644,15.773749
2200221,"Åseveien 250, Andøy",69.015248,15.804343
2200225,"Dragnesveien 62, Andøy",68.955494,15.649067
2200226,"Lovikveien 332, Andøy",68.958766,15.733522
2200227,"Lovikveien 788, Andøy",68.926609,15.776965
2200228,"Dragnesveien 50, Andøy",68.954515,15.651683
2200229,"Dragnesveien 44, Andøy",68.95405,15.653666
2200230,"Lovikveien 326, Andøy",68.959065,15.732983
2200231,"Lovikveien 232, Andøy",68.960096,15.713873
2200232,"Åseveien 167, Andøy",69.018634,15.822136
2200233,"Nordgårdsveien 219, Andøy",69.030893,15.784107
2200234,"Åseveien 396, Andøy",69.012426,15.768337
2200235,"Nordgårdsveien 403, Andøy",69.042792,15.760906
2200236,"Åseveien 408, Andøy",69.011866,15.76534
2200240,"Kveldroveien 77, Andøy",68.97,15.640854
