,Navn,Long,Lat
15509,"48/26, Ankenes",68.393564,17.343875
44773,"53/8, Ankenes",68.376596,17.40329
828040,"Håkvik - E6 66, Ankenes",68.407075,17.30814
828041,"Håkvik - E6 65, Ankenes",68.407179,17.311254
828042,"Håkvik - E6 64, Ankenes",68.407309,17.308067
828043,"Håkvik - E6 63, Ankenes",68.40721,17.311298
828044,"Håkvik - E6 61, Ankenes",68.407722,17.312665
828476,"Håkvik - E6 59, Ankenes",68.407829,17.3127
828477,"Håkvik - E6 56, Ankenes",68.408545,17.309606
828478,"Håkvik - E6 55, Ankenes",68.408676,17.311788
828479,"Håkvik - E6 50, Ankenes",68.409179,17.310426
828480,"Håkvik - E6 46, Ankenes",68.409862,17.310398
828481,"Håkvik - E6 44, Ankenes",68.409926,17.311623
828482,"Håkvik - E6 38, Ankenes",68.411372,17.311551
828483,"Håkvik - E6 34, Ankenes",68.412735,17.312908
828484,"Håkvik - E6 32, Ankenes",68.412932,17.31227
828485,"Håkvik - E6 27, Ankenes",68.416042,17.308663
828486,"Håkvik - E6 26, Ankenes",68.415567,17.307347
828487,"Håkvik - E6 16, Ankenes",68.416517,17.304812
828488,"Håkvik - E6 10, Ankenes",68.417217,17.303542
828489,"Håkvik - E6 8, Ankenes",68.417416,17.303368
828490,"Håkvik - E6 6, Ankenes",68.417633,17.303243
828491,"Håkvik - E6 2, Ankenes",68.418004,17.303062
828505,"Håkvik - E6 43, Ankenes",68.409812,17.313999
828873,"Langdalveien 25, Ankenes",68.407123,17.32023
828874,"Langdalveien 19, Ankenes",68.406939,17.321843
828875,"Langdalveien 15, Ankenes",68.406673,17.322255
828876,"Langdalveien 13, Ankenes",68.406428,17.322497
828877,"Langdalveien 12A, Ankenes",68.407217,17.322554
828878,"Langdalveien 11, Ankenes",68.406265,17.322603
828879,"Langdalveien 10A, Ankenes",68.406904,17.323058
828880,"Langdalveien 10, Ankenes",68.406786,17.323216
828881,"Langdalveien 9, Ankenes",68.406114,17.323099
828882,"Langdalveien 8, Ankenes",68.406638,17.323493
828883,"Langdalveien 7, Ankenes",68.405757,17.322965
828884,"Langdalveien 6, Ankenes",68.406437,17.323741
828885,"Langdalveien 5, Ankenes",68.405749,17.323549
828886,"Langdalveien 4, Ankenes",68.406246,17.323965
828887,"Langdalveien 3, Ankenes",68.405679,17.324053
828888,"Langdalveien 2, Ankenes",68.406038,17.32409
828889,"Langdalveien 1, Ankenes",68.405715,17.32469
828962,"Lille Sveveien 11, Ankenes",68.407036,17.315519
828963,"Lille Sveveien 9, Ankenes",68.407261,17.315841
828964,"Lille Sveveien 3, Ankenes",68.407771,17.316885
829973,"Sveveien 54, Ankenes",68.403238,17.316276
829974,"Sveveien 52, Ankenes",68.403452,17.316371
829975,"Sveveien 50, Ankenes",68.403709,17.316616
829976,"Sveveien 49, Ankenes",68.403043,17.316743
829977,"Sveveien 48, Ankenes",68.403895,17.31683
829978,"Sveveien 47, Ankenes",68.403002,17.317153
829979,"Sveveien 46, Ankenes",68.404118,17.316926
829980,"Sveveien 45, Ankenes",68.403028,17.317838
829981,"Sveveien 44, Ankenes",68.404387,17.316953
829982,"Sveveien 43, Ankenes",68.403302,17.318158
829983,"Sveveien 42, Ankenes",68.404622,17.317465
829984,"Sveveien 41, Ankenes",68.403328,17.317576
829985,"Sveveien 40, Ankenes",68.404879,17.317686
829986,"Sveveien 39, Ankenes",68.403601,17.317921
829987,"Sveveien 38, Ankenes",68.405209,17.317184
829988,"Sveveien 37, Ankenes",68.403951,17.317981
829989,"Sveveien 36, Ankenes",68.405128,17.317857
829990,"Sveveien 35, Ankenes",68.404235,17.31818
829991,"Sveveien 34, Ankenes",68.40534,17.318074
829992,"Sveveien 33, Ankenes",68.404385,17.318975
829993,"Sveveien 32, Ankenes",68.405556,17.31739
829994,"Sveveien 31, Ankenes",68.404643,17.318539
829995,"Sveveien 30, Ankenes",68.405823,17.317563
829996,"Sveveien 29, Ankenes",68.404984,17.319207
829997,"Sveveien 28, Ankenes",68.405806,17.31817
829998,"Sveveien 27, Ankenes",68.405277,17.319407
829999,"Sveveien 26, Ankenes",68.406019,17.318338
830000,"Sveveien 25, Ankenes",68.405481,17.31955
830001,"Sveveien 24, Ankenes",68.406058,17.317417
830002,"Sveveien 23, Ankenes",68.405719,17.319209
830003,"Sveveien 22, Ankenes",68.406353,17.317544
830004,"Sveveien 21, Ankenes",68.405881,17.319835
830005,"Sveveien 20, Ankenes",68.406278,17.318414
830006,"Sveveien 19, Ankenes",68.406123,17.319908
830007,"Sveveien 18, Ankenes",68.406494,17.318387
830008,"Sveveien 17, Ankenes",68.406367,17.319763
830009,"Sveveien 16, Ankenes",68.406559,17.317589
830010,"Sveveien 15, Ankenes",68.406646,17.319302
830011,"Sveveien 14, Ankenes",68.406863,17.317621
830012,"Sveveien 12, Ankenes",68.40678,17.318465
830013,"Sveveien 11, Ankenes",68.407208,17.319288
830014,"Sveveien 10B, Ankenes",68.40709,17.318082
830015,"Sveveien 10A, Ankenes",68.407352,17.317963
830016,"Sveveien 9, Ankenes",68.407402,17.320209
