,Navn,Long,Lat
2073,"46/8, Røssvoll",66.353463,14.570371
2303,"126/5, Røssvoll",66.416181,13.903948
2304,"125/3, Røssvoll",66.442007,13.852024
2305,"124/6, Røssvoll",66.433586,13.864808
2308,"112/9, Røssvoll",66.373533,14.237582
2309,"112/4/1, Røssvoll",66.376089,14.263424
2310,"100/4/2, Røssvoll",66.40402,14.321967
2311,"94/5/33, Røssvoll",66.366533,14.300233
2312,"105/1/1, Røssvoll",66.460439,14.265112
2313,"103/9, Røssvoll",66.458698,14.310353
2314,"103/7, Røssvoll",66.462412,14.308163
2315,"101/5, Røssvoll",66.443162,14.278939
2316,"101/4, Røssvoll",66.436728,14.265293
2318,"94/5/32, Røssvoll",66.366882,14.297876
2319,"94/3/1, Røssvoll",66.379964,14.318401
2320,"94/2/25, Røssvoll",66.382699,14.336162
2344,"101/1/1, Røssvoll",66.427388,14.321712
2347,"112/4/2, Røssvoll",66.373157,14.261945
2348,"124/9, Røssvoll",66.431469,13.864881
2381,"112/4/13, Røssvoll",66.379292,14.259706
2382,"112/4/12, Røssvoll",66.378622,14.26033
2383,"112/4/11, Røssvoll",66.377899,14.261
2386,"112/4/10, Røssvoll",66.377187,14.26234
2387,"112/4/9, Røssvoll",66.376585,14.262157
2388,"112/4/8, Røssvoll",66.375749,14.26359
2389,"112/4/7, Røssvoll",66.374924,14.263682
2390,"112/4/6, Røssvoll",66.374033,14.263082
2391,"112/4/5, Røssvoll",66.372622,14.260641
2392,"112/4/4, Røssvoll",66.371919,14.260103
2393,"112/4/3, Røssvoll",66.371632,14.261945
2394,"100/4/5, Røssvoll",66.414262,14.266982
2395,"126/2/4, Røssvoll",66.422255,13.900097
2398,"50/201, Røssvoll",66.357957,14.345838
2410,"94/83, Røssvoll",66.382126,14.330869
2420,"125/4, Røssvoll",66.435569,13.859853
2421,"126/2/5, Røssvoll",66.424512,13.893073
2422,"126/4, Røssvoll",66.425337,13.886717
2432,"94/6/2, Røssvoll",66.381087,14.327049
2435,"100/2/3, Røssvoll",66.401966,14.315736
2437,"112/6/2, Røssvoll",66.381245,14.25909
2438,"94/5, Røssvoll",66.370753,14.314917
2439,"112/6/1, Røssvoll",66.382264,14.258209
32448,"100/5/2, Røssvoll",66.382556,14.31999
32451,"100/5/1, Røssvoll",66.383032,14.318776
32597,"94/2, Røssvoll",66.381834,14.325241
32598,"94/1-1, Røssvoll",66.384773,14.334649
32599,"94/6, Røssvoll",66.381046,14.327561
32602,"96/2, Røssvoll",66.350375,14.226175
33471,"112/16, Røssvoll",66.372388,14.261375
36159,"94/86, Røssvoll",66.381138,14.329461
37578,"103/2/3, Røssvoll",66.466917,14.36291
37863,"94/5/40, Røssvoll",66.383281,14.342914
40047,"100/5/3, Røssvoll",66.391712,14.320838
40094,"94/5/37, Røssvoll",66.394416,14.340149
40231,"147/18/2, Røssvoll",66.545496,14.400999
41764,"120/6, Røssvoll",66.425402,13.965856
316429,"Plurdalsveien 869, Røssvoll",66.343422,14.548481
316430,"Plurdalsveien 879, Røssvoll",66.340526,14.551186
316431,"Plurdalsveien 629, Røssvoll",66.348512,14.482285
316432,"Plurdalsveien 631, Røssvoll",66.349069,14.481025
316433,"Plurdalsveien 904, Røssvoll",66.339502,14.558772
316434,"Langfjellveien 141, Røssvoll",66.358963,14.358997
316435,"Langfjellveien 176, Røssvoll",66.354941,14.371457
316436,"Langfjellveien 72, Røssvoll",66.354592,14.344236
316437,"Langfjellveien 321, Røssvoll",66.353791,14.403102
316438,"Plurdalsveien 981, Røssvoll",66.343559,14.590351
316439,"Laliaveien 185, Røssvoll",66.311353,14.611731
316440,"Laliaveien 195, Røssvoll",66.309623,14.598509
316442,"Malmhaugen 225, Røssvoll",66.324396,14.583655
316445,"Plurdalsveien 911, Røssvoll",66.340253,14.565729
316446,"Plurdalsveien 905, Røssvoll",66.34027,14.562111
316447,"Plurdalsveien 1005, Røssvoll",66.338187,14.612187
316448,"Plurdalsveien 997, Røssvoll",66.345254,14.603137
316449,"Plurdalsveien 964, Røssvoll",66.336603,14.585775
316460,"Langvassveien 197, Røssvoll",66.382423,14.070341
316461,"Langvassveien 199, Røssvoll",66.381438,14.069125
316462,"Langvassveien 177, Røssvoll",66.381165,14.086628
316463,"Bjynnvassdalen 151, Røssvoll",66.417287,14.056726
316464,"Rausandaksla 24, Røssvoll",66.430589,14.057659
316465,"Rausandaksla 22, Røssvoll",66.430026,14.058061
316466,"Langvassveien 739, Røssvoll",66.475429,13.858553
316467,"Langvassveien 570, Røssvoll",66.442978,13.907326
316468,"Langvassveien 448, Røssvoll",66.422983,13.956375
316469,"Langvassveien 450, Røssvoll",66.423301,13.955756
316470,"Langvassveien 412, Røssvoll",66.425701,13.96583
