,Navn,Long,Lat
1117956,"Dalenget 6, Dolstad",65.863311,13.200611
1117957,"Dalenget 4, Dolstad",65.863009,13.200895
1117958,"Dalenget 2, Dolstad",65.862895,13.201056
1117959,"Dalenget 1, Dolstad",65.862958,13.201863
1117960,"Dalenget 12, Dolstad",65.863369,13.202492
1120334,"Breimovegen 45B, Dolstad",65.859432,13.208138
1120335,"Breimovegen 45, Dolstad",65.859567,13.207361
1120336,"Breimovegen 44, Dolstad",65.860195,13.207361
1120337,"Breimovegen 48, Dolstad",65.860578,13.206326
1120338,"Breimovegen 47, Dolstad",65.859907,13.208083
1120339,"Breimovegen 46, Dolstad",65.860432,13.206906
1120346,"Breimovegen 17, Dolstad",65.861875,13.20058
1120347,"Breimovegen 15, Dolstad",65.862427,13.200958
1120348,"Breimovegen 13, Dolstad",65.862429,13.200366
1120349,"Breimovegen 12, Dolstad",65.863099,13.200143
1120350,"Breimovegen 20, Dolstad",65.86187,13.201676
1120351,"Breimovegen 19B, Dolstad",65.861473,13.200739
1120352,"Breimovegen 19A, Dolstad",65.861634,13.200684
1120353,"Breimovegen 18, Dolstad",65.862482,13.201809
1120354,"Breimovegen 24, Dolstad",65.861441,13.201816
1120355,"Breimovegen 23, Dolstad",65.861094,13.201314
1120356,"Breimovegen 22, Dolstad",65.861608,13.201519
1120357,"Breimovegen 21, Dolstad",65.861185,13.200694
1120358,"Breimovegen 28, Dolstad",65.86114,13.202955
1120359,"Breimovegen 27, Dolstad",65.860899,13.202358
1120360,"Breimovegen 26, Dolstad",65.861282,13.202068
1120361,"Breimovegen 25, Dolstad",65.860992,13.201803
1120362,"Breimovegen 30A, Dolstad",65.861157,13.203677
1120363,"Breimovegen 30, Dolstad",65.861009,13.20406
1120364,"Breimovegen 29, Dolstad",65.860774,13.203112
1120365,"Breimovegen 28A, Dolstad",65.86135,13.202524
1120366,"Breimovegen 35, Dolstad",65.86046,13.20469
1120367,"Breimovegen 34, Dolstad",65.860718,13.205242
1120368,"Breimovegen 33, Dolstad",65.860633,13.204152
1120369,"Breimovegen 31, Dolstad",65.8607,13.203709
1120370,"Breimovegen 39, Dolstad",65.860087,13.20579
1120371,"Breimovegen 38, Dolstad",65.860371,13.206253
1120372,"Breimovegen 37, Dolstad",65.860261,13.205274
1120374,"Breimovegen 36, Dolstad",65.860545,13.205802
1120375,"Breimovegen 43, Dolstad",65.859714,13.206847
1120376,"Breimovegen 42, Dolstad",65.860042,13.207306
1120377,"Breimovegen 41, Dolstad",65.859914,13.206329
1120378,"Breimovegen 40, Dolstad",65.860197,13.206769
1120399,"Breimovegen 2, Dolstad",65.863121,13.198958
1120403,"Breimovegen 7, Dolstad",65.86267,13.199538
1120404,"Breimovegen 6, Dolstad",65.863198,13.199347
1120405,"Breimovegen 5, Dolstad",65.862673,13.199033
1120406,"Breimovegen 4, Dolstad",65.862928,13.199322
1120407,"Breimovegen 11, Dolstad",65.862581,13.200355
1120408,"Breimovegen 10, Dolstad",65.863412,13.200056
1120409,"Breimovegen 9, Dolstad",65.862409,13.19949
1120410,"Breimovegen 8, Dolstad",65.863395,13.199333
1120727,"Dalenget 10B, Dolstad",65.863438,13.20167
1120728,"Dalenget 10A, Dolstad",65.863436,13.201876
1120729,"Dalenget 8, Dolstad",65.863425,13.201151
1120730,"Dalenget 19, Dolstad",65.862562,13.202505
1120731,"Dalenget 16, Dolstad",65.86299,13.20311
1120732,"Dalenget 15, Dolstad",65.862956,13.202477
1120733,"Dalenget 14, Dolstad",65.86314,13.202837
1120803,"Bruksvegen 1, Dolstad",65.860866,13.189624
1120813,"Breimovegen 49, Dolstad",65.859966,13.208451
1120814,"Breimovegen 54, Dolstad",65.861061,13.204648
1120815,"Breimovegen 53, Dolstad",65.860363,13.207919
1120816,"Breimovegen 51, Dolstad",65.86016,13.208153
1120817,"Breimovegen 50, Dolstad",65.860721,13.205838
1120818,"Breimovegen 58, Dolstad",65.861438,13.203899
1120819,"Breimovegen 57, Dolstad",65.860678,13.207196
1120820,"Breimovegen 56, Dolstad",65.861219,13.20433
1120821,"Breimovegen 55, Dolstad",65.860542,13.207841
1120822,"Breimovegen 62, Dolstad",65.86175,13.202167
1120823,"Breimovegen 60A, Dolstad",65.861395,13.20331
1120824,"Breimovegen 60, Dolstad",65.861545,13.203102
1120825,"Breimovegen 59, Dolstad",65.860832,13.206528
1120829,"Breimovegen 62A, Dolstad",65.861518,13.202337
1120918,"Finnvikvegen 5, Dolstad",65.861503,13.188856
1120919,"Finnvikvegen 3, Dolstad",65.861372,13.189084
1120920,"Finnvikvegen 1, Dolstad",65.861267,13.189333
1120922,"Finnvikvegen 10B, Dolstad",65.861941,13.188672
1120923,"Finnvikvegen 10A, Dolstad",65.86187,13.188764
1120924,"Finnvikvegen 8, Dolstad",65.861659,13.189086
1120925,"Finnvikvegen 7, Dolstad",65.861625,13.18854
1120926,"Finnvikvegen 14, Dolstad",65.862214,13.188214
1120927,"Finnvikvegen 13, Dolstad",65.862145,13.187715
