,Navn,Long,Lat
28406,"11/44, Rødøy",66.456943,13.213967
28407,"11/45, Rødøy",66.456831,13.213776
28408,"11/48, Rødøy",66.456695,13.213651
28409,"11/32, Rødøy",66.460366,13.226317
28410,"9/3, Rødøy",66.493337,13.212945
28411,"10/2, Rødøy",66.482475,13.224453
28412,"10/5, Rødøy",66.487618,13.230064
28413,"10/14, Rødøy",66.488245,13.239983
28421,"11/1/11, Rødøy",66.460223,13.225609
28426,"11/30, Rødøy",66.46013,13.22768
28450,"9/5, Rødøy",66.514412,13.213676
28481,"12/6, Rødøy",66.445135,13.215105
28488,"11/1/13, Rødøy",66.460195,13.225499
28501,"9/70, Rødøy",66.51181,13.216493
28502,"10/45, Rødøy",66.467774,13.236903
28503,"9/69, Rødøy",66.520644,13.201168
28506,"Tømmerdal, 13/20, Rødøy",66.446943,13.261615
28507,"Tømmerdal, 13/22, Rødøy",66.434533,13.256827
28539,"9/1-1, Rødøy",66.518668,13.203478
28540,"9/2-2, Rødøy",66.515324,13.209088
28547,"9/55, Rødøy",66.495076,13.216701
36440,"9/91, Rødøy",66.509006,13.215816
36441,"9/91-1, Rødøy",66.508914,13.215883
36442,"9/91-2, Rødøy",66.508838,13.215943
37156,"10/3-2, Rødøy",66.488645,13.233597
37157,"10/3-1, Rødøy",66.488366,13.234528
37158,"10/3-4, Rødøy",66.488459,13.236286
37159,"10/3-3, Rødøy",66.488898,13.233698
37160,"10/3, Rødøy",66.488163,13.235754
37161,"9/10-3, Rødøy",66.51011,13.215252
37162,"9/10-5, Rødøy",66.510583,13.215025
37163,"9/10-4, Rødøy",66.510355,13.215138
37164,"9/10-2, Rødøy",66.508861,13.219172
37165,"9/26-2, Rødøy",66.512665,13.215364
37166,"9/26-1, Rødøy",66.512263,13.215214
37181,"10/3-6, Rødøy",66.488921,13.236824
37182,"10/3-5, Rødøy",66.488726,13.236534
37183,"10/3-7, Rødøy",66.489299,13.237502
37184,"9/88, Rødøy",66.499345,13.212331
37185,"9/4-1, Rødøy",66.506214,13.214347
37195,"9/5-3, Rødøy",66.514123,13.215363
37196,"9/26-4, Rødøy",66.513005,13.215198
37197,"9/26-3, Rødøy",66.512724,13.214519
37198,"9/5-2, Rødøy",66.513963,13.214147
37199,"9/5-1, Rødøy",66.513593,13.214248
37205,"9/2-7, Rødøy",66.515531,13.21188
37206,"9/2-6, Rødøy",66.515197,13.210891
37207,"9/18, Rødøy",66.521313,13.197644
37208,"9/1-4, Rødøy",66.51895,13.204781
37209,"9/2-9, Rødøy",66.515841,13.209774
37210,"9/2-8, Rødøy",66.515568,13.210941
37211,"9/1-3, Rødøy",66.519153,13.201573
37212,"9/1-2, Rødøy",66.518882,13.202543
37216,"10/18, Rødøy",66.469667,13.240557
37239,"10/5-1, Rødøy",66.488476,13.232003
37244,"10/5-7, Rødøy",66.487787,13.230417
37245,"10/5-6, Rødøy",66.487896,13.230558
37246,"10/23, Rødøy",66.487308,13.22895
37247,"10/5-3, Rødøy",66.488201,13.231019
37248,"10/5-2, Rødøy",66.488336,13.231656
37250,"10/5-5, Rødøy",66.488004,13.230706
37251,"10/5-4, Rødøy",66.488101,13.230863
37260,"9/2-5, Rødøy",66.515162,13.211822
37261,"9/2-4, Rødøy",66.514792,13.211849
37264,"9/5-4, Rødøy",66.514514,13.214839
37266,"9/2-3, Rødøy",66.514909,13.213467
37267,"9/5-5, Rødøy",66.514371,13.212393
40287,"11/77, Rødøy",66.460082,13.225013
55574,"9/2-1, Rødøy",66.5169,13.211879
55575,"9/93, Rødøy",66.522322,13.179076
1487082,"Snedveien 22, Rødøy",66.462849,13.223694
1487083,"Øresvikveien 43, Rødøy",66.456537,13.211597
1487084,"Øresvikveien 55, Rødøy",66.458838,13.218137
1487085,"Øresvikveien 53, Rødøy",66.458518,13.217412
1487086,"Øresvikveien 39, Rødøy",66.45688,13.211752
1487087,"Bryggeveien 9, Rødøy",66.461144,13.226798
1487088,"Bryggeveien 11, Rødøy",66.461089,13.227567
1487089,"Øresvikveien 35, Rødøy",66.457493,13.211215
1487090,"Øresvikveien 25, Rødøy",66.456441,13.210408
1487091,"Øresvikveien 23, Rødøy",66.456604,13.20881
1487092,"Øresvikveien 31, Rødøy",66.457178,13.209554
1487093,"Dalaveien 37, Rødøy",66.450001,13.218415
1487094,"Dalaveien 57, Rødøy",66.447083,13.217501
1487095,"Dalaveien 32, Rødøy",66.45065,13.218683
1487096,"Dalaveien 109, Rødøy",66.445571,13.261733
1487097,"Dalaveien 72, Rødøy",66.443422,13.239654
1487098,"Dalaveien 120, Rødøy",66.446612,13.261705
1487099,"Dalaveien 125, Rødøy",66.446113,13.263447
1487100,"Dalaveien 112, Rødøy",66.446374,13.260143
1487101,"Dalaveien 126, Rødøy",66.446828,13.263395
1487102,"Vassvika 3, Rødøy",66.457679,13.317625
1487103,"Vassvika 4, Rødøy",66.457943,13.317966
1487111,"Slettvoll 10, Rødøy",66.471089,13.239962
1487112,"Slettvoll 20, Rødøy",66.47062,13.241868
1487113,"Slettvoll 18, Rødøy",66.470437,13.241567
1487114,"Slettvoll 14, Rødøy",66.469975,13.23886
1487115,"Slettvoll 16, Rødøy",66.47024,13.240009
1487116,"Slettvoll 6, Rødøy",66.470794,13.237432
1487117,"Slettvoll 38, Rødøy",66.469299,13.236954
1487118,"Slettvoll 48, Rødøy",66.467832,13.23497
1487119,"Slettvoll 46, Rødøy",66.468112,13.235197
1487120,"Slettvoll 30, Rødøy",66.469447,13.238134
1487121,"Bryggeveien 7, Rødøy",66.46156,13.227265
1487122,"Øresvikveien 81, Rødøy",66.461707,13.225077
1487123,"Venesveien 35, Rødøy",66.461877,13.238634
1487124,"Øresvikveien 103, Rødøy",66.465113,13.230245
1487125,"Venesveien 7, Rødøy",66.461535,13.230476
1487126,"Øresvikveien 107, Rødøy",66.465484,13.233676
1487127,"Venesveien 16, Rødøy",66.461871,13.233191
1487128,"Øresvikveien 82, Rødøy",66.462322,13.224674
1487129,"Bryggeveien 16, Rødøy",66.460961,13.228878
1487130,"Øresvikveien 80, Rødøy",66.461881,13.223763
1487131,"Øresvikveien 65, Rødøy",66.4602,13.221211
1487132,"Snedveien 2, Rødøy",66.462748,13.225048
1487133,"Bryggeveien 8, Rødøy",66.461735,13.228307
1487134,"Øresvikveien 78, Rødøy",66.461549,13.223046
1487135,"Øresvikveien 83, Rødøy",66.461049,13.224809
1487136,"Bryggeveien 6, Rødøy",66.461902,13.228199
1487137,"Øresvikveien 77, Rødøy",66.460434,13.223596
1487138,"Snedveien 13, Rødøy",66.463622,13.226916
1487139,"Øresvikveien 67, Rødøy",66.460373,13.221906
1487140,"Steinslandsveien 250, Rødøy",66.516271,13.207918
1487141,"Steinslandsveien 128, Rødøy",66.50757,13.216099
1487142,"Steinslandsveien 35, Rødøy",66.4922,13.214727
1487143,"Steinslandsveien 13, Rødøy",66.488538,13.220202
1487144,"Steinslandsveien 162, Rødøy",66.509372,13.21597
1487145,"Steinslandsveien 54, Rødøy",66.494938,13.211721
1487146,"Steinslandsveien 16, Rødøy",66.487776,13.219492
1487147,"Snedveien 24, Rødøy",66.462572,13.223018
1487148,"Steinslandsveien 151, Rødøy",66.509229,13.219174
1487149,"Steinslandsveien 90, Rødøy",66.499829,13.210156
1487150,"Steinslandsveien 100, Rødøy",66.501254,13.210728
1487151,"Steinslandsveien 102, Rødøy",66.501765,13.210759
1487152,"Steinslandsveien 191, Rødøy",66.512232,13.216485
1487154,"Steinslandsveien 270, Rødøy",66.519337,13.19926
1487155,"Steinslandsveien 81, Rødøy",66.498759,13.212301
1487156,"Steinslandsveien 275, Rødøy",66.520771,13.199582
1487157,"Slettvoll 1, Rødøy",66.469604,13.23453
1487158,"Steinslandsveien 6, Rødøy",66.48795,13.223008
1487159,"Øresvikveien 191, Rødøy",66.486985,13.227278
1487160,"Steinslandsveien 1, Rødøy",66.488228,13.225325
1487161,"Øresvikveien 196, Rødøy",66.486943,13.225933
1487162,"Øresvikveien 182, Rødøy",66.486612,13.230046
1487163,"Øresvikveien 151, Rødøy",66.487703,13.237008
1487164,"Steinslandsveien 3, Rødøy",66.48831,13.224645
1487165,"Slettvoll 32, Rødøy",66.468809,13.238897
1487166,"Kilbogneset 15, Rødøy",66.488516,13.237615
1487191,"Steinslandsveien 256, Rødøy",66.517265,13.206946
1487263,"Øresvikveien 59, Rødøy",66.459225,13.21922
1487264,"Steinslandsveien 60, Rødøy",66.495784,13.211885
1487265,"Bryggeveien 38, Rødøy",66.459894,13.227383
1487276,"Steinslandsveien 72, Rødøy",66.497712,13.211005
1487277,"Steinslandsveien 203, Rødøy",66.513777,13.213496
1487280,"Steinslandsveien 92, Rødøy",66.500196,13.210062
1487283,"Steinslandsveien 135, Rødøy",66.508836,13.216976
1487288,"Øresvikveien 29, Rødøy",66.457573,13.208
1487299,"Steinslandsveien 111, Rødøy",66.503701,13.215274
1487303,"Steinslandsveien 66, Rødøy",66.496769,13.211769
1487307,"Øresvikveien 85, Rødøy",66.461448,13.225971
1487319,"Venesveien 5, Rødøy",66.461272,13.229929
1487321,"Steinslandsveien 164, Rødøy",66.509772,13.215649
1487394,"Steinslandsveien 23, Rødøy",66.489362,13.220053
1487395,"Øresvikveien 131, Rødøy",66.47716,13.241699
1487396,"Venesveien 14, Rødøy",66.462009,13.231879
1487397,"Venesveien 11, Rødøy",66.461871,13.230789
1487398,"Dalaveien 12, Rødøy",66.452529,13.210358
1487399,"Dalaveien 18, Rødøy",66.45256,13.218524
1487400,"Dalaveien 80, Rødøy",66.445946,13.254416
1487401,"Dalaveien 90, Rødøy",66.444713,13.257957
1487402,"Vassvika 6, Rødøy",66.458204,13.321383
1487403,"Vassvika 8, Rødøy",66.45972,13.331425
1487405,"Dalaveien 95, Rødøy",66.443584,13.25963
1487408,"Vassvika 7, Rødøy",66.459563,13.325174
1487409,"Vassvika 1, Rødøy",66.456319,13.313071
1487410,"Vassvika 2, Rødøy",66.456576,13.316061
1487432,"Steinslandsveien 11, Rødøy",66.488422,13.221087
1487433,"Slettvoll 8, Rødøy",66.470544,13.239156
1487436,"Øresvikveien 204, Rødøy",66.488948,13.226561
1487443,"Øresvikveien 75, Rødøy",66.460817,13.223367
1487455,"Steinslandsveien 80, Rødøy",66.498874,13.209613
1487461,"Steinslandsveien 139, Rødøy",66.508291,13.217959
1487480,"Steinslandsveien 145, Rødøy",66.508497,13.219474
1487525,"Steinslandsveien 62, Rødøy",66.496015,13.211711
1487542,"Venesveien 40, Rødøy",66.462729,13.240852
1487551,"Øresvikveien 71, Rødøy",66.459993,13.223448
1487610,"Steinslandsveien 125, Rødøy",66.50717,13.218062
1487611,"Øresvikveien 98, Rødøy",66.464524,13.228154
1487612,"Øresvikveien 64, Rødøy",66.460178,13.219424
1487613,"Snedveien 9, Rødøy",66.463028,13.226927
1487630,"Dalaveien 6, Rødøy",66.454132,13.208606
1487640,"Venesveien 29, Rødøy",66.461173,13.23342
1487641,"Venesveien 22, Rødøy",66.462548,13.232784
1487645,"Øresvikveien 15, Rødøy",66.454899,13.205678
1487660,"Steinslandsveien 25, Rødøy",66.489966,13.219308
1487662,"Bryggeveien 31, Rødøy",66.460759,13.224538
1487667,"Steinslandsveien 131, Rødøy",66.507711,13.217483
1487686,"Steinslandsveien 159, Rødøy",66.509327,13.216588
1487719,"Venesveien 2, Rødøy",66.461681,13.229119
1487732,"Steinslandsveien 263, Rødøy",66.519338,13.203727
1487734,"Dalaveien 52, Rødøy",66.44845,13.218548
1487737,"Dalaveien 70, Rødøy",66.44282,13.238822
1487742,"Kilbogneset 5, Rødøy",66.489249,13.235477
1487743,"Kilbogneset 21, Rødøy",66.488671,13.239877
1487752,"Kilbogneset 7, Rødøy",66.489257,13.235012
1487753,"Øresvikveien 188, Rødøy",66.486421,13.228195
1487762,"Steinslandsveien 115, Rødøy",66.504738,13.215695
1487774,"Steinslandsveien 254, Rødøy",66.517699,13.20723
1487797,"Øresvikveien 208, Rødøy",66.489007,13.225202
1487798,"Steinslandsveien 320, Rødøy",66.523139,13.180173
1487799,"Steinslandsveien 329, Rødøy",66.523098,13.184407
1487800,"Steinslandsveien 255, Rødøy",66.517879,13.208882
1487801,"Kilbogneset 8, Rødøy",66.489455,13.233726
1487803,"Dalaveien 118, Rødøy",66.446748,13.261045
1487874,"Bryggeveien 4, Rødøy",66.461987,13.22802
1487902,"Steinslandsveien 40, Rødøy",66.493057,13.212822
1487919,"Steinslandsveien 50, Rødøy",66.494432,13.212162
1487935,"Bryggeveien 10, Rødøy",66.461665,13.228458
1487950,"Steinslandsveien 129, Rødøy",66.507462,13.217636
1487954,"Steinslandsveien 122, Rødøy",66.506547,13.214576
1487969,"Steinslandsveien 207, Rødøy",66.513722,13.214962
1811992,"Bryggeveien 27, Rødøy",66.460568,13.225465
1976018,"Steinslandsveien 45, Rødøy",66.493818,13.214168
2010453,"Kilbogneset 3, Rødøy",66.488585,13.235317
2034798,"Steinslandsveien 335, Rødøy",66.52363,13.185097
2045445,"Steinslandsveien 322, Rødøy",66.523507,13.181325
2065523,"Steinslandsveien 41, Rødøy",66.493261,13.213655
2084911,"Steinslandsveien 310, Rødøy",66.523048,13.175756
2089202,"Steinslandsveien 326, Rødøy",66.52342,13.184003
2089208,"Kilbogneset 20, Rødøy",66.489048,13.237996
2089214,"Steinslandsveien 155, Rødøy",66.50965,13.219063
2089226,"Steinslandsveien 176, Rødøy",66.510192,13.211051
2089228,"Steinslandsveien 178, Rødøy",66.510499,13.210827
2089395,"Steinslandsveien 127, Rødøy",66.506975,13.219187
2089396,"Steinslandsveien 130, Rødøy",66.507619,13.215097
2089397,"Steinslandsveien 18, Rødøy",66.487832,13.218951
2089398,"Steinslandsveien 104, Rødøy",66.502119,13.211217
2089580,"Steinslandsveien 327, Rødøy",66.523294,13.182759
