,Navn,Long,Lat
1298107,"Naustholmveien 1, Lurøy",66.367873,12.367756
1298109,"Lundvollveien 70, Lurøy",66.368637,12.352485
1298113,"Lundvollveien 48, Lurøy",66.369103,12.35431
1298115,"Lundvollveien 38, Lurøy",66.369474,12.357363
1298117,"Naustholmveien 8, Lurøy",66.366026,12.371248
1298118,"Lundvollveien 2, Lurøy",66.369144,12.363327
1298120,"Sørmarkveien 16, Lurøy",66.363155,12.361675
1298123,"Sjyveien 33, Lurøy",66.367093,12.358845
1298124,"Remmaveien 1, Lurøy",66.36756,12.358863
1298125,"Sjyveien 37, Lurøy",66.366044,12.357345
1298126,"Lundvollveien 92, Lurøy",66.370358,12.346531
1298127,"Sørmarkveien 17, Lurøy",66.362323,12.360264
1298128,"Vednesveien 10, Lurøy",66.370063,12.362962
1298129,"Innersjyveien 25, Lurøy",66.363988,12.362057
1298131,"Naustholmveien 32, Lurøy",66.369811,12.374759
1298132,"Lundvollveien 84, Lurøy",66.369723,12.349283
1298133,"Vednesveien 14, Lurøy",66.370346,12.361845
1298135,"Lundvollveien 94, Lurøy",66.370368,12.337603
1298137,"Remmaveien 4, Lurøy",66.366918,12.35647
1298138,"Sørmarkveien 11, Lurøy",66.362996,12.360216
1298139,"Remmaveien 5, Lurøy",66.36802,12.357382
1298140,"Remmaveien 12, Lurøy",66.367696,12.35471
1298141,"Hamnholmveien 48, Lurøy",66.372569,12.360792
1298143,"Lundvollveien 35, Lurøy",66.369522,12.351743
1298145,"Sørmarkveien 1, Lurøy",66.36464,12.35926
1298147,"Sørmarkveien 3, Lurøy",66.364366,12.35949
1298149,"Sørmarkveien 9, Lurøy",66.363441,12.359853
1298151,"Sørmarkveien 5, Lurøy",66.364155,12.359758
1298153,"Hamnholmveien 46, Lurøy",66.372598,12.360232
1298155,"Innersjyveien 4, Lurøy",66.367897,12.363369
1298157,"Remmaveien 20, Lurøy",66.367297,12.353383
1298190,"Sjyveien 10, Lurøy",66.368973,12.366455
1298191,"Vednesveien 13, Lurøy",66.370349,12.363424
1298192,"Lundvollveien 56, Lurøy",66.369126,12.353261
1298193,"Lundvollveien 9, Lurøy",66.369935,12.360738
1298194,"Bergtunveien 1, Lurøy",66.370146,12.360447
1298195,"Innersjyveien 17, Lurøy",66.366145,12.36013
1298196,"Innersjyveien 9, Lurøy",66.366929,12.360831
1298197,"Sjyveien 17, Lurøy",66.369298,12.367114
