,Navn,Long,Lat
23325,"104/213, Brønnøy",65.471657,12.206722
1293731,"Frøkenosveien 3, Brønnøy",65.47062,12.208907
1293732,"Frøkenosveien 2, Brønnøy",65.470661,12.207261
1293734,"Flatåsen 7, Brønnøy",65.471387,12.216905
1293736,"Flatåsen 6, Brønnøy",65.4719,12.216483
1293738,"Frøkenosveien 11, Brønnøy",65.470912,12.210604
1293740,"Frøkenosveien 9, Brønnøy",65.47084,12.210136
1293742,"Frøkenosveien 7, Brønnøy",65.47075,12.209628
1293744,"Frøkenosveien 5, Brønnøy",65.470708,12.209286
1293750,"Flatåsen 5, Brønnøy",65.470907,12.2162
1293752,"Flatåsen 3, Brønnøy",65.470785,12.215457
1293754,"Flatåsen 2, Brønnøy",65.470944,12.214813
1293755,"Flatåsen 1, Brønnøy",65.470603,12.215303
1293773,"Frøkenosveien 19, Brønnøy",65.471019,12.212019
1293775,"Frøkenosveien 17, Brønnøy",65.470794,12.212518
1293777,"Frøkenosveien 15, Brønnøy",65.470797,12.2112
1293779,"Frøkenosveien 13, Brønnøy",65.470981,12.210964
1293781,"Frøkenosveien 27, Brønnøy",65.472011,12.214224
1293783,"Frøkenosveien 25, Brønnøy",65.471771,12.213386
1293785,"Frøkenosveien 23, Brønnøy",65.47144,12.212471
1293787,"Frøkenosveien 21, Brønnøy",65.471261,12.212014
1293825,"Dr. Sællegs plass 2, Brønnøy",65.470112,12.207643
1293826,"Dr.Møllers gate 6, Brønnøy",65.469926,12.206345
1293827,"Dr.Møllers gate 4, Brønnøy",65.469616,12.206055
1293836,"Dr.Møllers gate 2, Brønnøy",65.469302,12.205591
1293847,"Engveien 4, Brønnøy",65.471116,12.212937
1293848,"Engveien 3, Brønnøy",65.471039,12.213637
1293849,"Engveien 2, Brønnøy",65.470801,12.21336
1293850,"Engveien 1, Brønnøy",65.470815,12.214114
1293851,"Even Ulvings vei 1, Brønnøy",65.470601,12.220553
1293852,"Engveien 9, Brønnøy",65.471613,12.2131
1293853,"Engveien 7, Brønnøy",65.471455,12.21329
1293854,"Engveien 5, Brønnøy",65.471286,12.213373
1293879,"Adm. Storheils gate 9, Brønnøy",65.470518,12.214599
1293880,"Adm. Storheils gate 7, Brønnøy",65.470335,12.214381
1293881,"Adm. Storheils gate 6, Brønnøy",65.471579,12.214638
1293882,"Adm. Storheils gate 5, Brønnøy",65.470098,12.214212
1293886,"Adm. Storheils gate 11, Brønnøy",65.471207,12.214958
1293955,"Adm. Storheils gate 3, Brønnøy",65.46988,12.214063
1293956,"Adm. Storheils gate 2, Brønnøy",65.471015,12.214244
1293957,"Adm. Storheils gate 1, Brønnøy",65.469653,12.213957
1294122,"Kildeveien 4, Brønnøy",65.470443,12.209055
1294123,"Kildeveien 2, Brønnøy",65.470373,12.208653
1294126,"Kildeveien 12, Brønnøy",65.470708,12.210755
1294127,"Kildeveien 10A, Brønnøy",65.47062,12.210186
1294128,"Kildeveien 8, Brønnøy",65.470585,12.209948
1294129,"Kildeveien 6, Brønnøy",65.470515,12.209545
1294240,"Schrøders plass 2, Brønnøy",65.474987,12.212503
1294352,"Nedre Flatåsvei 6, Brønnøy",65.470348,12.215114
1294353,"Nedre Flatåsvei 4, Brønnøy",65.469948,12.214833
1294354,"Nedre Flatåsvei 2, Brønnøy",65.469712,12.214707
1294493,"Lenningsveien 14, Brønnøy",65.470043,12.218042
1294494,"Lenningsveien 12, Brønnøy",65.469953,12.217554
1294495,"Lenningsveien 10, Brønnøy",65.469841,12.216357
1294496,"Lenningsveien 8, Brønnøy",65.469788,12.215433
1294497,"Lenningsveien 28, Brønnøy",65.470419,12.222366
1294498,"Lenningsveien 26, Brønnøy",65.470398,12.221763
1294499,"Lenningsveien 24, Brønnøy",65.47039,12.220835
1294500,"Lenningsveien 20, Brønnøy",65.470119,12.219265
1294509,"Lærer Andersens vei 4, Brønnøy",65.471074,12.217478
1294510,"Lærer Andersens vei 3, Brønnøy",65.470449,12.21815
1294511,"Lærer Andersens vei 2, Brønnøy",65.470542,12.216887
1294512,"Lærer Andersens vei 1, Brønnøy",65.470336,12.217406
1294515,"Lærer Andersens vei 6, Brønnøy",65.471145,12.218421
1294516,"Lærer Andersens vei 5, Brønnøy",65.470844,12.218626
1294517,"Lenningsveien 34, Brønnøy",65.470475,12.223958
1294518,"Lenningsveien 32, Brønnøy",65.470465,12.223419
1294519,"Lenningsveien 30, Brønnøy",65.470437,12.222882
1294520,"Lenningsveien 29, Brønnøy",65.469915,12.223305
1294524,"Lenningsveien 36, Brønnøy",65.470561,12.224748
1294547,"Storgata 77, Brønnøy",65.474215,12.211548
1294548,"Storgata 76, Brønnøy",65.474372,12.211047
1294549,"Storgata 74, Brønnøy",65.47424,12.210941
1294550,"Storgata 73, Brønnøy",65.473877,12.211195
1294553,"Storgata 79, Brønnøy",65.474344,12.211729
1294554,"Storgata 78, Brønnøy",65.474516,12.2113
1294587,"Sømnaveien 85, Brønnøy",65.474803,12.212717
1294588,"Sømnaveien 83, Brønnøy",65.474725,12.212877
1294591,"Sømnaveien 91, Brønnøy",65.475222,12.213766
1294592,"Sømnaveien 87B, Brønnøy",65.474973,12.213174
1294593,"Sømnaveien 87A, Brønnøy",65.474973,12.213174
1294634,"Storgata 16, Brønnøy",65.469525,12.204574
