,Navn,Long,Lat
331692,"Fiskergata 3, Tromsø Domkirke",69.64697,18.953357
335866,"Bankgata 13, Tromsø Domkirke",69.649163,18.956527
335868,"Bankgata 9, Tromsø Domkirke",69.649018,18.957739
335869,"Bankgata 11, Tromsø Domkirke",69.649048,18.957229
335870,"Bankgata 5, Tromsø Domkirke",69.648913,18.958829
335871,"Bankgata 7, Tromsø Domkirke",69.648998,18.958252
335873,"Samuel Arnesens gate 10, Tromsø Domkirke",69.648886,18.961403
335898,"Arbeidergata 4, Tromsø Domkirke",69.656261,18.962302
335900,"Storgata 168, Tromsø Domkirke",69.65617,18.962902
335901,"Arbeidergata 3, Tromsø Domkirke",69.656423,18.962451
335949,"Amtmannsgata 13, Tromsø Domkirke",69.651237,18.951802
335950,"Amtmannsgata 15, Tromsø Domkirke",69.651377,18.951958
336185,"Bernt Lies gate 1, Tromsø Domkirke",69.650693,18.949197
336186,"Bernt Lies gate 3, Tromsø Domkirke",69.650773,18.949651
336191,"Bispegata 2, Tromsø Domkirke",69.652489,18.958025
336509,"Parkgata 45, Tromsø Domkirke",69.653324,18.955263
336510,"Bispegata 8, Tromsø Domkirke",69.652804,18.95638
336511,"Bispegata 6, Tromsø Domkirke",69.652782,18.956556
336512,"Bispegata 4, Tromsø Domkirke",69.65275,18.956783
336513,"Bispegata 5, Tromsø Domkirke",69.65284,18.958374
336608,"Fredrik Langes gate 1, Tromsø Domkirke",69.649417,18.960369
336634,"Fredrik Langes gate 16, Tromsø Domkirke",69.649384,18.957472
336635,"Fredrik Langes gate 18, Tromsø Domkirke",69.649372,18.957211
336636,"Sjøgata 11, Tromsø Domkirke",69.649554,18.959189
336637,"Fredrik Langes gate 14, Tromsø Domkirke",69.64932,18.957924
336638,"Fredrik Langes gate 12, Tromsø Domkirke",69.649295,18.958617
336639,"Samuel Arnesens gate 12, Tromsø Domkirke",69.64907,18.961313
336640,"Fredrik Langes gate 5, Tromsø Domkirke",69.649471,18.959579
336641,"Fredrik Langes gate 2, Tromsø Domkirke",69.649577,18.962051
336642,"Fredrik Langes gate 3, Tromsø Domkirke",69.649439,18.959805
336744,"Elvegata 9, Tromsø Domkirke",69.655368,18.960989
336745,"Elvegata 7, Tromsø Domkirke",69.65539,18.961225
336779,"Fogd Drejers gate 12, Tromsø Domkirke",69.655723,18.958834
336780,"Fogd Drejers gate 14, Tromsø Domkirke",69.655863,18.958989
336781,"Fogd Drejers gate 10, Tromsø Domkirke",69.655468,18.958554
336782,"Fogd Drejers gate 11, Tromsø Domkirke",69.65541,18.959163
336783,"Fogd Drejers gate 8, Tromsø Domkirke",69.655319,18.958398
336784,"Fogd Drejers gate 9, Tromsø Domkirke",69.655305,18.959015
336785,"Fogd Drejers gate 6, Tromsø Domkirke",69.655206,18.958222
336786,"Fogd Drejers gate 7, Tromsø Domkirke",69.655218,18.958921
336787,"Fogd Drejers gate 4, Tromsø Domkirke",69.655048,18.958089
336788,"Fogd Drejers gate 5, Tromsø Domkirke",69.655113,18.958798
336789,"Fogd Drejers gate 2, Tromsø Domkirke",69.654909,18.957882
336790,"Fogd Drejers gate 3, Tromsø Domkirke",69.655005,18.958778
336791,"Fogd Drejers gate 1, Tromsø Domkirke",69.654894,18.958525
336792,"Fogd Drejers gate 1A, Tromsø Domkirke",69.654858,18.958544
336793,"Fiskergata 6, Tromsø Domkirke",69.647001,18.951969
336794,"Fiskergata 10, Tromsø Domkirke",69.647188,18.950667
336795,"Fiskergata 2, Tromsø Domkirke",69.646725,18.953466
336796,"Fiskergata 4, Tromsø Domkirke",69.646977,18.952249
336798,"Fiskergata 1, Tromsø Domkirke",69.646931,18.953479
336825,"Fogd Drejers gate 33, Tromsø Domkirke",69.657041,18.960913
336827,"Fogd Drejers gate 31, Tromsø Domkirke",69.656918,18.960813
336828,"Fogd Drejers gate 32, Tromsø Domkirke",69.657126,18.960361
