,Navn,Long,Lat
345333,"Marikåpevegen 10, Sandnessund",69.703605,18.904282
345334,"Marikåpevegen 11, Sandnessund",69.703897,18.904077
345335,"Marikåpevegen 7, Sandnessund",69.703939,18.905016
345336,"Marikåpevegen 8, Sandnessund",69.703587,18.904718
345337,"Marikåpevegen 5, Sandnessund",69.703948,18.905458
345338,"Marikåpevegen 6, Sandnessund",69.703638,18.905219
345339,"Marikåpevegen 3, Sandnessund",69.703946,18.905923
345340,"Marikåpevegen 4, Sandnessund",69.703665,18.905638
345341,"Marikåpevegen 2, Sandnessund",69.703637,18.906073
345350,"Marikåpevegen 42, Sandnessund",69.702597,18.897498
345351,"Marikåpevegen 38, Sandnessund",69.702677,18.898366
345352,"Marikåpevegen 40, Sandnessund",69.702633,18.897918
345353,"Marikåpevegen 34, Sandnessund",69.702775,18.899212
345997,"Blåklokkevegen 25, Sandnessund",69.705238,18.904376
345998,"Blåklokkevegen 26, Sandnessund",69.704868,18.904463
345999,"Blåklokkevegen 22, Sandnessund",69.70507,18.905095
346000,"Blåklokkevegen 24, Sandnessund",69.704996,18.904745
346001,"Blåklokkevegen 20, Sandnessund",69.705189,18.905376
346002,"Blåklokkevegen 21, Sandnessund",69.705638,18.905795
346003,"Blåklokkevegen 18, Sandnessund",69.705279,18.905781
346004,"Blåklokkevegen 19, Sandnessund",69.705625,18.906388
346005,"Blåklokkevegen 16, Sandnessund",69.705342,18.906181
346006,"Blåklokkevegen 17, Sandnessund",69.705596,18.906849
346007,"Blåklokkevegen 12, Sandnessund",69.705232,18.906678
346008,"Blåklokkevegen 15, Sandnessund",69.705482,18.907164
346009,"Blåklokkevegen 9, Sandnessund",69.704881,18.907493
346010,"Blåklokkevegen 10, Sandnessund",69.705061,18.906672
346011,"Blåklokkevegen 7, Sandnessund",69.704749,18.907391
346012,"Blåklokkevegen 8, Sandnessund",69.704909,18.906644
346013,"Blåklokkevegen 5, Sandnessund",69.704601,18.907183
346014,"Blåklokkevegen 6, Sandnessund",69.704768,18.906515
346015,"Blåklokkevegen 3, Sandnessund",69.70445,18.907103
346016,"Blåklokkevegen 4, Sandnessund",69.704637,18.906387
346029,"Blåklokkevegen 51, Sandnessund",69.703604,18.898278
346030,"Blåklokkevegen 49, Sandnessund",69.703714,18.898583
346031,"Blåklokkevegen 50, Sandnessund",69.703558,18.899149
346032,"Blåklokkevegen 47, Sandnessund",69.703818,18.899171
346033,"Blåklokkevegen 48, Sandnessund",69.703667,18.89948
346034,"Blåklokkevegen 44, Sandnessund",69.703852,18.900446
346035,"Blåklokkevegen 46, Sandnessund",69.70371,18.899954
346036,"Blåklokkevegen 42, Sandnessund",69.703906,18.900844
346037,"Blåklokkevegen 43, Sandnessund",69.70412,18.900557
346038,"Blåklokkevegen 40, Sandnessund",69.703979,18.90122
346039,"Blåklokkevegen 41, Sandnessund",69.704202,18.901046
346040,"Blåklokkevegen 38, Sandnessund",69.704033,18.901592
346041,"Blåklokkevegen 39, Sandnessund",69.704269,18.901397
346042,"Blåklokkevegen 36, Sandnessund",69.704106,18.901968
346043,"Blåklokkevegen 37, Sandnessund",69.704361,18.901808
346044,"Blåklokkevegen 31, Sandnessund",69.70491,18.903384
346045,"Blåklokkevegen 34, Sandnessund",69.704176,18.902446
346046,"Blåklokkevegen 29, Sandnessund",69.70501,18.903713
346047,"Blåklokkevegen 30, Sandnessund",69.70465,18.903776
346048,"Blåklokkevegen 27, Sandnessund",69.705129,18.904045
346049,"Blåklokkevegen 28, Sandnessund",69.70475,18.904105
346095,"Ballblomvegen 15, Sandnessund",69.701932,18.890622
346097,"Ballblomvegen 13, Sandnessund",69.701875,18.890353
346098,"Ballblomvegen 14, Sandnessund",69.702064,18.889508
346099,"Ballblomvegen 11, Sandnessund",69.701839,18.889958
346100,"Ballblomvegen 12, Sandnessund",69.702034,18.889244
346101,"Ballblomvegen 9, Sandnessund",69.7018,18.889692
346102,"Ballblomvegen 10, Sandnessund",69.70196,18.888945
346103,"Ballblomvegen 7, Sandnessund",69.701779,18.889404
346104,"Ballblomvegen 8, Sandnessund",69.701894,18.888674
346105,"Ballblomvegen 5, Sandnessund",69.701769,18.889065
346106,"Ballblomvegen 6, Sandnessund",69.701847,18.888355
346366,"Firkløvervegen 29, Sandnessund",69.701491,18.89067
346367,"Firkløvervegen 31, Sandnessund",69.701583,18.890946
346368,"Firkløvervegen 23, Sandnessund",69.701354,18.889947
346369,"Firkløvervegen 25, Sandnessund",69.701392,18.890264
346370,"Firkløvervegen 20, Sandnessund",69.701658,18.890416
346371,"Firkløvervegen 21, Sandnessund",69.701336,18.889529
346372,"Firkløvervegen 16, Sandnessund",69.701604,18.88963
346373,"Firkløvervegen 18, Sandnessund",69.701648,18.890052
346374,"Firkløvervegen 14, Sandnessund",69.701539,18.889282
346375,"Firkløvervegen 15, Sandnessund",69.701321,18.888621
346376,"Firkløvervegen 12, Sandnessund",69.701521,18.888502
346377,"Firkløvervegen 13, Sandnessund",69.701273,18.888328
346378,"Firkløvervegen 10, Sandnessund",69.701546,18.888171
346379,"Firkløvervegen 11, Sandnessund",69.701235,18.888036
346380,"Firkløvervegen 8, Sandnessund",69.701535,18.887858
346381,"Firkløvervegen 9, Sandnessund",69.701233,18.887699
346382,"Firkløvervegen 5, Sandnessund",69.701252,18.887263
346383,"Firkløvervegen 6, Sandnessund",69.701497,18.887541
346385,"Firkløvervegen 3, Sandnessund",69.701312,18.886989
346426,"Blåklokkevegen 69, Sandnessund",69.702348,18.894968
346443,"Kittistien 10, Sandnessund",69.7013,18.882666
346444,"Kittistien 11, Sandnessund",69.701316,18.883549
346445,"Kittistien 7, Sandnessund",69.701055,18.883165
346446,"Kittistien 9, Sandnessund",69.701186,18.883344
346447,"Kittistien 3, Sandnessund",69.700768,18.88275
346448,"Kittistien 5, Sandnessund",69.700916,18.882958
346449,"Einevegen 71, Sandnessund",69.702443,18.878089
346450,"Einevegen 73, Sandnessund",69.702343,18.877734
346451,"Einevegen 67, Sandnessund",69.702667,18.878932
346452,"Einevegen 69, Sandnessund",69.702576,18.878553
346453,"Einevegen 64, Sandnessund",69.702092,18.878102
346454,"Einevegen 65, Sandnessund",69.702748,18.879309
346455,"Einevegen 62, Sandnessund",69.70218,18.878584
346456,"Einevegen 63, Sandnessund",69.702822,18.879607
346457,"Einevegen 60, Sandnessund",69.702304,18.879098
346458,"Einevegen 61, Sandnessund",69.702867,18.880444
346459,"Einevegen 58, Sandnessund",69.702394,18.879477
346460,"Einevegen 59, Sandnessund",69.702794,18.88087
346461,"Einevegen 56, Sandnessund",69.702493,18.879883
346462,"Einevegen 57, Sandnessund",69.70283,18.881291
346463,"Einevegen 54, Sandnessund",69.7025,18.880376
346464,"Einevegen 55, Sandnessund",69.702909,18.881771
346465,"Einevegen 52, Sandnessund",69.702454,18.881222
346466,"Einevegen 53, Sandnessund",69.702944,18.882217
346467,"Einevegen 50, Sandnessund",69.702482,18.881615
346468,"Einevegen 51, Sandnessund",69.702953,18.882659
346469,"Einevegen 48, Sandnessund",69.702536,18.882013
346470,"Einevegen 49, Sandnessund",69.702916,18.883092
346471,"Einevegen 46, Sandnessund",69.702626,18.882418
346472,"Einevegen 47, Sandnessund",69.70288,18.883525
346473,"Einevegen 44, Sandnessund",69.702588,18.882902
346474,"Einevegen 45, Sandnessund",69.702817,18.883928
346489,"Kittistien 35, Sandnessund",69.702159,18.887688
346491,"Kittistien 31, Sandnessund",69.702012,18.887014
346492,"Kittistien 33, Sandnessund",69.702075,18.887388
346493,"Kittistien 27, Sandnessund",69.701965,18.886281
346494,"Kittistien 29, Sandnessund",69.702126,18.88675
346495,"Kittistien 24, Sandnessund",69.70228,18.886292
346496,"Kittistien 25, Sandnessund",69.701939,18.885862
346497,"Kittistien 22, Sandnessund",69.702251,18.885532
346498,"Kittistien 23, Sandnessund",69.701848,18.885483
346499,"Kittistien 20, Sandnessund",69.70217,18.885154
346500,"Kittistien 21, Sandnessund",69.701765,18.885184
346501,"Kittistien 17, Sandnessund",69.701635,18.884565
346502,"Kittistien 18, Sandnessund",69.702044,18.884769
346503,"Kittistien 14, Sandnessund",69.701729,18.883573
346504,"Kittistien 15, Sandnessund",69.701536,18.884158
346505,"Kittistien 12, Sandnessund",69.701613,18.883112
346506,"Kittistien 13, Sandnessund",69.701425,18.883879
346539,"Blåklokkevegen 65, Sandnessund",69.702502,18.895695
346540,"Blåklokkevegen 67, Sandnessund",69.70242,18.895343
346541,"Blåklokkevegen 63, Sandnessund",69.702602,18.89605
346542,"Blåklokkevegen 64, Sandnessund",69.702199,18.895613
346543,"Blåklokkevegen 61, Sandnessund",69.702684,18.896427
346544,"Blåklokkevegen 62, Sandnessund",69.702313,18.896126
346545,"Blåklokkevegen 58, Sandnessund",69.70244,18.896874
346546,"Blåklokkevegen 60, Sandnessund",69.702368,18.896498
346547,"Blåklokkevegen 53, Sandnessund",69.703492,18.898051
346548,"Blåklokkevegen 55, Sandnessund",69.703353,18.897844
346549,"Blåklokkevegen 52, Sandnessund",69.703421,18.89884
346587,"Einevegen 38, Sandnessund",69.702484,18.884772
346588,"Einevegen 40, Sandnessund",69.702439,18.884376
346589,"Einevegen 34, Sandnessund",69.702464,18.885648
346590,"Einevegen 36, Sandnessund",69.702547,18.885146
346591,"Karveslettvegen 168, Sandnessund",69.705957,18.908028
346592,"Karveslettvegen 170, Sandnessund",69.705771,18.90789
346593,"Karveslettvegen 164, Sandnessund",69.706281,18.907959
346594,"Karveslettvegen 166, Sandnessund",69.706109,18.90803
346595,"Karveslettvegen 160, Sandnessund",69.705953,18.906966
346596,"Karveslettvegen 162, Sandnessund",69.706111,18.907151
346597,"Karveslettvegen 49, Sandnessund",69.703012,18.895814
346598,"Karveslettvegen 51, Sandnessund",69.703058,18.895745
346682,"Hestehovvegen 8, Sandnessund",69.701689,18.882117
346683,"Hestehovvegen 10, Sandnessund",69.701644,18.882548
346684,"Hestehovvegen 6, Sandnessund",69.701623,18.881458
346685,"Hestehovvegen 7, Sandnessund",69.701326,18.882283
346686,"Hestehovvegen 4, Sandnessund",69.70155,18.881108
346687,"Hestehovvegen 5, Sandnessund",69.701355,18.881796
346689,"Hestehovvegen 2, Sandnessund",69.701485,18.88076
346773,"Marikåpevegen 36, Sandnessund",69.702712,18.898787
346774,"Marikåpevegen 30, Sandnessund",69.702936,18.900018
346775,"Marikåpevegen 32, Sandnessund",69.702838,18.899612
346776,"Marikåpevegen 28, Sandnessund",69.702991,18.900391
346777,"Marikåpevegen 29, Sandnessund",69.703281,18.900289
346778,"Marikåpevegen 26, Sandnessund",69.703081,18.900795
346779,"Marikåpevegen 27, Sandnessund",69.703439,18.900059
346780,"Marikåpevegen 24, Sandnessund",69.703162,18.901198
346781,"Marikåpevegen 25, Sandnessund",69.703591,18.900864
346782,"Marikåpevegen 22, Sandnessund",69.703226,18.901547
346783,"Marikåpevegen 23, Sandnessund",69.703451,18.901122
346784,"Marikåpevegen 19, Sandnessund",69.703735,18.90208
346785,"Marikåpevegen 20, Sandnessund",69.703325,18.901927
346786,"Marikåpevegen 16, Sandnessund",69.703546,18.902925
346787,"Marikåpevegen 17, Sandnessund",69.703826,18.902433
346788,"Marikåpevegen 14, Sandnessund",69.703553,18.903418
346789,"Marikåpevegen 15, Sandnessund",69.703845,18.903187
346790,"Marikåpevegen 12, Sandnessund",69.703579,18.903837
346791,"Marikåpevegen 13, Sandnessund",69.703871,18.903632
346856,"Liljevegen 16, Sandnessund",69.704054,18.903097
346857,"Liljevegen 12, Sandnessund",69.704133,18.903965
346858,"Liljevegen 14, Sandnessund",69.704116,18.903548
346859,"Liljevegen 10, Sandnessund",69.704174,18.904542
346860,"Liljevegen 11, Sandnessund",69.704439,18.904384
346861,"Liljevegen 8, Sandnessund",69.704199,18.905038
346862,"Liljevegen 9, Sandnessund",69.704465,18.904828
346896,"Smørblomstvegen 20, Sandnessund",69.700839,18.887265
346897,"Smørblomstvegen 18, Sandnessund",69.7008,18.886585
346898,"Smørblomstvegen 16, Sandnessund",69.700681,18.886253
346899,"Smørblomstvegen 14, Sandnessund",69.700582,18.885872
346900,"Liljevegen 7, Sandnessund",69.70446,18.905423
346901,"Smørblomstvegen 13, Sandnessund",69.700152,18.884991
346902,"Smørblomstvegen 12, Sandnessund",69.700484,18.88544
346903,"Smørblomstvegen 11, Sandnessund",69.700074,18.884459
346928,"Smørblomstvegen 32, Sandnessund",69.700749,18.890094
