,Navn,Long,Lat
16128,"Kifjord, 81/4, Sandnessund",69.865269,18.655207
335445,"Klubbvollen 1, Sandnessund",69.856573,18.823705
335448,"Klubbvollen 10, Sandnessund",69.856049,18.822619
335450,"Klubbvollen 12, Sandnessund",69.856285,18.822922
335452,"Klubbvollen 6, Sandnessund",69.855675,18.823281
335454,"Klubbvollen 8, Sandnessund",69.855745,18.822563
335456,"Klubbvollen 2, Sandnessund",69.856215,18.823665
335458,"Klubbvollen 4, Sandnessund",69.85593,18.823535
347418,"Sørhella 13, Sandnessund",69.795548,19.02307
347419,"Sørhella 12, Sandnessund",69.795134,19.022315
347420,"Sørhella 11, Sandnessund",69.79484,19.023402
347421,"Sørhella 10, Sandnessund",69.794923,19.022509
347422,"Sørhella 5, Sandnessund",69.794836,19.021218
347423,"Sørhella 3, Sandnessund",69.795074,19.021004
347424,"Sørhella 1, Sandnessund",69.795299,19.020579
347464,"Sørhella 19, Sandnessund",69.796111,19.022424
347465,"Sørhella 17, Sandnessund",69.795863,19.022662
347466,"Sørhella 16, Sandnessund",69.795685,19.021796
347467,"Sørhella 15, Sandnessund",69.795651,19.022882
347468,"Sørhella 14, Sandnessund",69.795409,19.022082
347748,"Lyfjordelvvegen 12, Sandnessund",69.778387,18.767487
347749,"Rakkfjordvatnet 153, Sandnessund",69.82455,18.902942
348214,"Vestheim 1, Sandnessund",69.871011,18.672231
348215,"Kifjorden 7, Sandnessund",69.862794,18.755178
348216,"valen 3, Sandnessund",69.88229,18.692183
348217,"valen 2, Sandnessund",69.88162,18.700154
348460,"Seihola 120, Sandnessund",69.881895,18.785257
348598,"Rakkfjordvatnet 144, Sandnessund",69.824998,18.905878
348599,"Rakkfjordvatnet 109, Sandnessund",69.817582,18.913373
348621,"Lyfjordelvvegen 10, Sandnessund",69.778075,18.768626
348623,"Lyfjordelvvegen 14, Sandnessund",69.778295,18.766328
348632,"Lyfjordelvvegen 48, Sandnessund",69.776488,18.754167
348645,"Kvaløyvågvegen 1745, Sandnessund",69.87651,18.808529
348655,"Rakkfjordvatnet 159, Sandnessund",69.823823,18.903515
350109,"Øyåsbakken 7, Sandnessund",69.753862,19.025373
350110,"Øyåsbakken 17, Sandnessund",69.754278,19.024493
350111,"Øyåsbakken 1, Sandnessund",69.754021,19.026675
350417,"Øyåsbakken 19, Sandnessund",69.754435,19.024678
