,Navn,Long,Lat
335690,"Damvatnet 116, Sandnessund",69.843702,19.01564
335694,"Skarsfjordvegen 1504, Sandnessund",69.898808,18.798322
335698,"Skarsfjordvegen 1562, Sandnessund",69.901183,18.784756
335704,"Storvikvegen 223, Sandnessund",69.946913,18.819026
335727,"Damvatnet 61, Sandnessund",69.837935,19.026866
335839,"Skarsfjordvegen 2321, Sandnessund",69.968832,18.867307
335841,"Skarsfjordvegen 2316, Sandnessund",69.967586,18.868661
335844,"Skogøya 96, Sandnessund",69.9507,18.838432
335846,"Storvikvegen 387, Sandnessund",69.95489,18.78969
335848,"Skarsfjordvegen 2301, Sandnessund",69.968148,18.872565
335851,"Storvikvegen 545, Sandnessund",69.95957,18.756256
335853,"Skarsfjordvegen 2287, Sandnessund",69.968463,18.87582
335855,"Skarsfjordvegen 2337, Sandnessund",69.968644,18.862149
335857,"Skogøya 102, Sandnessund",69.95141,18.841683
335859,"Skarsfjordvegen 2168, Sandnessund",69.967463,18.903829
335861,"Skarsfjordvegen 2409, Sandnessund",69.967482,18.846999
335863,"Skarsfjordvegen 2411, Sandnessund",69.967577,18.846335
347737,"Storvikvegen 447, Sandnessund",69.956223,18.772648
347738,"Storvikvegen 443, Sandnessund",69.9561,18.773333
347739,"Storvikvegen 439, Sandnessund",69.955564,18.77321
347740,"Storvikvegen 437, Sandnessund",69.955218,18.772598
347750,"Storvikvegen 414, Sandnessund",69.955331,18.781207
348197,"Skulgamvegen 1, Sandnessund",69.815713,19.026014
348207,"Storvikvegen 503, Sandnessund",69.958472,18.766141
348208,"Storvikvegen 449, Sandnessund",69.956652,18.771914
348210,"Storvikvegen 445, Sandnessund",69.956352,18.774164
348211,"Skarsfjordvegen 2579, Sandnessund",69.978913,18.820234
348212,"Skarsfjordvegen 1898, Sandnessund",69.918814,18.716425
348269,"Storvikvegen 412, Sandnessund",69.955621,18.78194
348271,"Storvikvegen 273, Sandnessund",69.951672,18.811596
348333,"Storvikvegen 426, Sandnessund",69.955029,18.778115
348334,"Skarsfjordvegen 2275, Sandnessund",69.967322,18.87705
348353,"Storvikvegen 277, Sandnessund",69.952,18.811368
348354,"Skarsfjordvegen 2185, Sandnessund",69.968074,18.898938
348355,"Storvikvegen 203, Sandnessund",69.945456,18.823287
348356,"Storvikvegen 418, Sandnessund",69.955413,18.779467
348357,"Skogøya 80, Sandnessund",69.948014,18.832996
348358,"Storvikvegen 118, Sandnessund",69.938512,18.833321
348359,"Skarsfjordvegen 2455, Sandnessund",69.97132,18.841076
348435,"Skarsfjordvegen 2549, Sandnessund",69.976936,18.825377
348832,"Skarsfjordvegen 2401, Sandnessund",69.967312,18.84985
349393,"Storvikvegen 485, Sandnessund",69.957458,18.769022
351710,"Skogøya 86, Sandnessund",69.949764,18.839705
351828,"Skarsfjordvegen 2308, Sandnessund",69.967254,18.870696
351875,"Storvikvegen 263, Sandnessund",69.949563,18.813321
351940,"Skarsfjordvegen 2369, Sandnessund",69.967247,18.857428
352049,"Storvikvegen 410, Sandnessund",69.955889,18.782408
352162,"Skarsfjordvegen 2170, Sandnessund",69.967448,18.902883
352648,"Skogøya 100, Sandnessund",69.951305,18.84114
352693,"Skogøya 116, Sandnessund",69.950779,18.84656
353124,"Storvikvegen 389, Sandnessund",69.955875,18.790235
354802,"Storvikvegen 358, Sandnessund",69.952843,18.793429
354803,"Storvikvegen 360, Sandnessund",69.952944,18.792898
354804,"Storvikvegen 386, Sandnessund",69.954484,18.78849
354805,"Storvikvegen 382, Sandnessund",69.954158,18.788614
354806,"Storvikvegen 380, Sandnessund",69.954076,18.789542
354807,"Storvikvegen 384, Sandnessund",69.954359,18.789305
354849,"Storvikvegen 342, Sandnessund",69.952436,18.796916
354850,"Storvikvegen 346, Sandnessund",69.95207,18.796797
354851,"Storvikvegen 348, Sandnessund",69.952257,18.796046
354852,"Storvikvegen 350, Sandnessund",69.95248,18.795693
354853,"Storvikvegen 356, Sandnessund",69.952676,18.794106
354854,"Storvikvegen 354, Sandnessund",69.952805,18.794365
354930,"Skogøya 18, Sandnessund",69.943969,18.844712
355283,"Storvikvegen 265, Sandnessund",69.949931,18.812797
355411,"Skarsfjordvegen 2503, Sandnessund",69.974283,18.834046
355412,"Storvikvegen 271, Sandnessund",69.951322,18.810747
355425,"Skulgamvegen 149, Sandnessund",69.803907,19.053114
355426,"Skulgamvegen 284, Sandnessund",69.79371,19.070282
355436,"Storvikvegen 416, Sandnessund",69.955554,18.780462
355439,"Skarsfjordvegen 1375, Sandnessund",69.897243,18.873064
355446,"Skarsfjordvegen 60, Sandnessund",69.818314,19.021906
355447,"Skarsfjordvegen 58, Sandnessund",69.817951,19.022045
355453,"Skulgamvegen 500, Sandnessund",69.788572,19.114063
