,Navn,Long,Lat
1472880,"Torsvågveien 2996, Karlsøy",70.23902,19.510831
1472882,"Torsvågveien 3186, Karlsøy",70.242798,19.497595
1472884,"Torsvågveien 3153, Karlsøy",70.245711,19.502096
1472886,"Torsvågveien 3161, Karlsøy",70.245161,19.501417
1472888,"Skoleveien 8, Karlsøy",70.19889,19.609613
1472889,"Torsvågveien 2804, Karlsøy",70.221926,19.512525
1472891,"Torsvågveien 3137, Karlsøy",70.245511,19.500006
1472893,"Torsvågveien 3169, Karlsøy",70.245555,19.497172
1472894,"Torsvågveien 2093, Karlsøy",70.180912,19.643665
1472895,"Torsvågveien 2303, Karlsøy",70.196228,19.612093
1472896,"Torsvågveien 2461, Karlsøy",70.207703,19.589144
1472897,"Torsvågveien 2455, Karlsøy",70.207481,19.590103
1472898,"Skoleveien 18, Karlsøy",70.199064,19.611769
1472899,"Skoleveien 4, Karlsøy",70.198692,19.608588
1472900,"Torsvågveien 2481, Karlsøy",70.208573,19.583608
1472901,"Torsvågveien 2119, Karlsøy",70.182516,19.639363
1472902,"Torsvågveien 2153, Karlsøy",70.184813,19.633282
1472903,"Skoleveien 41, Karlsøy",70.200512,19.609817
1472904,"Skoleveien 43, Karlsøy",70.200675,19.609403
1472905,"Torsvågveien 2392, Karlsøy",70.203162,19.601473
1472906,"Svenesveien 2, Karlsøy",70.18632,19.628533
1472907,"Torsvågveien 2097, Karlsøy",70.181211,19.642885
1472908,"Torsvågveien 2293, Karlsøy",70.195443,19.613243
1472909,"Torsvågveien 2163, Karlsøy",70.185598,19.630755
1472910,"Torsvågveien 2071, Karlsøy",70.179723,19.646179
1472911,"Torsvågveien 2135, Karlsøy",70.183716,19.636083
1472912,"Skoleveien 15, Karlsøy",70.198917,19.613119
1472913,"Torsvågveien 2186, Karlsøy",70.186707,19.625731
1472914,"Torsvågveien 2165, Karlsøy",70.185782,19.63024
1472915,"Torsvågveien 2176, Karlsøy",70.186039,19.627224
1472916,"Svenesveien 4, Karlsøy",70.186402,19.629532
1472917,"Torsvågveien 2531, Karlsøy",70.210063,19.570675
1472918,"Torsvågveien 1849, Karlsøy",70.161714,19.673572
1472919,"Torsvågveien 1847, Karlsøy",70.161643,19.672841
1472920,"Torsvågveien 2315, Karlsøy",70.197211,19.611279
1472921,"Torsvågveien 2069, Karlsøy",70.179587,19.647632
1472922,"Torsvågveien 2131, Karlsøy",70.183368,19.637382
1472923,"Torsvågveien 2537, Karlsøy",70.210149,19.569049
1472924,"Torsvågveien 2533, Karlsøy",70.21034,19.570392
1472925,"Svenesveien 5, Karlsøy",70.186248,19.630637
1472926,"Svenesveien 6, Karlsøy",70.18654,19.63037
1472927,"Torsvågveien 2063, Karlsøy",70.178978,19.646859
1472928,"Korsnesveien 8, Karlsøy",70.19112,19.620201
1472929,"Skoleveien 3, Karlsøy",70.198246,19.609469
1472930,"Torsvågveien 2307, Karlsøy",70.196618,19.611279
1472931,"Torsvågveien 2451, Karlsøy",70.207452,19.591237
1472932,"Torsvågveien 2067, Karlsøy",70.179339,19.646782
1472933,"Torsvågveien 2061, Karlsøy",70.178565,19.648912
1472934,"Torsvågveien 2297, Karlsøy",70.19576,19.612837
1472935,"Torsvågveien 2281, Karlsøy",70.19449,19.614673
1472936,"Torsvågveien 2311, Karlsøy",70.197545,19.61435
1472937,"Torsvågveien 1402, Karlsøy",70.124936,19.707115
1472938,"Torsvågveien 1410, Karlsøy",70.125209,19.707653
1472939,"Torsvågveien 1177, Karlsøy",70.105427,19.718677
1472940,"Torsvågveien 1913, Karlsøy",70.1662,19.663918
1472941,"Torsvågveien 1480, Karlsøy",70.131347,19.701966
1472942,"Torsvågveien 1509, Karlsøy",70.133966,19.699469
1472943,"Torsvågveien 1770, Karlsøy",70.154398,19.671413
1472944,"Torsvågveien 1817, Karlsøy",70.158747,19.67425
1472945,"Torsvågveien 1815, Karlsøy",70.158363,19.673819
1472946,"Torsvågveien 1488, Karlsøy",70.132009,19.701377
1472947,"Torsvågveien 1097, Karlsøy",70.100374,19.706237
1472948,"Torsvågveien 1200, Karlsøy",70.107531,19.717969
1472949,"Bekkestrandveien 47, Karlsøy",70.143282,19.669534
1472950,"Bekkestrandveien 41, Karlsøy",70.143665,19.66896
1472951,"Torsvågveien 2818, Karlsøy",70.223476,19.510954
1472953,"Torsvågveien 2986, Karlsøy",70.238635,19.510401
1472955,"Torsvågveien 3057, Karlsøy",70.243931,19.513902
1472958,"Torsvågveien 2956, Karlsøy",70.235542,19.509723
1472960,"Torsvågveien 2787, Karlsøy",70.221642,19.517373
1472962,"Torsvågveien 2774, Karlsøy",70.218516,19.516952
1472964,"Torsvågveien 2776, Karlsøy",70.219205,19.517051
1472965,"Torsvågveien 3055, Karlsøy",70.244116,19.514049
1472966,"Torsvågveien 3179, Karlsøy",70.243756,19.49832
1472968,"Torsvågveien 2969, Karlsøy",70.236921,19.511008
1472970,"Torsvågveien 2970, Karlsøy",70.236406,19.509673
1472972,"Torsvågveien 2143, Karlsøy",70.184204,19.634921
1472973,"Torsvågveien 1961, Karlsøy",70.17044,19.658521
1472974,"Torsvågveien 2790, Karlsøy",70.22122,19.516272
