,Navn,Long,Lat
1473062,"Bogveien 42, Karlsøy",69.999216,19.909076
1473147,"Bogveien 38, Karlsøy",70.000057,19.911192
1473153,"Bogveien 146, Karlsøy",69.996021,19.925738
1473154,"Fjellveien 82, Karlsøy",70.006834,19.883227
1473155,"Alfred Eriksens vei 123, Karlsøy",70.001825,19.916523
1473156,"Fjellveien 63, Karlsøy",70.007713,19.886928
1473157,"Bogveien 67, Karlsøy",69.997293,19.907073
1473158,"Fjellveien 37, Karlsøy",70.009539,19.895058
1473159,"Alfred Eriksens vei 129, Karlsøy",70.001527,19.917871
1473160,"Bogveien 24, Karlsøy",69.9991,19.901536
1473161,"Bogveien 60, Karlsøy",69.997772,19.906004
1473162,"Bogveien 46, Karlsøy",69.998961,19.902028
1473163,"Bogveien 52, Karlsøy",69.998547,19.903664
1473207,"Alfred Eriksens vei 8, Karlsøy",70.002274,19.891432
1473208,"Alfred Eriksens vei 2, Karlsøy",70.002819,19.889931
1473210,"Fjellveien 10, Karlsøy",70.003512,19.88991
1473211,"Fjellveien 15, Karlsøy",70.003611,19.892508
1473212,"Doktorgårdsveien 10, Karlsøy",70.003088,19.886683
1473213,"Alfred Eriksens vei 14, Karlsøy",70.002384,19.893008
1473214,"Alfred Eriksens vei 27, Karlsøy",70.000741,19.896168
1473215,"Alfred Eriksens vei 6, Karlsøy",70.002607,19.891431
1473216,"Alfred Eriksens vei 21, Karlsøy",70.001359,19.893634
1473217,"Alfred Eriksens vei 10, Karlsøy",70.002176,19.891724
1473218,"Bogveien 86, Karlsøy",69.9975,19.913878
1473219,"Alfred Eriksens vei 57, Karlsøy",70.001159,19.902546
1473220,"Bogveien 20, Karlsøy",69.999582,19.900046
1473221,"Fjellveien 12, Karlsøy",70.003711,19.889221
1473222,"Alfred Eriksens vei 79, Karlsøy",70.002175,19.907144
1473223,"Alfred Eriksens vei 82, Karlsøy",70.003385,19.907563
1473224,"Bogveien 82, Karlsøy",69.997295,19.9114
1473225,"Fjellveien 6, Karlsøy",70.003233,19.889601
1473574,"Alfred Eriksens vei 1, Karlsøy",70.002488,19.888881
1473581,"Doktorgårdsveien 6, Karlsøy",70.002848,19.887914
1473661,"Alfred Eriksens vei 81, Karlsøy",70.001898,19.908001
1473665,"Alfred Eriksens vei 12, Karlsøy",70.002108,19.891918
1473696,"Doktorgårdsveien 25, Karlsøy",70.00375,19.883869
1473759,"Alfred Eriksens vei 59, Karlsøy",70.001063,19.90339
1473784,"Bogveien 200, Karlsøy",69.997247,19.938585
1474077,"Bogveien 208, Karlsøy",69.997197,19.9407
1474079,"Bogveien 189, Karlsøy",69.996559,19.936504
1474080,"Fjellveien 5, Karlsøy",70.003193,19.890386
1474111,"Alfred Eriksens vei 33, Karlsøy",70.000996,19.896386
1474146,"Doktorgårdsveien 1, Karlsøy",70.002969,19.889072
1474147,"Fjellveien 21, Karlsøy",70.004595,19.892397
1474148,"Alfred Eriksens vei 101, Karlsøy",70.003108,19.91207
1474152,"Bogveien 226, Karlsøy",69.997731,19.945109
1474154,"Doktorgårdsveien 9, Karlsøy",70.003382,19.88712
1474178,"Bogveien 95, Karlsøy",69.995712,19.915421
1474247,"Alfred Eriksens vei 16, Karlsøy",70.001879,19.892731
1474278,"Bogveien 34, Karlsøy",70.00107,19.914064
1474283,"Bogveien 32, Karlsøy",70.001237,19.913704
1474298,"Doktorgårdsveien 99, Karlsøy",70.01214,19.86214
1474338,"Doktorgårdsveien 30, Karlsøy",70.003898,19.882091
1474522,"Alfred Eriksens vei 83, Karlsøy",70.001516,19.909442
1474623,"Bogveien 48, Karlsøy",69.99878,19.902721
1474629,"Alfred Eriksens vei 20, Karlsøy",70.002252,19.894868
2002756,"Bogveien 56, Karlsøy",69.998221,19.904581
2043753,"Alfred Eriksens vei 11, Karlsøy",70.001965,19.891506
2043755,"Alfred Eriksens vei 13, Karlsøy",70.001883,19.891689
2044370,"Alfred Eriksens vei 3, Karlsøy",70.002516,19.889542
2044390,"Alfred Eriksens vei 90, Karlsøy",70.004343,19.908782
2197668,"Kirkegårdsveien 118, Karlsøy",70.009042,19.921639
