,Navn,Long,Lat
46182,"13/158, Kvænangen",69.939366,22.053025
458737,"Moen 3, Kvænangen",70.025644,22.093393
459903,"Stormoveien 37, Kvænangen",69.934737,22.047886
459904,"Kvænangsveien 3837, Kvænangen",69.943927,22.050627
459905,"Stormoveien 39, Kvænangen",69.935033,22.047487
459906,"Langbergveien 13, Kvænangen",69.938631,22.05451
459907,"Stormoveien 43, Kvænangen",69.93547,22.046479
459908,"Stormoveien 41, Kvænangen",69.935224,22.046974
459909,"Stormoveien 54, Kvænangen",69.935416,22.044438
459910,"Stormoveien 42, Kvænangen",69.935277,22.045415
459911,"Stormoveien 56, Kvænangen",69.935182,22.043965
459912,"Stormoveien 11, Kvænangen",69.933275,22.042379
459913,"Stormoveien 58, Kvænangen",69.934947,22.043517
459914,"Stormoveien 60, Kvænangen",69.934731,22.04305
459915,"Stormoveien 64, Kvænangen",69.934213,22.042035
459916,"Stormoveien 49, Kvænangen",69.936393,22.045714
459917,"Stajordveien 379, Kvænangen",69.946052,21.974812
459918,"Stajordveien 414, Kvænangen",69.947689,21.979438
459919,"Stajordveien 314, Kvænangen",69.941957,21.989142
459920,"Kvitebergveien 17, Kvænangen",69.946385,21.970645
459921,"Stajordveien 456, Kvænangen",69.94824,21.990136
459922,"Stajordveien 400, Kvænangen",69.947731,21.977684
459923,"Stajordveien 393, Kvænangen",69.946842,21.975764
459924,"Stajordveien 444, Kvænangen",69.948784,21.984589
459925,"Stajordveien 351, Kvænangen",69.944363,21.979637
459926,"Burfjorddalen 124, Kvænangen",69.91325,22.089521
459927,"Burfjorddalen 74, Kvænangen",69.917247,22.084889
459928,"Burfjorddalen 92, Kvænangen",69.916464,22.086521
459929,"Burfjorddalen 98, Kvænangen",69.915511,22.084536
459930,"Burfjorddalen 106, Kvænangen",69.914955,22.085431
459931,"Burfjorddalen 111, Kvænangen",69.910731,22.079581
459932,"Kvænangsveien 3513, Kvænangen",69.919118,22.080511
459933,"Burfjorddalen 119, Kvænangen",69.91422,22.085016
459934,"Burfjorddalen 105, Kvænangen",69.914502,22.078656
459935,"Burfjorddalen 90, Kvænangen",69.916152,22.087011
459936,"Burfjorddalen 114, Kvænangen",69.914393,22.086781
459937,"Burfjorddalen 84, Kvænangen",69.916798,22.084842
459938,"Kvænangsveien 3511, Kvænangen",69.918726,22.077465
459939,"Burfjorddalen 101, Kvænangen",69.913785,22.081693
459940,"Burfjorddalen 65, Kvænangen",69.918276,22.083297
459941,"Burfjorddalen 109, Kvænangen",69.910843,22.078123
459942,"Burfjorddalen 128, Kvænangen",69.913274,22.087923
459943,"Burfjorddalen 121, Kvænangen",69.913828,22.085565
